"BirdieorBetterPercentageFairway_RANKTHISWEEK_2006","BirdieorBetterPercentageFairway_RANKLASTWEEK_2006","BirdieorBetterPercentageFairway_PLAYERNAME_2006","BirdieorBetterPercentageFairway_ROUNDS_2006","BirdieorBetterPercentageFairway_Pct_2006","BirdieorBetterPercentageFairway_TOTALBIRDIES_2006","BirdieorBetterPercentageFairway_TOTALHOLES_2006","stat_name","year"
75,75,"Shigeki Maruyama",94,21.9,230,1050,"BirdieorBetterPercentageFairway",2006
76,76,"Jesper Parnevik",84,21.89,206,941,"BirdieorBetterPercentageFairway",2006
77,77,"Shane Bertsch",104,21.85,276,1263,"BirdieorBetterPercentageFairway",2006
78,78,"Carl Pettersson",95,21.84,218,998,"BirdieorBetterPercentageFairway",2006
79,79,"Greg Owen",79,21.83,186,852,"BirdieorBetterPercentageFairway",2006
80,80,"Aaron Baddeley",78,21.82,192,880,"BirdieorBetterPercentageFairway",2006
81,81,"Olin Browne",108,21.81,272,1247,"BirdieorBetterPercentageFairway",2006
82,82,"Mathias Gronberg",92,21.79,226,1037,"BirdieorBetterPercentageFairway",2006
83,83,"Stephen Leaney",84,21.72,237,1091,"BirdieorBetterPercentageFairway",2006
83,83,"Ryan Moore",68,21.72,172,792,"BirdieorBetterPercentageFairway",2006
85,85,"Chris Couch",75,21.71,188,866,"BirdieorBetterPercentageFairway",2006
86,86,"Bill Haas",99,21.68,245,1130,"BirdieorBetterPercentageFairway",2006
87,87,"Scott Gutschewski",53,21.65,134,619,"BirdieorBetterPercentageFairway",2006
88,88,"Brandt Jobe",91,21.59,206,954,"BirdieorBetterPercentageFairway",2006
89,89,"Richard Johnson",94,21.57,259,1201,"BirdieorBetterPercentageFairway",2006
90,90,"Kris Cox",83,21.56,205,951,"BirdieorBetterPercentageFairway",2006
91,91,"Lee Janzen",79,21.55,195,905,"BirdieorBetterPercentageFairway",2006
92,92,"Carlos Franco",86,21.54,213,989,"BirdieorBetterPercentageFairway",2006
93,93,"Jason Gore",86,21.47,207,964,"BirdieorBetterPercentageFairway",2006
94,94,"Ryuji Imada",105,21.46,241,1123,"BirdieorBetterPercentageFairway",2006
95,95,"Shaun Micheel",96,21.41,222,1037,"BirdieorBetterPercentageFairway",2006
96,96,"Steve Lowery",99,21.4,239,1117,"BirdieorBetterPercentageFairway",2006
97,97,"KJ Choi",93,21.39,234,1094,"BirdieorBetterPercentageFairway",2006
98,98,"Arjun Atwal",97,21.36,236,1105,"BirdieorBetterPercentageFairway",2006
99,99,"Jeff Overton",95,21.32,232,1088,"BirdieorBetterPercentageFairway",2006
99,99,"DA Points",82,21.32,203,952,"BirdieorBetterPercentageFairway",2006
101,101,"Wes Short Jr",96,21.3,230,1080,"BirdieorBetterPercentageFairway",2006
102,102,"Zach Johnson",98,21.28,232,1090,"BirdieorBetterPercentageFairway",2006
103,103,"John Senden",96,21.27,231,1086,"BirdieorBetterPercentageFairway",2006
103,103,"Scott Verplank",88,21.27,217,1020,"BirdieorBetterPercentageFairway",2006
105,105,"Bernhard Langer",77,21.26,169,795,"BirdieorBetterPercentageFairway",2006
106,106,"John Daly",51,21.23,107,504,"BirdieorBetterPercentageFairway",2006
107,107,"Steve Flesch",119,21.16,303,1432,"BirdieorBetterPercentageFairway",2006
108,108,"Jerry Smith",94,21.1,258,1223,"BirdieorBetterPercentageFairway",2006
109,109,"John Huston",74,21.06,179,850,"BirdieorBetterPercentageFairway",2006
110,110,"Chris Riley",86,21.05,209,993,"BirdieorBetterPercentageFairway",2006
110,110,"Charles Warren",93,21.05,233,1107,"BirdieorBetterPercentageFairway",2006
112,112,"David McKenzie",82,21.01,203,966,"BirdieorBetterPercentageFairway",2006
113,113,"Len Mattiace",59,21,138,657,"BirdieorBetterPercentageFairway",2006
114,114,"Mark Calcavecchia",94,20.98,223,1063,"BirdieorBetterPercentageFairway",2006
114,114,"Jimmy Walker",60,20.98,141,672,"BirdieorBetterPercentageFairway",2006
116,116,"Kenny Perry",73,20.92,177,846,"BirdieorBetterPercentageFairway",2006
117,117,"Fred Couples",52,20.88,81,388,"BirdieorBetterPercentageFairway",2006
118,118,"Brian Davis",92,20.87,240,1150,"BirdieorBetterPercentageFairway",2006
119,119,"David Branshaw",98,20.85,254,1218,"BirdieorBetterPercentageFairway",2006
120,120,"Duffy Waldorf",96,20.84,239,1147,"BirdieorBetterPercentageFairway",2006
121,121,"Kevin Sutherland",100,20.82,250,1201,"BirdieorBetterPercentageFairway",2006
122,122,"Bob Estes",85,20.79,221,1063,"BirdieorBetterPercentageFairway",2006
122,122,"Bob May",65,20.79,148,712,"BirdieorBetterPercentageFairway",2006
124,124,"Jeff Brehaut",100,20.77,244,1175,"BirdieorBetterPercentageFairway",2006
125,125,"Heath Slocum",96,20.74,257,1239,"BirdieorBetterPercentageFairway",2006
126,126,"Briny Baird",81,20.72,212,1023,"BirdieorBetterPercentageFairway",2006
127,127,"Jeff Gove",91,20.68,231,1117,"BirdieorBetterPercentageFairway",2006
128,128,"Kirk Triplett",58,20.67,149,721,"BirdieorBetterPercentageFairway",2006
129,129,"Chad Campbell",91,20.65,184,891,"BirdieorBetterPercentageFairway",2006
130,130,"Vance Veazey",59,20.62,147,713,"BirdieorBetterPercentageFairway",2006
131,131,"Omar Uresti",61,20.6,151,733,"BirdieorBetterPercentageFairway",2006
132,132,"Troy Matteson",101,20.56,226,1099,"BirdieorBetterPercentageFairway",2006
133,133,"Danny Ellis",68,20.51,162,790,"BirdieorBetterPercentageFairway",2006
134,134,"Joe Durant",101,20.49,299,1459,"BirdieorBetterPercentageFairway",2006
135,135,"Tag Ridings",103,20.39,228,1118,"BirdieorBetterPercentageFairway",2006
136,136,"Skip Kendall",72,20.35,175,860,"BirdieorBetterPercentageFairway",2006
137,137,"Brent Geiberger",99,20.24,253,1250,"BirdieorBetterPercentageFairway",2006
138,138,"Todd Fischer",101,20.23,248,1226,"BirdieorBetterPercentageFairway",2006
139,139,"Sean OHair",100,20.2,207,1025,"BirdieorBetterPercentageFairway",2006
140,140,"Ian Leggatt",80,20.16,182,903,"BirdieorBetterPercentageFairway",2006
140,140,"Ron Whittaker",81,20.16,203,1007,"BirdieorBetterPercentageFairway",2006
142,142,"Dudley Hart",83,20.15,185,918,"BirdieorBetterPercentageFairway",2006
143,143,"Billy Andrade",78,20.1,161,801,"BirdieorBetterPercentageFairway",2006
143,143,"Charles Howell III",96,20.1,200,995,"BirdieorBetterPercentageFairway",2006
145,145,"Robert Damron",91,20.07,228,1136,"BirdieorBetterPercentageFairway",2006
146,146,"Daisuke Maruyama",83,20.06,202,1007,"BirdieorBetterPercentageFairway",2006
147,147,"Tim Herron",82,20.05,157,783,"BirdieorBetterPercentageFairway",2006
147,147,"Chris Smith",67,20.05,161,803,"BirdieorBetterPercentageFairway",2006
149,149,"Mathew Goggin",72,20.03,152,759,"BirdieorBetterPercentageFairway",2006
150,150,"Ben Curtis",86,20.02,188,939,"BirdieorBetterPercentageFairway",2006
151,151,"Paul Goydos",72,19.98,185,926,"BirdieorBetterPercentageFairway",2006
152,152,"Michael Connell",51,19.96,112,561,"BirdieorBetterPercentageFairway",2006
153,153,"Greg Kraft",79,19.92,191,959,"BirdieorBetterPercentageFairway",2006
154,154,"Chris DiMarco",83,19.81,165,833,"BirdieorBetterPercentageFairway",2006
155,155,"Jeff Maggert",81,19.79,189,955,"BirdieorBetterPercentageFairway",2006
156,156,"Bob Tway",81,19.76,180,911,"BirdieorBetterPercentageFairway",2006
157,157,"Joey Sindelar",90,19.74,212,1074,"BirdieorBetterPercentageFairway",2006
158,158,"James Driscoll",80,19.71,176,893,"BirdieorBetterPercentageFairway",2006
159,159,"Fred Funk",106,19.66,253,1287,"BirdieorBetterPercentageFairway",2006
160,160,"Jonathan Kaye",95,19.46,230,1182,"BirdieorBetterPercentageFairway",2006
161,161,"Robert Gamez",94,19.44,230,1183,"BirdieorBetterPercentageFairway",2006
162,162,"Bart Bryant",87,19.43,204,1050,"BirdieorBetterPercentageFairway",2006
163,163,"Paul Azinger",87,19.3,205,1062,"BirdieorBetterPercentageFairway",2006
164,164,"Paul Stankowski",70,19.24,163,847,"BirdieorBetterPercentageFairway",2006
165,165,"Nicholas Thompson",96,19.21,204,1062,"BirdieorBetterPercentageFairway",2006
166,166,"Jason Schultz",77,19.01,161,847,"BirdieorBetterPercentageFairway",2006
167,167,"Alex Aragon",63,19,122,642,"BirdieorBetterPercentageFairway",2006
167,167,"Greg Chalmers",71,19,133,700,"BirdieorBetterPercentageFairway",2006
169,169,"Roger Tambellini",64,18.93,127,671,"BirdieorBetterPercentageFairway",2006
170,170,"Brian Bateman",69,18.92,147,777,"BirdieorBetterPercentageFairway",2006
171,171,"John Cook",67,18.89,150,794,"BirdieorBetterPercentageFairway",2006
172,172,"Mike Sposa",68,18.85,148,785,"BirdieorBetterPercentageFairway",2006
173,173,"Billy Mayfair",94,18.84,212,1125,"BirdieorBetterPercentageFairway",2006
174,174,"Henrik Bjornstad",97,18.78,225,1198,"BirdieorBetterPercentageFairway",2006
175,175,"Ryan Hietala",61,18.74,113,603,"BirdieorBetterPercentageFairway",2006
176,176,"Steve Jones",83,18.73,183,977,"BirdieorBetterPercentageFairway",2006
177,177,"Tim Petrovic",95,18.62,208,1117,"BirdieorBetterPercentageFairway",2006
178,178,"Steve Elkington",52,18.58,123,662,"BirdieorBetterPercentageFairway",2006
179,179,"Matt Hansen",68,18.56,139,749,"BirdieorBetterPercentageFairway",2006
180,180,"Brad Faxon",78,18.45,174,943,"BirdieorBetterPercentageFairway",2006
181,181,"Thomas Levet",53,18.31,119,650,"BirdieorBetterPercentageFairway",2006
182,182,"Doug Barron",74,18.29,169,924,"BirdieorBetterPercentageFairway",2006
183,183,"Justin Leonard",83,18.28,170,930,"BirdieorBetterPercentageFairway",2006
184,184,"Todd Hamilton",72,18.16,132,727,"BirdieorBetterPercentageFairway",2006
185,185,"Tom Lehman",70,18.03,115,638,"BirdieorBetterPercentageFairway",2006
186,186,"JL Lewis",57,17.94,120,669,"BirdieorBetterPercentageFairway",2006
187,187,"John Engler Jr",69,17.91,149,832,"BirdieorBetterPercentageFairway",2006
188,188,"Jon Mills",68,17.75,126,710,"BirdieorBetterPercentageFairway",2006
189,189,"Corey Pavin",74,17.6,144,818,"BirdieorBetterPercentageFairway",2006
189,189,"Tjaart van der Walt",60,17.6,129,733,"BirdieorBetterPercentageFairway",2006
191,191,"Peter Lonard",77,17.58,163,927,"BirdieorBetterPercentageFairway",2006
192,192,"Mark OMeara",52,17.37,78,449,"BirdieorBetterPercentageFairway",2006
193,193,"Patrick Sheehan",104,17.34,209,1205,"BirdieorBetterPercentageFairway",2006
194,194,"Mark Brooks",90,16.84,177,1051,"BirdieorBetterPercentageFairway",2006
195,195,"Larry Mize",53,16.5,99,600,"BirdieorBetterPercentageFairway",2006
196,196,"Hidemichi Tanaka",74,15.66,135,862,"BirdieorBetterPercentageFairway",2006
