"LongestPutts_RANKTHISWEEK_2005","LongestPutts_RANKLASTWEEK_2005","LongestPutts_PLAYERNAME_2005","LongestPutts_ROUNDS_2005","LongestPutts_DISTANCE_2005","LongestPutts_YEARTOURN_2005","LongestPutts_ROUND_2005","LongestPutts_HOLE_2005","stat_name","year"
77,77,"Lee Westwood",50,NA,NA,4,1,"LongestPutts",2005
80,80,"Chad Campbell",95,NA,NA,2,16,"LongestPutts",2005
81,82,"Notah Begay III",30,NA,NA,4,4,"LongestPutts",2005
83,83,"Jeff Hart",63,NA,NA,2,7,"LongestPutts",2005
84,85,"David Peoples",31,NA,NA,3,11,"LongestPutts",2005
86,87,"Geoffrey Sisk",2,NA,NA,2,14,"LongestPutts",2005
88,89,"Joe Ogilvie",103,NA,NA,4,14,"LongestPutts",2005
90,90,"John Elliott",58,NA,NA,2,10,"LongestPutts",2005
90,91,"Lucas Glover",88,NA,NA,3,4,"LongestPutts",2005
92,92,"Justin Leonard",78,NA,NA,3,13,"LongestPutts",2005
93,94,"Marco Dawson",82,NA,NA,2,5,"LongestPutts",2005
93,93,"Jim Furyk",94,NA,NA,2,6,"LongestPutts",2005
96,96,"Peter Lonard",85,NA,NA,3,15,"LongestPutts",2005
97,98,"Trevor Immelman",43,NA,NA,3,14,"LongestPutts",2005
99,99,"Tag Ridings",93,NA,NA,2,8,"LongestPutts",2005
101,101,"John Senden",101,NA,NA,3,5,"LongestPutts",2005
102,102,"Danny Briggs",70,NA,NA,1,6,"LongestPutts",2005
103,104,"Peter Tomasulo",8,NA,NA,2,15,"LongestPutts",2005
105,106,"Richard Johnson",50,NA,NA,2,17,"LongestPutts",2005
107,107,"Billy Andrade",83,NA,NA,2,18,"LongestPutts",2005
108,108,"JJ Henry",102,NA,NA,1,18,"LongestPutts",2005
108,111,"Ben Crane",78,NA,NA,2,17,"LongestPutts",2005
112,113,"Bernhard Langer",67,NA,NA,2,15,"LongestPutts",2005
112,112,"Vaughn Taylor",99,NA,NA,4,12,"LongestPutts",2005
115,116,"Mike Standly",6,NA,NA,1,15,"LongestPutts",2005
117,118,"Jay Delsing",37,NA,NA,1,2,"LongestPutts",2005
117,117,"Gavin Coles",70,NA,NA,2,11,"LongestPutts",2005
121,121,"Mike Weir",71,NA,NA,2,4,"LongestPutts",2005
122,123,"Brett Wetterich",76,NA,NA,1,7,"LongestPutts",2005
127,127,"Don Yrene",6,NA,NA,1,13,"LongestPutts",2005
128,129,"Duffy Waldorf",86,NA,NA,3,7,"LongestPutts",2005
128,130,"Steve Stricker",62,NA,NA,3,3,"LongestPutts",2005
132,132,"Olin Browne",99,NA,NA,3,12,"LongestPutts",2005
133,133,"Justin Rose",99,NA,NA,2,11,"LongestPutts",2005
134,135,"David Duval",44,NA,NA,1,18,"LongestPutts",2005
134,136,"Bob Heintz",67,NA,NA,4,7,"LongestPutts",2005
137,137,"Brad Faxon",75,NA,NA,4,6,"LongestPutts",2005
137,139,"Tiger Woods",76,NA,NA,4,11,"LongestPutts",2005
137,140,"Jason Bohn",91,NA,NA,1,3,"LongestPutts",2005
141,142,"Brian Bateman",98,NA,NA,2,7,"LongestPutts",2005
141,144,"Dean Wilson",86,NA,NA,2,6,"LongestPutts",2005
141,141,"Briny Baird",98,NA,NA,1,12,"LongestPutts",2005
147,147,"Shigeki Maruyama",99,NA,NA,1,1,"LongestPutts",2005
148,151,"Steve Lowery",100,NA,NA,3,16,"LongestPutts",2005
148,148,"Woody Austin",100,NA,NA,2,7,"LongestPutts",2005
148,150,"Glen Hnatiuk",59,NA,NA,2,3,"LongestPutts",2005
152,153,"Loren Roberts",54,NA,NA,1,14,"LongestPutts",2005
152,152,"Zach Johnson",96,NA,NA,1,8,"LongestPutts",2005
152,154,"Roland Thatcher",75,NA,NA,2,6,"LongestPutts",2005
155,155,"Carl Paulson",36,NA,NA,1,5,"LongestPutts",2005
155,156,"Chris Anderson",66,NA,NA,2,10,"LongestPutts",2005
157,157,"Craig Perks",67,NA,NA,2,12,"LongestPutts",2005
158,158,"Hunter Haas",83,NA,NA,2,12,"LongestPutts",2005
159,160,"Mark Wilson",74,NA,NA,2,18,"LongestPutts",2005
159,159,"Heath Slocum",103,NA,NA,1,18,"LongestPutts",2005
165,166,"Kenny Perry",82,NA,NA,3,9,"LongestPutts",2005
168,168,"Daniel Chopra",108,NA,NA,2,16,"LongestPutts",2005
171,172,"Phillip Price",77,NA,NA,1,16,"LongestPutts",2005
173,176,"Scott Chipokas",2,NA,NA,1,15,"LongestPutts",2005
173,175,"Aaron Baddeley",84,NA,NA,4,15,"LongestPutts",2005
180,181,"Paul Claxton",79,NA,NA,2,18,"LongestPutts",2005
182,182,"Len Mattiace",86,NA,NA,3,13,"LongestPutts",2005
185,187,"Neal Lancaster",95,NA,NA,4,1,"LongestPutts",2005
188,188,"Paul Gow",78,NA,NA,3,17,"LongestPutts",2005
188,191,"KJ Choi",78,NA,NA,2,16,"LongestPutts",2005
193,194,"Chris Riley",67,NA,NA,2,17,"LongestPutts",2005
197,200,"Brent Geiberger",61,NA,NA,2,9,"LongestPutts",2005
197,197,"Greg Owen",84,NA,NA,4,16,"LongestPutts",2005
