"LateScoringAverage_RANKTHISWEEK_2016","LateScoringAverage_RANKLASTWEEK_2016","LateScoringAverage_PLAYERNAME_2016","LateScoringAverage_ROUNDS_2016","LateScoringAverage_AVG_2016","LateScoringAverage_TOTALSTROKES_2016","LateScoringAverage_TOTALLATEROUNDS_2016","stat_name","year"
115,114,"Stuart Appleby",39,71.33,1070,15,"LateScoringAverage",2016
115,133,"Martin Laird",46,71.33,1284,18,"LateScoringAverage",2016
115,99,"Cameron Tringale",47,71.33,1712,24,"LateScoringAverage",2016
118,130,"Ricky Barnes",57,71.38,1713,24,"LateScoringAverage",2016
119,108,"Byeong Hun An",23,71.4,714,10,"LateScoringAverage",2016
119,114,"DA Points",32,71.4,1071,15,"LateScoringAverage",2016
121,112,"Morgan Hoffmann",43,71.42,1714,24,"LateScoringAverage",2016
121,113,"Jeff Overton",51,71.42,1714,24,"LateScoringAverage",2016
121,129,"Jimmy Walker",43,71.42,1714,24,"LateScoringAverage",2016
124,132,"Andres Romero",22,71.44,643,9,"LateScoringAverage",2016
125,120,"Kevin Streelman",46,71.45,1572,22,"LateScoringAverage",2016
126,141,"Greg Owen",56,71.46,1715,24,"LateScoringAverage",2016
127,133,"Justin Leonard",28,71.47,1072,15,"LateScoringAverage",2016
127,117,"Martin Piller",37,71.47,1358,19,"LateScoringAverage",2016
129,124,"Kyle Stanley",57,71.48,1644,23,"LateScoringAverage",2016
130,151,"Blayne Barber",44,71.5,1573,22,"LateScoringAverage",2016
130,126,"Bronson Burgoon",53,71.5,2145,30,"LateScoringAverage",2016
130,84,"Jason Gore",51,71.5,1573,22,"LateScoringAverage",2016
130,136,"Luke Guthrie",31,71.5,1144,16,"LateScoringAverage",2016
130,128,"Will Ma Kenzie",54,71.5,2002,28,"LateScoringAverage",2016
130,136,"Wes Roach",33,71.5,1144,16,"LateScoringAverage",2016
136,121,"Tyler Aldridge",53,71.52,1788,25,"LateScoringAverage",2016
136,141,"Chris Kirk",51,71.52,1502,21,"LateScoringAverage",2016
138,144,"Derek Ernst",36,71.53,1216,17,"LateScoringAverage",2016
138,143,"Scott Piercy",45,71.53,1359,19,"LateScoringAverage",2016
140,136,"Boo Weekley",53,71.54,1717,24,"LateScoringAverage",2016
141,136,"Gary Woodland",45,71.55,1431,20,"LateScoringAverage",2016
142,119,"Paul Casey",39,71.57,1503,21,"LateScoringAverage",2016
143,148,"Ben Crane",48,71.58,1718,24,"LateScoringAverage",2016
144,136,"Retief Goosen",37,71.59,1217,17,"LateScoringAverage",2016
145,125,"Michael Thompson",46,71.6,1432,20,"LateScoringAverage",2016
146,147,"Hiroshi Iwata",51,71.65,1863,26,"LateScoringAverage",2016
147,144,"Andres Gonzales",46,71.68,1362,19,"LateScoringAverage",2016
147,146,"Whee Kim",54,71.68,1577,22,"LateScoringAverage",2016
149,156,"Zach Johnson",42,71.7,1434,20,"LateScoringAverage",2016
150,135,"Jonas Blixt",46,71.73,1578,22,"LateScoringAverage",2016
150,148,"Brian Harman",60,71.73,2152,30,"LateScoringAverage",2016
152,161,"Andy Sullivan",25,71.77,933,13,"LateScoringAverage",2016
