"ScramblingFringeRTPScore_RANKTHISWEEK_2010","ScramblingFringeRTPScore_RANKLASTWEEK_2010","ScramblingFringeRTPScore_PLAYERNAME_2010","ScramblingFringeRTPScore_ROUNDS_2010","ScramblingFringeRTPScore_AVGRTP_2010","ScramblingFringeRTPScore_TOTALHOLES_2010","ScramblingFringeRTPScore_TOTALRTP_2010","stat_name","year"
41,41,"Greg Chalmers",93,0,69,0,"ScramblingFringeRTPScore",2010
41,41,"KJ Choi",82,0,45,0,"ScramblingFringeRTPScore",2010
41,41,"Daniel Chopra",74,0,65,0,"ScramblingFringeRTPScore",2010
41,41,"Brendon de Jonge",114,0,81,0,"ScramblingFringeRTPScore",2010
41,41,"Ernie Els",72,0,49,0,"ScramblingFringeRTPScore",2010
41,41,"Sergio Garcia",58,0,36,0,"ScramblingFringeRTPScore",2010
41,41,"Jeff Gove",57,0,27,0,"ScramblingFringeRTPScore",2010
41,41,"Charley Hoffman",85,0,72,0,"ScramblingFringeRTPScore",2010
41,41,"Charles Howell III",103,0,88,0,"ScramblingFringeRTPScore",2010
41,41,"Freddie Jacobson",83,0,68,0,"ScramblingFringeRTPScore",2010
41,41,"Hunter Mahan",85,0,76,0,"ScramblingFringeRTPScore",2010
41,41,"Rocco Mediate",71,0,53,0,"ScramblingFringeRTPScore",2010
41,41,"Jeff Overton",89,0,66,0,"ScramblingFringeRTPScore",2010
41,41,"Kenny Perry",69,0,42,0,"ScramblingFringeRTPScore",2010
41,41,"Ian Poulter",55,0,36,0,"ScramblingFringeRTPScore",2010
41,41,"Heath Slocum",97,0,71,0,"ScramblingFringeRTPScore",2010
41,41,"Steve Stricker",73,0,46,0,"ScramblingFringeRTPScore",2010
41,41,"Charlie Wi",95,0,87,0,"ScramblingFringeRTPScore",2010
59,59,"Ryan Palmer",84,0.01,96,1,"ScramblingFringeRTPScore",2010
60,60,"Tom Gillis",97,0.011,88,1,"ScramblingFringeRTPScore",2010
61,61,"Paul Goydos",78,0.014,70,1,"ScramblingFringeRTPScore",2010
62,62,"Lee Janzen",77,0.015,67,1,"ScramblingFringeRTPScore",2010
62,62,"Matt Kuchar",97,0.015,68,1,"ScramblingFringeRTPScore",2010
64,64,"Jim Furyk",76,0.016,62,1,"ScramblingFringeRTPScore",2010
65,65,"Justin Rose",78,0.017,59,1,"ScramblingFringeRTPScore",2010
66,66,"Phil Mickelson",76,0.019,54,1,"ScramblingFringeRTPScore",2010
66,66,"Tom Pernice Jr",74,0.019,52,1,"ScramblingFringeRTPScore",2010
68,68,"Mathias Gronberg",61,0.02,50,1,"ScramblingFringeRTPScore",2010
69,69,"Robert Allenby",76,0.021,47,1,"ScramblingFringeRTPScore",2010
70,70,"Dean Wilson",54,0.024,41,1,"ScramblingFringeRTPScore",2010
71,71,"John Senden",103,0.026,76,2,"ScramblingFringeRTPScore",2010
72,72,"Josh Teater",101,0.028,72,2,"ScramblingFringeRTPScore",2010
73,73,"Ben Crane",85,0.029,69,2,"ScramblingFringeRTPScore",2010
73,73,"YE Yang",72,0.029,35,1,"ScramblingFringeRTPScore",2010
75,75,"John Merrick",109,0.031,64,2,"ScramblingFringeRTPScore",2010
76,76,"Jeff Maggert",76,0.032,63,2,"ScramblingFringeRTPScore",2010
77,77,"Camilo Villegas",78,0.034,58,2,"ScramblingFringeRTPScore",2010
78,78,"Chris Riley",73,0.036,56,2,"ScramblingFringeRTPScore",2010
79,79,"Chris Wilson",65,0.037,54,2,"ScramblingFringeRTPScore",2010
80,80,"Tim Clark",88,0.039,76,3,"ScramblingFringeRTPScore",2010
80,80,"Steve Lowery",67,0.039,51,2,"ScramblingFringeRTPScore",2010
82,82,"Mathew Goggin",85,0.04,50,2,"ScramblingFringeRTPScore",2010
82,82,"Brett Wetterich",54,0.04,50,2,"ScramblingFringeRTPScore",2010
84,84,"Padraig Harrington",57,0.041,49,2,"ScramblingFringeRTPScore",2010
85,85,"Michael Bradley",77,0.042,48,2,"ScramblingFringeRTPScore",2010
85,85,"Roger Tambellini",77,0.042,48,2,"ScramblingFringeRTPScore",2010
87,87,"Billy Mayfair",78,0.043,47,2,"ScramblingFringeRTPScore",2010
87,87,"Mark Wilson",87,0.043,69,3,"ScramblingFringeRTPScore",2010
89,89,"Bill Haas",87,0.044,68,3,"ScramblingFringeRTPScore",2010
89,89,"Skip Kendall",58,0.044,45,2,"ScramblingFringeRTPScore",2010
91,91,"Brian Gay",101,0.045,110,5,"ScramblingFringeRTPScore",2010
92,92,"Jonathan Byrd",85,0.047,64,3,"ScramblingFringeRTPScore",2010
93,93,"Chad Collins",87,0.048,63,3,"ScramblingFringeRTPScore",2010
93,93,"Graham DeLaet",88,0.048,63,3,"ScramblingFringeRTPScore",2010
95,95,"Ted Purdy",86,0.049,81,4,"ScramblingFringeRTPScore",2010
96,96,"Marc Leishman",87,0.051,79,4,"ScramblingFringeRTPScore",2010
96,96,"Nick Watney",91,0.051,59,3,"ScramblingFringeRTPScore",2010
98,98,"Ricky Barnes",103,0.053,75,4,"ScramblingFringeRTPScore",2010
98,98,"Alex Prugh",88,0.053,57,3,"ScramblingFringeRTPScore",2010
100,100,"Troy Merritt",86,0.054,74,4,"ScramblingFringeRTPScore",2010
100,100,"Brenden Pappas",66,0.054,56,3,"ScramblingFringeRTPScore",2010
100,100,"John Rollins",81,0.054,56,3,"ScramblingFringeRTPScore",2010
100,100,"Bubba Watson",77,0.054,56,3,"ScramblingFringeRTPScore",2010
104,104,"Stephen Ames",75,0.056,54,3,"ScramblingFringeRTPScore",2010
104,104,"Justin Bolli",55,0.056,36,2,"ScramblingFringeRTPScore",2010
104,104,"Rory McIlroy",54,0.056,36,2,"ScramblingFringeRTPScore",2010
107,107,"Ben Curtis",78,0.057,53,3,"ScramblingFringeRTPScore",2010
108,108,"Bob Estes",79,0.059,51,3,"ScramblingFringeRTPScore",2010
108,108,"JJ Henry",92,0.059,68,4,"ScramblingFringeRTPScore",2010
108,108,"Joe Ogilvie",99,0.059,68,4,"ScramblingFringeRTPScore",2010
108,108,"Michael Sim",64,0.059,51,3,"ScramblingFringeRTPScore",2010
108,108,"Garrett Willis",82,0.059,68,4,"ScramblingFringeRTPScore",2010
113,113,"Jason Day",82,0.063,64,4,"ScramblingFringeRTPScore",2010
113,113,"Nathan Green",86,0.063,64,4,"ScramblingFringeRTPScore",2010
113,113,"Derek Lamely",81,0.063,63,4,"ScramblingFringeRTPScore",2010
113,113,"Andres Romero",73,0.063,64,4,"ScramblingFringeRTPScore",2010
117,117,"Jason Bohn",84,0.067,89,6,"ScramblingFringeRTPScore",2010
117,117,"Vijay Singh",75,0.067,45,3,"ScramblingFringeRTPScore",2010
117,117,"Jay Williamson",76,0.067,60,4,"ScramblingFringeRTPScore",2010
120,120,"Rod Pampling",77,0.069,58,4,"ScramblingFringeRTPScore",2010
121,121,"Ryuji Imada",90,0.07,71,5,"ScramblingFringeRTPScore",2010
122,122,"Charles Warren",64,0.071,42,3,"ScramblingFringeRTPScore",2010
123,123,"Martin Laird",91,0.072,69,5,"ScramblingFringeRTPScore",2010
124,124,"James Nitties",92,0.076,66,5,"ScramblingFringeRTPScore",2010
125,125,"Scott McCarron",90,0.078,77,6,"ScramblingFringeRTPScore",2010
126,126,"Robert Garrigus",71,0.079,63,5,"ScramblingFringeRTPScore",2010
127,127,"Chris DiMarco",88,0.081,62,5,"ScramblingFringeRTPScore",2010
127,127,"Zach Johnson",93,0.081,74,6,"ScramblingFringeRTPScore",2010
129,129,"Kris Blanks",91,0.082,73,6,"ScramblingFringeRTPScore",2010
130,130,"Michael Connell",89,0.085,59,5,"ScramblingFringeRTPScore",2010
131,131,"Sean OHair",84,0.086,58,5,"ScramblingFringeRTPScore",2010
132,132,"Jimmy Walker",82,0.087,46,4,"ScramblingFringeRTPScore",2010
133,133,"Woody Austin",93,0.088,68,6,"ScramblingFringeRTPScore",2010
133,133,"Richard Johnson",90,0.088,68,6,"ScramblingFringeRTPScore",2010
133,133,"Cameron Percy",73,0.088,57,5,"ScramblingFringeRTPScore",2010
136,136,"Justin Leonard",89,0.09,78,7,"ScramblingFringeRTPScore",2010
137,137,"Briny Baird",87,0.091,66,6,"ScramblingFringeRTPScore",2010
137,137,"Martin Flores",75,0.091,66,6,"ScramblingFringeRTPScore",2010
137,137,"JP Hayes",79,0.091,55,5,"ScramblingFringeRTPScore",2010
137,137,"Will Ma Kenzie",72,0.091,66,6,"ScramblingFringeRTPScore",2010
137,137,"Geoff Ogilvy",62,0.091,33,3,"ScramblingFringeRTPScore",2010
142,142,"Lucas Glover",75,0.093,43,4,"ScramblingFringeRTPScore",2010
142,142,"Tim Herron",79,0.093,54,5,"ScramblingFringeRTPScore",2010
144,144,"Brent Delahoussaye",57,0.094,53,5,"ScramblingFringeRTPScore",2010
145,145,"Angel Cabrera",64,0.095,42,4,"ScramblingFringeRTPScore",2010
145,145,"Trevor Immelman",55,0.095,42,4,"ScramblingFringeRTPScore",2010
147,147,"Omar Uresti",74,0.096,52,5,"ScramblingFringeRTPScore",2010
148,148,"Mark Calcavecchia",50,0.098,41,4,"ScramblingFringeRTPScore",2010
148,148,"Steve Flesch",78,0.098,51,5,"ScramblingFringeRTPScore",2010
148,148,"Kevin Johnson",62,0.098,41,4,"ScramblingFringeRTPScore",2010
151,151,"Bill Lunde",79,0.1,60,6,"ScramblingFringeRTPScore",2010
151,151,"Jarrod Lyle",54,0.1,40,4,"ScramblingFringeRTPScore",2010
151,151,"Vaughn Taylor",87,0.1,70,7,"ScramblingFringeRTPScore",2010
154,154,"Kevin Stadler",86,0.103,68,7,"ScramblingFringeRTPScore",2010
155,155,"Jeev Milkha Singh",59,0.104,48,5,"ScramblingFringeRTPScore",2010
156,156,"Dustin Johnson",83,0.107,56,6,"ScramblingFringeRTPScore",2010
157,157,"Stewart Cink",84,0.109,55,6,"ScramblingFringeRTPScore",2010
158,158,"Brian Davis",101,0.11,100,11,"ScramblingFringeRTPScore",2010
159,159,"Davis Love III",79,0.111,54,6,"ScramblingFringeRTPScore",2010
160,160,"Greg Owen",69,0.113,62,7,"ScramblingFringeRTPScore",2010
160,160,"Brett Quigley",96,0.113,71,8,"ScramblingFringeRTPScore",2010
162,162,"Troy Matteson",84,0.114,70,8,"ScramblingFringeRTPScore",2010
163,163,"John Daly",63,0.115,52,6,"ScramblingFringeRTPScore",2010
163,163,"David Toms",86,0.115,78,9,"ScramblingFringeRTPScore",2010
165,165,"Jason Dufner",87,0.118,68,8,"ScramblingFringeRTPScore",2010
166,166,"Spencer Levin",110,0.119,59,7,"ScramblingFringeRTPScore",2010
167,167,"Rich Barcelo",70,0.12,50,6,"ScramblingFringeRTPScore",2010
167,167,"Cliff Kresge",50,0.12,50,6,"ScramblingFringeRTPScore",2010
169,169,"Steve Marino",81,0.122,49,6,"ScramblingFringeRTPScore",2010
170,170,"Greg Kraft",52,0.125,48,6,"ScramblingFringeRTPScore",2010
170,170,"Shaun Micheel",70,0.125,64,8,"ScramblingFringeRTPScore",2010
170,170,"Paul Stankowski",62,0.125,40,5,"ScramblingFringeRTPScore",2010
173,173,"Aron Price",70,0.128,39,5,"ScramblingFringeRTPScore",2010
173,173,"DJ Trahan",92,0.128,78,10,"ScramblingFringeRTPScore",2010
175,175,"Boo Weekley",88,0.131,61,8,"ScramblingFringeRTPScore",2010
176,176,"Steve Wheatcroft",74,0.132,38,5,"ScramblingFringeRTPScore",2010
177,177,"David Duval",71,0.136,44,6,"ScramblingFringeRTPScore",2010
178,178,"Vance Veazey",58,0.137,51,7,"ScramblingFringeRTPScore",2010
179,179,"Matt Bettencourt",91,0.138,65,9,"ScramblingFringeRTPScore",2010
179,179,"Chris Stroud",90,0.138,58,8,"ScramblingFringeRTPScore",2010
181,181,"Joe Durant",67,0.14,50,7,"ScramblingFringeRTPScore",2010
182,182,"Andrew McLardy",52,0.143,35,5,"ScramblingFringeRTPScore",2010
183,183,"David Lutterus",69,0.152,66,10,"ScramblingFringeRTPScore",2010
183,183,"Adam Scott",70,0.152,33,5,"ScramblingFringeRTPScore",2010
183,183,"Jerod Turner",54,0.152,46,7,"ScramblingFringeRTPScore",2010
186,186,"Rory Sabbatini",79,0.153,59,9,"ScramblingFringeRTPScore",2010
187,187,"Brad Faxon",58,0.158,38,6,"ScramblingFringeRTPScore",2010
188,188,"Cameron Tringale",55,0.162,37,6,"ScramblingFringeRTPScore",2010
189,189,"Brian Stuard",81,0.167,60,10,"ScramblingFringeRTPScore",2010
190,190,"Johnson Wagner",85,0.173,52,9,"ScramblingFringeRTPScore",2010
191,191,"Garth Mulroy",53,0.182,44,8,"ScramblingFringeRTPScore",2010
192,192,"Nicholas Thompson",88,0.183,71,13,"ScramblingFringeRTPScore",2010
