"ProximitytoHole_RANKTHISWEEK_2006","ProximitytoHole_RANKLASTWEEK_2006","ProximitytoHole_PLAYERNAME_2006","ProximitytoHole_ROUNDS_2006","ProximitytoHole_AVG_2006","ProximitytoHole_TOTALDISTANCEFEET_2006","ProximitytoHole_OFATTEMPTS_2006","ProximitytoHole_GIRRANK_2006","stat_name","year"
72,72,"Jeff Brehaut",100,NA,53753.667,1521,41,"ProximitytoHole",2006
72,72,"Shigeki Maruyama",94,NA,50709.75,1435,144,"ProximitytoHole",2006
72,72,"Vijay Singh",103,NA,53263.083,1507,31,"ProximitytoHole",2006
75,75,"Mark Brooks",90,NA,46895.583,1325,161,"ProximitytoHole",2006
75,75,"Steve Flesch",119,NA,65167.25,1842,79,"ProximitytoHole",2006
75,75,"Retief Goosen",68,NA,29119.333,823,92,"ProximitytoHole",2006
75,75,"Ted Purdy",103,NA,50788.417,1433,47,"ProximitytoHole",2006
75,75,"Camilo Villegas",95,NA,51689.667,1460,102,"ProximitytoHole",2006
80,80,"Jonathan Byrd",66,NA,34310.083,967,8,"ProximitytoHole",2006
80,80,"Michael Connell",51,NA,26565.083,749,133,"ProximitytoHole",2006
80,80,"Lucas Glover",105,NA,54862.167,1544,40,"ProximitytoHole",2006
80,80,"Jeff Gove",91,NA,51492.167,1451,2,"ProximitytoHole",2006
80,80,"Freddie Jacobson",56,NA,34387,968,138,"ProximitytoHole",2006
80,80,"Kent Jones",103,NA,55901.417,1576,92,"ProximitytoHole",2006
80,80,"Frank Lickliter II",99,NA,54021.25,1520,26,"ProximitytoHole",2006
80,80,"Bo Van Pelt",102,NA,57131.083,1610,60,"ProximitytoHole",2006
88,88,"Robert Allenby",79,NA,38174.917,1073,29,"ProximitytoHole",2006
88,88,"Rich Beem",85,NA,41371.583,1164,70,"ProximitytoHole",2006
88,88,"KJ Choi",93,NA,50250.667,1413,23,"ProximitytoHole",2006
88,88,"Scott Gutschewski",53,NA,28656.75,805,52,"ProximitytoHole",2006
88,88,"JJ Henry",96,NA,49101.917,1379,22,"ProximitytoHole",2006
93,93,"Sergio Garcia",59,NA,24769.417,695,37,"ProximitytoHole",2006
94,94,"Steve Elkington",52,NA,29335.25,820,8,"ProximitytoHole",2006
94,94,"Jose Maria Olazabal",62,NA,24909.667,696,91,"ProximitytoHole",2006
96,96,"Tim Herron",82,NA,39774.167,1111,169,"ProximitytoHole",2006
96,96,"Daisuke Maruyama",83,NA,45024,1256,68,"ProximitytoHole",2006
96,96,"Tjaart van der Walt",60,NA,33468.25,934,122,"ProximitytoHole",2006
96,96,"Vance Veazey",59,NA,34415.167,960,180,"ProximitytoHole",2006
96,96,"Duffy Waldorf",96,NA,52590.25,1468,68,"ProximitytoHole",2006
101,101,"Doug Barron",74,NA,43113.667,1200,185,"ProximitytoHole",2006
101,101,"Wes Short Jr",96,NA,54538.25,1518,130,"ProximitytoHole",2006
101,101,"Paul Stankowski",70,NA,40405.417,1125,84,"ProximitytoHole",2006
104,104,"Jason Gore",86,NA,46139.167,1281,158,"ProximitytoHole",2006
