"ScramblingAverageDistancetoHole_RANKTHISWEEK_2007","ScramblingAverageDistancetoHole_RANKLASTWEEK_2007","ScramblingAverageDistancetoHole_PLAYERNAME_2007","ScramblingAverageDistancetoHole_ROUNDS_2007","ScramblingAverageDistancetoHole_AVGDTP_2007","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2007","ScramblingAverageDistancetoHole_ATTEMPTS_2007","stat_name","year"
135,135,"Joey Sindelar",75,NA,3174.75,348,"ScramblingAverageDistancetoHole",2007
135,135,"DJ Trahan",99,NA,4140.917,457,"ScramblingAverageDistancetoHole",2007
135,135,"Camilo Villegas",82,NA,3264.25,360,"ScramblingAverageDistancetoHole",2007
142,142,"Eric Axley",107,NA,4925.417,536,"ScramblingAverageDistancetoHole",2007
142,142,"Joe Durant",88,NA,3342.333,364,"ScramblingAverageDistancetoHole",2007
142,142,"Bill Haas",93,NA,4169.333,455,"ScramblingAverageDistancetoHole",2007
142,142,"Bryce Molder",56,NA,2699,295,"ScramblingAverageDistancetoHole",2007
142,142,"Ryan Moore",92,NA,3600.167,391,"ScramblingAverageDistancetoHole",2007
142,142,"Dicky Pride",71,NA,3130,342,"ScramblingAverageDistancetoHole",2007
142,142,"Bubba Watson",80,NA,3103.5,339,"ScramblingAverageDistancetoHole",2007
142,142,"Brett Wetterich",88,NA,3289.917,358,"ScramblingAverageDistancetoHole",2007
142,142,"Jay Williamson",50,NA,2385,261,"ScramblingAverageDistancetoHole",2007
151,151,"JB Holmes",71,NA,3219.5,347,"ScramblingAverageDistancetoHole",2007
151,151,"Bob Tway",103,NA,4551.333,494,"ScramblingAverageDistancetoHole",2007
151,151,"Charles Warren",101,NA,4294,465,"ScramblingAverageDistancetoHole",2007
154,154,"Stewart Cink",91,NA,3370.167,362,"ScramblingAverageDistancetoHole",2007
154,154,"JJ Henry",86,NA,3009.583,322,"ScramblingAverageDistancetoHole",2007
154,154,"Johnson Wagner",97,NA,4120.167,442,"ScramblingAverageDistancetoHole",2007
157,157,"Tommy Armour III",81,NA,3005.917,320,"ScramblingAverageDistancetoHole",2007
157,157,"Harrison Frazar",88,NA,4010.167,425,"ScramblingAverageDistancetoHole",2007
157,157,"Mathew Goggin",97,NA,4185.333,446,"ScramblingAverageDistancetoHole",2007
157,157,"Tom Johnson",74,NA,3327.333,353,"ScramblingAverageDistancetoHole",2007
161,161,"DJ Brigman",67,NA,2626.417,276,"ScramblingAverageDistancetoHole",2007
161,161,"Richard Johnson",93,NA,4287.167,450,"ScramblingAverageDistancetoHole",2007
