"DrivingAccuracyPercentage_RANKTHISWEEK_2005","DrivingAccuracyPercentage_RANKLASTWEEK_2005","DrivingAccuracyPercentage_PLAYERNAME_2005","DrivingAccuracyPercentage_ROUNDS_2005","DrivingAccuracyPercentage_Pct_2005","DrivingAccuracyPercentage_FAIRWAYSHIT_2005","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2005","stat_name","year"
116,116,"Greg Owen",84,62.06,692,1115,"DrivingAccuracyPercentage",2005
117,117,"Todd Hamilton",94,61.92,792,1279,"DrivingAccuracyPercentage",2005
118,118,"Kevin Na",88,61.77,740,1198,"DrivingAccuracyPercentage",2005
118,118,"DJ Trahan",81,61.77,664,1075,"DrivingAccuracyPercentage",2005
120,120,"Peter Lonard",85,61.71,727,1178,"DrivingAccuracyPercentage",2005
121,121,"Shigeki Maruyama",99,61.66,846,1372,"DrivingAccuracyPercentage",2005
122,122,"Tim Herron",100,61.61,852,1383,"DrivingAccuracyPercentage",2005
123,123,"Dudley Hart",84,61.58,723,1174,"DrivingAccuracyPercentage",2005
124,124,"Chad Campbell",95,61.57,793,1288,"DrivingAccuracyPercentage",2005
125,125,"Chris DiMarco",83,61.55,650,1056,"DrivingAccuracyPercentage",2005
126,126,"Lee Westwood",50,61.48,415,675,"DrivingAccuracyPercentage",2005
127,127,"Sean OHair",103,61.41,853,1389,"DrivingAccuracyPercentage",2005
128,128,"Hunter Mahan",103,61.35,862,1405,"DrivingAccuracyPercentage",2005
129,129,"Hideto Tanihara",50,61.32,409,667,"DrivingAccuracyPercentage",2005
130,130,"Arjun Atwal",65,61.1,553,905,"DrivingAccuracyPercentage",2005
131,131,"JJ Henry",102,61.04,849,1391,"DrivingAccuracyPercentage",2005
132,132,"Stephen Ames",82,61.01,676,1108,"DrivingAccuracyPercentage",2005
133,133,"Mark OMeara",66,60.93,563,924,"DrivingAccuracyPercentage",2005
134,134,"Patrick Sheehan",114,60.85,931,1530,"DrivingAccuracyPercentage",2005
135,135,"Carl Pettersson",109,60.82,888,1460,"DrivingAccuracyPercentage",2005
136,136,"Paul Azinger",66,60.8,560,921,"DrivingAccuracyPercentage",2005
137,137,"Pat Perez",89,60.75,760,1251,"DrivingAccuracyPercentage",2005
138,138,"Brad Faxon",75,60.74,605,996,"DrivingAccuracyPercentage",2005
139,139,"Lucas Glover",88,60.72,728,1199,"DrivingAccuracyPercentage",2005
139,139,"Geoff Ogilvy",97,60.72,793,1306,"DrivingAccuracyPercentage",2005
141,141,"Scott McCarron",78,60.7,627,1033,"DrivingAccuracyPercentage",2005
142,142,"Woody Austin",100,60.63,847,1397,"DrivingAccuracyPercentage",2005
143,143,"Stewart Cink",98,60.62,765,1262,"DrivingAccuracyPercentage",2005
144,144,"JP Hayes",63,60.55,531,877,"DrivingAccuracyPercentage",2005
145,145,"Kevin Stadler",96,60.42,774,1281,"DrivingAccuracyPercentage",2005
146,146,"Rod Pampling",89,60.29,715,1186,"DrivingAccuracyPercentage",2005
147,147,"Chris Smith",93,60.22,778,1292,"DrivingAccuracyPercentage",2005
148,148,"Vijay Singh",111,60.2,924,1535,"DrivingAccuracyPercentage",2005
149,149,"Ryan Palmer",101,59.94,814,1358,"DrivingAccuracyPercentage",2005
150,150,"Len Mattiace",86,59.88,700,1169,"DrivingAccuracyPercentage",2005
151,151,"Jonathan Byrd",103,59.78,828,1385,"DrivingAccuracyPercentage",2005
152,152,"Rob Rashell",65,59.6,540,906,"DrivingAccuracyPercentage",2005
153,153,"Sergio Garcia",73,59.44,573,964,"DrivingAccuracyPercentage",2005
154,154,"Nick Watney",91,59.37,738,1243,"DrivingAccuracyPercentage",2005
155,155,"Stuart Appleby",84,59.31,669,1128,"DrivingAccuracyPercentage",2005
156,156,"Justin Bolli",65,59.29,520,877,"DrivingAccuracyPercentage",2005
157,157,"Retief Goosen",71,59.16,510,862,"DrivingAccuracyPercentage",2005
158,158,"Jose Maria Olazabal",55,59.15,443,749,"DrivingAccuracyPercentage",2005
159,159,"Hunter Haas",83,59.02,651,1103,"DrivingAccuracyPercentage",2005
159,159,"Neal Lancaster",95,59.02,782,1325,"DrivingAccuracyPercentage",2005
161,161,"Phil Mickelson",81,58.69,611,1041,"DrivingAccuracyPercentage",2005
162,162,"Steve Allan",102,58.62,799,1363,"DrivingAccuracyPercentage",2005
163,163,"Dan Forsman",52,58.32,403,691,"DrivingAccuracyPercentage",2005
164,164,"Rich Beem",66,58,504,869,"DrivingAccuracyPercentage",2005
165,165,"Scott Gutschewski",86,57.94,668,1153,"DrivingAccuracyPercentage",2005
166,166,"Davis Love III",80,57.88,606,1047,"DrivingAccuracyPercentage",2005
167,167,"Ryuji Imada",78,57.61,628,1090,"DrivingAccuracyPercentage",2005
168,168,"Jesper Parnevik",84,57.58,657,1141,"DrivingAccuracyPercentage",2005
169,169,"Bernhard Langer",67,57.55,541,940,"DrivingAccuracyPercentage",2005
170,170,"Bob Heintz",67,57.54,538,935,"DrivingAccuracyPercentage",2005
171,171,"Brett Quigley",96,57.53,737,1281,"DrivingAccuracyPercentage",2005
172,172,"Charles Howell III",95,57.51,724,1259,"DrivingAccuracyPercentage",2005
173,173,"Franklin Langham",91,57.5,698,1214,"DrivingAccuracyPercentage",2005
174,174,"Fred Couples",72,57.47,550,957,"DrivingAccuracyPercentage",2005
175,175,"Carlos Franco",78,57.44,610,1062,"DrivingAccuracyPercentage",2005
