"MissedFairwayPercentOther_RANKTHISWEEK_2012","MissedFairwayPercentOther_RANKLASTWEEK_2012","MissedFairwayPercentOther_PLAYERNAME_2012","MissedFairwayPercentOther_ROUNDS_2012","MissedFairwayPercentOther_Pct_2012","MissedFairwayPercentOther_TOTALMISSED_2012","MissedFairwayPercentOther_TOTALFWYS_2012","MissedFairwayPercentOther_RELATIVETOPAR_2012","stat_name","year"
102,102,"Brian Harman",101,3.04,37,1219,0.76,"MissedFairwayPercentOther",2012
104,104,"Matt Every",80,3.06,27,883,0.78,"MissedFairwayPercentOther",2012
105,105,"Sergio Garcia",57,3.12,19,609,0.84,"MissedFairwayPercentOther",2012
106,106,"Scott Brown",65,3.13,22,704,0.77,"MissedFairwayPercentOther",2012
106,106,"Kevin Kisner",69,3.13,23,735,0.78,"MissedFairwayPercentOther",2012
108,108,"Harris English",98,3.15,38,1207,0.71,"MissedFairwayPercentOther",2012
108,108,"Nathan Green",73,3.15,25,793,0.88,"MissedFairwayPercentOther",2012
108,108,"John Rollins",81,3.15,31,984,0.58,"MissedFairwayPercentOther",2012
111,111,"Marc Leishman",84,3.16,33,1045,0.42,"MissedFairwayPercentOther",2012
112,112,"Camilo Villegas",79,3.17,32,1008,0.81,"MissedFairwayPercentOther",2012
113,113,"Kevin Streelman",89,3.19,34,1066,0.85,"MissedFairwayPercentOther",2012
114,114,"JJ Killeen",101,3.2,37,1157,0.41,"MissedFairwayPercentOther",2012
114,114,"Scott Stallings",78,3.2,30,937,0.6,"MissedFairwayPercentOther",2012
116,116,"Tim Herron",88,3.21,34,1058,0.82,"MissedFairwayPercentOther",2012
117,117,"Scott Piercy",95,3.23,38,1178,0.53,"MissedFairwayPercentOther",2012
118,118,"Patrick Sheehan",58,3.25,20,615,1.25,"MissedFairwayPercentOther",2012
118,118,"Michael Thompson",80,3.25,29,893,0.62,"MissedFairwayPercentOther",2012
120,120,"Billy Mayfair",90,3.26,35,1075,0.63,"MissedFairwayPercentOther",2012
121,121,"Blake Adams",107,3.27,40,1222,0.75,"MissedFairwayPercentOther",2012
121,121,"DJ Trahan",73,3.27,28,855,0.64,"MissedFairwayPercentOther",2012
123,123,"Chad Campbell",84,3.28,33,1007,0.55,"MissedFairwayPercentOther",2012
123,123,"Mathew Goggin",65,3.28,25,763,0.68,"MissedFairwayPercentOther",2012
125,125,"Seung Yul Noh",105,3.32,39,1174,0.56,"MissedFairwayPercentOther",2012
126,126,"Nick Watney",97,3.33,35,1052,0.77,"MissedFairwayPercentOther",2012
127,127,"Bud Cauley",99,3.35,42,1252,0.79,"MissedFairwayPercentOther",2012
128,128,"Graham DeLaet",79,3.36,33,983,0.45,"MissedFairwayPercentOther",2012
128,128,"Danny Lee",74,3.36,27,804,0.63,"MissedFairwayPercentOther",2012
130,130,"Jason Bohn",81,3.39,31,914,0.84,"MissedFairwayPercentOther",2012
131,131,"Ian Poulter",57,3.4,18,529,0.56,"MissedFairwayPercentOther",2012
132,132,"Robert Allenby",76,3.41,31,909,0.68,"MissedFairwayPercentOther",2012
132,132,"Kevin Chappell",91,3.41,34,998,0.5,"MissedFairwayPercentOther",2012
134,134,"Nick OHern",78,3.42,32,935,0.78,"MissedFairwayPercentOther",2012
134,134,"Geoff Ogilvy",73,3.42,26,760,0.69,"MissedFairwayPercentOther",2012
136,136,"Stuart Appleby",75,3.43,31,904,0.71,"MissedFairwayPercentOther",2012
137,137,"Jonathan Byrd",69,3.48,27,775,0.59,"MissedFairwayPercentOther",2012
138,138,"Miguel Angel Carballo",73,3.54,28,791,0.64,"MissedFairwayPercentOther",2012
138,138,"Phil Mickelson",79,3.54,29,820,0.41,"MissedFairwayPercentOther",2012
140,140,"Chris Stroud",86,3.55,37,1041,0.73,"MissedFairwayPercentOther",2012
141,141,"George McNeill",85,3.58,35,979,0.46,"MissedFairwayPercentOther",2012
142,142,"Brendon Todd",78,3.59,31,864,0.84,"MissedFairwayPercentOther",2012
143,143,"Arjun Atwal",79,3.61,33,914,0.91,"MissedFairwayPercentOther",2012
144,144,"Aaron Baddeley",73,3.69,28,759,0.32,"MissedFairwayPercentOther",2012
144,144,"Rory Sabbatini",84,3.69,37,1003,0.97,"MissedFairwayPercentOther",2012
146,146,"Troy Matteson",100,3.71,42,1133,0.64,"MissedFairwayPercentOther",2012
146,146,"Webb Simpson",77,3.71,34,917,0.47,"MissedFairwayPercentOther",2012
148,148,"Vaughn Taylor",81,3.73,33,885,0.82,"MissedFairwayPercentOther",2012
149,149,"Jimmy Walker",101,3.76,47,1249,0.6,"MissedFairwayPercentOther",2012
150,150,"Brendan Steele",77,3.79,34,898,0.91,"MissedFairwayPercentOther",2012
151,151,"Justin Leonard",79,3.81,36,944,0.64,"MissedFairwayPercentOther",2012
152,152,"Ricky Barnes",92,3.87,44,1138,0.86,"MissedFairwayPercentOther",2012
152,152,"Troy Kelly",68,3.87,27,697,0.48,"MissedFairwayPercentOther",2012
152,152,"Edward Loar",59,3.87,23,595,0.87,"MissedFairwayPercentOther",2012
152,152,"Ryan Palmer",81,3.87,38,983,0.53,"MissedFairwayPercentOther",2012
156,156,"Cameron Beckman",81,3.88,37,954,0.92,"MissedFairwayPercentOther",2012
156,156,"Martin Flores",95,3.88,44,1133,0.86,"MissedFairwayPercentOther",2012
156,156,"Sean OHair",84,3.88,41,1056,0.56,"MissedFairwayPercentOther",2012
159,159,"Chris Couch",61,3.89,29,745,0.76,"MissedFairwayPercentOther",2012
