"FirstTeeLateRound4ScoringAverage_RANKTHISWEEK_2014","FirstTeeLateRound4ScoringAverage_RANKLASTWEEK_2014","FirstTeeLateRound4ScoringAverage_PLAYERNAME_2014","FirstTeeLateRound4ScoringAverage__2014","FirstTeeLateRound4ScoringAverage_AVG_2014","FirstTeeLateRound4ScoringAverage_TOTALSTROKES_2014","FirstTeeLateRound4ScoringAverage_TOTALROUNDS_2014","stat_name","year"
45,45,"Bubba Watson",NA,69.58,835,12,"FirstTeeLateRound4ScoringAverage",2014
46,46,"Dustin Johnson",NA,69.64,766,11,"FirstTeeLateRound4ScoringAverage",2014
47,47,"Stuart Appleby",NA,69.67,418,6,"FirstTeeLateRound4ScoringAverage",2014
47,47,"Jason Day",NA,69.67,627,9,"FirstTeeLateRound4ScoringAverage",2014
49,49,"Adam Scott",NA,69.73,1046,15,"FirstTeeLateRound4ScoringAverage",2014
50,50,"Will Ma Kenzie",NA,69.75,558,8,"FirstTeeLateRound4ScoringAverage",2014
51,51,"George McNeill",NA,69.78,628,9,"FirstTeeLateRound4ScoringAverage",2014
52,52,"Charlie Beljan",NA,69.8,349,5,"FirstTeeLateRound4ScoringAverage",2014
53,53,"Brendan Steele",NA,69.83,419,6,"FirstTeeLateRound4ScoringAverage",2014
54,54,"Matt Kuchar",NA,69.88,1188,17,"FirstTeeLateRound4ScoringAverage",2014
55,55,"Kevin Na",NA,69.9,699,10,"FirstTeeLateRound4ScoringAverage",2014
56,56,"Rory McIlroy",NA,69.93,1049,15,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Briny Baird",NA,70,210,3,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Chad Campbell",NA,70,210,3,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Erik Compton",NA,70,350,5,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Brian Harman",NA,70,630,9,"FirstTeeLateRound4ScoringAverage",2014
57,57,"John Huh",NA,70,210,3,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Sean OHair",NA,70,70,1,"FirstTeeLateRound4ScoringAverage",2014
57,57,"Wes Roach",NA,70,140,2,"FirstTeeLateRound4ScoringAverage",2014
64,64,"Brendon Todd",NA,70.17,842,12,"FirstTeeLateRound4ScoringAverage",2014
64,64,"Jhonattan Vegas",NA,70.17,421,6,"FirstTeeLateRound4ScoringAverage",2014
66,66,"Brooks Koepka",NA,70.2,351,5,"FirstTeeLateRound4ScoringAverage",2014
66,66,"Camilo Villegas",NA,70.2,351,5,"FirstTeeLateRound4ScoringAverage",2014
68,68,"Chris Kirk",NA,70.23,913,13,"FirstTeeLateRound4ScoringAverage",2014
69,69,"Brandt Snedeker",NA,70.25,562,8,"FirstTeeLateRound4ScoringAverage",2014
69,69,"Nicholas Thompson",NA,70.25,281,4,"FirstTeeLateRound4ScoringAverage",2014
71,71,"Luke Donald",NA,70.33,211,3,"FirstTeeLateRound4ScoringAverage",2014
71,71,"JJ Henry",NA,70.33,211,3,"FirstTeeLateRound4ScoringAverage",2014
71,71,"Henrik Stenson",NA,70.33,422,6,"FirstTeeLateRound4ScoringAverage",2014
74,74,"Bill Haas",NA,70.36,985,14,"FirstTeeLateRound4ScoringAverage",2014
75,75,"Freddie Jacobson",NA,70.38,563,8,"FirstTeeLateRound4ScoringAverage",2014
76,76,"Luke Guthrie",NA,70.4,352,5,"FirstTeeLateRound4ScoringAverage",2014
77,77,"Keegan Bradley",NA,70.43,986,14,"FirstTeeLateRound4ScoringAverage",2014
78,78,"Jason Dufner",NA,70.5,423,6,"FirstTeeLateRound4ScoringAverage",2014
78,78,"Brice Garnett",NA,70.5,282,4,"FirstTeeLateRound4ScoringAverage",2014
78,78,"Charlie Wi",NA,70.5,141,2,"FirstTeeLateRound4ScoringAverage",2014
81,81,"Hideki Matsuyama",NA,70.56,635,9,"FirstTeeLateRound4ScoringAverage",2014
82,82,"Billy Hurley III",NA,70.57,494,7,"FirstTeeLateRound4ScoringAverage",2014
82,82,"Justin Rose",NA,70.57,988,14,"FirstTeeLateRound4ScoringAverage",2014
84,84,"Paul Casey",NA,70.6,353,5,"FirstTeeLateRound4ScoringAverage",2014
85,85,"Martin Kaymer",NA,70.63,565,8,"FirstTeeLateRound4ScoringAverage",2014
86,86,"Matt Jones",NA,70.71,495,7,"FirstTeeLateRound4ScoringAverage",2014
87,87,"Charles Howell III",NA,70.73,778,11,"FirstTeeLateRound4ScoringAverage",2014
88,88,"Brad Fritsch",NA,70.75,283,4,"FirstTeeLateRound4ScoringAverage",2014
88,88,"Geoff Ogilvy",NA,70.75,283,4,"FirstTeeLateRound4ScoringAverage",2014
90,90,"Ryan Palmer",NA,70.77,920,13,"FirstTeeLateRound4ScoringAverage",2014
91,91,"Tommy Gainey",NA,70.8,354,5,"FirstTeeLateRound4ScoringAverage",2014
92,92,"Russell Knox",NA,70.83,425,6,"FirstTeeLateRound4ScoringAverage",2014
93,93,"Ryan Moore",NA,70.86,992,14,"FirstTeeLateRound4ScoringAverage",2014
93,93,"Robert Streb",NA,70.86,496,7,"FirstTeeLateRound4ScoringAverage",2014
95,95,"Charley Hoffman",NA,70.88,567,8,"FirstTeeLateRound4ScoringAverage",2014
95,95,"Ben Martin",NA,70.88,567,8,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Robert Garrigus",NA,71,497,7,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Bronson La Cassie",NA,71,71,1,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Martin Laird",NA,71,142,2,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Bryce Molder",NA,71,355,5,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Michael Putnam",NA,71,355,5,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Jordan Spieth",NA,71,1207,17,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Kevin Stadler",NA,71,639,9,"FirstTeeLateRound4ScoringAverage",2014
97,97,"Andrew Svoboda",NA,71,497,7,"FirstTeeLateRound4ScoringAverage",2014
105,105,"Hunter Mahan",NA,71.1,711,10,"FirstTeeLateRound4ScoringAverage",2014
105,105,"John Senden",NA,71.1,711,10,"FirstTeeLateRound4ScoringAverage",2014
107,107,"Bo Van Pelt",NA,71.11,640,9,"FirstTeeLateRound4ScoringAverage",2014
108,108,"Ricky Barnes",NA,71.13,569,8,"FirstTeeLateRound4ScoringAverage",2014
108,108,"Matt Every",NA,71.13,569,8,"FirstTeeLateRound4ScoringAverage",2014
110,110,"Cameron Tringale",NA,71.14,498,7,"FirstTeeLateRound4ScoringAverage",2014
111,111,"Robert Allenby",NA,71.2,356,5,"FirstTeeLateRound4ScoringAverage",2014
111,111,"Vijay Singh",NA,71.2,356,5,"FirstTeeLateRound4ScoringAverage",2014
113,113,"Daniel Summerhays",NA,71.22,641,9,"FirstTeeLateRound4ScoringAverage",2014
