"OverallPuttingAverage_RANKTHISWEEK_2013","OverallPuttingAverage_RANKLASTWEEK_2013","OverallPuttingAverage_PLAYERNAME_2013","OverallPuttingAverage_ROUNDS_2013","OverallPuttingAverage_AVG_2013","OverallPuttingAverage_OFPUTTS_2013","OverallPuttingAverage_OFHOLES_2013","stat_name","year"
44,44,"Jerry Kelly",75,1.602,2163,1350,"OverallPuttingAverage",2013
44,44,"Ryan Palmer",79,1.602,2278,1422,"OverallPuttingAverage",2013
44,44,"Ian Poulter",59,1.602,1528,954,"OverallPuttingAverage",2013
47,47,"Rory McIlroy",56,1.603,1587,990,"OverallPuttingAverage",2013
47,47,"Tiger Woods",61,1.603,1731,1080,"OverallPuttingAverage",2013
49,49,"William McGirt",75,1.604,2166,1350,"OverallPuttingAverage",2013
49,49,"Jimmy Walker",84,1.604,2425,1512,"OverallPuttingAverage",2013
51,51,"Tim Clark",64,1.605,1762,1098,"OverallPuttingAverage",2013
51,51,"Matt Jones",83,1.605,2398,1494,"OverallPuttingAverage",2013
51,51,"David Lingmerth",68,1.605,1964,1224,"OverallPuttingAverage",2013
54,54,"Martin Flores",83,1.606,2400,1494,"OverallPuttingAverage",2013
54,54,"Doug LaBelle II",72,1.606,2023,1260,"OverallPuttingAverage",2013
56,56,"Ken Duke",87,1.607,2516,1566,"OverallPuttingAverage",2013
56,56,"Sergio Garcia",65,1.607,1822,1134,"OverallPuttingAverage",2013
56,56,"Webb Simpson",92,1.607,2546,1584,"OverallPuttingAverage",2013
59,59,"Keegan Bradley",88,1.608,2518,1566,"OverallPuttingAverage",2013
59,59,"Harris English",95,1.608,2750,1710,"OverallPuttingAverage",2013
59,59,"Russell Henley",80,1.608,2257,1404,"OverallPuttingAverage",2013
62,62,"Fabian Gomez",65,1.609,1883,1170,"OverallPuttingAverage",2013
62,62,"Jason Kokrak",78,1.609,2259,1404,"OverallPuttingAverage",2013
64,64,"Ben Crane",62,1.61,1681,1044,"OverallPuttingAverage",2013
64,64,"Ernie Els",63,1.61,1797,1116,"OverallPuttingAverage",2013
66,66,"Scott Stallings",79,1.611,2291,1422,"OverallPuttingAverage",2013
66,66,"Shawn Stefani",63,1.611,1827,1134,"OverallPuttingAverage",2013
66,66,"Casey Wittenberg",72,1.611,2030,1260,"OverallPuttingAverage",2013
69,69,"Erik Compton",74,1.612,2147,1332,"OverallPuttingAverage",2013
69,69,"Matt Every",89,1.612,2582,1602,"OverallPuttingAverage",2013
69,69,"Tom Gillis",69,1.612,1886,1170,"OverallPuttingAverage",2013
69,69,"Charl Schwartzel",69,1.612,1973,1224,"OverallPuttingAverage",2013
69,69,"David Toms",49,1.612,1277,792,"OverallPuttingAverage",2013
74,74,"Scott Brown",65,1.613,1887,1170,"OverallPuttingAverage",2013
74,74,"Graeme McDowell",53,1.613,1423,882,"OverallPuttingAverage",2013
74,74,"Chez Reavie",72,1.613,2090,1296,"OverallPuttingAverage",2013
74,74,"Darron Stiles",51,1.613,1423,882,"OverallPuttingAverage",2013
78,78,"Charley Hoffman",84,1.614,2440,1512,"OverallPuttingAverage",2013
78,78,"Richard Lee",81,1.614,2237,1386,"OverallPuttingAverage",2013
80,80,"Tommy Gainey",84,1.615,2442,1512,"OverallPuttingAverage",2013
80,80,"Luke Guthrie",82,1.615,2384,1476,"OverallPuttingAverage",2013
80,80,"Carl Pettersson",82,1.615,2326,1440,"OverallPuttingAverage",2013
80,80,"Dicky Pride",71,1.615,1948,1206,"OverallPuttingAverage",2013
84,84,"Justin Bolli",59,1.616,1600,990,"OverallPuttingAverage",2013
84,84,"Scott Langley",79,1.616,2181,1350,"OverallPuttingAverage",2013
84,84,"DA Points",87,1.616,2530,1566,"OverallPuttingAverage",2013
84,84,"Cameron Tringale",80,1.616,2327,1440,"OverallPuttingAverage",2013
88,88,"Brendon de Jonge",110,1.617,3201,1980,"OverallPuttingAverage",2013
88,88,"Troy Matteson",68,1.617,1921,1188,"OverallPuttingAverage",2013
88,88,"Ted Potter Jr",65,1.617,1775,1098,"OverallPuttingAverage",2013
88,88,"YE Yang",56,1.617,1630,1008,"OverallPuttingAverage",2013
92,92,"KJ Choi",85,1.618,2446,1512,"OverallPuttingAverage",2013
92,92,"Scott Piercy",78,1.618,2184,1350,"OverallPuttingAverage",2013
94,94,"Billy Horschel",96,1.619,2797,1728,"OverallPuttingAverage",2013
94,94,"Cameron Percy",68,1.619,1923,1188,"OverallPuttingAverage",2013
94,94,"Camilo Villegas",79,1.619,2185,1350,"OverallPuttingAverage",2013
97,97,"Ryan Moore",72,1.621,2072,1278,"OverallPuttingAverage",2013
97,97,"Michael Thompson",66,1.621,1926,1188,"OverallPuttingAverage",2013
99,99,"Roberto Castro",97,1.624,2836,1746,"OverallPuttingAverage",2013
99,99,"DH Lee",65,1.624,1900,1170,"OverallPuttingAverage",2013
99,99,"Jin Park",52,1.624,1462,900,"OverallPuttingAverage",2013
102,102,"Padraig Harrington",52,1.625,1433,882,"OverallPuttingAverage",2013
102,102,"Marc Leishman",77,1.625,2252,1386,"OverallPuttingAverage",2013
102,102,"Jeff Maggert",63,1.625,1843,1134,"OverallPuttingAverage",2013
105,105,"Bill Haas",85,1.626,2459,1512,"OverallPuttingAverage",2013
105,105,"John Merrick",79,1.626,2312,1422,"OverallPuttingAverage",2013
105,105,"Robert Streb",75,1.626,2078,1278,"OverallPuttingAverage",2013
108,108,"Rory Sabbatini",86,1.627,2401,1476,"OverallPuttingAverage",2013
109,109,"Jim Furyk",80,1.628,2286,1404,"OverallPuttingAverage",2013
109,109,"Tag Ridings",69,1.628,1905,1170,"OverallPuttingAverage",2013
109,109,"Justin Rose",62,1.628,1758,1080,"OverallPuttingAverage",2013
109,109,"Brian Stuard",78,1.628,2169,1332,"OverallPuttingAverage",2013
113,113,"Ben Kohles",75,1.629,2082,1278,"OverallPuttingAverage",2013
113,113,"Kevin Streelman",86,1.629,2522,1548,"OverallPuttingAverage",2013
115,115,"Brad Fritsch",81,1.63,2259,1386,"OverallPuttingAverage",2013
115,115,"Pat Perez",69,1.63,2025,1242,"OverallPuttingAverage",2013
115,115,"Gary Woodland",94,1.63,2641,1620,"OverallPuttingAverage",2013
118,118,"Zach Johnson",84,1.631,2436,1494,"OverallPuttingAverage",2013
118,118,"John Rollins",77,1.631,2143,1314,"OverallPuttingAverage",2013
120,120,"Alistair Presnell",59,1.632,1674,1026,"OverallPuttingAverage",2013
121,121,"Jason Dufner",78,1.633,2264,1386,"OverallPuttingAverage",2013
121,121,"Dustin Johnson",71,1.633,2058,1260,"OverallPuttingAverage",2013
121,121,"Luke List",65,1.633,1793,1098,"OverallPuttingAverage",2013
121,121,"George McNeill",68,1.633,1999,1224,"OverallPuttingAverage",2013
125,125,"Hunter Mahan",91,1.634,2500,1530,"OverallPuttingAverage",2013
125,125,"Lee Westwood",70,1.634,2030,1242,"OverallPuttingAverage",2013
127,127,"Kevin Chappell",80,1.635,2355,1440,"OverallPuttingAverage",2013
128,128,"Bud Cauley",67,1.636,1855,1134,"OverallPuttingAverage",2013
129,129,"Josh Teater",86,1.637,2416,1476,"OverallPuttingAverage",2013
130,130,"Rod Pampling",46,1.638,1238,756,"OverallPuttingAverage",2013
130,130,"Brendan Steele",86,1.638,2418,1476,"OverallPuttingAverage",2013
132,132,"Martin Laird",68,1.639,2006,1224,"OverallPuttingAverage",2013
132,132,"Kevin Stadler",83,1.639,2331,1422,"OverallPuttingAverage",2013
134,134,"Seung Yul Noh",71,1.64,1978,1206,"OverallPuttingAverage",2013
134,134,"Adam Scott",61,1.64,1771,1080,"OverallPuttingAverage",2013
136,136,"Chad Campbell",78,1.643,2248,1368,"OverallPuttingAverage",2013
136,136,"Bobby Gates",49,1.643,1331,810,"OverallPuttingAverage",2013
136,136,"Nicholas Thompson",99,1.643,2928,1782,"OverallPuttingAverage",2013
139,139,"Bo Van Pelt",72,1.644,2071,1260,"OverallPuttingAverage",2013
140,140,"Robert Garrigus",69,1.645,1925,1170,"OverallPuttingAverage",2013
141,141,"Graham DeLaet",94,1.646,2785,1692,"OverallPuttingAverage",2013
141,141,"John Huh",88,1.646,2608,1584,"OverallPuttingAverage",2013
143,143,"Robert Allenby",58,1.647,1660,1008,"OverallPuttingAverage",2013
144,144,"Ben Curtis",59,1.648,1691,1026,"OverallPuttingAverage",2013
144,144,"Scott Gardiner",61,1.648,1750,1062,"OverallPuttingAverage",2013
146,146,"Brandt Jobe",62,1.649,1722,1044,"OverallPuttingAverage",2013
146,146,"Robert Karlsson",56,1.649,1543,936,"OverallPuttingAverage",2013
146,146,"DJ Trahan",48,1.649,1365,828,"OverallPuttingAverage",2013
149,149,"Andrew Svoboda",46,1.65,1307,792,"OverallPuttingAverage",2013
149,149,"Mark Wilson",56,1.65,1544,936,"OverallPuttingAverage",2013
151,151,"Angel Cabrera",73,1.651,2170,1314,"OverallPuttingAverage",2013
151,151,"Steve LeBrun",66,1.651,1842,1116,"OverallPuttingAverage",2013
153,153,"David Mathis",71,1.652,1992,1206,"OverallPuttingAverage",2013
154,154,"Henrik Norlander",70,1.653,2023,1224,"OverallPuttingAverage",2013
154,154,"Sean OHair",56,1.653,1666,1008,"OverallPuttingAverage",2013
156,156,"Ryo Ishikawa",72,1.656,2087,1260,"OverallPuttingAverage",2013
156,156,"Johnson Wagner",64,1.656,1789,1080,"OverallPuttingAverage",2013
158,158,"Geoff Ogilvy",57,1.657,1700,1026,"OverallPuttingAverage",2013
159,159,"Greg Owen",73,1.658,2119,1278,"OverallPuttingAverage",2013
159,159,"Bubba Watson",76,1.658,2179,1314,"OverallPuttingAverage",2013
161,161,"Derek Ernst",58,1.659,1732,1044,"OverallPuttingAverage",2013
162,162,"Justin Hicks",79,1.661,2242,1350,"OverallPuttingAverage",2013
162,162,"Henrik Stenson",65,1.661,1914,1152,"OverallPuttingAverage",2013
164,164,"Trevor Immelman",73,1.663,2066,1242,"OverallPuttingAverage",2013
165,165,"John Senden",79,1.665,2337,1404,"OverallPuttingAverage",2013
166,166,"Charlie Beljan",62,1.666,1859,1116,"OverallPuttingAverage",2013
166,166,"Stewart Cink",71,1.666,2129,1278,"OverallPuttingAverage",2013
166,166,"Nick Watney",88,1.666,2579,1548,"OverallPuttingAverage",2013
169,169,"JJ Henry",83,1.667,2430,1458,"OverallPuttingAverage",2013
169,169,"Martin Kaymer",61,1.667,1740,1044,"OverallPuttingAverage",2013
171,171,"Boo Weekley",100,1.674,3013,1800,"OverallPuttingAverage",2013
172,172,"Will Claxton",67,1.675,1899,1134,"OverallPuttingAverage",2013
173,173,"Michael Bradley",56,1.676,1569,936,"OverallPuttingAverage",2013
174,174,"Jim Herman",59,1.679,1662,990,"OverallPuttingAverage",2013
175,175,"Ricky Barnes",74,1.683,2120,1260,"OverallPuttingAverage",2013
176,176,"Kyle Stanley",71,1.692,2162,1278,"OverallPuttingAverage",2013
177,177,"Lucas Glover",65,1.695,1983,1170,"OverallPuttingAverage",2013
178,178,"Eric Meierdierks",48,1.696,1404,828,"OverallPuttingAverage",2013
179,179,"Nicolas Colsaerts",50,1.708,1445,846,"OverallPuttingAverage",2013
180,180,"Vijay Singh",61,1.716,1884,1098,"OverallPuttingAverage",2013
