"StrokesGainedTeetoGreen_RANKTHISWEEK_2016","StrokesGainedTeetoGreen_RANKLASTWEEK_2016","StrokesGainedTeetoGreen_PLAYERNAME_2016","StrokesGainedTeetoGreen_ROUNDS_2016","StrokesGainedTeetoGreen_AVERAGE_2016","StrokesGainedTeetoGreen_TOTALSGOTT_2016","StrokesGainedTeetoGreen_SGAPR_2016","StrokesGainedTeetoGreen_TOTALSGARG_2016","StrokesGainedTeetoGreen_MEASUREDROUNDS_2016","stat_name","year"
110,146,"Derek Ernst",36,0.005,0.28,-0.27,0,22,"StrokesGainedTeetoGreen",2016
111,95,"Brett Stegmaier",57,0.002,0.15,-0.02,-0.13,47,"StrokesGainedTeetoGreen",2016
112,128,"Colt Knost",56,-0.003,-0.2,0.24,-0.04,42,"StrokesGainedTeetoGreen",2016
112,116,"Scott Pinckney",53,-0.003,0.63,-0.31,-0.32,39,"StrokesGainedTeetoGreen",2016
114,130,"Jeff Overton",51,-0.01,-0.06,-0.14,0.19,44,"StrokesGainedTeetoGreen",2016
115,112,"Shane Bertsch",30,-0.014,-0.23,-0.19,0.41,19,"StrokesGainedTeetoGreen",2016
116,121,"Mark Hubbard",73,-0.026,0.08,-0.1,0,59,"StrokesGainedTeetoGreen",2016
117,117,"Justin Leonard",28,-0.045,-0.15,-0.14,0.25,22,"StrokesGainedTeetoGreen",2016
118,114,"Tyrone Van Aswegen",67,-0.05,-0.44,0.45,-0.06,52,"StrokesGainedTeetoGreen",2016
119,124,"Daniel Summerhays",55,-0.057,0.08,-0.09,-0.04,43,"StrokesGainedTeetoGreen",2016
120,122,"Seung Yul Noh",54,-0.062,-0.55,0.22,0.26,44,"StrokesGainedTeetoGreen",2016
121,117,"Thomas Aiken",42,-0.066,0.53,-0.09,-0.5,26,"StrokesGainedTeetoGreen",2016
122,96,"Matt Jones",45,-0.075,0.16,-0.3,0.06,28,"StrokesGainedTeetoGreen",2016
123,106,"Blayne Barber",44,-0.076,0.13,-0.28,0.07,38,"StrokesGainedTeetoGreen",2016
124,115,"Vijay Singh",42,-0.082,-0.13,0.03,0.01,37,"StrokesGainedTeetoGreen",2016
125,137,"Anirban Lahiri",44,-0.086,0.06,-0.11,-0.03,26,"StrokesGainedTeetoGreen",2016
126,138,"Dawie van der Walt",48,-0.098,-0.06,0.34,-0.38,34,"StrokesGainedTeetoGreen",2016
127,126,"Brice Garnett",29,-0.107,0.46,-0.52,-0.05,15,"StrokesGainedTeetoGreen",2016
128,107,"Geoff Ogilvy",37,-0.135,-0.04,-0.09,0.01,30,"StrokesGainedTeetoGreen",2016
129,133,"Cameron Tringale",47,-0.14,-0.43,0.22,0.06,40,"StrokesGainedTeetoGreen",2016
130,135,"Stuart Appleby",39,-0.141,-0.38,0.01,0.22,36,"StrokesGainedTeetoGreen",2016
131,148,"Johnson Wagner",44,-0.142,-0.02,-0.01,-0.11,34,"StrokesGainedTeetoGreen",2016
132,140,"Tom Hoge",47,-0.153,-0.33,0.43,-0.25,35,"StrokesGainedTeetoGreen",2016
133,139,"Sung Kang",51,-0.164,-0.09,-0.07,NA,41,"StrokesGainedTeetoGreen",2016
134,119,"Michael Thompson",46,-0.166,-0.12,-0.06,0.02,31,"StrokesGainedTeetoGreen",2016
135,129,"Whee Kim",54,-0.167,0.2,-0.57,0.21,41,"StrokesGainedTeetoGreen",2016
136,113,"Henrik Norlander",41,-0.168,-0.09,0.15,-0.22,26,"StrokesGainedTeetoGreen",2016
137,136,"Matthew Fitzpatrick",23,-0.171,-0.53,-0.52,0.88,12,"StrokesGainedTeetoGreen",2016
138,132,"Camilo Villegas",50,-0.176,-0.68,0.36,0.14,42,"StrokesGainedTeetoGreen",2016
139,157,"James Hahn",45,-0.178,-0.35,-0.14,0.32,37,"StrokesGainedTeetoGreen",2016
140,147,"Jason Gore",51,-0.181,0.22,0.15,-0.55,36,"StrokesGainedTeetoGreen",2016
141,127,"Tyler Aldridge",53,-0.197,-0.18,-0.07,0.06,41,"StrokesGainedTeetoGreen",2016
142,156,"Rob Oppenheim",37,-0.204,-0.8,0.41,0.18,28,"StrokesGainedTeetoGreen",2016
143,141,"Freddie Jacobson",54,-0.213,-0.3,0.05,0.04,39,"StrokesGainedTeetoGreen",2016
144,123,"Shawn Stefani",45,-0.22,-0.08,-0.19,0.06,35,"StrokesGainedTeetoGreen",2016
145,145,"Boo Weekley",53,-0.23,0.53,-0.32,-0.44,41,"StrokesGainedTeetoGreen",2016
146,159,"Chesson Hadley",51,-0.25,0.04,-0.05,-0.24,38,"StrokesGainedTeetoGreen",2016
146,134,"Adam Hadwin",53,-0.25,0.23,-0.11,-0.37,47,"StrokesGainedTeetoGreen",2016
148,141,"Brendon de Jonge",55,-0.286,-0.06,-0.03,-0.18,39,"StrokesGainedTeetoGreen",2016
148,149,"Hudson Swafford",52,-0.286,0.49,0.01,-0.78,39,"StrokesGainedTeetoGreen",2016
150,144,"Ben Crane",48,-0.288,-0.16,-0.04,-0.08,37,"StrokesGainedTeetoGreen",2016
151,130,"Davis Love III",40,-0.298,-0.11,0.02,-0.2,33,"StrokesGainedTeetoGreen",2016
152,155,"Ollie Schniederjans",23,-0.308,0.26,-0.49,-0.07,19,"StrokesGainedTeetoGreen",2016
153,154,"Mark Wilson",42,-0.315,-0.59,-0.02,0.3,35,"StrokesGainedTeetoGreen",2016
154,143,"Brian Stuard",24,-0.324,-0.38,-0.05,0.11,18,"StrokesGainedTeetoGreen",2016
155,151,"Zac Blair",56,-0.328,-0.08,-0.22,-0.02,42,"StrokesGainedTeetoGreen",2016
156,153,"Rory Sabbatini",40,-0.335,0.36,-0.92,0.22,25,"StrokesGainedTeetoGreen",2016
157,163,"Ian Poulter",37,-0.369,-0.02,-0.35,NA,23,"StrokesGainedTeetoGreen",2016
158,158,"Ricky Barnes",57,-0.389,-0.63,0.19,0.04,44,"StrokesGainedTeetoGreen",2016
159,168,"DA Points",32,-0.402,-0.16,0,-0.24,20,"StrokesGainedTeetoGreen",2016
160,150,"Jamie Donaldson",28,-0.413,-0.23,-0.29,0.11,21,"StrokesGainedTeetoGreen",2016
161,152,"Ernie Els",34,-0.422,0.11,-0.64,0.11,28,"StrokesGainedTeetoGreen",2016
162,165,"Michael Kim",62,-0.471,-0.07,-0.01,-0.38,51,"StrokesGainedTeetoGreen",2016
163,160,"Pat Perez",28,-0.495,-0.34,0.45,-0.6,17,"StrokesGainedTeetoGreen",2016
164,161,"Steve Stricker",25,-0.498,-0.6,-0.13,0.24,21,"StrokesGainedTeetoGreen",2016
165,163,"Andres Romero",22,-0.517,0.13,-0.69,0.04,13,"StrokesGainedTeetoGreen",2016
166,173,"Martin Piller",37,-0.521,-0.14,-0.3,-0.07,26,"StrokesGainedTeetoGreen",2016
167,184,"Carlos Ortiz",47,-0.528,-0.65,0.29,-0.17,34,"StrokesGainedTeetoGreen",2016
168,166,"Jon Curran",55,-0.535,-0.68,-0.29,0.43,40,"StrokesGainedTeetoGreen",2016
169,183,"Angel Cabrera",42,-0.556,0.11,-0.03,-0.64,32,"StrokesGainedTeetoGreen",2016
170,167,"Cameron Smith",45,-0.577,-0.35,-0.25,0.04,26,"StrokesGainedTeetoGreen",2016
171,169,"Wes Roach",33,-0.58,0.07,-0.16,-0.49,21,"StrokesGainedTeetoGreen",2016
172,162,"Morgan Hoffmann",43,-0.586,-0.29,-0.24,-0.05,35,"StrokesGainedTeetoGreen",2016
173,176,"Sam Saunders",40,-0.594,-0.39,-0.31,0.11,26,"StrokesGainedTeetoGreen",2016
174,171,"Justin Hicks",26,-0.598,0.27,0.01,-0.87,24,"StrokesGainedTeetoGreen",2016
175,182,"Scott Langley",41,-0.602,-0.03,-0.87,0.3,31,"StrokesGainedTeetoGreen",2016
176,170,"Erik Compton",45,-0.617,-0.26,-0.29,-0.06,32,"StrokesGainedTeetoGreen",2016
177,172,"Peter Malnati",53,-0.657,-0.64,-0.32,0.31,42,"StrokesGainedTeetoGreen",2016
178,175,"Chad Collins",45,-0.68,-0.67,-0.45,0.45,36,"StrokesGainedTeetoGreen",2016
179,174,"Steve Wheatcroft",53,-0.681,-0.16,-0.46,-0.05,42,"StrokesGainedTeetoGreen",2016
180,179,"Troy Merritt",41,-0.693,-0.38,-0.36,0.05,29,"StrokesGainedTeetoGreen",2016
181,177,"JJ Henry",44,-0.713,-0.27,-0.4,-0.03,40,"StrokesGainedTeetoGreen",2016
182,185,"Steve Marino",40,-0.766,-0.07,-0.27,-0.41,27,"StrokesGainedTeetoGreen",2016
183,178,"George McNeill",33,-0.772,-0.6,-0.03,-0.13,28,"StrokesGainedTeetoGreen",2016
184,180,"Jonas Blixt",46,-0.788,-0.44,-0.37,0.02,37,"StrokesGainedTeetoGreen",2016
185,186,"Hunter Mahan",43,-0.794,0.16,-0.63,-0.32,31,"StrokesGainedTeetoGreen",2016
186,181,"Kelly Kraft",35,-0.795,-0.32,-0.01,-0.45,20,"StrokesGainedTeetoGreen",2016
187,187,"Rhein Gibson",36,-0.871,-0.31,0.01,-0.56,26,"StrokesGainedTeetoGreen",2016
188,188,"Brian Harman",60,-0.974,0.01,-0.88,-0.1,47,"StrokesGainedTeetoGreen",2016
189,192,"Miguel Angel Carballo",24,-1.029,-0.17,-0.79,-0.06,14,"StrokesGainedTeetoGreen",2016
190,193,"Billy Hurley III",22,-1.035,-0.29,-0.43,-0.3,17,"StrokesGainedTeetoGreen",2016
191,194,"Luke Guthrie",31,-1.041,-1,-0.01,-0.02,21,"StrokesGainedTeetoGreen",2016
192,195,"Abraham Ancer",26,-1.074,-0.24,-0.7,-0.12,16,"StrokesGainedTeetoGreen",2016
193,189,"Derek Fathauer",58,-1.082,-0.57,-0.35,-0.14,43,"StrokesGainedTeetoGreen",2016
194,196,"Andrew Landry",24,-1.11,0.5,-1.33,-0.28,12,"StrokesGainedTeetoGreen",2016
195,191,"Matt Every",34,-1.154,-0.78,-0.3,-0.06,29,"StrokesGainedTeetoGreen",2016
196,197,"Lucas Lee",22,-1.211,0.01,-0.94,-0.29,15,"StrokesGainedTeetoGreen",2016
197,190,"Hiroshi Iwata",51,-1.217,-0.12,-0.96,-0.12,34,"StrokesGainedTeetoGreen",2016
198,198,"Andres Gonzales",46,-1.258,-0.53,-0.58,-0.13,34,"StrokesGainedTeetoGreen",2016
199,199,"Dicky Pride",33,-1.27,-0.35,-1.05,0.13,23,"StrokesGainedTeetoGreen",2016
200,200,"Carl Pettersson",31,-1.308,-0.62,-0.56,-0.12,28,"StrokesGainedTeetoGreen",2016
201,201,"Brendon Todd",43,-1.545,-0.94,-0.9,0.3,34,"StrokesGainedTeetoGreen",2016
202,202,"Darron Stiles",28,-1.606,-0.72,-0.5,-0.37,16,"StrokesGainedTeetoGreen",2016
203,204,"Charlie Beljan",26,-1.773,0.28,-1.36,-0.69,17,"StrokesGainedTeetoGreen",2016
204,205,"Brian Gay",22,-1.987,-0.68,-1.54,0.24,18,"StrokesGainedTeetoGreen",2016
205,207,"Robert Allenby",35,-2.285,-0.93,-0.93,-0.4,25,"StrokesGainedTeetoGreen",2016
206,206,"DH Lee",35,-2.301,-0.53,-1.92,0.16,24,"StrokesGainedTeetoGreen",2016
207,208,"Steven Bowditch",40,-3.117,-1.39,-1.58,-0.13,28,"StrokesGainedTeetoGreen",2016
