"Approaches150175yardsRghRTP_RANKTHISWEEK_2008","Approaches150175yardsRghRTP_RANKLASTWEEK_2008","Approaches150175yardsRghRTP_PLAYERNAME_2008","Approaches150175yardsRghRTP_ROUNDS_2008","Approaches150175yardsRghRTP_AVGRTP_2008","stat_name","year"
152,152,"Kevin Sutherland",98,0.27,"Approaches150175yardsRghRTP",2008
153,153,"Scott McCarron",63,0.273,"Approaches150175yardsRghRTP",2008
153,153,"Kevin Na",97,0.273,"Approaches150175yardsRghRTP",2008
155,155,"JP Hayes",67,0.274,"Approaches150175yardsRghRTP",2008
156,156,"James Driscoll",85,0.275,"Approaches150175yardsRghRTP",2008
157,157,"JJ Henry",108,0.277,"Approaches150175yardsRghRTP",2008
158,158,"Mark Calcavecchia",67,0.278,"Approaches150175yardsRghRTP",2008
159,159,"Rod Pampling",83,0.28,"Approaches150175yardsRghRTP",2008
160,160,"John Huston",56,0.281,"Approaches150175yardsRghRTP",2008
161,161,"Jin Park",85,0.283,"Approaches150175yardsRghRTP",2008
162,162,"Cody Freeman",66,0.286,"Approaches150175yardsRghRTP",2008
162,162,"Tommy Gainey",60,0.286,"Approaches150175yardsRghRTP",2008
164,164,"Charles Warren",79,0.288,"Approaches150175yardsRghRTP",2008
165,165,"Rich Beem",90,0.292,"Approaches150175yardsRghRTP",2008
166,166,"Marco Dawson",64,0.296,"Approaches150175yardsRghRTP",2008
167,167,"Billy Mayfair",103,0.306,"Approaches150175yardsRghRTP",2008
167,167,"Chez Reavie",102,0.306,"Approaches150175yardsRghRTP",2008
169,169,"Olin Browne",77,0.308,"Approaches150175yardsRghRTP",2008
169,169,"Andres Romero",69,0.308,"Approaches150175yardsRghRTP",2008
171,171,"Matt Jones",95,0.309,"Approaches150175yardsRghRTP",2008
171,171,"Tom Pernice Jr",104,0.309,"Approaches150175yardsRghRTP",2008
173,173,"Cameron Beckman",87,0.311,"Approaches150175yardsRghRTP",2008
174,174,"Kenneth Ferrie",72,0.316,"Approaches150175yardsRghRTP",2008
175,175,"John Riegger",73,0.317,"Approaches150175yardsRghRTP",2008
176,176,"Todd Hamilton",92,0.321,"Approaches150175yardsRghRTP",2008
176,176,"Justin Leonard",101,0.321,"Approaches150175yardsRghRTP",2008
178,178,"Billy Andrade",71,0.322,"Approaches150175yardsRghRTP",2008
179,179,"Stephen Leaney",53,0.323,"Approaches150175yardsRghRTP",2008
180,180,"Craig Kanada",65,0.326,"Approaches150175yardsRghRTP",2008
181,181,"Brad Adamonis",87,0.329,"Approaches150175yardsRghRTP",2008
182,182,"Will Ma Kenzie",62,0.333,"Approaches150175yardsRghRTP",2008
183,183,"David Lutterus",59,0.342,"Approaches150175yardsRghRTP",2008
185,185,"Paul Claxton",63,0.355,"Approaches150175yardsRghRTP",2008
185,185,"Jason Gore",94,0.355,"Approaches150175yardsRghRTP",2008
187,187,"Dustin Johnson",92,0.356,"Approaches150175yardsRghRTP",2008
188,188,"Travis Perkins",53,0.364,"Approaches150175yardsRghRTP",2008
189,189,"Nick Flanagan",89,0.373,"Approaches150175yardsRghRTP",2008
190,190,"Bob Sowards",61,0.378,"Approaches150175yardsRghRTP",2008
191,191,"Ryan Armour",87,0.383,"Approaches150175yardsRghRTP",2008
192,192,"Greg Kraft",63,0.393,"Approaches150175yardsRghRTP",2008
193,193,"Tom Scherrer",56,0.4,"Approaches150175yardsRghRTP",2008
194,194,"Tag Ridings",88,0.419,"Approaches150175yardsRghRTP",2008
195,195,"Kyle Thompson",70,0.429,"Approaches150175yardsRghRTP",2008
196,196,"Paul Goydos",78,0.433,"Approaches150175yardsRghRTP",2008
197,197,"Kevin Stadler",90,0.574,"Approaches150175yardsRghRTP",2008
