"BirdieorBetterPercentage200yards_RANKTHISWEEK_2009","BirdieorBetterPercentage200yards_RANKLASTWEEK_2009","BirdieorBetterPercentage200yards_PLAYERNAME_2009","BirdieorBetterPercentage200yards_ROUNDS_2009","BirdieorBetterPercentage200yards_Pct_2009","BirdieorBetterPercentage200yards_TOTALBIRDIES_2009","BirdieorBetterPercentage200yards_TOTALHOLES_2009","stat_name","year"
70,70,"David Duval",56,31.33,52,166,"BirdieorBetterPercentage200yards",2009
71,71,"Charles Howell III",99,31.29,102,326,"BirdieorBetterPercentage200yards",2009
72,72,"Freddie Jacobson",83,31.07,87,280,"BirdieorBetterPercentage200yards",2009
73,73,"Steve Marino",98,30.91,102,330,"BirdieorBetterPercentage200yards",2009
74,74,"Steve Stricker",81,30.86,79,256,"BirdieorBetterPercentage200yards",2009
75,75,"JB Holmes",74,30.74,83,270,"BirdieorBetterPercentage200yards",2009
76,76,"Michael Allen",73,30.73,63,205,"BirdieorBetterPercentage200yards",2009
77,77,"Brian Davis",103,30.71,113,368,"BirdieorBetterPercentage200yards",2009
78,78,"Tim Clark",81,30.7,66,215,"BirdieorBetterPercentage200yards",2009
79,79,"Jason Dufner",90,30.69,93,303,"BirdieorBetterPercentage200yards",2009
80,80,"Briny Baird",89,30.51,83,272,"BirdieorBetterPercentage200yards",2009
81,81,"James Nitties",86,30.34,88,290,"BirdieorBetterPercentage200yards",2009
82,82,"Retief Goosen",74,30.28,66,218,"BirdieorBetterPercentage200yards",2009
83,83,"Jim Furyk",86,30.27,79,261,"BirdieorBetterPercentage200yards",2009
84,84,"Rocco Mediate",79,30.24,75,248,"BirdieorBetterPercentage200yards",2009
85,85,"Brett Quigley",92,30.21,87,288,"BirdieorBetterPercentage200yards",2009
86,86,"Mark Calcavecchia",72,30.13,72,239,"BirdieorBetterPercentage200yards",2009
87,87,"John Merrick",91,30.08,71,236,"BirdieorBetterPercentage200yards",2009
88,88,"Tim Herron",87,30.07,83,276,"BirdieorBetterPercentage200yards",2009
89,89,"Tommy Armour III",58,30.06,52,173,"BirdieorBetterPercentage200yards",2009
90,90,"Fred Couples",54,30,45,150,"BirdieorBetterPercentage200yards",2009
90,90,"Bob Heintz",59,30,48,160,"BirdieorBetterPercentage200yards",2009
90,90,"Marc Leishman",91,30,96,320,"BirdieorBetterPercentage200yards",2009
90,90,"Jay Williamson",69,30,57,190,"BirdieorBetterPercentage200yards",2009
94,94,"Kevin Streelman",97,29.91,99,331,"BirdieorBetterPercentage200yards",2009
95,95,"Joe Ogilvie",85,29.89,84,281,"BirdieorBetterPercentage200yards",2009
96,96,"Steve Lowery",83,29.84,91,305,"BirdieorBetterPercentage200yards",2009
97,97,"Ernie Els",70,29.49,69,234,"BirdieorBetterPercentage200yards",2009
98,98,"Alex Cejka",82,29.37,79,269,"BirdieorBetterPercentage200yards",2009
99,99,"Johnson Wagner",81,29.32,90,307,"BirdieorBetterPercentage200yards",2009
100,100,"Todd Hamilton",83,29.26,67,229,"BirdieorBetterPercentage200yards",2009
101,101,"Chris Riley",77,29.2,73,250,"BirdieorBetterPercentage200yards",2009
102,102,"Jerry Kelly",90,29.15,93,319,"BirdieorBetterPercentage200yards",2009
103,103,"Pat Perez",74,29.02,74,255,"BirdieorBetterPercentage200yards",2009
104,104,"Kent Jones",73,28.93,57,197,"BirdieorBetterPercentage200yards",2009
105,105,"Chad Campbell",90,28.83,81,281,"BirdieorBetterPercentage200yards",2009
105,105,"Jason Gore",74,28.83,64,222,"BirdieorBetterPercentage200yards",2009
107,107,"Boo Weekley",79,28.82,83,288,"BirdieorBetterPercentage200yards",2009
108,108,"Charlie Wi",92,28.77,82,285,"BirdieorBetterPercentage200yards",2009
109,109,"Padraig Harrington",66,28.76,65,226,"BirdieorBetterPercentage200yards",2009
110,110,"Jeff Overton",92,28.71,89,310,"BirdieorBetterPercentage200yards",2009
111,111,"Robert Allenby",71,28.7,66,230,"BirdieorBetterPercentage200yards",2009
112,112,"Bubba Watson",73,28.63,69,241,"BirdieorBetterPercentage200yards",2009
113,113,"Tom Pernice Jr",82,28.47,82,288,"BirdieorBetterPercentage200yards",2009
114,114,"Nathan Green",104,28.46,111,390,"BirdieorBetterPercentage200yards",2009
114,114,"Jeff Maggert",79,28.46,72,253,"BirdieorBetterPercentage200yards",2009
116,116,"Ben Crane",93,28.37,82,289,"BirdieorBetterPercentage200yards",2009
117,117,"Joe Durant",62,28.29,43,152,"BirdieorBetterPercentage200yards",2009
118,118,"Steve Elkington",70,28.26,65,230,"BirdieorBetterPercentage200yards",2009
119,119,"Jeff Quinney",78,28.19,73,259,"BirdieorBetterPercentage200yards",2009
120,120,"Kirk Triplett",60,28.08,57,203,"BirdieorBetterPercentage200yards",2009
121,121,"Dean Wilson",81,28.06,71,253,"BirdieorBetterPercentage200yards",2009
122,122,"Cameron Beckman",87,27.95,83,297,"BirdieorBetterPercentage200yards",2009
123,123,"Rich Beem",77,27.78,60,216,"BirdieorBetterPercentage200yards",2009
124,124,"Brian Bateman",55,27.71,46,166,"BirdieorBetterPercentage200yards",2009
125,125,"Sergio Garcia",59,27.62,50,181,"BirdieorBetterPercentage200yards",2009
126,126,"Billy Mayfair",83,27.61,74,268,"BirdieorBetterPercentage200yards",2009
127,127,"Aron Price",89,27.54,76,276,"BirdieorBetterPercentage200yards",2009
128,128,"Stuart Appleby",79,27.48,72,262,"BirdieorBetterPercentage200yards",2009
129,129,"Bryce Molder",69,27.47,50,182,"BirdieorBetterPercentage200yards",2009
130,130,"Derek Fathauer",63,27.44,45,164,"BirdieorBetterPercentage200yards",2009
130,130,"JJ Henry",97,27.44,87,317,"BirdieorBetterPercentage200yards",2009
132,132,"Chez Reavie",81,27.39,63,230,"BirdieorBetterPercentage200yards",2009
133,133,"Justin Leonard",95,27.24,76,279,"BirdieorBetterPercentage200yards",2009
134,134,"Casey Wittenberg",71,27.23,52,191,"BirdieorBetterPercentage200yards",2009
135,135,"Webb Simpson",94,27.22,86,316,"BirdieorBetterPercentage200yards",2009
136,136,"Scott Verplank",88,27.1,87,321,"BirdieorBetterPercentage200yards",2009
137,137,"Bill Lunde",83,27.05,76,281,"BirdieorBetterPercentage200yards",2009
138,138,"Carl Pettersson",86,26.95,76,282,"BirdieorBetterPercentage200yards",2009
139,139,"Luke Donald",79,26.92,63,234,"BirdieorBetterPercentage200yards",2009
140,140,"Bob Estes",78,26.78,64,239,"BirdieorBetterPercentage200yards",2009
141,141,"Heath Slocum",95,26.73,81,303,"BirdieorBetterPercentage200yards",2009
142,142,"David Toms",98,26.71,82,307,"BirdieorBetterPercentage200yards",2009
143,143,"Lee Janzen",74,26.7,55,206,"BirdieorBetterPercentage200yards",2009
144,144,"DA Points",99,26.69,95,356,"BirdieorBetterPercentage200yards",2009
145,145,"Scott Sterling",51,26.61,33,124,"BirdieorBetterPercentage200yards",2009
146,146,"Ian Poulter",59,26.6,50,188,"BirdieorBetterPercentage200yards",2009
147,147,"KJ Choi",65,26.34,54,205,"BirdieorBetterPercentage200yards",2009
148,148,"Vaughn Taylor",88,26.26,78,297,"BirdieorBetterPercentage200yards",2009
149,149,"Mike Weir",85,26.19,66,252,"BirdieorBetterPercentage200yards",2009
150,150,"Brandt Snedeker",81,25.9,65,251,"BirdieorBetterPercentage200yards",2009
151,151,"Woody Austin",84,25.83,78,302,"BirdieorBetterPercentage200yards",2009
152,152,"Ricky Barnes",67,25.79,49,190,"BirdieorBetterPercentage200yards",2009
153,153,"John Mallinger",90,25.74,70,272,"BirdieorBetterPercentage200yards",2009
154,154,"Darron Stiles",52,25.71,36,140,"BirdieorBetterPercentage200yards",2009
155,155,"Rick Price",54,25.64,40,156,"BirdieorBetterPercentage200yards",2009
156,156,"David Mathis",82,25.51,63,247,"BirdieorBetterPercentage200yards",2009
157,157,"Jason Bohn",88,25.43,74,291,"BirdieorBetterPercentage200yards",2009
158,158,"Ken Duke",87,25.3,63,249,"BirdieorBetterPercentage200yards",2009
158,158,"Spencer Levin",75,25.3,63,249,"BirdieorBetterPercentage200yards",2009
160,160,"Steve Flesch",77,25.22,58,230,"BirdieorBetterPercentage200yards",2009
161,161,"Colt Knost",71,25.13,47,187,"BirdieorBetterPercentage200yards",2009
162,162,"Ryuji Imada",85,24.92,75,301,"BirdieorBetterPercentage200yards",2009
163,163,"Parker McLachlin",71,24.44,65,266,"BirdieorBetterPercentage200yards",2009
164,164,"Stewart Cink",79,24.09,53,220,"BirdieorBetterPercentage200yards",2009
165,165,"Tom Lehman",55,23.33,28,120,"BirdieorBetterPercentage200yards",2009
166,166,"Ben Curtis",63,23.27,47,202,"BirdieorBetterPercentage200yards",2009
167,167,"Jeff Klauk",97,23.12,77,333,"BirdieorBetterPercentage200yards",2009
168,168,"Cliff Kresge",78,22.36,55,246,"BirdieorBetterPercentage200yards",2009
169,169,"Nick OHern",90,21.94,70,319,"BirdieorBetterPercentage200yards",2009
170,170,"Chris DiMarco",97,21.91,71,324,"BirdieorBetterPercentage200yards",2009
171,171,"Peter Lonard",86,21.77,59,271,"BirdieorBetterPercentage200yards",2009
172,172,"Jarrod Lyle",65,21.26,37,174,"BirdieorBetterPercentage200yards",2009
173,173,"Brad Faxon",59,20.48,43,210,"BirdieorBetterPercentage200yards",2009
174,174,"Brian Gay",96,19.76,65,329,"BirdieorBetterPercentage200yards",2009
175,175,"Glen Day",79,19.65,45,229,"BirdieorBetterPercentage200yards",2009
176,176,"Paul Goydos",79,19.49,54,277,"BirdieorBetterPercentage200yards",2009
177,177,"Mark Brooks",55,19.17,23,120,"BirdieorBetterPercentage200yards",2009
178,178,"Eric Axley",71,18.89,41,217,"BirdieorBetterPercentage200yards",2009
179,179,"Marc Turnesa",77,18.25,50,274,"BirdieorBetterPercentage200yards",2009
180,180,"Bart Bryant",58,17.73,36,203,"BirdieorBetterPercentage200yards",2009
181,181,"Greg Kraft",51,17.02,24,141,"BirdieorBetterPercentage200yards",2009
182,182,"Richard Johnson",85,16.9,49,290,"BirdieorBetterPercentage200yards",2009
183,183,"Corey Pavin",73,16.34,33,202,"BirdieorBetterPercentage200yards",2009
184,184,"Brendon Todd",53,16,24,150,"BirdieorBetterPercentage200yards",2009
