"Scramblingfrom1020yards_RANKTHISWEEK_2008","Scramblingfrom1020yards_RANKLASTWEEK_2008","Scramblingfrom1020yards_PLAYERNAME_2008","Scramblingfrom1020yards_ROUNDS_2008","Scramblingfrom1020yards_Pct_2008","Scramblingfrom1020yards_SUCCESSES_2008","Scramblingfrom1020yards_ATTEMPTS_2008","stat_name","year"
147,147,"Brad Elder",67,61.24,79,129,"Scramblingfrom1020yards",2008
148,148,"Steve Elkington",84,61.08,113,185,"Scramblingfrom1020yards",2008
148,148,"Ryan Moore",72,61.08,113,185,"Scramblingfrom1020yards",2008
150,150,"David Lutterus",59,61.07,80,131,"Scramblingfrom1020yards",2008
151,151,"Angel Cabrera",55,61,61,100,"Scramblingfrom1020yards",2008
152,152,"Cameron Beckman",87,60.91,120,197,"Scramblingfrom1020yards",2008
153,153,"Cody Freeman",66,60.84,87,143,"Scramblingfrom1020yards",2008
154,154,"Dustin Johnson",92,60.81,135,222,"Scramblingfrom1020yards",2008
155,155,"Robert Allenby",108,60.73,116,191,"Scramblingfrom1020yards",2008
156,156,"Robert Gamez",79,60.67,108,178,"Scramblingfrom1020yards",2008
157,157,"Stephen Leaney",53,60.63,77,127,"Scramblingfrom1020yards",2008
158,158,"Bob Estes",90,60.49,124,205,"Scramblingfrom1020yards",2008
159,159,"Tag Ridings",88,60.27,135,224,"Scramblingfrom1020yards",2008
160,160,"Kyle Thompson",70,60.24,100,166,"Scramblingfrom1020yards",2008
161,161,"Joe Durant",92,60.11,107,178,"Scramblingfrom1020yards",2008
161,161,"JB Holmes",86,60.11,107,178,"Scramblingfrom1020yards",2008
163,163,"Steve Allan",58,60,72,120,"Scramblingfrom1020yards",2008
163,163,"Joe Ogilvie",100,60,144,240,"Scramblingfrom1020yards",2008
165,165,"Heath Slocum",104,59.91,130,217,"Scramblingfrom1020yards",2008
166,166,"Robert Garrigus",90,59.9,121,202,"Scramblingfrom1020yards",2008
167,167,"Billy Andrade",71,59.89,106,177,"Scramblingfrom1020yards",2008
167,167,"Bubba Watson",97,59.89,109,182,"Scramblingfrom1020yards",2008
169,169,"Boo Weekley",86,59.86,88,147,"Scramblingfrom1020yards",2008
170,170,"Greg Kraft",63,59.73,89,149,"Scramblingfrom1020yards",2008
171,171,"Vijay Singh",82,59.72,86,144,"Scramblingfrom1020yards",2008
172,172,"Kevin Stadler",90,59.57,112,188,"Scramblingfrom1020yards",2008
173,173,"Jimmy Walker",73,59.55,106,178,"Scramblingfrom1020yards",2008
174,174,"Martin Laird",98,59.21,135,228,"Scramblingfrom1020yards",2008
175,175,"Tommy Armour III",77,59.09,91,154,"Scramblingfrom1020yards",2008
176,176,"Camilo Villegas",79,58.93,99,168,"Scramblingfrom1020yards",2008
177,177,"Brandt Jobe",52,58.62,68,116,"Scramblingfrom1020yards",2008
178,178,"Jay Williamson",96,58.45,121,207,"Scramblingfrom1020yards",2008
179,179,"Chad Campbell",94,58.29,109,187,"Scramblingfrom1020yards",2008
180,180,"Alex Cejka",75,58.18,96,165,"Scramblingfrom1020yards",2008
181,181,"Mark Hensby",71,58.13,93,160,"Scramblingfrom1020yards",2008
182,182,"Davis Love III",78,58.02,94,162,"Scramblingfrom1020yards",2008
183,183,"Bill Haas",99,57.92,128,221,"Scramblingfrom1020yards",2008
184,184,"Carlos Franco",73,57.79,89,154,"Scramblingfrom1020yards",2008
185,185,"George McNeill",97,57.77,119,206,"Scramblingfrom1020yards",2008
186,186,"Jim McGovern",75,56.95,86,151,"Scramblingfrom1020yards",2008
187,187,"Nick Flanagan",89,55.7,132,237,"Scramblingfrom1020yards",2008
188,188,"Mark Calcavecchia",67,55.32,78,141,"Scramblingfrom1020yards",2008
188,188,"Paul Casey",55,55.32,52,94,"Scramblingfrom1020yards",2008
190,190,"Tommy Gainey",60,54.72,58,106,"Scramblingfrom1020yards",2008
191,191,"Justin Bolli",87,54.55,96,176,"Scramblingfrom1020yards",2008
191,191,"Ron Whittaker",54,54.55,54,99,"Scramblingfrom1020yards",2008
193,193,"Chris Stroud",81,54.43,86,158,"Scramblingfrom1020yards",2008
194,194,"Ryan Armour",87,54.14,98,181,"Scramblingfrom1020yards",2008
195,195,"Travis Perkins",53,54.13,59,109,"Scramblingfrom1020yards",2008
196,196,"Sergio Garcia",72,54,81,150,"Scramblingfrom1020yards",2008
197,197,"Charles Warren",79,50.51,100,198,"Scramblingfrom1020yards",2008
