"BirdieorBetterConversionPercentage_RANKTHISWEEK_2009","BirdieorBetterConversionPercentage_RANKLASTWEEK_2009","BirdieorBetterConversionPercentage_PLAYERNAME_2009","BirdieorBetterConversionPercentage_ROUNDS_2009","BirdieorBetterConversionPercentage_Pct_2009","BirdieorBetterConversionPercentage_BIRDIES_2009","BirdieorBetterConversionPercentage_GREENSHIT_2009","stat_name","year"
83,83,"Nicholas Thompson",96,29.51,334,1132,"BirdieorBetterConversionPercentage",2009
84,84,"Tag Ridings",50,29.5,154,522,"BirdieorBetterConversionPercentage",2009
85,85,"Tim Herron",87,29.46,294,998,"BirdieorBetterConversionPercentage",2009
86,86,"Woody Austin",84,29.41,290,986,"BirdieorBetterConversionPercentage",2009
86,86,"Ryan Palmer",78,29.41,270,918,"BirdieorBetterConversionPercentage",2009
88,88,"John Merrick",91,29.4,284,966,"BirdieorBetterConversionPercentage",2009
89,89,"Retief Goosen",74,29.38,240,817,"BirdieorBetterConversionPercentage",2009
90,90,"Padraig Harrington",66,29.37,210,715,"BirdieorBetterConversionPercentage",2009
90,90,"Steve Marino",98,29.37,338,1151,"BirdieorBetterConversionPercentage",2009
90,90,"Rod Pampling",72,29.37,247,841,"BirdieorBetterConversionPercentage",2009
93,93,"Bryce Molder",69,29.35,216,736,"BirdieorBetterConversionPercentage",2009
94,94,"Cliff Kresge",78,29.3,242,826,"BirdieorBetterConversionPercentage",2009
95,95,"Matt Jones",56,29.24,176,602,"BirdieorBetterConversionPercentage",2009
96,96,"Derek Fathauer",63,29.22,180,616,"BirdieorBetterConversionPercentage",2009
97,97,"Ian Poulter",59,29.2,179,613,"BirdieorBetterConversionPercentage",2009
98,98,"Brett Quigley",92,29.15,290,995,"BirdieorBetterConversionPercentage",2009
98,98,"Jimmy Walker",74,29.15,225,772,"BirdieorBetterConversionPercentage",2009
100,100,"David Toms",98,29.14,336,1153,"BirdieorBetterConversionPercentage",2009
101,101,"Lee Janzen",74,29.12,228,783,"BirdieorBetterConversionPercentage",2009
102,102,"Scott McCarron",91,29.07,311,1070,"BirdieorBetterConversionPercentage",2009
103,103,"DJ Trahan",96,29.04,352,1212,"BirdieorBetterConversionPercentage",2009
104,104,"Michael Allen",73,29.02,242,834,"BirdieorBetterConversionPercentage",2009
105,105,"Alex Cejka",82,28.88,266,921,"BirdieorBetterConversionPercentage",2009
106,106,"Kevin Sutherland",96,28.85,328,1137,"BirdieorBetterConversionPercentage",2009
107,107,"Charles Warren",63,28.82,202,701,"BirdieorBetterConversionPercentage",2009
108,108,"John Mallinger",90,28.8,288,1000,"BirdieorBetterConversionPercentage",2009
109,109,"Mark Wilson",99,28.63,325,1135,"BirdieorBetterConversionPercentage",2009
110,110,"Robert Garrigus",83,28.59,285,997,"BirdieorBetterConversionPercentage",2009
110,110,"Peter Tomasulo",61,28.59,183,640,"BirdieorBetterConversionPercentage",2009
112,112,"Ernie Els",70,28.57,224,784,"BirdieorBetterConversionPercentage",2009
113,113,"Bob Estes",78,28.54,256,897,"BirdieorBetterConversionPercentage",2009
114,114,"Chad Campbell",90,28.49,304,1067,"BirdieorBetterConversionPercentage",2009
115,115,"Sergio Garcia",59,28.47,195,685,"BirdieorBetterConversionPercentage",2009
115,115,"Nathan Green",104,28.47,322,1131,"BirdieorBetterConversionPercentage",2009
115,115,"Carl Pettersson",86,28.47,275,966,"BirdieorBetterConversionPercentage",2009
118,118,"Corey Pavin",73,28.38,208,733,"BirdieorBetterConversionPercentage",2009
119,119,"Nick OHern",90,28.32,292,1031,"BirdieorBetterConversionPercentage",2009
120,120,"Davis Love III",89,28.28,295,1043,"BirdieorBetterConversionPercentage",2009
