"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2009","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2009","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2009","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2009","ofPotentialPtswonFedExCupRegularSeason_Pct_2009","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2009","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2009","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2009","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2009","stat_name","year"
35,35,"Charley Hoffman",27,9.63,963,10000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
36,36,"Fred Couples",16,9.17,569,6200,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
37,37,"Bryce Molder",21,9.11,669,7350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
38,38,"Scott Hoch",1,8.8,22,250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
38,38,"Len Mattiace",1,8.8,44,500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
40,40,"Charles Howell III",29,8.72,937,10750,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
41,41,"Mark Wilson",28,8.61,848,9850,1,2,"ofPotentialPtswonFedExCupRegularSeason",2009
42,42,"Jason Day",18,8.56,599,7000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
43,43,"Davis Love III",27,8.23,851,10350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
44,44,"Steve Marino",29,8.2,938,11450,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
45,45,"Paul Goydos",25,8.11,725,8950,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
46,46,"John Senden",29,8.01,937,11700,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
47,47,"John Mallinger",27,7.98,775,9700,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
48,48,"Justin Leonard",26,7.95,838,10550,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
49,49,"Jason Dufner",26,7.79,787,10100,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2009
50,50,"Padraig Harrington",20,7.55,608,8050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
51,51,"Kevin Stadler",20,7.43,557,7500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
52,52,"Ben Crane",27,7.42,727,9800,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
53,53,"John Merrick",28,7.4,762,10300,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
54,54,"Nathan Green",30,7.38,822,11150,1,1,"ofPotentialPtswonFedExCupRegularSeason",2009
55,55,"Brett Quigley",28,7.34,760,10350,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
56,56,"Woody Austin",24,7.29,667,9150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
57,57,"Jonathan Byrd",25,7.26,581,8000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
58,58,"Sergio Garcia",17,7.11,501,7050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
58,58,"Bo Van Pelt",30,7.11,743,10450,1,4,"ofPotentialPtswonFedExCupRegularSeason",2009
60,60,"Brian Davis",32,7.09,823,11600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
61,61,"Jason Bohn",25,7.01,631,9000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
62,62,"Stephen Ames",23,6.96,592,8500,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
63,63,"Roland Thatcher",16,6.94,364,5250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
64,64,"Jose Maria Olazabal",4,6.93,146,2100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
65,65,"Chad Campbell",26,6.86,703,10250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
66,66,"Scott Verplank",24,6.82,641,9400,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
67,67,"Bubba Watson",24,6.8,677,9950,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
68,68,"Vijay Singh",21,6.77,647,9550,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
69,69,"Charlie Wi",28,6.54,683,10450,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
70,70,"Ronnie Black",3,6.5,65,1000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
70,70,"Larry Mize",1,6.5,39,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
72,72,"JB Holmes",25,6.45,635,9850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
73,73,"Bob Estes",23,6.37,611,9600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
74,74,"Mathew Goggin",26,6.36,662,10400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
75,75,"Kevin Sutherland",27,6.3,693,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
76,76,"Shigeki Maruyama",5,6.29,141,2250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
77,77,"Briny Baird",28,6.21,695,11200,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
78,78,"Jeff Klauk",29,6.14,645,10500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
79,79,"Matt Kuchar",24,6.13,555,9050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
80,80,"Ben Curtis",18,6.09,491,8050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
81,81,"Brandt Snedeker",26,6.08,617,10150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
82,82,"Jeff Overton",28,6.01,598,9950,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
83,83,"Michael Letzig",28,5.97,597,10000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
84,84,"Boo Weekley",22,5.87,590,10050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
85,85,"JJ Henry",28,5.86,657,11200,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
86,86,"Matt Jones",17,5.79,353,6100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
87,87,"Greg Chalmers",26,5.72,543,9500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
88,88,"Brandt Jobe",8,5.68,227,4000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
89,89,"James Driscoll",17,5.63,428,7600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
90,90,"Marc Leishman",28,5.47,547,10000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
91,91,"Michael Allen",22,5.44,440,8100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
91,91,"Justin Rose",22,5.44,492,9050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
93,93,"Spike McRoy",1,5.4,14,250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
94,94,"Nick OHern",27,5.36,512,9550,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
95,95,"Lee Janzen",23,5.31,491,9250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
96,96,"Scott McCarron",27,5.22,566,10850,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
97,97,"Scott Piercy",28,5.18,531,10250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
98,98,"Ted Purdy",30,5.16,580,11250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
99,99,"George McNeill",26,5.14,480,9350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
100,100,"Bill Haas",29,5.09,535,10500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
101,101,"Cameron Beckman",26,5.07,469,9250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
102,102,"Michael Bradley",17,5.02,306,6100,1,1,"ofPotentialPtswonFedExCupRegularSeason",2009
102,102,"Chris Riley",22,5.02,377,7500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
104,104,"Freddie Jacobson",25,5,418,8350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
105,105,"DA Points",29,4.94,531,10750,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
106,106,"KJ Choi",22,4.89,492,10050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
106,106,"Kevin Streelman",29,4.89,518,10600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
108,108,"Garrett Willis",6,4.79,108,2250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
109,109,"Ryuji Imada",25,4.77,499,10450,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
110,110,"Aaron Baddeley",23,4.76,431,9050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
111,111,"Webb Simpson",30,4.72,519,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
112,112,"Rod Pampling",23,4.69,452,9650,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
113,113,"Tim Petrovic",31,4.68,543,11600,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2009
114,114,"James Nitties",27,4.57,507,11100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
115,115,"Robert Garrigus",25,4.55,433,9500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
116,116,"DJ Trahan",30,4.54,542,11950,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
117,117,"Mark Calcavecchia",23,4.51,411,9100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2009
118,118,"Tommy Armour III",19,4.48,302,6750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
119,119,"Jeff Quinney",26,4.47,425,9500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
120,120,"Richard Johnson",26,4.46,417,9350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
121,121,"Alex Cejka",25,4.45,412,9250,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
122,122,"Adam Scott",19,4.43,379,8550,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
123,123,"Charles Warren",20,4.12,330,8000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
124,124,"Tim Herron",27,4.11,421,10250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
124,124,"Rocco Mediate",22,4.11,327,7950,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
126,126,"Daniel Chopra",28,4.1,441,10750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
127,127,"Tom Lehman",16,4.04,285,7050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
128,128,"Greg Owen",30,3.98,448,11250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
128,128,"Andres Romero",20,3.98,329,8250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
130,130,"Trevor Immelman",13,3.97,248,6250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
131,131,"Loren Roberts",3,3.92,49,1250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
132,132,"Sandy Lyle",2,3.88,47,1200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
133,133,"Bill Lunde",27,3.85,414,10750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
134,134,"Matt Bettencourt",31,3.83,463,12100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
135,135,"Steve Flesch",27,3.81,389,10200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
136,136,"David Mathis",27,3.77,377,10000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
137,137,"Harrison Frazar",28,3.72,400,10750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
138,138,"Scott Sterling",16,3.68,258,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
139,139,"Corey Pavin",23,3.57,334,9350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
140,140,"Patrick Sheehan",15,3.55,213,6000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
141,141,"Vaughn Taylor",28,3.51,386,11000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
142,142,"Chris DiMarco",29,3.48,391,11250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
143,143,"Joe Ogilvie",29,3.47,373,10750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
144,144,"Rich Beem",26,3.43,347,10100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
144,144,"Heath Slocum",30,3.43,355,10350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
146,146,"Ricky Barnes",23,3.39,300,8850,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
147,147,"Tag Ridings",16,3.38,220,6500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
148,148,"Jeff Sluman",2,3.37,25,750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
149,149,"Chris Stroud",28,3.34,379,11350,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
150,150,"Jeff Maggert",28,3.3,363,11000,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
150,150,"Matt Weibring",22,3.3,264,8000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
152,152,"Todd Hamilton",29,3.16,365,11550,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
153,153,"Jimmy Walker",24,3.15,284,9000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
154,154,"Troy Matteson",30,3.14,354,11250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
155,155,"Will Ma Kenzie",24,3.12,292,9350,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
156,156,"Spencer Levin",25,3.11,295,9500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
157,157,"Cliff Kresge",28,3.04,319,10500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
158,158,"Aron Price",27,3.02,317,10500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
159,159,"David Duval",22,2.98,274,9200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
159,159,"Martin Laird",24,2.98,289,9700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
159,159,"Ryan Palmer",26,2.98,324,10850,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
162,162,"Chris Smith",3,2.95,37,1250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
162,162,"Tim Wilkinson",14,2.95,177,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
164,164,"Bart Bryant",17,2.93,227,7750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
165,165,"Ken Duke",29,2.88,352,12200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
166,166,"Jonathan Kaye",17,2.76,221,8000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
167,167,"Shaun Micheel",16,2.74,201,7350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
168,168,"Stuart Appleby",25,2.73,302,11050,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
168,168,"Glen Day",26,2.73,273,10000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
170,170,"Kris Blanks",20,2.69,202,7500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
171,171,"Brendon de Jonge",29,2.68,315,11750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
172,172,"Dean Wilson",29,2.59,291,11250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
173,173,"Nicholas Thompson",31,2.57,315,12250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
174,174,"JP Hayes",15,2.55,168,6600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
174,174,"Tom Pernice Jr",26,2.55,255,10000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
176,176,"Frank Lickliter II",14,2.52,151,6000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
177,177,"Joe Durant",20,2.5,206,8250,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
177,177,"Steve Lowery",27,2.5,262,10500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
177,177,"Johnson Wagner",26,2.5,268,10750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
180,180,"Neal Lancaster",6,2.47,56,2250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
181,181,"David Peoples",6,2.46,55,2250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
182,182,"Brad Adamonis",25,2.41,253,10500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
183,183,"Mark Brooks",17,2.39,182,7600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
184,184,"Omar Uresti",9,2.38,83,3500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
185,185,"Skip Kendall",3,2.3,29,1250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
186,186,"Steve Elkington",23,2.26,194,8600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
187,187,"Jarrod Lyle",21,2.25,180,8000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
188,188,"Darron Stiles",20,2.23,169,7600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
189,189,"John Huston",13,2.22,133,6000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
190,190,"Dudley Hart",13,2.2,130,5900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
190,190,"Casey Wittenberg",25,2.2,211,9600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
192,192,"Chez Reavie",27,2.17,240,11100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
193,193,"Jay Williamson",22,2.15,172,8000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
194,194,"Mark Hensby",5,2.09,42,2000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
195,195,"Jason Gore",24,2.07,197,9500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2009
195,195,"Carl Pettersson",29,2.07,258,12500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
197,197,"Bob Heintz",20,2.05,144,7000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
198,198,"Paul Stankowski",9,2.01,75,3750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
199,199,"Guy Boros",7,1.98,55,2750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
200,200,"Arron Oberholser",4,1.97,30,1500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
201,201,"Aaron Watkins",18,1.95,117,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
202,202,"Billy Mayfair",28,1.94,225,11600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
203,203,"Tommy Gainey",15,1.88,122,6500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
204,204,"Brendon Todd",21,1.87,154,8250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
205,205,"Parker McLachlin",25,1.82,173,9500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
205,205,"Dicky Pride",10,1.82,73,4000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
207,207,"Mathias Gronberg",13,1.8,90,5000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
207,207,"Kent Jones",24,1.8,162,9000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
209,209,"John Daly",6,1.59,51,3200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
210,210,"Peter Lonard",30,1.55,182,11750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
211,211,"Robert Damron",5,1.52,23,1500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
212,212,"Tom Byrum",4,1.5,23,1500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
213,213,"Brian Vranesh",20,1.48,111,7500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2009
214,214,"Kirk Triplett",20,1.46,124,8500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
215,215,"Chris Couch",8,1.43,57,4000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
216,216,"Tom Scherrer",2,1.4,11,750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
217,217,"Arjun Atwal",12,1.33,57,4250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
217,217,"David Berganio Jr",15,1.33,93,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
217,217,"Colt Knost",24,1.33,127,9500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
220,220,"Wil Collins",18,1.3,91,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
220,220,"Greg Kraft",21,1.3,112,8600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
222,222,"Jay Delsing",7,1.27,35,2750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
223,223,"Marco Dawson",6,1.24,28,2250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
224,224,"Carlos Franco",10,1.22,49,4000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
225,225,"Bob Tway",13,1.05,56,5350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
226,226,"Scott Gutschewski",19,1.03,78,7600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
227,227,"Marc Turnesa",30,1.01,125,12400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
228,228,"Leif Olson",21,0.98,73,7500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
229,229,"Grant Waite",2,0.9,7,750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
230,230,"Peter Tomasulo",25,0.88,89,10100,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
231,231,"Derek Fathauer",25,0.83,83,10000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
232,232,"Gary Woodland",18,0.82,68,8350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
233,233,"Jose Coceres",6,0.71,20,2750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
234,234,"Jesper Parnevik",14,0.67,42,6250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
235,235,"Eric Axley",30,0.59,70,11850,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
236,236,"Fred Funk",6,0.5,12,2350,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
236,236,"Rick Price",21,0.5,43,8500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
238,238,"James Oh",21,0.49,42,8500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
239,239,"Notah Begay III",15,0.4,28,7000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
240,240,"Brad Faxon",23,0.39,39,9750,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
241,241,"Stephen Leaney",11,0.38,20,5250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2009
