"OnePuttPercentage_RANKTHISWEEK_2006","OnePuttPercentage_RANKLASTWEEK_2006","OnePuttPercentage_PLAYERNAME_2006","OnePuttPercentage_ROUNDS_2006","OnePuttPercentage_Pct_2006","OnePuttPercentage_OF1PUTTS_2006","OnePuttPercentage_OFHOLES_2006","stat_name","year"
28,28,"Scott Verplank",88,40.44,626,1548,"OnePuttPercentage",2006
29,29,"John Huston",74,40.43,524,1296,"OnePuttPercentage",2006
30,30,"Shane Bertsch",104,40.41,742,1836,"OnePuttPercentage",2006
31,31,"Jesper Parnevik",84,40.34,610,1512,"OnePuttPercentage",2006
32,32,"Tim Clark",80,40.3,573,1422,"OnePuttPercentage",2006
32,32,"Luke Donald",66,40.3,457,1134,"OnePuttPercentage",2006
34,34,"Todd Fischer",101,40.29,718,1782,"OnePuttPercentage",2006
35,35,"Marco Dawson",87,40.23,630,1566,"OnePuttPercentage",2006
36,36,"Danny Ellis",68,40.19,463,1152,"OnePuttPercentage",2006
37,37,"Dean Wilson",115,40.09,801,1998,"OnePuttPercentage",2006
38,38,"Vijay Singh",103,40.06,721,1800,"OnePuttPercentage",2006
39,39,"John Daly",51,40.02,353,882,"OnePuttPercentage",2006
39,39,"Carl Pettersson",95,40.02,670,1674,"OnePuttPercentage",2006
41,41,"Padraig Harrington",54,40,360,900,"OnePuttPercentage",2006
41,41,"Geoff Ogilvy",76,40,504,1260,"OnePuttPercentage",2006
43,43,"Dudley Hart",83,39.96,597,1494,"OnePuttPercentage",2006
44,44,"Phil Mickelson",74,39.94,496,1242,"OnePuttPercentage",2006
45,45,"DA Points",82,39.93,575,1440,"OnePuttPercentage",2006
45,45,"Mike Weir",88,39.93,611,1530,"OnePuttPercentage",2006
47,47,"Ryan Moore",68,39.91,467,1170,"OnePuttPercentage",2006
48,48,"Eric Axley",91,39.89,639,1602,"OnePuttPercentage",2006
48,48,"Rory Sabbatini",84,39.89,596,1494,"OnePuttPercentage",2006
50,50,"Freddie Jacobson",56,39.88,402,1008,"OnePuttPercentage",2006
50,50,"Kirk Triplett",58,39.88,402,1008,"OnePuttPercentage",2006
52,52,"Robert Damron",91,39.87,653,1638,"OnePuttPercentage",2006
53,53,"Lee Janzen",79,39.8,566,1422,"OnePuttPercentage",2006
54,54,"Stuart Appleby",83,39.67,557,1404,"OnePuttPercentage",2006
55,55,"Steve Flesch",119,39.66,821,2070,"OnePuttPercentage",2006
56,56,"Stephen Leaney",84,39.62,599,1512,"OnePuttPercentage",2006
57,57,"David Toms",76,39.53,491,1242,"OnePuttPercentage",2006
58,58,"Nick Watney",97,39.47,675,1710,"OnePuttPercentage",2006
59,59,"Stephen Ames",63,39.43,440,1116,"OnePuttPercentage",2006
60,60,"Olin Browne",108,39.42,738,1872,"OnePuttPercentage",2006
61,61,"Tommy Armour III",65,39.4,461,1170,"OnePuttPercentage",2006
61,61,"Brent Geiberger",99,39.4,688,1746,"OnePuttPercentage",2006
61,61,"Mike Sposa",68,39.4,461,1170,"OnePuttPercentage",2006
64,64,"John Cook",67,39.39,475,1206,"OnePuttPercentage",2006
65,65,"Kent Jones",103,39.38,716,1818,"OnePuttPercentage",2006
65,65,"Tim Petrovic",95,39.38,645,1638,"OnePuttPercentage",2006
67,67,"Arjun Atwal",97,39.36,673,1710,"OnePuttPercentage",2006
68,68,"Ryan Palmer",101,39.34,701,1782,"OnePuttPercentage",2006
69,69,"Jonathan Byrd",66,39.31,467,1188,"OnePuttPercentage",2006
69,69,"Mark Calcavecchia",94,39.31,658,1674,"OnePuttPercentage",2006
71,71,"JL Lewis",57,39.28,403,1026,"OnePuttPercentage",2006
72,72,"Todd Hamilton",72,39.27,509,1296,"OnePuttPercentage",2006
73,73,"Brett Quigley",109,39.26,742,1890,"OnePuttPercentage",2006
74,74,"James Driscoll",80,39.24,565,1440,"OnePuttPercentage",2006
74,74,"Richard Johnson",94,39.24,664,1692,"OnePuttPercentage",2006
76,76,"Henrik Bjornstad",97,39.12,669,1710,"OnePuttPercentage",2006
76,76,"Frank Lickliter II",99,39.12,683,1746,"OnePuttPercentage",2006
78,78,"Tjaart van der Walt",60,39.08,401,1026,"OnePuttPercentage",2006
78,78,"Vance Veazey",59,39.08,415,1062,"OnePuttPercentage",2006
80,80,"Bernhard Langer",77,39.04,506,1296,"OnePuttPercentage",2006
81,81,"Jeff Sluman",101,39,709,1818,"OnePuttPercentage",2006
82,82,"Skip Kendall",72,38.97,505,1296,"OnePuttPercentage",2006
83,83,"Justin Leonard",83,38.96,554,1422,"OnePuttPercentage",2006
83,83,"David McKenzie",82,38.96,561,1440,"OnePuttPercentage",2006
85,85,"Charley Hoffman",100,38.95,687,1764,"OnePuttPercentage",2006
86,86,"Robert Allenby",79,38.89,539,1386,"OnePuttPercentage",2006
86,86,"Chris DiMarco",83,38.89,546,1404,"OnePuttPercentage",2006
86,86,"Ernie Els",69,38.89,448,1152,"OnePuttPercentage",2006
86,86,"Ryuji Imada",105,38.89,714,1836,"OnePuttPercentage",2006
86,86,"Davis Love III",85,38.89,532,1368,"OnePuttPercentage",2006
91,91,"Jason Gore",86,38.82,587,1512,"OnePuttPercentage",2006
91,91,"Bob Tway",81,38.82,545,1404,"OnePuttPercentage",2006
93,93,"Greg Kraft",79,38.81,524,1350,"OnePuttPercentage",2006
94,94,"Retief Goosen",68,38.8,419,1080,"OnePuttPercentage",2006
95,95,"Jimmy Walker",60,38.79,405,1044,"OnePuttPercentage",2006
96,96,"Justin Rose",98,38.77,663,1710,"OnePuttPercentage",2006
97,97,"Jim Furyk",89,38.76,614,1584,"OnePuttPercentage",2006
98,98,"Mark Wilson",79,38.74,530,1368,"OnePuttPercentage",2006
99,99,"Corey Pavin",74,38.73,488,1260,"OnePuttPercentage",2006
100,100,"Ian Poulter",53,38.68,362,936,"OnePuttPercentage",2006
101,101,"Billy Andrade",78,38.66,515,1332,"OnePuttPercentage",2006
102,102,"Jerry Smith",94,38.65,640,1656,"OnePuttPercentage",2006
103,103,"Larry Mize",53,38.56,354,918,"OnePuttPercentage",2006
104,104,"Jeff Overton",95,38.53,645,1674,"OnePuttPercentage",2006
105,105,"Brian Davis",92,38.52,624,1620,"OnePuttPercentage",2006
106,106,"Patrick Sheehan",104,38.5,693,1800,"OnePuttPercentage",2006
107,107,"Bill Haas",99,38.48,665,1728,"OnePuttPercentage",2006
108,108,"Camilo Villegas",95,38.47,644,1674,"OnePuttPercentage",2006
109,109,"Jose Maria Olazabal",62,38.41,401,1044,"OnePuttPercentage",2006
110,110,"Robert Gamez",94,38.36,649,1692,"OnePuttPercentage",2006
111,111,"Pat Perez",50,38.33,345,900,"OnePuttPercentage",2006
112,112,"Wes Short Jr",96,38.24,647,1692,"OnePuttPercentage",2006
112,112,"Bo Van Pelt",102,38.24,702,1836,"OnePuttPercentage",2006
114,114,"Fred Funk",106,38.15,721,1890,"OnePuttPercentage",2006
115,115,"Steve Jones",83,38.14,563,1476,"OnePuttPercentage",2006
116,116,"Kris Cox",83,38.13,556,1458,"OnePuttPercentage",2006
117,117,"Paul Goydos",72,38.12,494,1296,"OnePuttPercentage",2006
118,118,"Hidemichi Tanaka",74,38.05,500,1314,"OnePuttPercentage",2006
119,119,"Bob Estes",85,38.04,582,1530,"OnePuttPercentage",2006
120,120,"DJ Trahan",92,38.02,616,1620,"OnePuttPercentage",2006
121,121,"Lucas Glover",105,38.01,691,1818,"OnePuttPercentage",2006
122,122,"Steve Lowery",99,37.97,663,1746,"OnePuttPercentage",2006
123,123,"John Engler Jr",69,37.89,457,1206,"OnePuttPercentage",2006
124,124,"Adam Scott",70,37.83,463,1224,"OnePuttPercentage",2006
125,125,"JB Holmes",81,37.81,524,1386,"OnePuttPercentage",2006
126,126,"Trevor Immelman",86,37.79,585,1548,"OnePuttPercentage",2006
127,127,"Ryan Hietala",61,37.76,401,1062,"OnePuttPercentage",2006
128,128,"John Rollins",93,37.73,618,1638,"OnePuttPercentage",2006
129,129,"Jerry Kelly",100,37.72,679,1800,"OnePuttPercentage",2006
129,129,"Ian Leggatt",80,37.72,516,1368,"OnePuttPercentage",2006
131,131,"Tiger Woods",55,37.71,353,936,"OnePuttPercentage",2006
132,132,"Jason Bohn",104,37.66,705,1872,"OnePuttPercentage",2006
132,132,"Ben Curtis",86,37.66,583,1548,"OnePuttPercentage",2006
134,134,"Zach Johnson",98,37.63,596,1584,"OnePuttPercentage",2006
135,135,"Sean OHair",100,37.59,663,1764,"OnePuttPercentage",2006
136,136,"Peter Lonard",77,37.57,514,1368,"OnePuttPercentage",2006
137,137,"Daisuke Maruyama",83,37.55,534,1422,"OnePuttPercentage",2006
138,138,"Tim Herron",82,37.52,547,1458,"OnePuttPercentage",2006
139,139,"Jason Schultz",77,37.48,506,1350,"OnePuttPercentage",2006
140,140,"Billy Mayfair",94,37.41,633,1692,"OnePuttPercentage",2006
141,141,"Brett Wetterich",82,37.4,552,1476,"OnePuttPercentage",2006
142,142,"Chad Campbell",91,37.36,585,1566,"OnePuttPercentage",2006
143,143,"Robert Garrigus",85,37.35,558,1494,"OnePuttPercentage",2006
144,144,"Arron Oberholser",82,37.34,531,1422,"OnePuttPercentage",2006
145,145,"Mark Brooks",90,37.27,597,1602,"OnePuttPercentage",2006
146,146,"Brian Bateman",69,37.26,436,1170,"OnePuttPercentage",2006
147,147,"Bubba Watson",83,37.2,529,1422,"OnePuttPercentage",2006
148,148,"Omar Uresti",61,37.19,395,1062,"OnePuttPercentage",2006
149,149,"Bubba Dickerson",98,37.15,642,1728,"OnePuttPercentage",2006
150,150,"Matt Hansen",68,37.12,441,1188,"OnePuttPercentage",2006
151,151,"Rich Beem",85,37.08,554,1494,"OnePuttPercentage",2006
152,152,"Kevin Sutherland",100,37.04,640,1728,"OnePuttPercentage",2006
153,153,"Greg Owen",79,37.01,513,1386,"OnePuttPercentage",2006
154,154,"Jeff Brehaut",100,36.98,639,1728,"OnePuttPercentage",2006
155,155,"Hunter Mahan",98,36.96,652,1764,"OnePuttPercentage",2006
156,156,"Troy Matteson",101,36.91,671,1818,"OnePuttPercentage",2006
157,157,"Duffy Waldorf",96,36.9,611,1656,"OnePuttPercentage",2006
158,158,"Alex Cejka",93,36.87,604,1638,"OnePuttPercentage",2006
159,159,"Mathias Gronberg",92,36.83,590,1602,"OnePuttPercentage",2006
160,160,"David Branshaw",98,36.79,649,1764,"OnePuttPercentage",2006
161,161,"Ron Whittaker",81,36.71,522,1422,"OnePuttPercentage",2006
162,162,"Paul Stankowski",70,36.67,462,1260,"OnePuttPercentage",2006
163,163,"Joe Durant",101,36.58,665,1818,"OnePuttPercentage",2006
164,164,"KJ Choi",93,36.53,605,1656,"OnePuttPercentage",2006
165,165,"Scott Gutschewski",53,36.49,335,918,"OnePuttPercentage",2006
166,166,"Shaun Micheel",96,36.44,610,1674,"OnePuttPercentage",2006
167,167,"Craig Barlow",77,36.38,478,1314,"OnePuttPercentage",2006
168,168,"Bob May",65,36.29,405,1116,"OnePuttPercentage",2006
169,169,"Jeff Maggert",81,36.28,529,1458,"OnePuttPercentage",2006
170,170,"Carlos Franco",86,36.24,561,1548,"OnePuttPercentage",2006
171,171,"Michael Connell",51,36.23,313,864,"OnePuttPercentage",2006
172,172,"Briny Baird",81,36.22,502,1386,"OnePuttPercentage",2006
173,173,"Joey Sindelar",90,36.17,586,1620,"OnePuttPercentage",2006
174,174,"Fred Couples",52,36.11,325,900,"OnePuttPercentage",2006
174,174,"Brandt Jobe",91,36.11,572,1584,"OnePuttPercentage",2006
176,176,"Ted Purdy",103,36.08,656,1818,"OnePuttPercentage",2006
177,177,"Charles Warren",93,35.93,582,1620,"OnePuttPercentage",2006
178,178,"Sergio Garcia",59,35.86,355,990,"OnePuttPercentage",2006
179,179,"Steve Elkington",52,35.84,329,918,"OnePuttPercentage",2006
180,180,"Charles Howell III",96,35.78,599,1674,"OnePuttPercentage",2006
181,181,"Jon Mills",68,35.77,425,1188,"OnePuttPercentage",2006
182,182,"Thomas Levet",53,35.62,327,918,"OnePuttPercentage",2006
183,183,"Nicholas Thompson",96,35.54,595,1674,"OnePuttPercentage",2006
184,184,"Heath Slocum",96,35.48,594,1674,"OnePuttPercentage",2006
185,185,"JJ Henry",96,35.42,593,1674,"OnePuttPercentage",2006
186,186,"Chris Couch",75,35.33,477,1350,"OnePuttPercentage",2006
187,187,"Mathew Goggin",72,35.32,445,1260,"OnePuttPercentage",2006
188,188,"Jonathan Kaye",95,35.08,581,1656,"OnePuttPercentage",2006
189,189,"Roger Tambellini",64,34.97,384,1098,"OnePuttPercentage",2006
190,190,"John Senden",96,34.95,585,1674,"OnePuttPercentage",2006
191,191,"Will Ma Kenzie",91,34.79,551,1584,"OnePuttPercentage",2006
192,192,"Tom Lehman",70,34.63,374,1080,"OnePuttPercentage",2006
193,193,"Chris Smith",67,34.58,417,1206,"OnePuttPercentage",2006
194,194,"Bart Bryant",87,34.5,534,1548,"OnePuttPercentage",2006
195,195,"Jeff Gove",91,34.16,535,1566,"OnePuttPercentage",2006
196,196,"Kenny Perry",73,33.8,438,1296,"OnePuttPercentage",2006
