"ParBreakers_RANKTHISWEEK_2006","ParBreakers_RANKLASTWEEK_2006","ParBreakers_PLAYERNAME_2006","ParBreakers_ROUNDS_2006","ParBreakers_Pct_2006","ParBreakers_BIRDIESEAGLES_2006","ParBreakers_HOLES_2006","stat_name","year"
108,108,"Shaun Micheel",96,19.89,333,1674,"ParBreakers",2006
109,109,"Steve Flesch",119,19.86,411,2070,"ParBreakers",2006
110,110,"John Daly",51,19.84,175,882,"ParBreakers",2006
111,111,"Carl Pettersson",95,19.83,332,1674,"ParBreakers",2006
112,112,"Steve Lowery",99,19.76,345,1746,"ParBreakers",2006
113,113,"Bob Estes",85,19.74,302,1530,"ParBreakers",2006
114,114,"Jose Maria Olazabal",62,19.73,206,1044,"ParBreakers",2006
115,115,"David McKenzie",82,19.72,284,1440,"ParBreakers",2006
116,116,"Troy Matteson",101,19.69,358,1818,"ParBreakers",2006
117,117,"Aaron Baddeley",78,19.66,269,1368,"ParBreakers",2006
118,118,"Jeff Overton",95,19.65,329,1674,"ParBreakers",2006
119,119,"Todd Fischer",101,19.64,350,1782,"ParBreakers",2006
120,120,"KJ Choi",93,19.63,325,1656,"ParBreakers",2006
121,121,"David Branshaw",98,19.61,346,1764,"ParBreakers",2006
122,122,"Bernhard Langer",77,19.6,254,1296,"ParBreakers",2006
123,123,"David Duval",71,19.57,243,1242,"ParBreakers",2006
123,123,"Brandt Jobe",91,19.57,310,1584,"ParBreakers",2006
123,123,"Chris Smith",67,19.57,236,1206,"ParBreakers",2006
123,123,"Duffy Waldorf",96,19.57,324,1656,"ParBreakers",2006
127,127,"Vance Veazey",59,19.49,207,1062,"ParBreakers",2006
128,128,"Jason Gore",86,19.44,294,1512,"ParBreakers",2006
128,128,"Ryuji Imada",105,19.44,357,1836,"ParBreakers",2006
128,128,"Kevin Sutherland",100,19.44,336,1728,"ParBreakers",2006
131,131,"Jeff Gove",91,19.41,304,1566,"ParBreakers",2006
132,132,"Richard Johnson",94,19.39,328,1692,"ParBreakers",2006
133,133,"Stephen Leaney",84,19.31,292,1512,"ParBreakers",2006
134,134,"Mathew Goggin",72,19.29,243,1260,"ParBreakers",2006
135,135,"Carlos Franco",86,19.25,298,1548,"ParBreakers",2006
136,136,"Billy Andrade",78,19.14,255,1332,"ParBreakers",2006
137,137,"Matt Hansen",68,19.11,227,1188,"ParBreakers",2006
138,138,"Danny Ellis",68,19.1,220,1152,"ParBreakers",2006
139,139,"Brent Geiberger",99,19.07,333,1746,"ParBreakers",2006
139,139,"Jeff Maggert",81,19.07,278,1458,"ParBreakers",2006
141,141,"Skip Kendall",72,19.06,247,1296,"ParBreakers",2006
141,141,"Kenny Perry",73,19.06,247,1296,"ParBreakers",2006
143,143,"Joey Sindelar",90,19.01,308,1620,"ParBreakers",2006
144,144,"Billy Mayfair",94,18.97,321,1692,"ParBreakers",2006
145,145,"Robert Damron",91,18.93,310,1638,"ParBreakers",2006
146,146,"Robert Gamez",94,18.85,319,1692,"ParBreakers",2006
147,147,"Zach Johnson",98,18.81,298,1584,"ParBreakers",2006
148,148,"Fred Funk",106,18.78,355,1890,"ParBreakers",2006
149,149,"Paul Azinger",87,18.77,294,1566,"ParBreakers",2006
150,150,"Nicholas Thompson",96,18.76,314,1674,"ParBreakers",2006
151,151,"Paul Goydos",72,18.75,243,1296,"ParBreakers",2006
152,152,"Bob Tway",81,18.73,263,1404,"ParBreakers",2006
153,153,"Jonathan Kaye",95,18.72,310,1656,"ParBreakers",2006
154,154,"Jimmy Walker",60,18.68,195,1044,"ParBreakers",2006
155,155,"Fred Couples",52,18.67,168,900,"ParBreakers",2006
156,156,"Ian Leggatt",80,18.64,255,1368,"ParBreakers",2006
156,156,"Omar Uresti",61,18.64,198,1062,"ParBreakers",2006
158,158,"James Driscoll",80,18.61,268,1440,"ParBreakers",2006
159,159,"John Cook",67,18.49,223,1206,"ParBreakers",2006
159,159,"Paul Stankowski",70,18.49,233,1260,"ParBreakers",2006
161,161,"Jason Schultz",77,18.44,249,1350,"ParBreakers",2006
161,161,"Patrick Sheehan",104,18.44,332,1800,"ParBreakers",2006
163,163,"Steve Elkington",52,18.41,169,918,"ParBreakers",2006
164,164,"Charles Howell III",96,18.4,308,1674,"ParBreakers",2006
165,165,"Greg Chalmers",71,18.33,221,1206,"ParBreakers",2006
166,166,"Henrik Bjornstad",97,18.25,312,1710,"ParBreakers",2006
167,167,"Doug Barron",74,18.19,239,1314,"ParBreakers",2006
168,168,"Greg Kraft",79,18.15,245,1350,"ParBreakers",2006
169,169,"Alex Aragon",63,18.12,199,1098,"ParBreakers",2006
170,170,"Roger Tambellini",64,18.03,198,1098,"ParBreakers",2006
171,171,"Tim Herron",82,17.97,262,1458,"ParBreakers",2006
172,172,"Mike Sposa",68,17.95,210,1170,"ParBreakers",2006
173,173,"Justin Leonard",83,17.93,255,1422,"ParBreakers",2006
174,174,"Bart Bryant",87,17.89,277,1548,"ParBreakers",2006
174,174,"Len Mattiace",59,17.89,190,1062,"ParBreakers",2006
176,176,"Ron Whittaker",81,17.86,254,1422,"ParBreakers",2006
177,177,"Ben Curtis",86,17.83,276,1548,"ParBreakers",2006
178,178,"Tim Petrovic",95,17.77,291,1638,"ParBreakers",2006
179,179,"Steve Jones",83,17.62,260,1476,"ParBreakers",2006
180,180,"Brian Bateman",69,17.61,206,1170,"ParBreakers",2006
181,181,"Michael Connell",51,17.48,151,864,"ParBreakers",2006
182,182,"Brad Faxon",78,17.38,244,1404,"ParBreakers",2006
183,183,"JL Lewis",57,17.35,178,1026,"ParBreakers",2006
184,184,"Mark OMeara",52,17.11,154,900,"ParBreakers",2006
185,185,"Tjaart van der Walt",60,17.06,175,1026,"ParBreakers",2006
186,186,"Ryan Hietala",61,17.04,181,1062,"ParBreakers",2006
187,187,"Peter Lonard",77,16.96,232,1368,"ParBreakers",2006
188,188,"Tom Lehman",70,16.85,182,1080,"ParBreakers",2006
189,189,"Todd Hamilton",72,16.59,215,1296,"ParBreakers",2006
190,190,"Thomas Levet",53,16.45,151,918,"ParBreakers",2006
191,191,"Corey Pavin",74,16.35,206,1260,"ParBreakers",2006
192,192,"Jon Mills",68,16.33,194,1188,"ParBreakers",2006
193,193,"Mark Brooks",90,16.17,259,1602,"ParBreakers",2006
194,194,"John Engler Jr",69,15.92,192,1206,"ParBreakers",2006
195,195,"Larry Mize",53,15.58,143,918,"ParBreakers",2006
196,196,"Hidemichi Tanaka",74,14.84,195,1314,"ParBreakers",2006
