"ScoringAverageActual_RANKTHISWEEK_2013","ScoringAverageActual_RANKLASTWEEK_2013","ScoringAverageActual_PLAYERNAME_2013","ScoringAverageActual_ROUNDS_2013","ScoringAverageActual_AVG_2013","ScoringAverageActual_TOTALSTROKES_2013","ScoringAverageActual_TOTALROUNDS_2013","stat_name","year"
30,30,"Harris English",95,70.46,6694,95,"ScoringAverageActual",2013
30,30,"Charl Schwartzel",69,70.46,4791,68,"ScoringAverageActual",2013
32,32,"Jim Furyk",80,70.47,5497,78,"ScoringAverageActual",2013
33,33,"Billy Horschel",96,70.49,6767,96,"ScoringAverageActual",2013
34,34,"Chris Stroud",88,70.52,6206,88,"ScoringAverageActual",2013
35,35,"Jason Dufner",78,70.55,5432,77,"ScoringAverageActual",2013
35,35,"Jerry Kelly",75,70.55,5291,75,"ScoringAverageActual",2013
35,35,"Camilo Villegas",79,70.55,5291,75,"ScoringAverageActual",2013
38,38,"Chez Reavie",72,70.57,5081,72,"ScoringAverageActual",2013
39,39,"Kevin Streelman",86,70.6,6072,86,"ScoringAverageActual",2013
40,40,"Hunter Mahan",91,70.62,6003,85,"ScoringAverageActual",2013
40,40,"John Rollins",77,70.62,5155,73,"ScoringAverageActual",2013
42,42,"Luke Donald",60,70.64,4097,58,"ScoringAverageActual",2013
42,42,"Daniel Summerhays",83,70.64,5863,83,"ScoringAverageActual",2013
42,42,"Cameron Tringale",80,70.64,5651,80,"ScoringAverageActual",2013
45,45,"Stuart Appleby",88,70.69,5938,84,"ScoringAverageActual",2013
45,45,"Jeff Overton",78,70.69,5514,78,"ScoringAverageActual",2013
47,47,"Bubba Watson",76,70.7,5161,73,"ScoringAverageActual",2013
48,48,"Boo Weekley",100,70.71,7071,100,"ScoringAverageActual",2013
49,49,"John Merrick",79,70.72,5587,79,"ScoringAverageActual",2013
49,49,"Patrick Reed",83,70.72,5870,83,"ScoringAverageActual",2013
51,51,"David Hearn",88,70.75,6226,88,"ScoringAverageActual",2013
52,52,"Dustin Johnson",71,70.76,4953,70,"ScoringAverageActual",2013
53,53,"Brian Davis",91,70.77,6440,91,"ScoringAverageActual",2013
54,54,"KJ Choi",85,70.79,5946,84,"ScoringAverageActual",2013
54,54,"Jason Kokrak",78,70.79,5522,78,"ScoringAverageActual",2013
56,56,"Charley Hoffman",84,70.8,5947,84,"ScoringAverageActual",2013
56,56,"Justin Leonard",86,70.8,6089,86,"ScoringAverageActual",2013
56,56,"Gary Woodland",94,70.8,6372,90,"ScoringAverageActual",2013
59,59,"Richard Lee",81,70.81,5452,77,"ScoringAverageActual",2013
60,60,"Pat Perez",69,70.84,4888,69,"ScoringAverageActual",2013
61,61,"Matt Every",89,70.85,6306,89,"ScoringAverageActual",2013
62,62,"Brian Stuard",78,70.86,5244,74,"ScoringAverageActual",2013
63,63,"Freddie Jacobson",63,70.87,4252,60,"ScoringAverageActual",2013
63,63,"Jeff Maggert",63,70.87,4465,63,"ScoringAverageActual",2013
63,63,"William McGirt",75,70.87,5315,75,"ScoringAverageActual",2013
63,63,"Vaughn Taylor",50,70.87,3260,46,"ScoringAverageActual",2013
67,67,"Chad Campbell",78,70.88,5387,76,"ScoringAverageActual",2013
67,67,"Rickie Fowler",75,70.88,5245,74,"ScoringAverageActual",2013
67,67,"Cameron Percy",68,70.88,4678,66,"ScoringAverageActual",2013
70,70,"DH Lee",65,70.89,4608,65,"ScoringAverageActual",2013
70,70,"Robert Streb",75,70.89,5033,71,"ScoringAverageActual",2013
72,72,"Russell Henley",80,70.91,5531,78,"ScoringAverageActual",2013
72,72,"Nicholas Thompson",99,70.91,7020,99,"ScoringAverageActual",2013
74,74,"Ben Crane",62,70.93,4114,58,"ScoringAverageActual",2013
74,74,"George McNeill",68,70.93,4823,68,"ScoringAverageActual",2013
74,74,"DJ Trahan",48,70.93,3263,46,"ScoringAverageActual",2013
77,77,"Jason Bohn",70,70.96,4967,70,"ScoringAverageActual",2013
77,77,"Erik Compton",74,70.96,5251,74,"ScoringAverageActual",2013
79,79,"Steven Bowditch",67,70.97,4613,65,"ScoringAverageActual",2013
79,79,"James Driscoll",76,70.97,5110,72,"ScoringAverageActual",2013
79,79,"Brad Fritsch",81,70.97,5465,77,"ScoringAverageActual",2013
79,79,"Nick Watney",88,70.97,6103,86,"ScoringAverageActual",2013
83,83,"Tim Clark",64,70.98,4330,61,"ScoringAverageActual",2013
84,84,"Lee Westwood",70,71,4899,69,"ScoringAverageActual",2013
85,85,"Dicky Pride",71,71.01,4758,67,"ScoringAverageActual",2013
86,86,"Ted Potter Jr",65,71.02,4332,61,"ScoringAverageActual",2013
87,87,"Greg Chalmers",77,71.04,5186,73,"ScoringAverageActual",2013
87,87,"Brendan Steele",86,71.04,5825,82,"ScoringAverageActual",2013
89,89,"Kevin Chappell",80,71.06,5685,80,"ScoringAverageActual",2013
89,89,"Tag Ridings",69,71.06,4619,65,"ScoringAverageActual",2013
89,89,"Charlie Wi",75,71.06,5045,71,"ScoringAverageActual",2013
92,92,"JJ Henry",83,71.07,5757,81,"ScoringAverageActual",2013
93,93,"Stephen Ames",49,71.08,3483,49,"ScoringAverageActual",2013
93,93,"Brian Gay",79,71.08,5615,79,"ScoringAverageActual",2013
93,93,"Fabian Gomez",65,71.08,4620,65,"ScoringAverageActual",2013
93,93,"Mark Wilson",56,71.08,3696,52,"ScoringAverageActual",2013
97,97,"James Hahn",78,71.09,5261,74,"ScoringAverageActual",2013
97,97,"Henrik Norlander",70,71.09,4834,68,"ScoringAverageActual",2013
99,99,"Rory McIlroy",56,71.11,3911,55,"ScoringAverageActual",2013
100,100,"Jim Herman",59,71.13,3912,55,"ScoringAverageActual",2013
100,100,"Steve LeBrun",66,71.13,4410,62,"ScoringAverageActual",2013
100,100,"Marc Leishman",77,71.13,5477,77,"ScoringAverageActual",2013
103,103,"Ricky Barnes",74,71.14,4980,70,"ScoringAverageActual",2013
104,104,"Stewart Cink",71,71.15,5052,71,"ScoringAverageActual",2013
105,105,"Shawn Stefani",63,71.16,4483,63,"ScoringAverageActual",2013
106,106,"Ian Poulter",59,71.17,3772,53,"ScoringAverageActual",2013
107,107,"John Huh",88,71.18,6264,88,"ScoringAverageActual",2013
107,107,"David Toms",49,71.18,3132,44,"ScoringAverageActual",2013
109,109,"Sangmoon Bae",83,71.19,5909,83,"ScoringAverageActual",2013
109,109,"Brian Harman",89,71.19,6051,85,"ScoringAverageActual",2013
109,109,"Andres Romero",63,71.19,4200,59,"ScoringAverageActual",2013
112,112,"Doug LaBelle II",72,71.2,4984,70,"ScoringAverageActual",2013
113,113,"Josh Teater",86,71.22,5840,82,"ScoringAverageActual",2013
114,114,"Ernie Els",63,71.23,4416,62,"ScoringAverageActual",2013
115,115,"Ken Duke",87,71.24,6198,87,"ScoringAverageActual",2013
115,115,"Ryan Moore",72,71.24,5058,71,"ScoringAverageActual",2013
117,117,"Lee Williams",62,71.25,4275,60,"ScoringAverageActual",2013
118,118,"David Lingmerth",68,71.29,4848,68,"ScoringAverageActual",2013
119,119,"Peter Hanson",45,71.3,3066,43,"ScoringAverageActual",2013
119,119,"Aaron Watkins",46,71.3,3137,44,"ScoringAverageActual",2013
121,121,"Angel Cabrera",73,71.32,5206,73,"ScoringAverageActual",2013
121,121,"Robert Garrigus",69,71.32,4636,65,"ScoringAverageActual",2013
123,123,"Justin Hicks",79,71.33,5350,75,"ScoringAverageActual",2013
124,124,"Scott Langley",79,71.35,5351,75,"ScoringAverageActual",2013
124,124,"Graeme McDowell",53,71.35,3496,49,"ScoringAverageActual",2013
126,126,"Andrew Svoboda",46,71.36,3140,44,"ScoringAverageActual",2013
127,127,"Jonas Blixt",76,71.38,5425,76,"ScoringAverageActual",2013
128,128,"Luke Guthrie",82,71.4,5855,82,"ScoringAverageActual",2013
129,129,"Brandt Jobe",62,71.41,4142,58,"ScoringAverageActual",2013
129,129,"Ben Kohles",75,71.41,5070,71,"ScoringAverageActual",2013
129,129,"David Lynn",70,71.41,4927,69,"ScoringAverageActual",2013
129,129,"Greg Owen",73,71.41,5070,71,"ScoringAverageActual",2013
133,133,"Scott Stallings",79,71.44,5644,79,"ScoringAverageActual",2013
134,134,"DA Points",87,71.45,6216,87,"ScoringAverageActual",2013
135,135,"Scott Brown",65,71.46,4645,65,"ScoringAverageActual",2013
135,135,"John Senden",79,71.46,5574,78,"ScoringAverageActual",2013
137,137,"Martin Kaymer",61,71.52,4148,58,"ScoringAverageActual",2013
137,137,"Troy Matteson",68,71.52,4720,66,"ScoringAverageActual",2013
139,139,"Scott Piercy",78,71.55,5366,75,"ScoringAverageActual",2013
140,140,"Bo Van Pelt",72,71.56,5009,70,"ScoringAverageActual",2013
141,141,"Vijay Singh",61,71.57,4366,61,"ScoringAverageActual",2013
142,142,"Aaron Baddeley",68,71.58,4724,66,"ScoringAverageActual",2013
142,142,"Carl Pettersson",82,71.58,5726,80,"ScoringAverageActual",2013
144,144,"Rod Pampling",46,71.6,3007,42,"ScoringAverageActual",2013
144,144,"Jin Park",52,71.6,3580,50,"ScoringAverageActual",2013
146,146,"Darron Stiles",51,71.61,3509,49,"ScoringAverageActual",2013
147,147,"Bud Cauley",67,71.63,4513,63,"ScoringAverageActual",2013
148,148,"Tim Herron",45,71.64,3224,45,"ScoringAverageActual",2013
148,148,"Ryo Ishikawa",72,71.64,5015,70,"ScoringAverageActual",2013
150,150,"YE Yang",56,71.66,4013,56,"ScoringAverageActual",2013
151,151,"Tom Gillis",69,71.69,4660,65,"ScoringAverageActual",2013
151,151,"Seung Yul Noh",71,71.69,4803,67,"ScoringAverageActual",2013
153,153,"Trevor Immelman",73,71.72,4949,69,"ScoringAverageActual",2013
154,154,"Will Claxton",67,71.73,4519,63,"ScoringAverageActual",2013
155,155,"Martin Laird",68,71.76,4880,68,"ScoringAverageActual",2013
156,156,"Casey Wittenberg",72,71.77,5024,70,"ScoringAverageActual",2013
157,157,"David Mathis",71,71.82,4812,67,"ScoringAverageActual",2013
158,158,"Mike Weir",60,71.83,4166,58,"ScoringAverageActual",2013
159,159,"Alistair Presnell",59,71.84,4095,57,"ScoringAverageActual",2013
160,160,"Scott Gardiner",61,71.85,4239,59,"ScoringAverageActual",2013
161,161,"Colt Knost",69,71.86,4671,65,"ScoringAverageActual",2013
162,162,"Robert Karlsson",56,71.87,3737,52,"ScoringAverageActual",2013
163,163,"Padraig Harrington",52,71.88,3522,49,"ScoringAverageActual",2013
163,163,"Michael Thompson",66,71.88,4744,66,"ScoringAverageActual",2013
165,165,"Charlie Beljan",62,71.89,4457,62,"ScoringAverageActual",2013
166,166,"Lucas Glover",65,71.94,4676,65,"ScoringAverageActual",2013
167,167,"Tommy Gainey",84,71.99,6047,84,"ScoringAverageActual",2013
168,168,"Justin Bolli",59,72.02,3961,55,"ScoringAverageActual",2013
168,168,"Michael Bradley",56,72.02,3745,52,"ScoringAverageActual",2013
168,168,"Eric Meierdierks",48,72.02,3313,46,"ScoringAverageActual",2013
171,171,"Nicolas Colsaerts",50,72.06,3387,47,"ScoringAverageActual",2013
172,172,"Luke List",65,72.07,4396,61,"ScoringAverageActual",2013
173,173,"Kyle Stanley",71,72.1,5119,71,"ScoringAverageActual",2013
174,174,"Sean OHair",56,72.18,4042,56,"ScoringAverageActual",2013
175,175,"Robert Allenby",58,72.2,4043,56,"ScoringAverageActual",2013
175,175,"Bobby Gates",49,72.2,3249,45,"ScoringAverageActual",2013
177,177,"Derek Ernst",58,72.22,4189,58,"ScoringAverageActual",2013
177,177,"Johnson Wagner",64,72.22,4333,60,"ScoringAverageActual",2013
179,179,"Ben Curtis",59,72.28,4120,57,"ScoringAverageActual",2013
179,179,"Geoff Ogilvy",57,72.28,4120,57,"ScoringAverageActual",2013
