"PercentageofAvailablePurseWon_RANKTHISWEEK_2007","PercentageofAvailablePurseWon_RANKLASTWEEK_2007","PercentageofAvailablePurseWon_PLAYERNAME_2007","PercentageofAvailablePurseWon_EVENTS_2007","PercentageofAvailablePurseWon_Pct_2007","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2007","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2007","stat_name","year"
132,132,"Jeff Maggert",26,0.59,845583,142900000,"PercentageofAvailablePurseWon",2007
135,135,"Mathew Goggin",30,0.58,969484,166400000,"PercentageofAvailablePurseWon",2007
135,135,"Shigeki Maruyama",31,0.58,951287,1.65e+08,"PercentageofAvailablePurseWon",2007
135,135,"Paul McGinley",5,0.58,195151,33877452,"PercentageofAvailablePurseWon",2007
135,135,"Johnson Wagner",33,0.58,1013022,174500000,"PercentageofAvailablePurseWon",2007
139,139,"Franklin Langham",1,0.57,30720,5400000,"PercentageofAvailablePurseWon",2007
140,140,"Bob Estes",28,0.56,878050,156600000,"PercentageofAvailablePurseWon",2007
140,140,"Shaun Micheel",29,0.56,948194,170577452,"PercentageofAvailablePurseWon",2007
140,140,"Louis Oosthuizen",1,0.56,45000,8e+06,"PercentageofAvailablePurseWon",2007
140,140,"Chris Stroud",24,0.56,673106,119800000,"PercentageofAvailablePurseWon",2007
144,144,"Ben Crane",9,0.55,278251,5.1e+07,"PercentageofAvailablePurseWon",2007
145,145,"Cliff Kresge",30,0.54,901547,166600000,"PercentageofAvailablePurseWon",2007
146,146,"Jason Bohn",17,0.53,527510,99300000,"PercentageofAvailablePurseWon",2007
147,147,"Ryan Armour",32,0.52,862976,165900000,"PercentageofAvailablePurseWon",2007
147,147,"Rich Beem",29,0.52,868654,167077452,"PercentageofAvailablePurseWon",2007
147,147,"Peter Hanson",3,0.52,116159,22177452,"PercentageofAvailablePurseWon",2007
147,147,"Thongchai Jaidee",3,0.52,118500,2.3e+07,"PercentageofAvailablePurseWon",2007
151,151,"Mark Foster",1,0.51,41352,8177452,"PercentageofAvailablePurseWon",2007
151,151,"Miguel Angel Jimenez",5,0.51,182991,35677452,"PercentageofAvailablePurseWon",2007
151,151,"Tom Pernice Jr",31,0.51,927406,181977452,"PercentageofAvailablePurseWon",2007
151,151,"Chris Riley",17,0.51,403197,79700000,"PercentageofAvailablePurseWon",2007
151,151,"Tom Watson",2,0.51,64350,12500000,"PercentageofAvailablePurseWon",2007
151,151,"Lee Westwood",8,0.51,288280,56977452,"PercentageofAvailablePurseWon",2007
157,157,"Ben Curtis",25,0.5,772319,155877452,"PercentageofAvailablePurseWon",2007
158,158,"Hennie Otto",1,0.49,39250,8e+06,"PercentageofAvailablePurseWon",2007
