"TotalPutting_RANKTHISWEEK_2014","TotalPutting_RANKLASTWEEK_2014","TotalPutting_PLAYERNAME_2014","TotalPutting_EVENTS_2014","TotalPutting_TOTAL_2014","stat_name","year"
139,139,"JJ Henry",28,246.9,"TotalPutting",2014
140,140,"Troy Matteson",23,250,"TotalPutting",2014
141,141,"Wes Roach",22,250.3,"TotalPutting",2014
142,142,"John Rollins",28,251.5,"TotalPutting",2014
143,143,"Jamie Lovemark",20,253.8,"TotalPutting",2014
144,144,"James Hahn",27,257.1,"TotalPutting",2014
145,145,"Scott Stallings",28,257.6,"TotalPutting",2014
146,146,"Kevin Streelman",24,258.7,"TotalPutting",2014
147,147,"Stewart Cink",25,260.3,"TotalPutting",2014
148,148,"Bud Cauley",19,261,"TotalPutting",2014
149,149,"DA Points",27,262.7,"TotalPutting",2014
150,150,"Davis Love III",22,269.3,"TotalPutting",2014
151,151,"Kevin Stadler",26,270,"TotalPutting",2014
152,152,"Ernie Els",24,272.9,"TotalPutting",2014
153,153,"Geoff Ogilvy",26,276.4,"TotalPutting",2014
154,154,"Robert Allenby",29,278.8,"TotalPutting",2014
155,155,"Ken Duke",25,279.1,"TotalPutting",2014
156,156,"Hideki Matsuyama",24,279.3,"TotalPutting",2014
157,157,"Briny Baird",17,280.8,"TotalPutting",2014
158,158,"Jason Dufner",17,285,"TotalPutting",2014
159,159,"Louis Oosthuizen",16,286.6,"TotalPutting",2014
160,160,"Rory Sabbatini",26,287.1,"TotalPutting",2014
161,161,"Jim Herman",21,288.7,"TotalPutting",2014
162,162,"Kevin Tway",23,291.3,"TotalPutting",2014
163,163,"John Merrick",25,292.2,"TotalPutting",2014
164,164,"Derek Ernst",28,292.8,"TotalPutting",2014
165,165,"Michael Putnam",30,295.5,"TotalPutting",2014
166,166,"Chad Campbell",18,307.7,"TotalPutting",2014
167,167,"Mark Wilson",25,309,"TotalPutting",2014
168,168,"Nicholas Thompson",30,310.6,"TotalPutting",2014
169,169,"Jeff Maggert",19,311.7,"TotalPutting",2014
170,170,"Steven Bowditch",30,312.8,"TotalPutting",2014
171,171,"Trevor Immelman",28,314.2,"TotalPutting",2014
172,172,"Vijay Singh",25,323.3,"TotalPutting",2014
173,173,"Jim Renner",25,326.3,"TotalPutting",2014
174,174,"Lucas Glover",26,332.4,"TotalPutting",2014
175,175,"John Peterson",25,336,"TotalPutting",2014
176,176,"Kyle Stanley",28,354.2,"TotalPutting",2014
177,177,"Boo Weekley",24,355.8,"TotalPutting",2014
