"PuttingfromInside5_RANKTHISWEEK_2010","PuttingfromInside5_RANKLASTWEEK_2010","PuttingfromInside5_PLAYERNAME_2010","PuttingfromInside5_ROUNDS_2010","PuttingfromInside5_Pct_2010","PuttingfromInside5_ATTEMPTS_2010","PuttingfromInside5_PUTTSMADE_2010","stat_name","year"
134,134,"Charlie Wi",95,95.89,1241,1190,"PuttingfromInside5",2010
135,135,"Michael Bradley",77,95.87,993,952,"PuttingfromInside5",2010
136,136,"JB Holmes",100,95.85,1253,1201,"PuttingfromInside5",2010
136,136,"Steve Wheatcroft",74,95.85,820,786,"PuttingfromInside5",2010
138,138,"Rory McIlroy",54,95.83,576,552,"PuttingfromInside5",2010
138,138,"Mark Wilson",87,95.83,1152,1104,"PuttingfromInside5",2010
140,140,"Woody Austin",93,95.81,1192,1142,"PuttingfromInside5",2010
141,141,"Garrett Willis",82,95.8,1025,982,"PuttingfromInside5",2010
142,142,"KJ Choi",82,95.79,879,842,"PuttingfromInside5",2010
142,142,"Richard Johnson",90,95.79,1070,1025,"PuttingfromInside5",2010
142,142,"Jerry Kelly",99,95.79,1212,1161,"PuttingfromInside5",2010
145,145,"Matt Every",60,95.77,709,679,"PuttingfromInside5",2010
146,146,"Sean OHair",84,95.74,938,898,"PuttingfromInside5",2010
147,147,"Josh Teater",101,95.73,1359,1301,"PuttingfromInside5",2010
148,148,"Tim Herron",79,95.7,1001,958,"PuttingfromInside5",2010
149,149,"Camilo Villegas",78,95.62,845,808,"PuttingfromInside5",2010
150,150,"Dustin Johnson",83,95.58,906,866,"PuttingfromInside5",2010
151,151,"Brett Wetterich",54,95.57,767,733,"PuttingfromInside5",2010
152,152,"Alex Cejka",81,95.56,990,946,"PuttingfromInside5",2010
152,152,"Davis Love III",79,95.56,990,946,"PuttingfromInside5",2010
152,152,"DA Points",90,95.56,1125,1075,"PuttingfromInside5",2010
155,155,"Graham DeLaet",88,95.55,1124,1074,"PuttingfromInside5",2010
156,156,"Vance Veazey",58,95.53,693,662,"PuttingfromInside5",2010
157,157,"Jonathan Byrd",85,95.5,1201,1147,"PuttingfromInside5",2010
158,158,"Joe Ogilvie",99,95.49,1241,1185,"PuttingfromInside5",2010
159,159,"Ricky Barnes",103,95.47,1193,1139,"PuttingfromInside5",2010
159,159,"David Duval",71,95.47,794,758,"PuttingfromInside5",2010
159,159,"Martin Flores",75,95.47,927,885,"PuttingfromInside5",2010
162,162,"Joe Durant",67,95.45,835,797,"PuttingfromInside5",2010
163,163,"Roger Tambellini",77,95.44,944,901,"PuttingfromInside5",2010
164,164,"Jeev Milkha Singh",59,95.42,765,730,"PuttingfromInside5",2010
164,164,"Kevin Streelman",90,95.42,1157,1104,"PuttingfromInside5",2010
164,164,"Charles Warren",64,95.42,807,770,"PuttingfromInside5",2010
167,167,"Cameron Tringale",55,95.36,690,658,"PuttingfromInside5",2010
168,168,"Ted Purdy",86,95.31,1108,1056,"PuttingfromInside5",2010
169,169,"Mathew Goggin",85,95.3,1127,1074,"PuttingfromInside5",2010
170,170,"Rocco Mediate",71,95.29,912,869,"PuttingfromInside5",2010
171,171,"Vijay Singh",75,95.24,862,821,"PuttingfromInside5",2010
172,172,"Rory Sabbatini",79,95.09,958,911,"PuttingfromInside5",2010
173,173,"DJ Trahan",92,95.05,1232,1171,"PuttingfromInside5",2010
174,174,"Jeff Maggert",76,94.82,926,878,"PuttingfromInside5",2010
175,175,"Kevin Stadler",86,94.77,1071,1015,"PuttingfromInside5",2010
176,176,"Cameron Percy",73,94.7,906,858,"PuttingfromInside5",2010
177,177,"John Daly",63,94.63,689,652,"PuttingfromInside5",2010
178,178,"Will Ma Kenzie",72,94.54,1008,953,"PuttingfromInside5",2010
179,179,"Nicholas Thompson",88,94.51,1148,1085,"PuttingfromInside5",2010
180,180,"Jason Dufner",87,94.48,1051,993,"PuttingfromInside5",2010
181,181,"Mathias Gronberg",61,94.44,738,697,"PuttingfromInside5",2010
182,182,"Greg Owen",69,94.37,959,905,"PuttingfromInside5",2010
183,183,"Justin Bolli",55,94.32,634,598,"PuttingfromInside5",2010
184,184,"Billy Mayfair",78,94.27,977,921,"PuttingfromInside5",2010
185,185,"Kevin Johnson",62,94.03,737,693,"PuttingfromInside5",2010
186,186,"Craig Bowden",56,94.01,734,690,"PuttingfromInside5",2010
187,187,"Jeff Gove",57,94,683,642,"PuttingfromInside5",2010
188,188,"Adam Scott",70,93.98,781,734,"PuttingfromInside5",2010
189,189,"David Lutterus",69,93.79,838,786,"PuttingfromInside5",2010
190,190,"Garth Mulroy",53,93.77,642,602,"PuttingfromInside5",2010
191,191,"Chris Wilson",65,93.66,789,739,"PuttingfromInside5",2010
192,192,"Mark Calcavecchia",50,92.68,492,456,"PuttingfromInside5",2010
