"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2005","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2005","TenthTeeEarlyScoringAverage_PLAYERNAME_2005","TenthTeeEarlyScoringAverage_ROUNDS_2005","TenthTeeEarlyScoringAverage_AVG_2005","TenthTeeEarlyScoringAverage_TOTALSTROKES_2005","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2005","stat_name","year"
116,116,"Chris Smith",93,71.26,1354,19,"TenthTeeEarlyScoringAverage",2005
117,117,"Dan Forsman",52,71.27,784,11,"TenthTeeEarlyScoringAverage",2005
118,118,"Brenden Pappas",51,71.29,998,14,"TenthTeeEarlyScoringAverage",2005
118,118,"Charlie Wi",67,71.29,998,14,"TenthTeeEarlyScoringAverage",2005
120,120,"Michael Allen",90,71.3,1640,23,"TenthTeeEarlyScoringAverage",2005
121,121,"Jeff Hart",63,71.31,927,13,"TenthTeeEarlyScoringAverage",2005
122,122,"Roland Thatcher",75,71.33,1284,18,"TenthTeeEarlyScoringAverage",2005
123,123,"Will Ma Kenzie",75,71.35,1213,17,"TenthTeeEarlyScoringAverage",2005
124,124,"Olin Browne",99,71.38,1499,21,"TenthTeeEarlyScoringAverage",2005
125,125,"Scott Hend",75,71.42,1357,19,"TenthTeeEarlyScoringAverage",2005
126,126,"John Cook",72,71.44,1143,16,"TenthTeeEarlyScoringAverage",2005
127,127,"Sean OHair",103,71.45,1429,20,"TenthTeeEarlyScoringAverage",2005
128,128,"Skip Kendall",80,71.47,1215,17,"TenthTeeEarlyScoringAverage",2005
128,128,"Shaun Micheel",81,71.47,1215,17,"TenthTeeEarlyScoringAverage",2005
130,130,"Rich Beem",66,71.5,715,10,"TenthTeeEarlyScoringAverage",2005
130,130,"Todd Fischer",99,71.5,1573,22,"TenthTeeEarlyScoringAverage",2005
132,132,"Tim Petrovic",97,71.53,1073,15,"TenthTeeEarlyScoringAverage",2005
133,133,"Steve Jones",56,71.55,787,11,"TenthTeeEarlyScoringAverage",2005
134,134,"James Driscoll",73,71.56,644,9,"TenthTeeEarlyScoringAverage",2005
134,134,"Joe Ogilvie",103,71.56,1288,18,"TenthTeeEarlyScoringAverage",2005
134,134,"DA Points",94,71.56,1145,16,"TenthTeeEarlyScoringAverage",2005
137,137,"Frank Lickliter II",100,71.57,1503,21,"TenthTeeEarlyScoringAverage",2005
138,138,"Robert Allenby",95,71.6,1432,20,"TenthTeeEarlyScoringAverage",2005
139,139,"Nick Watney",91,71.65,1218,17,"TenthTeeEarlyScoringAverage",2005
140,140,"Justin Bolli",65,71.67,1290,18,"TenthTeeEarlyScoringAverage",2005
140,140,"Michael Long",72,71.67,1075,15,"TenthTeeEarlyScoringAverage",2005
140,140,"Mark Wilson",74,71.67,1075,15,"TenthTeeEarlyScoringAverage",2005
143,143,"Tommy Armour III",103,71.68,1362,19,"TenthTeeEarlyScoringAverage",2005
144,144,"Larry Mize",54,71.7,717,10,"TenthTeeEarlyScoringAverage",2005
145,145,"Hunter Mahan",103,71.71,1506,21,"TenthTeeEarlyScoringAverage",2005
146,146,"Peter Lonard",85,71.73,1076,15,"TenthTeeEarlyScoringAverage",2005
146,146,"Mike Weir",71,71.73,789,11,"TenthTeeEarlyScoringAverage",2005
148,148,"Robert Damron",89,71.74,1363,19,"TenthTeeEarlyScoringAverage",2005
149,149,"John Daly",78,71.8,718,10,"TenthTeeEarlyScoringAverage",2005
150,150,"Matt Gogel",78,71.81,1149,16,"TenthTeeEarlyScoringAverage",2005
150,150,"Rory Sabbatini",81,71.81,1149,16,"TenthTeeEarlyScoringAverage",2005
152,152,"Paul Azinger",66,71.83,1293,18,"TenthTeeEarlyScoringAverage",2005
153,153,"Steve Flesch",90,71.85,934,13,"TenthTeeEarlyScoringAverage",2005
154,154,"David Hearn",68,71.86,1006,14,"TenthTeeEarlyScoringAverage",2005
155,155,"Rob Rashell",65,71.88,1222,17,"TenthTeeEarlyScoringAverage",2005
156,156,"Jay Haas",54,71.9,719,10,"TenthTeeEarlyScoringAverage",2005
157,157,"Steve Allan",102,71.91,1582,22,"TenthTeeEarlyScoringAverage",2005
157,157,"Heath Slocum",103,71.91,1582,22,"TenthTeeEarlyScoringAverage",2005
159,159,"Doug Barron",70,71.92,863,12,"TenthTeeEarlyScoringAverage",2005
160,160,"Brian Davis",75,71.94,1223,17,"TenthTeeEarlyScoringAverage",2005
161,161,"Bill Glasson",54,72,936,13,"TenthTeeEarlyScoringAverage",2005
161,161,"Jeff Maggert",79,72,1008,14,"TenthTeeEarlyScoringAverage",2005
161,161,"Mario Tiziani",67,72,792,11,"TenthTeeEarlyScoringAverage",2005
164,164,"Tom Gillis",77,72.07,1081,15,"TenthTeeEarlyScoringAverage",2005
165,165,"Stephen Leaney",89,72.1,1514,21,"TenthTeeEarlyScoringAverage",2005
166,166,"Brendan Jones",81,72.12,1226,17,"TenthTeeEarlyScoringAverage",2005
166,166,"Kevin Stadler",96,72.12,1226,17,"TenthTeeEarlyScoringAverage",2005
168,168,"Lucas Glover",88,72.14,1010,14,"TenthTeeEarlyScoringAverage",2005
169,169,"Brian Bateman",98,72.15,1443,20,"TenthTeeEarlyScoringAverage",2005
170,170,"Dennis Paulson",63,72.21,1372,19,"TenthTeeEarlyScoringAverage",2005
171,171,"Duffy Waldorf",86,72.29,1012,14,"TenthTeeEarlyScoringAverage",2005
172,172,"Jose Coceres",56,72.33,651,9,"TenthTeeEarlyScoringAverage",2005
172,172,"Steve Stricker",62,72.33,868,12,"TenthTeeEarlyScoringAverage",2005
174,174,"Brian Gay",101,72.38,1520,21,"TenthTeeEarlyScoringAverage",2005
174,174,"Tjaart van der Walt",56,72.38,579,8,"TenthTeeEarlyScoringAverage",2005
176,176,"Jim Carter",62,72.4,1086,15,"TenthTeeEarlyScoringAverage",2005
177,177,"Jonathan Kaye",77,72.42,869,12,"TenthTeeEarlyScoringAverage",2005
178,178,"Gavin Coles",70,72.43,1014,14,"TenthTeeEarlyScoringAverage",2005
179,179,"Lee Janzen",75,72.45,1449,20,"TenthTeeEarlyScoringAverage",2005
180,180,"Rod Pampling",89,72.47,1087,15,"TenthTeeEarlyScoringAverage",2005
181,181,"Paul Gow",78,72.5,1160,16,"TenthTeeEarlyScoringAverage",2005
181,181,"Jay Williamson",53,72.5,580,8,"TenthTeeEarlyScoringAverage",2005
183,183,"Jeff Brehaut",71,72.54,943,13,"TenthTeeEarlyScoringAverage",2005
183,183,"Ben Curtis",65,72.54,943,13,"TenthTeeEarlyScoringAverage",2005
185,185,"Chris Anderson",66,72.58,871,12,"TenthTeeEarlyScoringAverage",2005
186,186,"Mark Hensby",70,72.73,1091,15,"TenthTeeEarlyScoringAverage",2005
187,187,"Len Mattiace",86,72.76,1528,21,"TenthTeeEarlyScoringAverage",2005
188,188,"Bradley Hughes",52,72.78,655,9,"TenthTeeEarlyScoringAverage",2005
189,189,"Jason Allred",75,72.79,1019,14,"TenthTeeEarlyScoringAverage",2005
190,190,"Glen Hnatiuk",59,72.8,728,10,"TenthTeeEarlyScoringAverage",2005
190,190,"Ian Poulter",62,72.8,728,10,"TenthTeeEarlyScoringAverage",2005
192,192,"Craig Perks",67,72.82,801,11,"TenthTeeEarlyScoringAverage",2005
193,193,"Danny Briggs",70,72.83,1311,18,"TenthTeeEarlyScoringAverage",2005
194,194,"Mark OMeara",66,72.85,947,13,"TenthTeeEarlyScoringAverage",2005
195,195,"DJ Brigman",76,72.88,1166,16,"TenthTeeEarlyScoringAverage",2005
196,196,"Matt Davidson",53,72.9,729,10,"TenthTeeEarlyScoringAverage",2005
197,197,"John Elliott",58,72.93,1094,15,"TenthTeeEarlyScoringAverage",2005
197,197,"Hank Kuehne",84,72.93,1021,14,"TenthTeeEarlyScoringAverage",2005
199,199,"Hideto Tanihara",50,73,876,12,"TenthTeeEarlyScoringAverage",2005
200,200,"Mark Brooks",72,73.14,1024,14,"TenthTeeEarlyScoringAverage",2005
201,201,"Chris Riley",67,73.46,955,13,"TenthTeeEarlyScoringAverage",2005
202,202,"Thomas Levet",54,75.13,601,8,"TenthTeeEarlyScoringAverage",2005
