"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2015","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2015","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2015","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2015","ofPotentialPtswonFedExCupPlayoffs_Pct_2015","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2015","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2015","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2015","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2015","stat_name","year"
28,28,"Hunter Mahan",24,9.33,560,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
29,29,"Kevin Na",27,9.15,732,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
30,30,"Kevin Kisner",30,8.82,705,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
31,31,"Paul Casey",24,8.78,702,8000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
32,32,"Russell Knox",28,8.69,521,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
33,33,"Justin Thomas",30,8.19,491,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
34,34,"Robert Streb",30,7.85,628,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
35,35,"Pat Perez",26,7.7,462,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
36,36,"Brendon Todd",27,7.47,448,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
37,37,"Luke Donald",20,7.45,298,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
38,38,"Steven Bowditch",32,7.28,583,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
39,39,"Camilo Villegas",27,7.25,290,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
40,40,"Brian Harman",29,7.19,431,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
41,41,"Louis Oosthuizen",20,7.05,423,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
42,42,"Spencer Levin",31,6.7,268,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
43,43,"Rory Sabbatini",25,6.43,386,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
44,44,"Sergio Garcia",15,6.3,126,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
45,45,"George McNeill",27,6.19,371,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
46,46,"Bill Haas",25,6.03,482,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
47,47,"John Senden",24,5.95,238,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
48,48,"Stewart Cink",23,5.9,118,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
49,49,"Jim Herman",27,5.77,231,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
50,50,"Keegan Bradley",24,5.73,344,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
51,51,"Jason Bohn",27,5.6,336,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
51,51,"Brendon de Jonge",31,5.6,336,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
53,53,"Jerry Kelly",24,5.57,334,6000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2015
54,54,"Hudson Swafford",30,5.55,222,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
55,55,"Brendan Steele",24,5.16,309,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
56,56,"Tony Finau",31,5.13,308,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
57,57,"William McGirt",30,5.05,303,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
58,58,"Carlos Ortiz",30,4.9,196,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
59,59,"Nick Watney",28,4.8,288,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
60,60,"Bryce Molder",26,4.67,280,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
61,61,"Jason Dufner",21,4.6,184,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
62,62,"Mark Wilson",28,4.58,183,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
63,63,"Johnson Wagner",23,4.55,182,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
64,64,"Fabian Gomez",26,4.53,272,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
65,65,"Kyle Reifers",31,4.45,178,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
65,65,"Jimmy Walker",24,4.45,356,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
67,67,"Gary Woodland",24,4.39,263,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
68,68,"David Hearn",30,4.37,262,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
69,69,"Webb Simpson",22,4.33,260,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
70,70,"Phil Mickelson",19,4.03,242,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
71,71,"Brandt Snedeker",27,3.73,298,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
72,72,"Jason Gore",26,3.7,148,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
73,73,"Troy Merritt",29,3.63,218,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
74,74,"Brooks Koepka",23,3.6,288,8000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
75,75,"Chris Kirk",21,3.4,204,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
75,75,"Ian Poulter",19,3.4,204,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
77,77,"Ben Martin",27,3.33,200,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
78,78,"Nick Taylor",28,3.2,64,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
79,79,"James Hahn",28,3.17,190,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
80,80,"Shawn Stefani",26,3.07,184,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
81,81,"Morgan Hoffmann",26,3.04,122,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
82,82,"Alex Cejka",30,3,120,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
83,83,"Scott Pinckney",27,2.9,116,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
84,84,"Ryan Moore",24,2.77,166,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
85,85,"Charles Howell III",30,2.5,100,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
86,86,"Billy Horschel",28,2.46,148,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
87,87,"JJ Henry",30,2.4,96,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
88,88,"Lee Westwood",15,2.3,46,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
89,89,"Colt Knost",29,2.15,86,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
89,89,"Davis Love III",18,2.15,86,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
89,89,"Carl Pettersson",32,2.15,86,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
92,92,"Kevin Streelman",27,1.73,69,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
93,93,"Ken Duke",30,1.5,30,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
94,94,"Russell Henley",24,1.43,86,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
95,95,"David Lingmerth",28,1.37,82,6000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
96,96,"Boo Weekley",24,1.35,54,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
97,97,"Ryo Ishikawa",28,0.9,18,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
97,97,"Vijay Singh",23,0.9,18,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
99,99,"Jeff Overton",30,0.3,6,2000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
100,100,"Scott Brown",30,0.13,5,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
101,101,"Chesson Hadley",30,0.09,4,4000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2015
