"DrivingPct240260Measured_RANKTHISWEEK_2007","DrivingPct240260Measured_RANKLASTWEEK_2007","DrivingPct240260Measured_PLAYERNAME_2007","DrivingPct240260Measured_ROUNDS_2007","DrivingPct240260Measured_Pct_2007","DrivingPct240260Measured_TOTALDRIVESFOR240260_2007","DrivingPct240260Measured_TOTALDRVSOVERALL_2007","DrivingPct240260Measured_RELATIVETOPAR_2007","stat_name","year"
183,183,"Daniel Chopra",106,2.4,5,208,-0.4,"DrivingPct240260Measured",2007
184,184,"Charley Hoffman",97,2.2,4,182,0.75,"DrivingPct240260Measured",2007
185,185,"Bubba Dickerson",51,2.13,2,94,0.5,"DrivingPct240260Measured",2007
186,186,"Charles Howell III",89,2.08,3,144,0,"DrivingPct240260Measured",2007
187,187,"Anthony Kim",93,1.76,3,170,1,"DrivingPct240260Measured",2007
188,188,"Jason Gore",86,1.16,2,172,-0.5,"DrivingPct240260Measured",2007
189,189,"Ernie Els",59,1.14,1,88,0,"DrivingPct240260Measured",2007
190,190,"Robert Garrigus",95,1.05,2,190,0.5,"DrivingPct240260Measured",2007
190,190,"Mathias Gronberg",95,1.05,2,190,0,"DrivingPct240260Measured",2007
192,192,"Adam Scott",69,0.93,1,108,0,"DrivingPct240260Measured",2007
193,193,"Matt Hendrix",63,0.82,1,122,0,"DrivingPct240260Measured",2007
194,194,"Scott Gutschewski",67,0.79,1,126,0,"DrivingPct240260Measured",2007
195,195,"JB Holmes",71,0.72,1,138,0,"DrivingPct240260Measured",2007
196,196,"Bubba Watson",80,0.68,1,148,-1,"DrivingPct240260Measured",2007
