"PuttingAverage_RANKTHISWEEK_2007","PuttingAverage_RANKLASTWEEK_2007","PuttingAverage_PLAYERNAME_2007","PuttingAverage_ROUNDS_2007","PuttingAverage_AVG_2007","PuttingAverage_GIRPUTTS_2007","PuttingAverage_GREENSHIT_2007","PuttingAverage_BIRDIECONVERSION_2007","PuttingAverage_GIRRANK_2007","stat_name","year"
86,86,"Bubba Watson",80,1.785,1683,943,31.28,68,"PuttingAverage",2007
90,90,"Woody Austin",95,1.786,2000,1120,28.92,67,"PuttingAverage",2007
90,90,"Cameron Beckman",96,1.786,2066,1157,28.29,4,"PuttingAverage",2007
90,90,"Glen Day",85,1.786,1675,938,26.89,114,"PuttingAverage",2007
90,90,"Steve Lowery",74,1.786,1577,883,29.69,41,"PuttingAverage",2007
90,90,"Hunter Mahan",91,1.786,1958,1096,28.55,29,"PuttingAverage",2007
95,95,"Steve Elkington",87,1.787,1683,942,27.07,149,"PuttingAverage",2007
95,95,"Robert Garrigus",95,1.787,2048,1146,30.51,25,"PuttingAverage",2007
95,95,"Ryan Palmer",91,1.787,1867,1045,28.05,127,"PuttingAverage",2007
95,95,"John Rollins",102,1.787,2068,1157,28.01,131,"PuttingAverage",2007
99,99,"Robert Gamez",88,1.788,1779,995,27.04,57,"PuttingAverage",2007
99,99,"Tom Pernice Jr",104,1.788,2070,1158,29,170,"PuttingAverage",2007
99,99,"Ian Poulter",63,1.788,1191,666,27.26,173,"PuttingAverage",2007
102,102,"Tommy Armour III",81,1.789,1732,968,26.5,5,"PuttingAverage",2007
102,102,"Gavin Coles",87,1.789,1673,935,26.77,161,"PuttingAverage",2007
102,102,"Kent Jones",97,1.789,2091,1169,28.53,27,"PuttingAverage",2007
105,105,"Will Ma Kenzie",100,1.79,2132,1191,29.09,47,"PuttingAverage",2007
105,105,"Troy Matteson",87,1.79,1781,995,29.03,137,"PuttingAverage",2007
105,105,"Dicky Pride",71,1.79,1373,767,26.89,135,"PuttingAverage",2007
105,105,"Johnson Wagner",97,1.79,2117,1183,27.16,19,"PuttingAverage",2007
109,109,"Paul Gow",70,1.791,1356,757,26.92,130,"PuttingAverage",2007
109,109,"John Mallinger",96,1.791,1949,1088,27.74,152,"PuttingAverage",2007
111,111,"Retief Goosen",50,1.792,912,509,26.28,194,"PuttingAverage",2007
111,111,"Nick OHern",72,1.792,1321,737,25.92,190,"PuttingAverage",2007
111,111,"Kevin Sutherland",85,1.792,1796,1002,27.97,68,"PuttingAverage",2007
114,114,"Bubba Dickerson",51,1.793,900,502,28.34,193,"PuttingAverage",2007
114,114,"Chris Stroud",66,1.793,1366,762,27.11,49,"PuttingAverage",2007
116,116,"Eric Axley",107,1.794,2119,1181,26.64,178,"PuttingAverage",2007
116,116,"Tim Herron",98,1.794,1961,1093,27.68,102,"PuttingAverage",2007
116,116,"Matt Kuchar",85,1.794,1699,947,26.67,84,"PuttingAverage",2007
119,119,"Steve Flesch",100,1.795,2127,1185,27.12,55,"PuttingAverage",2007
119,119,"Justin Leonard",95,1.795,1989,1108,26.61,94,"PuttingAverage",2007
121,121,"DJ Brigman",67,1.796,1345,749,27.14,51,"PuttingAverage",2007
121,121,"JB Holmes",71,1.796,1440,802,31.38,104,"PuttingAverage",2007
121,121,"Jerry Kelly",101,1.796,2033,1132,27.22,93,"PuttingAverage",2007
121,121,"Sean OHair",98,1.796,2126,1184,28.98,23,"PuttingAverage",2007
121,121,"Charles Warren",101,1.796,2232,1243,29.83,14,"PuttingAverage",2007
126,126,"Stephen Ames",81,1.797,1617,900,26.49,86,"PuttingAverage",2007
127,127,"Chris Couch",76,1.798,1577,877,28.69,121,"PuttingAverage",2007
127,127,"Steve Marino",106,1.798,2181,1213,29.37,50,"PuttingAverage",2007
129,129,"Lee Janzen",66,1.799,1333,741,26.79,117,"PuttingAverage",2007
129,129,"Daisuke Maruyama",86,1.799,1723,958,27.23,88,"PuttingAverage",2007
129,129,"Billy Mayfair",98,1.799,2161,1201,26.96,18,"PuttingAverage",2007
132,132,"Brett Quigley",79,1.8,1570,872,27.27,166,"PuttingAverage",2007
133,133,"Jason Bohn",57,1.801,1201,667,28.08,82,"PuttingAverage",2007
133,133,"Andrew Buckle",77,1.801,1520,844,29.1,162,"PuttingAverage",2007
133,133,"Harrison Frazar",88,1.801,1774,985,29.67,133,"PuttingAverage",2007
133,133,"Doug LaBelle II",104,1.801,2086,1158,24.65,114,"PuttingAverage",2007
133,133,"Stephen Leaney",82,1.801,1819,1010,24.6,13,"PuttingAverage",2007
133,133,"Michael Putnam",96,1.801,1999,1110,27.5,24,"PuttingAverage",2007
133,133,"Boo Weekley",101,1.801,2071,1150,27.81,54,"PuttingAverage",2007
133,133,"Steve Wheatcroft",73,1.801,1437,798,27.8,118,"PuttingAverage",2007
141,141,"Billy Andrade",88,1.802,1856,1030,28.79,81,"PuttingAverage",2007
141,141,"Stuart Appleby",74,1.802,1458,809,27.39,175,"PuttingAverage",2007
141,141,"Richard Johnson",93,1.802,1908,1059,23.56,99,"PuttingAverage",2007
141,141,"Corey Pavin",81,1.802,1597,886,25.71,183,"PuttingAverage",2007
145,145,"Tom Johnson",74,1.803,1507,836,27.58,107,"PuttingAverage",2007
146,146,"Briny Baird",115,1.804,2497,1384,28.39,8,"PuttingAverage",2007
146,146,"Michael Boyd",61,1.804,1167,647,25.97,148,"PuttingAverage",2007
146,146,"Bill Haas",93,1.804,1907,1057,28.63,53,"PuttingAverage",2007
146,146,"Matt Hendrix",63,1.804,1286,713,26.51,86,"PuttingAverage",2007
146,146,"Bryce Molder",56,1.804,1043,578,26.82,191,"PuttingAverage",2007
146,146,"Paul Stankowski",52,1.804,985,546,28.94,143,"PuttingAverage",2007
152,152,"Kirk Triplett",77,1.805,1641,909,26.41,62,"PuttingAverage",2007
153,153,"Peter Lonard",85,1.806,1701,942,26.94,100,"PuttingAverage",2007
153,153,"Kenny Perry",83,1.806,1822,1009,26.44,20,"PuttingAverage",2007
153,153,"Chris Tidland",59,1.806,1138,630,26.59,131,"PuttingAverage",2007
156,156,"Ben Curtis",80,1.807,1576,872,25.49,185,"PuttingAverage",2007
156,156,"Charles Howell III",89,1.807,1773,981,27.32,140,"PuttingAverage",2007
156,156,"Shaun Micheel",91,1.807,1890,1046,26.12,52,"PuttingAverage",2007
156,156,"Mark Wilson",87,1.807,1751,969,26.37,91,"PuttingAverage",2007
160,160,"Anders Hansen",55,1.808,1043,577,24.26,156,"PuttingAverage",2007
160,160,"JJ Henry",86,1.808,1844,1020,26.82,30,"PuttingAverage",2007
162,162,"Chad Campbell",96,1.809,1869,1033,26.8,129,"PuttingAverage",2007
162,162,"Rod Pampling",92,1.809,1909,1055,26.57,78,"PuttingAverage",2007
164,164,"Jason Dufner",100,1.81,2119,1171,27.29,80,"PuttingAverage",2007
165,165,"John Merrick",92,1.811,1983,1095,27.58,9,"PuttingAverage",2007
166,166,"Craig Barlow",52,1.812,1140,629,29.14,22,"PuttingAverage",2007
166,166,"Scott Gutschewski",67,1.812,1288,711,29.58,160,"PuttingAverage",2007
166,166,"Tom Lehman",62,1.812,1379,761,25.3,16,"PuttingAverage",2007
169,169,"Brett Wetterich",88,1.813,1882,1038,29.25,43,"PuttingAverage",2007
170,170,"Robert Allenby",90,1.814,1985,1094,29.16,15,"PuttingAverage",2007
170,170,"Mathew Goggin",97,1.814,2181,1202,26.94,11,"PuttingAverage",2007
172,172,"Jose Coceres",50,1.815,931,513,25.39,168,"PuttingAverage",2007
172,172,"Nick Watney",87,1.815,1889,1041,28.54,35,"PuttingAverage",2007
174,174,"Jeff Brehaut",59,1.816,1213,668,25.94,79,"PuttingAverage",2007
174,174,"Fred Funk",65,1.816,1231,678,24.96,171,"PuttingAverage",2007
174,174,"Darron Stiles",65,1.816,1306,719,28.07,71,"PuttingAverage",2007
177,177,"Jeff Gove",103,1.82,2368,1301,25.83,3,"PuttingAverage",2007
177,177,"Todd Hamilton",76,1.82,1418,779,24.39,195,"PuttingAverage",2007
177,177,"Ted Purdy",102,1.82,2159,1186,26.24,21,"PuttingAverage",2007
177,177,"Jason Schultz",63,1.82,1203,661,26.52,164,"PuttingAverage",2007
177,177,"Joey Sindelar",75,1.82,1638,900,26.17,30,"PuttingAverage",2007
182,182,"Brian Bateman",55,1.822,1026,563,26.82,177,"PuttingAverage",2007
183,183,"DJ Trahan",99,1.823,2175,1193,26.15,27,"PuttingAverage",2007
184,184,"Greg Owen",81,1.827,1770,969,26.4,17,"PuttingAverage",2007
185,185,"John Senden",97,1.83,2247,1228,26.89,2,"PuttingAverage",2007
186,186,"Tom Byrum",50,1.833,1032,563,22.36,76,"PuttingAverage",2007
187,187,"David Branshaw",83,1.835,1774,967,24.82,97,"PuttingAverage",2007
188,188,"Jeff Sluman",60,1.836,1129,615,24.55,181,"PuttingAverage",2007
189,189,"Mark Brooks",53,1.837,1051,572,21.85,92,"PuttingAverage",2007
190,190,"Kevin Stadler",95,1.839,1975,1074,25.54,64,"PuttingAverage",2007
191,191,"Kyle Reifers",71,1.846,1479,801,25.22,110,"PuttingAverage",2007
191,191,"Jaco Van Zyl",51,1.846,1041,564,25,125,"PuttingAverage",2007
193,193,"Trevor Immelman",74,1.847,1481,802,24.19,66,"PuttingAverage",2007
194,194,"Joe Durant",88,1.851,1986,1073,24.32,12,"PuttingAverage",2007
195,195,"Davis Love III",66,1.852,1387,749,26.03,124,"PuttingAverage",2007
196,196,"Jim Rutledge",59,1.871,1190,636,21.96,119,"PuttingAverage",2007
