"ProximitytoHolefromRough_RANKTHISWEEK_2005","ProximitytoHolefromRough_RANKLASTWEEK_2005","ProximitytoHolefromRough_PLAYERNAME_2005","ProximitytoHolefromRough_ROUNDS_2005","ProximitytoHolefromRough_AVGDTP_2005","ProximitytoHolefromRough_TOTALDISTANCEFEET_2005","ProximitytoHolefromRough_OFSHOTS_2005","ProximitytoHolefromRough_SCRAMBLINGRANK_2005","stat_name","year"
115,115,"David Toms",87,NA,1366.917,153,118,"ProximitytoHolefromRough",2005
122,122,"Michael Allen",90,NA,1809.833,201,147,"ProximitytoHolefromRough",2005
122,122,"Stephen Ames",82,NA,1553.75,172,35,"ProximitytoHolefromRough",2005
122,122,"Daniel Chopra",108,NA,2580.25,286,23,"ProximitytoHolefromRough",2005
122,122,"John Daly",78,NA,1653.083,183,192,"ProximitytoHolefromRough",2005
122,122,"Matt Davidson",53,NA,1142,127,155,"ProximitytoHolefromRough",2005
122,122,"Brian Davis",75,NA,1255.167,139,17,"ProximitytoHolefromRough",2005
122,122,"Harrison Frazar",105,NA,2193.917,244,74,"ProximitytoHolefromRough",2005
122,122,"Glen Hnatiuk",59,NA,908.417,101,173,"ProximitytoHolefromRough",2005
122,122,"Neal Lancaster",95,NA,1955.417,218,90,"ProximitytoHolefromRough",2005
122,122,"Steve Lowery",100,NA,2063.833,230,137,"ProximitytoHolefromRough",2005
122,122,"Len Mattiace",86,NA,1940.917,216,106,"ProximitytoHolefromRough",2005
122,122,"Rocco Mediate",73,NA,1290.833,143,38,"ProximitytoHolefromRough",2005
122,122,"Carl Pettersson",109,NA,2061.417,230,25,"ProximitytoHolefromRough",2005
122,122,"Tag Ridings",93,NA,2100.75,234,163,"ProximitytoHolefromRough",2005
136,136,"Robert Damron",89,NA,1814.417,200,93,"ProximitytoHolefromRough",2005
136,136,"John Elliott",58,NA,1295.417,143,199,"ProximitytoHolefromRough",2005
136,136,"Robert Gamez",91,NA,1751.083,193,127,"ProximitytoHolefromRough",2005
136,136,"Jeff Maggert",79,NA,1300.333,143,167,"ProximitytoHolefromRough",2005
136,136,"Billy Mayfair",114,NA,2316.75,256,54,"ProximitytoHolefromRough",2005
136,136,"Scott McCarron",78,NA,1408.583,155,161,"ProximitytoHolefromRough",2005
136,136,"Roland Thatcher",75,NA,1585.417,174,133,"ProximitytoHolefromRough",2005
143,143,"Billy Andrade",83,NA,1967.75,214,104,"ProximitytoHolefromRough",2005
143,143,"Arjun Atwal",65,NA,1663.667,181,162,"ProximitytoHolefromRough",2005
143,143,"Brian Bateman",98,NA,2047.417,224,176,"ProximitytoHolefromRough",2005
143,143,"Brad Faxon",75,NA,1400.167,153,97,"ProximitytoHolefromRough",2005
143,143,"Brent Geiberger",61,NA,1210.833,132,164,"ProximitytoHolefromRough",2005
143,143,"Bob Heintz",67,NA,1558.333,170,96,"ProximitytoHolefromRough",2005
143,143,"Shaun Micheel",81,NA,1470.333,161,157,"ProximitytoHolefromRough",2005
143,143,"Hidemichi Tanaka",106,NA,1960.417,213,62,"ProximitytoHolefromRough",2005
151,151,"Steve Allan",102,NA,2376.417,257,117,"ProximitytoHolefromRough",2005
151,151,"Steve Flesch",90,NA,1677,182,159,"ProximitytoHolefromRough",2005
151,151,"Matt Gogel",78,NA,1693.417,183,106,"ProximitytoHolefromRough",2005
151,151,"Mathias Gronberg",60,NA,1476.417,159,1,"ProximitytoHolefromRough",2005
151,151,"Jerry Kelly",101,NA,1953.917,211,71,"ProximitytoHolefromRough",2005
151,151,"Thomas Levet",54,NA,904,98,195,"ProximitytoHolefromRough",2005
151,151,"Davis Love III",80,NA,1586,171,48,"ProximitytoHolefromRough",2005
151,151,"Dennis Paulson",63,NA,1549.75,168,191,"ProximitytoHolefromRough",2005
151,151,"Duffy Waldorf",86,NA,1699.167,184,148,"ProximitytoHolefromRough",2005
151,151,"Charles Warren",89,NA,1855.917,200,200,"ProximitytoHolefromRough",2005
161,161,"JL Lewis",98,NA,1731.75,186,87,"ProximitytoHolefromRough",2005
161,161,"Pat Perez",89,NA,2247.833,241,12,"ProximitytoHolefromRough",2005
161,161,"DJ Trahan",81,NA,1386.333,149,168,"ProximitytoHolefromRough",2005
164,164,"Chad Campbell",95,NA,1721.25,182,144,"ProximitytoHolefromRough",2005
165,165,"Bart Bryant",91,NA,1622,170,123,"ProximitytoHolefromRough",2005
165,165,"Ben Curtis",65,NA,1247.667,131,176,"ProximitytoHolefromRough",2005
165,165,"John Huston",90,NA,1931.083,203,128,"ProximitytoHolefromRough",2005
168,168,"Justin Bolli",65,NA,1538.5,160,144,"ProximitytoHolefromRough",2005
168,168,"Mark Calcavecchia",92,NA,2020.5,211,110,"ProximitytoHolefromRough",2005
168,168,"JJ Henry",102,NA,1813.583,190,105,"ProximitytoHolefromRough",2005
168,168,"Peter Lonard",85,NA,1663.25,174,152,"ProximitytoHolefromRough",2005
168,168,"Mark OMeara",66,NA,1365.917,143,33,"ProximitytoHolefromRough",2005
168,168,"Joey Snyder III",102,NA,2310.417,242,182,"ProximitytoHolefromRough",2005
168,168,"Brett Wetterich",76,NA,1839.083,192,156,"ProximitytoHolefromRough",2005
175,175,"Craig Barlow",81,NA,1592.083,165,172,"ProximitytoHolefromRough",2005
175,175,"Will Ma Kenzie",75,NA,1727.833,179,140,"ProximitytoHolefromRough",2005
177,177,"Michael Long",72,NA,1570.917,161,179,"ProximitytoHolefromRough",2005
178,178,"Joe Durant",81,NA,1449.75,148,115,"ProximitytoHolefromRough",2005
178,178,"DA Points",94,NA,2248.167,229,100,"ProximitytoHolefromRough",2005
178,178,"Jeff Sluman",94,NA,1915.667,195,44,"ProximitytoHolefromRough",2005
178,178,"Kevin Stadler",96,NA,2290.25,233,165,"ProximitytoHolefromRough",2005
182,182,"Robert Allenby",95,NA,1526.333,154,174,"ProximitytoHolefromRough",2005
182,182,"Danny Briggs",70,NA,1743.833,176,149,"ProximitytoHolefromRough",2005
182,182,"Jay Haas",54,NA,970.75,98,116,"ProximitytoHolefromRough",2005
182,182,"Bradley Hughes",52,NA,1007.583,102,187,"ProximitytoHolefromRough",2005
182,182,"Ryan Palmer",101,NA,2400,243,171,"ProximitytoHolefromRough",2005
182,182,"Brett Quigley",96,NA,1839.333,185,28,"ProximitytoHolefromRough",2005
182,182,"Tiger Woods",76,NA,1696.417,171,14,"ProximitytoHolefromRough",2005
189,189,"Tom Gillis",77,NA,1677.667,168,153,"ProximitytoHolefromRough",2005
189,189,"Scott Hend",75,NA,1823.833,183,196,"ProximitytoHolefromRough",2005
189,189,"Hunter Mahan",103,NA,2522.75,252,194,"ProximitytoHolefromRough",2005
192,192,"James Driscoll",73,NA,1834.833,182,65,"ProximitytoHolefromRough",2005
192,192,"Hank Kuehne",84,NA,2283.083,227,182,"ProximitytoHolefromRough",2005
192,192,"John Senden",101,NA,1962.25,195,80,"ProximitytoHolefromRough",2005
195,195,"Franklin Langham",91,NA,1964,193,125,"ProximitytoHolefromRough",2005
195,195,"Craig Perks",67,NA,1368.167,135,202,"ProximitytoHolefromRough",2005
197,197,"Steve Elkington",67,NA,1397.25,136,34,"ProximitytoHolefromRough",2005
198,198,"Tom Byrum",83,NA,1823.833,176,94,"ProximitytoHolefromRough",2005
199,199,"Sean OHair",103,NA,2153.833,207,103,"ProximitytoHolefromRough",2005
200,200,"Scott Gutschewski",86,NA,1901.917,180,160,"ProximitytoHolefromRough",2005
201,201,"Tjaart van der Walt",56,NA,1335.417,124,126,"ProximitytoHolefromRough",2005
202,202,"Chris Smith",93,NA,2123.75,185,201,"ProximitytoHolefromRough",2005
