"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2015","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2015","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2015","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2015","ofPotentialPtswonFedExCupRegularSeason_Pct_2015","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2015","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2015","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2015","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2015","stat_name","year"
50,50,"Fabian Gomez",26,7.45,797,10700,1,2,"ofPotentialPtswonFedExCupRegularSeason",2015
51,51,"Troy Merritt",29,7.44,930,12500,1,3,"ofPotentialPtswonFedExCupRegularSeason",2015
52,52,"Lee Westwood",15,7.41,530,7150,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
53,53,"Boo Weekley",24,7.32,776,10600,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2015
54,54,"Harris English",29,7.25,932,12850,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
54,54,"Russell Knox",28,7.25,914,12600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
56,56,"Matt Jones",25,7.2,821,11400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
57,57,"Billy Horschel",28,7.14,903,12650,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
58,58,"Keegan Bradley",24,7.12,759,10650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
59,59,"Francesco Molinari",16,7.11,558,7850,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
60,60,"Pat Perez",26,7.05,825,11700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
61,61,"Tony Finau",31,7.04,985,14000,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
62,62,"Greg Owen",19,6.99,608,8700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
63,63,"Vaughn Taylor",12,6.94,361,5200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
64,64,"Brendon Todd",27,6.84,831,12150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
65,65,"Nick Watney",28,6.77,847,12500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
66,66,"Daniel Berger",31,6.61,899,13600,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
66,66,"Fred Funk",2,6.61,66,1000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
68,68,"Mark Hensby",2,6.56,53,800,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
69,69,"David Hearn",30,6.5,890,13700,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
70,70,"Charl Schwartzel",19,6.38,584,9150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
71,71,"Brendon de Jonge",31,6.37,892,14000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
72,72,"Padraig Harrington",21,6.29,610,9700,1,1,"ofPotentialPtswonFedExCupRegularSeason",2015
73,73,"Sean OHair",26,6.25,719,11500,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
73,73,"Cameron Tringale",28,6.25,816,13050,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
75,75,"Jerry Kelly",24,6.19,632,10200,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
76,76,"Martin Kaymer",13,6.1,406,6650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
77,77,"Hunter Mahan",24,6.08,648,10650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
78,78,"Rory Sabbatini",25,6.06,678,11200,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
79,79,"Kevin Streelman",27,6.04,771,12750,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
80,80,"Matt Every",26,6.01,727,12100,1,1,"ofPotentialPtswonFedExCupRegularSeason",2015
81,81,"George McNeill",27,5.81,715,12300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
82,82,"Will Ma Kenzie",16,5.79,458,7900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
83,83,"Martin Laird",24,5.76,628,10900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
84,84,"Johnson Wagner",23,5.56,551,9900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
85,85,"Daniel Summerhays",29,5.54,720,13000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
86,86,"Alex Cejka",30,5.52,739,13400,1,1,"ofPotentialPtswonFedExCupRegularSeason",2015
87,87,"Jamie Donaldson",16,5.48,447,8150,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
88,88,"Jason Dufner",21,5.38,546,10150,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
89,89,"Scott Pinckney",27,5.33,645,12100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
90,90,"Bryce Molder",26,5.31,595,11200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
91,91,"John Senden",24,5.23,610,11650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
92,92,"Brian Harman",29,5.21,704,13500,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
93,93,"Kevin Chappell",26,5.1,602,11800,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
94,94,"Tom Gillis",16,5.08,391,7700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
95,95,"Graham DeLaet",22,5.07,545,10750,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
95,95,"John Peterson",25,5.07,588,11600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
97,97,"Scott Brown",30,5.04,690,13700,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
97,97,"Luke Donald",20,5.04,484,9600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
97,97,"Jason Gore",26,5.04,564,11200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
100,100,"Charles Howell III",30,5.01,692,13800,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
101,101,"Morgan Hoffmann",26,4.99,627,12550,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
102,102,"Jim Herman",27,4.96,610,12300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
103,103,"Chad Campbell",30,4.93,670,13600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
104,104,"William McGirt",30,4.87,652,13400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
105,105,"Colt Knost",29,4.8,628,13100,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
106,106,"Carl Pettersson",32,4.79,723,15100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
107,107,"Jason Kokrak",28,4.76,614,12900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
108,108,"JJ Henry",30,4.66,620,13300,1,1,"ofPotentialPtswonFedExCupRegularSeason",2015
109,109,"Scott Stallings",19,4.63,447,9650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
110,110,"Chad Collins",24,4.54,504,11100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
110,110,"Chesson Hadley",30,4.54,626,13800,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
112,112,"Steve Stricker",9,4.53,218,4800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
113,113,"Kyle Reifers",31,4.5,626,13900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
114,114,"Geoff Ogilvy",15,4.46,350,7850,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
115,115,"Stewart Cink",23,4.41,494,11200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
116,116,"Vijay Singh",23,4.34,490,11300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
117,117,"Stephen Ames",1,4.25,13,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
118,118,"Jon Curran",28,4.19,540,12900,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2015
119,119,"Graeme McDowell",15,4.18,320,7650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
120,120,"Adam Hadwin",30,4.17,584,14000,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
121,121,"Andres Gonzales",28,4.12,531,12900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
121,121,"Retief Goosen",25,4.12,519,12600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
123,123,"Steve Wheatcroft",28,4.09,536,13100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
124,124,"Duffy Waldorf",2,4.08,25,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
125,125,"Hudson Swafford",30,4.07,554,13600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
126,126,"Nick Taylor",28,4.06,549,13500,1,1,"ofPotentialPtswonFedExCupRegularSeason",2015
127,127,"Seung Yul Noh",21,4.04,432,10700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
128,128,"Chris Stroud",28,4.02,531,13200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
129,129,"Mark Wilson",28,4.01,497,12400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
130,130,"Mark OMeara",2,3.94,47,1200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
131,131,"Garrett Willis",1,3.92,12,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
132,132,"David Toms",21,3.87,383,9900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
133,133,"John Huh",31,3.84,565,14700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
134,134,"KJ Choi",19,3.81,358,9400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
135,135,"Carlos Ortiz",30,3.79,515,13600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
136,136,"Freddie Jacobson",14,3.77,268,7100,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
136,136,"Camilo Villegas",27,3.77,467,12400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
138,138,"Jonas Blixt",26,3.72,471,12650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
139,139,"Kyle Stanley",12,3.7,200,5400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
140,140,"Whee Kim",23,3.68,393,10700,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
141,141,"Zac Blair",34,3.66,538,14700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
142,142,"Tom Hoge",26,3.59,441,12300,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
143,143,"Tiger Woods",11,3.58,215,6000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
144,144,"Ken Duke",30,3.55,493,13900,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2015
145,145,"Spencer Levin",31,3.54,496,14000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
146,146,"Ryo Ishikawa",28,3.5,458,13100,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
147,147,"Erik Compton",28,3.46,471,13600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
148,148,"Chris Smith",9,3.45,128,3700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
149,149,"Alex Prugh",27,3.36,433,12900,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
150,150,"SJ Park",27,3.35,426,12700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
151,151,"Shane Lowry",13,3.34,222,6650,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
152,152,"Scott Langley",28,3.32,448,13500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
153,153,"Cameron Percy",23,3.31,361,10900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
154,154,"Jonathan Byrd",22,3.29,335,10200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
155,155,"Jeff Overton",30,3.23,458,14200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
156,156,"Sam Saunders",28,3.11,413,13300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
157,157,"Rod Pampling",10,3.06,138,4500,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
158,158,"Blayne Barber",26,3.04,380,12500,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2015
158,158,"Billy Hurley III",28,3.04,420,13800,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
160,160,"Nicholas Thompson",31,3.01,442,14700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
161,161,"Brian Stuard",31,2.94,447,15200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
162,162,"Greg Chalmers",17,2.93,242,8250,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
163,163,"Michael Putnam",28,2.91,407,14000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
163,163,"Michael Thompson",27,2.91,378,13000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
165,165,"Lucas Glover",26,2.9,375,12900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
166,166,"Stuart Appleby",7,2.87,100,3500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
166,166,"YE Yang",4,2.87,49,1700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
168,168,"Victor Dubuisson",10,2.86,145,5050,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
169,169,"Brice Garnett",29,2.85,398,14000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
170,170,"Chez Reavie",19,2.82,268,9500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
171,171,"Charlie Beljan",27,2.8,369,13200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
172,172,"Luke Guthrie",27,2.79,373,13400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
173,173,"Aaron Baddeley",25,2.75,336,12200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
174,174,"Andres Romero",24,2.69,312,11600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
175,175,"Ricky Barnes",27,2.67,347,13000,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
176,176,"Jhonattan Vegas",27,2.64,353,13400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
177,177,"Tim Petrovic",11,2.63,123,4700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
178,178,"Brian Davis",31,2.54,387,15200,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
179,179,"John Merrick",27,2.45,311,12700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
180,180,"Ernie Els",18,2.43,233,9550,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
181,181,"Martin Flores",30,2.41,345,14300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
182,182,"Bo Van Pelt",28,2.4,322,13400,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2015
183,183,"Mark Hubbard",25,2.34,274,11700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
184,184,"Kenny Perry",9,2.33,105,4500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
185,185,"Roberto Castro",16,2.28,167,7300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
186,186,"Arjun Atwal",7,2.2,64,2900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
187,187,"Joe Affrunti",4,2.15,39,1800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
187,187,"Steve Flesch",7,2.15,58,2700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
187,187,"Max Homa",27,2.15,278,12900,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
190,190,"Angel Cabrera",19,2.13,208,9800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
191,191,"Steven Alker",22,2.12,216,10200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
192,192,"Kent Jones",2,2.08,13,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
192,192,"Chris Riley",2,2.08,13,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
194,194,"Derek Ernst",26,2.05,250,12200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
194,194,"Derek Fathauer",27,2.05,263,12800,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
196,196,"Gonzalo Fdez Castano",28,2.01,272,13500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
196,196,"Josh Teater",11,2.01,94,4700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
198,198,"DA Points",26,1.95,244,12500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
198,198,"John Rollins",14,1.95,121,6200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
200,200,"Glen Day",8,1.91,61,3200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
201,201,"Andrew Svoboda",30,1.86,266,14300,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
202,202,"Robert Garrigus",25,1.85,226,12200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
203,203,"Jonathan Randolph",25,1.79,209,11700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
204,204,"Oscar Fraustro",21,1.77,171,9700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
205,205,"Andrew Putnam",23,1.76,192,10900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
206,206,"Lee Janzen",4,1.69,29,1700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
207,207,"Justin Leonard",22,1.68,188,11200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
207,207,"Andrew Loupe",15,1.68,112,6700,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
209,209,"Ben Crane",22,1.65,182,11000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
210,210,"Dicky Pride",5,1.63,31,1900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
211,211,"DJ Trahan",5,1.61,31,1900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
212,212,"Ryan Armour",17,1.59,123,7700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
213,213,"Eric Axley",21,1.57,152,9700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
213,213,"Michael Bradley",4,1.57,22,1400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
215,215,"Kevin Stadler",5,1.55,41,2650,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
216,216,"Tyrone Van Aswegen",20,1.54,142,9200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
217,217,"Matt Bettencourt",8,1.49,48,3200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
218,218,"Tommy Gainey",9,1.45,57,3900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
219,219,"Bill Lunde",18,1.43,117,8200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
220,220,"Robert Allenby",25,1.36,169,12400,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
221,221,"Tim Wilkinson",28,1.33,183,13700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
222,222,"Jarrod Lyle",10,1.32,63,4800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
223,223,"Cameron Beckman",8,1.23,40,3200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
223,223,"John Daly",10,1.23,57,4600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
223,223,"David Duval",6,1.23,31,2500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
223,223,"Shaun Micheel",5,1.23,25,2000,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
227,227,"Billy Mayfair",6,1.19,26,2200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
228,228,"Charlie Wi",9,1.18,44,3700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
229,229,"Troy Matteson",9,1.15,43,3700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
230,230,"Blake Adams",13,1.14,74,6500,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
231,231,"Troy Kelly",9,1.13,50,4400,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
232,232,"Roger Sloan",20,1.12,103,9200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
233,233,"Parker McLachlin",2,1.08,7,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
234,234,"Byron Smith",21,0.99,96,9700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
235,235,"Daniel Chopra",5,0.89,17,1900,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
236,236,"Trevor Immelman",19,0.86,76,8800,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
237,237,"Zack Sucher",18,0.85,70,8200,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
238,238,"Ben Curtis",14,0.76,51,6700,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
239,239,"Benjamin Alvarado",8,0.72,26,3600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
240,240,"Guy Boros",2,0.71,4,600,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2015
241,241,"Carlos Sainz Jr",20,0.64,59,9200,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2015
