"SandSavePercentage_RANKTHISWEEK_2008","SandSavePercentage_RANKLASTWEEK_2008","SandSavePercentage_PLAYERNAME_2008","SandSavePercentage_ROUNDS_2008","SandSavePercentage_Pct_2008","SandSavePercentage_SAVES_2008","SandSavePercentage_BUNKERS_2008","SandSavePercentage_TOTALOUPAR_2008","stat_name","year"
54,54,"Mathew Goggin",91,53.33,80,150,47,"SandSavePercentage",2008
55,55,"Nathan Green",95,53.26,98,184,68,"SandSavePercentage",2008
56,56,"Rocco Mediate",87,53.25,82,154,64,"SandSavePercentage",2008
57,57,"Omar Uresti",74,53.15,59,111,39,"SandSavePercentage",2008
58,58,"Carl Pettersson",110,53.13,102,192,60,"SandSavePercentage",2008
59,59,"Ben Crane",86,52.94,72,136,42,"SandSavePercentage",2008
60,60,"Todd Demsey",80,52.9,73,138,43,"SandSavePercentage",2008
61,61,"Jim McGovern",75,52.88,55,104,37,"SandSavePercentage",2008
62,62,"Charles Howell III",101,52.8,85,161,50,"SandSavePercentage",2008
63,63,"Matt Kuchar",88,52.76,67,127,55,"SandSavePercentage",2008
64,64,"Bo Van Pelt",101,52.67,79,150,53,"SandSavePercentage",2008
65,65,"Steve Flesch",95,52.63,70,133,48,"SandSavePercentage",2008
66,66,"Charlie Wi",97,52.52,73,139,37,"SandSavePercentage",2008
67,67,"Cameron Beckman",87,52.46,64,122,53,"SandSavePercentage",2008
68,68,"Kevin Streelman",114,52.35,89,170,56,"SandSavePercentage",2008
69,69,"Steve Stricker",75,52.34,56,107,37,"SandSavePercentage",2008
70,70,"Tim Wilkinson",95,52.29,80,153,58,"SandSavePercentage",2008
71,71,"Frank Lickliter II",107,52.05,89,171,72,"SandSavePercentage",2008
72,72,"Aaron Baddeley",76,52,65,125,36,"SandSavePercentage",2008
72,72,"John Huston",56,52,39,75,22,"SandSavePercentage",2008
74,74,"Nick OHern",82,51.69,61,118,50,"SandSavePercentage",2008
75,75,"Michael Allen",91,51.67,62,120,41,"SandSavePercentage",2008
76,76,"Marc Turnesa",87,51.64,63,122,49,"SandSavePercentage",2008
77,77,"Brad Elder",67,51.61,48,93,38,"SandSavePercentage",2008
78,78,"Matt Jones",95,51.59,81,157,57,"SandSavePercentage",2008
79,79,"George McNeill",97,51.33,77,150,49,"SandSavePercentage",2008
80,80,"Tim Petrovic",97,51.27,81,158,64,"SandSavePercentage",2008
82,82,"KJ Choi",74,51.16,66,129,47,"SandSavePercentage",2008
82,82,"Harrison Frazar",73,51.16,44,86,27,"SandSavePercentage",2008
84,84,"Stewart Cink",87,51.13,68,133,41,"SandSavePercentage",2008
85,85,"John Mallinger",95,51.06,96,188,91,"SandSavePercentage",2008
86,86,"Tim Herron",97,51.02,75,147,48,"SandSavePercentage",2008
87,87,"Brad Adamonis",87,50.99,77,151,35,"SandSavePercentage",2008
88,88,"Ken Duke",116,50.96,106,208,80,"SandSavePercentage",2008
89,89,"Jeff Maggert",86,50.81,63,124,49,"SandSavePercentage",2008
90,90,"Stephen Ames",83,50.76,67,132,62,"SandSavePercentage",2008
91,91,"JB Holmes",86,50.69,73,144,57,"SandSavePercentage",2008
92,92,"Jim Furyk",95,50.68,74,146,50,"SandSavePercentage",2008
93,93,"Sean OHair",81,50.64,79,156,63,"SandSavePercentage",2008
94,94,"Boo Weekley",86,50.39,65,129,40,"SandSavePercentage",2008
95,95,"Brett Quigley",80,50.36,69,137,44,"SandSavePercentage",2008
96,96,"Anthony Kim",81,50.35,72,143,43,"SandSavePercentage",2008
97,97,"Tag Ridings",88,50.34,73,145,38,"SandSavePercentage",2008
98,98,"Stephen Leaney",53,50,39,78,40,"SandSavePercentage",2008
98,98,"Davis Love III",78,50,64,128,42,"SandSavePercentage",2008
98,98,"Shigeki Maruyama",50,50,35,70,32,"SandSavePercentage",2008
98,98,"Troy Matteson",94,50,64,128,40,"SandSavePercentage",2008
98,98,"Kenny Perry",97,50,70,140,43,"SandSavePercentage",2008
103,103,"Bill Haas",99,49.71,86,173,48,"SandSavePercentage",2008
104,104,"Brandt Snedeker",85,49.67,76,153,64,"SandSavePercentage",2008
105,105,"Paul Goydos",78,49.66,72,145,70,"SandSavePercentage",2008
106,106,"Paul Claxton",63,49.44,44,89,45,"SandSavePercentage",2008
107,107,"Shane Bertsch",96,49.36,77,156,73,"SandSavePercentage",2008
108,108,"Olin Browne",77,49.04,51,104,54,"SandSavePercentage",2008
109,109,"Doug LaBelle II",65,48.94,46,94,38,"SandSavePercentage",2008
109,109,"John Senden",93,48.94,69,141,46,"SandSavePercentage",2008
111,111,"Bob Estes",90,48.89,66,135,50,"SandSavePercentage",2008
112,112,"Nicholas Thompson",113,48.78,100,205,73,"SandSavePercentage",2008
113,113,"Chris DiMarco",87,48.7,75,154,78,"SandSavePercentage",2008
113,113,"Mark Hensby",71,48.7,56,115,57,"SandSavePercentage",2008
115,115,"Jerry Kelly",89,48.68,74,152,69,"SandSavePercentage",2008
116,116,"Rory Sabbatini",77,48.6,52,107,40,"SandSavePercentage",2008
117,117,"Jonathan Byrd",88,48.41,76,157,68,"SandSavePercentage",2008
117,117,"Jeff Quinney",87,48.41,61,126,68,"SandSavePercentage",2008
119,119,"Bart Bryant",81,48.31,57,118,48,"SandSavePercentage",2008
120,120,"Michael Letzig",88,48.25,69,143,62,"SandSavePercentage",2008
121,121,"Eric Axley",113,48.24,82,170,73,"SandSavePercentage",2008
122,122,"YE Yang",89,48.1,76,158,55,"SandSavePercentage",2008
123,123,"Cliff Kresge",84,48,60,125,60,"SandSavePercentage",2008
124,124,"Jon Mills",95,47.44,74,156,62,"SandSavePercentage",2008
125,125,"Mathias Gronberg",87,47.33,62,131,51,"SandSavePercentage",2008
126,126,"John Rollins",94,47.2,76,161,70,"SandSavePercentage",2008
127,127,"Charley Hoffman",94,47.17,75,159,57,"SandSavePercentage",2008
127,127,"Jesper Parnevik",88,47.17,75,159,77,"SandSavePercentage",2008
129,129,"Retief Goosen",59,47.12,49,104,48,"SandSavePercentage",2008
129,129,"Kent Jones",68,47.12,49,104,38,"SandSavePercentage",2008
131,131,"Jay Williamson",96,46.9,53,113,48,"SandSavePercentage",2008
132,132,"Tommy Armour III",77,46.88,45,96,43,"SandSavePercentage",2008
133,133,"David Duval",51,46.84,37,79,41,"SandSavePercentage",2008
134,134,"Lucas Glover",91,46.81,66,141,52,"SandSavePercentage",2008
135,135,"Martin Laird",98,46.72,64,137,42,"SandSavePercentage",2008
136,136,"James Driscoll",85,46.62,62,133,46,"SandSavePercentage",2008
137,137,"Scott McCarron",63,46.51,40,86,29,"SandSavePercentage",2008
138,138,"Robert Allenby",108,46.49,86,185,51,"SandSavePercentage",2008
139,139,"Travis Perkins",53,46.48,33,71,39,"SandSavePercentage",2008
140,140,"Lee Janzen",89,46.1,65,141,63,"SandSavePercentage",2008
141,141,"Todd Hamilton",92,46.01,75,163,85,"SandSavePercentage",2008
142,142,"Hunter Mahan",87,45.97,57,124,43,"SandSavePercentage",2008
143,143,"Kenneth Ferrie",72,45.95,51,111,43,"SandSavePercentage",2008
144,144,"Ryan Palmer",69,45.71,48,105,41,"SandSavePercentage",2008
145,145,"Tom Pernice Jr",104,45.66,79,173,75,"SandSavePercentage",2008
146,146,"Jason Day",81,45.65,63,138,47,"SandSavePercentage",2008
147,147,"Steve Lowery",74,45.33,68,150,63,"SandSavePercentage",2008
148,148,"Zach Johnson",85,45.28,48,106,60,"SandSavePercentage",2008
149,149,"Steve Marino",119,45.25,81,179,71,"SandSavePercentage",2008
150,150,"Billy Andrade",71,45.22,52,115,57,"SandSavePercentage",2008
151,151,"Vijay Singh",82,45.11,60,133,46,"SandSavePercentage",2008
152,152,"Andres Romero",69,45.04,59,131,61,"SandSavePercentage",2008
153,153,"Scott Sterling",89,44.74,51,114,50,"SandSavePercentage",2008
154,154,"David Lutterus",59,44.55,45,101,46,"SandSavePercentage",2008
155,155,"Bob Sowards",61,44.33,43,97,39,"SandSavePercentage",2008
156,156,"Kyle Thompson",70,44.23,46,104,53,"SandSavePercentage",2008
157,157,"Fred Couples",60,44.12,45,102,34,"SandSavePercentage",2008
158,158,"Dean Wilson",109,44.03,70,159,83,"SandSavePercentage",2008
159,159,"John Riegger",73,44,33,75,26,"SandSavePercentage",2008
160,160,"Peter Lonard",92,43.8,60,137,58,"SandSavePercentage",2008
161,161,"Woody Austin",109,43.75,63,144,51,"SandSavePercentage",2008
161,161,"Cody Freeman",66,43.75,49,112,48,"SandSavePercentage",2008
163,163,"Chez Reavie",102,43.62,65,149,64,"SandSavePercentage",2008
164,164,"Ryan Moore",72,43.61,58,133,59,"SandSavePercentage",2008
164,164,"Kevin Stadler",90,43.61,58,133,51,"SandSavePercentage",2008
166,166,"Will Ma Kenzie",62,43.53,37,85,45,"SandSavePercentage",2008
167,167,"David Toms",70,43.48,50,115,47,"SandSavePercentage",2008
168,168,"Steve Elkington",84,43.44,53,122,60,"SandSavePercentage",2008
169,169,"Chad Campbell",94,43.41,56,129,58,"SandSavePercentage",2008
170,170,"JJ Henry",108,43.33,65,150,59,"SandSavePercentage",2008
171,171,"Jason Gore",94,43.29,71,164,78,"SandSavePercentage",2008
172,172,"John Merrick",98,43.28,58,134,61,"SandSavePercentage",2008
173,173,"Trevor Immelman",70,42.99,46,107,55,"SandSavePercentage",2008
174,174,"Alex Cejka",75,42.86,48,112,45,"SandSavePercentage",2008
174,174,"Robert Garrigus",90,42.86,69,161,60,"SandSavePercentage",2008
176,176,"Johnson Wagner",83,42.76,62,145,64,"SandSavePercentage",2008
177,177,"Patrick Sheehan",124,42.62,78,183,91,"SandSavePercentage",2008
178,178,"Dustin Johnson",92,42.48,65,153,67,"SandSavePercentage",2008
178,178,"DJ Trahan",94,42.48,65,153,55,"SandSavePercentage",2008
180,180,"Angel Cabrera",55,42.22,38,90,47,"SandSavePercentage",2008
181,181,"Nick Watney",96,42.11,64,152,53,"SandSavePercentage",2008
182,182,"Alejandro Canizares",52,42.03,29,69,30,"SandSavePercentage",2008
183,183,"Mark Calcavecchia",67,41.75,43,103,48,"SandSavePercentage",2008
184,184,"Bubba Watson",97,40.99,66,161,49,"SandSavePercentage",2008
185,185,"Chris Stroud",81,40.74,44,108,54,"SandSavePercentage",2008
186,186,"Jimmy Walker",73,40.71,46,113,48,"SandSavePercentage",2008
187,187,"Steve Allan",58,40.26,31,77,31,"SandSavePercentage",2008
188,188,"Ron Whittaker",54,40,24,60,33,"SandSavePercentage",2008
189,189,"Jeff Overton",103,39.73,58,146,56,"SandSavePercentage",2008
190,190,"Nick Flanagan",89,39.06,50,128,67,"SandSavePercentage",2008
191,191,"Paul Casey",55,38.81,26,67,38,"SandSavePercentage",2008
192,192,"Justin Bolli",87,38.46,45,117,60,"SandSavePercentage",2008
193,193,"Greg Kraft",63,37.89,36,95,67,"SandSavePercentage",2008
194,194,"Ryan Armour",87,37.78,51,135,78,"SandSavePercentage",2008
195,195,"Brandt Jobe",52,37.5,30,80,49,"SandSavePercentage",2008
196,196,"Charles Warren",79,37.41,52,139,67,"SandSavePercentage",2008
197,197,"Joe Durant",92,36.8,46,125,68,"SandSavePercentage",2008
