"EarlyScoringAverage_RANKTHISWEEK_2013","EarlyScoringAverage_RANKLASTWEEK_2013","EarlyScoringAverage_PLAYERNAME_2013","EarlyScoringAverage_ROUNDS_2013","EarlyScoringAverage_AVG_2013","EarlyScoringAverage_TOTALSTROKES_2013","EarlyScoringAverage_TOTALEARLYROUNDS_2013","stat_name","year"
131,131,"Ernie Els",63,71.42,2571,36,"EarlyScoringAverage",2013
132,132,"David Lynn",70,71.43,2500,35,"EarlyScoringAverage",2013
132,132,"Eric Meierdierks",48,71.43,1500,21,"EarlyScoringAverage",2013
132,132,"YE Yang",56,71.43,2143,30,"EarlyScoringAverage",2013
135,135,"Fabian Gomez",65,71.45,2358,33,"EarlyScoringAverage",2013
136,136,"Stephen Ames",49,71.46,1715,24,"EarlyScoringAverage",2013
137,137,"Troy Matteson",68,71.48,2216,31,"EarlyScoringAverage",2013
137,137,"Darron Stiles",51,71.48,1787,25,"EarlyScoringAverage",2013
139,139,"Jonas Blixt",76,71.5,3003,42,"EarlyScoringAverage",2013
139,139,"John Rollins",77,71.5,2288,32,"EarlyScoringAverage",2013
141,141,"Scott Piercy",78,71.51,2646,37,"EarlyScoringAverage",2013
142,142,"Peter Hanson",45,71.52,1502,21,"EarlyScoringAverage",2013
143,143,"Steven Bowditch",67,71.53,2575,36,"EarlyScoringAverage",2013
143,143,"Luke List",65,71.53,2575,36,"EarlyScoringAverage",2013
143,143,"Shawn Stefani",63,71.53,2289,32,"EarlyScoringAverage",2013
146,146,"Scott Brown",65,71.55,2361,33,"EarlyScoringAverage",2013
147,147,"Ben Crane",62,71.58,1861,26,"EarlyScoringAverage",2013
147,147,"Martin Laird",68,71.58,2577,36,"EarlyScoringAverage",2013
147,147,"Josh Teater",86,71.58,3221,45,"EarlyScoringAverage",2013
147,147,"Mark Wilson",56,71.58,1861,26,"EarlyScoringAverage",2013
151,151,"Greg Chalmers",77,71.59,2792,39,"EarlyScoringAverage",2013
151,151,"Carl Pettersson",82,71.59,3651,51,"EarlyScoringAverage",2013
153,153,"Robert Karlsson",56,71.62,2077,29,"EarlyScoringAverage",2013
154,154,"Tommy Gainey",84,71.63,3080,43,"EarlyScoringAverage",2013
155,155,"Padraig Harrington",52,71.67,1935,27,"EarlyScoringAverage",2013
155,155,"DA Points",87,71.67,3225,45,"EarlyScoringAverage",2013
157,157,"Geoff Ogilvy",57,71.74,2439,34,"EarlyScoringAverage",2013
158,158,"David Mathis",71,71.78,2584,36,"EarlyScoringAverage",2013
158,158,"Seung Yul Noh",71,71.78,2584,36,"EarlyScoringAverage",2013
160,160,"Scott Gardiner",61,71.79,2010,28,"EarlyScoringAverage",2013
160,160,"Scott Langley",79,71.79,2800,39,"EarlyScoringAverage",2013
162,162,"Colt Knost",69,71.82,2729,38,"EarlyScoringAverage",2013
163,163,"Charlie Beljan",62,71.84,2299,32,"EarlyScoringAverage",2013
163,163,"Greg Owen",73,71.84,2730,38,"EarlyScoringAverage",2013
165,165,"Nicolas Colsaerts",50,71.87,1653,23,"EarlyScoringAverage",2013
166,166,"Scott Stallings",79,71.88,3091,43,"EarlyScoringAverage",2013
166,166,"Casey Wittenberg",72,71.88,2300,32,"EarlyScoringAverage",2013
168,168,"Trevor Immelman",73,71.97,2447,34,"EarlyScoringAverage",2013
168,168,"Michael Thompson",66,71.97,2447,34,"EarlyScoringAverage",2013
170,170,"Sean OHair",56,72,2016,28,"EarlyScoringAverage",2013
171,171,"Robert Allenby",58,72.06,2306,32,"EarlyScoringAverage",2013
172,172,"Ben Curtis",59,72.17,2165,30,"EarlyScoringAverage",2013
173,173,"Alistair Presnell",59,72.18,2021,28,"EarlyScoringAverage",2013
174,174,"Michael Bradley",56,72.22,1950,27,"EarlyScoringAverage",2013
175,175,"Derek Ernst",58,72.3,2169,30,"EarlyScoringAverage",2013
176,176,"Kyle Stanley",71,72.35,2460,34,"EarlyScoringAverage",2013
177,177,"Johnson Wagner",64,72.36,2026,28,"EarlyScoringAverage",2013
178,178,"Bobby Gates",49,72.48,1522,21,"EarlyScoringAverage",2013
179,179,"Lucas Glover",65,72.55,2249,31,"EarlyScoringAverage",2013
180,180,"Justin Bolli",59,72.71,2036,28,"EarlyScoringAverage",2013
