"StrokesGainedTeetoGreen_RANKTHISWEEK_2014","StrokesGainedTeetoGreen_RANKLASTWEEK_2014","StrokesGainedTeetoGreen_PLAYERNAME_2014","StrokesGainedTeetoGreen_ROUNDS_2014","StrokesGainedTeetoGreen_AVERAGE_2014","StrokesGainedTeetoGreen_TOTALSGOTT_2014","StrokesGainedTeetoGreen_SGAPR_2014","StrokesGainedTeetoGreen_TOTALSGARG_2014","StrokesGainedTeetoGreen_MEASUREDROUNDS_2014","stat_name","year"
15,15,"Gary Woodland",93,1.049,0.58,0.38,0.08,73,"StrokesGainedTeetoGreen",2014
16,16,"Ryan Palmer",85,0.971,0.76,0.13,0.07,67,"StrokesGainedTeetoGreen",2014
17,17,"Kevin Chappell",100,0.97,0.38,0.52,0.05,87,"StrokesGainedTeetoGreen",2014
18,18,"Bill Haas",107,0.943,0.29,0.38,0.26,82,"StrokesGainedTeetoGreen",2014
19,19,"Russell Knox",92,0.938,0.22,0.5,0.21,83,"StrokesGainedTeetoGreen",2014
20,20,"Kevin Stadler",90,0.878,0.5,0.38,-0.01,65,"StrokesGainedTeetoGreen",2014
21,21,"Boo Weekley",73,0.875,0.73,0.04,0.09,56,"StrokesGainedTeetoGreen",2014
22,22,"Brooks Koepka",56,0.797,0.42,0.59,-0.22,42,"StrokesGainedTeetoGreen",2014
23,23,"Ryan Moore",86,0.794,0.25,0.49,0.04,62,"StrokesGainedTeetoGreen",2014
24,24,"Jimmy Walker",98,0.774,0.11,0.6,0.04,73,"StrokesGainedTeetoGreen",2014
25,25,"Marc Leishman",81,0.766,0.16,0.54,0.05,69,"StrokesGainedTeetoGreen",2014
26,26,"Zach Johnson",97,0.751,0.14,0.51,0.09,84,"StrokesGainedTeetoGreen",2014
27,27,"Keegan Bradley",89,0.74,0.43,0.5,-0.19,67,"StrokesGainedTeetoGreen",2014
28,28,"Paul Casey",56,0.725,-0.01,0.76,-0.02,44,"StrokesGainedTeetoGreen",2014
29,29,"Charles Howell III",106,0.717,0.49,0.01,0.2,95,"StrokesGainedTeetoGreen",2014
30,30,"Chad Campbell",57,0.709,0.05,0.64,0.01,46,"StrokesGainedTeetoGreen",2014
31,31,"Harris English",95,0.706,0.19,0.46,0.04,74,"StrokesGainedTeetoGreen",2014
32,32,"Charley Hoffman",93,0.691,0.41,0.3,-0.02,76,"StrokesGainedTeetoGreen",2014
33,33,"Nick Watney",80,0.687,0.29,0.64,-0.25,56,"StrokesGainedTeetoGreen",2014
34,34,"Jason Kokrak",65,0.686,0.28,0.47,-0.07,61,"StrokesGainedTeetoGreen",2014
35,35,"Ernie Els",85,0.654,-0.01,0.14,0.52,63,"StrokesGainedTeetoGreen",2014
36,36,"Kevin Na",94,0.638,-0.1,0.34,0.39,78,"StrokesGainedTeetoGreen",2014
37,37,"Phil Mickelson",71,0.634,0.2,0.16,0.26,50,"StrokesGainedTeetoGreen",2014
38,38,"Jordan Spieth",102,0.581,0.03,0.28,0.26,79,"StrokesGainedTeetoGreen",2014
39,39,"Webb Simpson",87,0.58,-0.02,0.33,0.27,74,"StrokesGainedTeetoGreen",2014
40,40,"Shawn Stefani",60,0.564,0.41,0.06,0.08,57,"StrokesGainedTeetoGreen",2014
41,41,"Cameron Tringale",111,0.56,0,0.32,0.23,98,"StrokesGainedTeetoGreen",2014
42,42,"Vijay Singh",83,0.554,0.16,0.12,0.26,76,"StrokesGainedTeetoGreen",2014
43,43,"Kyle Stanley",87,0.552,0.44,0.62,-0.51,72,"StrokesGainedTeetoGreen",2014
43,43,"Will Wilcox",51,0.552,0.48,0.2,-0.13,40,"StrokesGainedTeetoGreen",2014
45,45,"Lucas Glover",68,0.539,0.33,0.46,-0.26,47,"StrokesGainedTeetoGreen",2014
46,46,"George McNeill",79,0.528,-0.06,0.53,0.05,70,"StrokesGainedTeetoGreen",2014
47,47,"Billy Horschel",92,0.518,0.47,0.13,-0.08,69,"StrokesGainedTeetoGreen",2014
48,48,"Michael Putnam",106,0.517,0.11,0.46,-0.06,91,"StrokesGainedTeetoGreen",2014
49,49,"Lee Westwood",57,0.495,0.33,0.03,0.12,43,"StrokesGainedTeetoGreen",2014
50,50,"Chris Kirk",105,0.489,0.03,0.28,0.16,86,"StrokesGainedTeetoGreen",2014
51,51,"Rickie Fowler",91,0.48,0.26,0.21,NA,62,"StrokesGainedTeetoGreen",2014
52,52,"JB Holmes",86,0.476,0.5,-0.31,0.28,77,"StrokesGainedTeetoGreen",2014
53,53,"Bo Van Pelt",83,0.431,0.04,0.46,-0.08,67,"StrokesGainedTeetoGreen",2014
54,54,"Seung Yul Noh",92,0.427,-0.26,0.44,0.24,75,"StrokesGainedTeetoGreen",2014
55,55,"David Toms",64,0.405,0.08,0.2,0.12,54,"StrokesGainedTeetoGreen",2014
56,56,"Brian Harman",111,0.403,-0.01,0.29,0.12,101,"StrokesGainedTeetoGreen",2014
57,57,"Steven Bowditch",93,0.399,0,0.09,0.3,78,"StrokesGainedTeetoGreen",2014
58,58,"Brendan Steele",89,0.398,0.23,0.22,-0.06,70,"StrokesGainedTeetoGreen",2014
59,59,"Carl Pettersson",91,0.397,0.29,0.09,NA,85,"StrokesGainedTeetoGreen",2014
60,60,"Robert Garrigus",80,0.382,0.36,0.15,-0.13,73,"StrokesGainedTeetoGreen",2014
61,61,"Andrew Svoboda",77,0.37,0.11,0.32,-0.06,66,"StrokesGainedTeetoGreen",2014
62,62,"Martin Flores",85,0.362,0,0.39,-0.02,68,"StrokesGainedTeetoGreen",2014
63,63,"Martin Kaymer",65,0.355,0.27,0.37,-0.29,48,"StrokesGainedTeetoGreen",2014
64,64,"John Peterson",62,0.34,0.41,0.53,-0.61,55,"StrokesGainedTeetoGreen",2014
65,65,"John Senden",99,0.328,0.22,0.12,-0.02,81,"StrokesGainedTeetoGreen",2014
66,66,"Heath Slocum",71,0.327,0.2,0.08,0.04,62,"StrokesGainedTeetoGreen",2014
67,67,"Robert Streb",75,0.319,0.46,-0.25,0.11,64,"StrokesGainedTeetoGreen",2014
68,68,"Brandt Snedeker",89,0.318,-0.04,0.14,0.21,66,"StrokesGainedTeetoGreen",2014
69,69,"Camilo Villegas",95,0.316,-0.15,0.41,0.06,84,"StrokesGainedTeetoGreen",2014
70,70,"Hunter Mahan",88,0.314,0.68,-0.22,-0.15,72,"StrokesGainedTeetoGreen",2014
70,70,"Jhonattan Vegas",77,0.314,0.62,-0.43,0.12,64,"StrokesGainedTeetoGreen",2014
72,72,"Graeme McDowell",66,0.289,-0.03,0.37,-0.05,46,"StrokesGainedTeetoGreen",2014
73,73,"Jerry Kelly",80,0.288,-0.08,0.21,0.16,66,"StrokesGainedTeetoGreen",2014
74,74,"Bud Cauley",56,0.284,-0.07,-0.1,0.46,46,"StrokesGainedTeetoGreen",2014
75,75,"Billy Hurley III",86,0.27,-0.1,0.25,0.12,72,"StrokesGainedTeetoGreen",2014
76,76,"Robert Allenby",83,0.269,-0.05,0.55,-0.23,70,"StrokesGainedTeetoGreen",2014
77,77,"Brendon de Jonge",109,0.256,0.33,-0.01,-0.07,92,"StrokesGainedTeetoGreen",2014
78,78,"Stewart Cink",91,0.243,0,0.44,-0.19,72,"StrokesGainedTeetoGreen",2014
79,79,"Chris Stroud",88,0.236,-0.17,0.13,0.27,72,"StrokesGainedTeetoGreen",2014
80,80,"Jamie Lovemark",64,0.235,0.37,-0.32,0.18,47,"StrokesGainedTeetoGreen",2014
81,81,"Ryo Ishikawa",75,0.231,-0.25,0.39,0.09,62,"StrokesGainedTeetoGreen",2014
82,82,"Ken Duke",80,0.23,-0.09,0.32,0,66,"StrokesGainedTeetoGreen",2014
83,83,"Louis Oosthuizen",50,0.212,0.72,-0.14,-0.36,30,"StrokesGainedTeetoGreen",2014
84,84,"Angel Cabrera",69,0.198,0.55,0.07,-0.43,61,"StrokesGainedTeetoGreen",2014
85,85,"Daniel Summerhays",98,0.184,0.04,0.13,NA,88,"StrokesGainedTeetoGreen",2014
86,86,"Luke Donald",57,0.173,-0.49,0.31,0.35,44,"StrokesGainedTeetoGreen",2014
87,87,"Trevor Immelman",84,0.157,0,-0.01,0.17,67,"StrokesGainedTeetoGreen",2014
88,88,"Ricky Barnes",92,0.145,-0.26,0.39,0.01,78,"StrokesGainedTeetoGreen",2014
89,89,"David Hearn",97,0.136,-0.11,0.14,0.1,82,"StrokesGainedTeetoGreen",2014
90,90,"Scott Brown",100,0.134,0.27,-0.13,0,83,"StrokesGainedTeetoGreen",2014
91,91,"Ben Martin",80,0.13,0.21,-0.09,0.01,63,"StrokesGainedTeetoGreen",2014
92,92,"Brendon Todd",108,0.129,0.01,-0.17,0.28,91,"StrokesGainedTeetoGreen",2014
93,93,"Ted Potter Jr",68,0.125,0.13,0.09,-0.1,60,"StrokesGainedTeetoGreen",2014
94,94,"Brad Fritsch",50,0.11,-0.04,0.09,0.06,39,"StrokesGainedTeetoGreen",2014
95,95,"Luke Guthrie",85,0.109,-0.23,0.11,0.22,76,"StrokesGainedTeetoGreen",2014
96,96,"Nicholas Thompson",85,0.105,0.17,0.3,-0.37,70,"StrokesGainedTeetoGreen",2014
97,97,"Roberto Castro",76,0.084,-0.12,-0.15,0.36,59,"StrokesGainedTeetoGreen",2014
98,98,"Patrick Reed",92,0.081,0.04,-0.35,0.39,74,"StrokesGainedTeetoGreen",2014
99,99,"Josh Teater",90,0.076,0.23,-0.09,-0.07,75,"StrokesGainedTeetoGreen",2014
100,100,"James Hahn",82,0.07,0.16,0,-0.1,73,"StrokesGainedTeetoGreen",2014
100,100,"Will Ma Kenzie",82,0.07,0.04,-0.04,0.06,73,"StrokesGainedTeetoGreen",2014
102,102,"Kevin Streelman",79,0.068,0.47,-0.24,-0.16,60,"StrokesGainedTeetoGreen",2014
103,103,"Tim Clark",75,0.061,-0.28,0.25,0.09,62,"StrokesGainedTeetoGreen",2014
104,104,"John Merrick",87,0.051,0.12,0.25,-0.32,72,"StrokesGainedTeetoGreen",2014
105,105,"Jeff Overton",80,0.044,0.05,-0.05,0.04,66,"StrokesGainedTeetoGreen",2014
106,106,"Brian Stuard",91,0.042,-0.03,0.19,-0.11,74,"StrokesGainedTeetoGreen",2014
107,107,"Martin Laird",66,0.038,0.23,-0.2,NA,55,"StrokesGainedTeetoGreen",2014
108,108,"Scott Langley",95,0.016,-0.39,0.15,0.26,79,"StrokesGainedTeetoGreen",2014
109,109,"Kevin Kisner",85,0.009,0.04,0.07,-0.11,70,"StrokesGainedTeetoGreen",2014
110,110,"Justin Hicks",103,-0.003,0.45,0.17,-0.63,90,"StrokesGainedTeetoGreen",2014
111,111,"John Huh",87,-0.01,-0.05,0.01,0.03,70,"StrokesGainedTeetoGreen",2014
112,112,"Retief Goosen",94,-0.024,-0.44,0.15,0.26,78,"StrokesGainedTeetoGreen",2014
113,113,"Jonathan Byrd",76,-0.027,0.07,-0.26,0.15,65,"StrokesGainedTeetoGreen",2014
114,114,"Matt Jones",83,-0.029,0.23,-0.42,0.15,60,"StrokesGainedTeetoGreen",2014
115,115,"JJ Henry",91,-0.032,0.19,-0.11,-0.1,78,"StrokesGainedTeetoGreen",2014
115,115,"Geoff Ogilvy",84,-0.032,-0.02,0.03,-0.05,73,"StrokesGainedTeetoGreen",2014
117,117,"KJ Choi",80,-0.039,-0.33,0.04,0.25,67,"StrokesGainedTeetoGreen",2014
118,118,"Davis Love III",74,-0.056,0.17,0.05,-0.28,63,"StrokesGainedTeetoGreen",2014
119,119,"Charlie Beljan",76,-0.058,0.52,-0.12,-0.45,67,"StrokesGainedTeetoGreen",2014
120,120,"Tim Wilkinson",86,-0.078,-0.14,-0.28,0.35,71,"StrokesGainedTeetoGreen",2014
121,121,"Brian Davis",93,-0.085,-0.06,-0.41,0.39,81,"StrokesGainedTeetoGreen",2014
122,122,"Gonzalo Fdez Castano",83,-0.092,-0.26,-0.07,0.24,69,"StrokesGainedTeetoGreen",2014
123,123,"Jeff Maggert",54,-0.096,-0.13,0.2,-0.16,44,"StrokesGainedTeetoGreen",2014
124,124,"Ian Poulter",57,-0.106,0.04,-0.17,0.02,41,"StrokesGainedTeetoGreen",2014
125,125,"Hudson Swafford",75,-0.116,0.3,0.01,-0.43,58,"StrokesGainedTeetoGreen",2014
126,126,"Danny Lee",84,-0.123,0.15,0,-0.27,69,"StrokesGainedTeetoGreen",2014
126,126,"Troy Merritt",62,-0.123,-0.21,0.26,-0.17,55,"StrokesGainedTeetoGreen",2014
128,128,"Stuart Appleby",92,-0.126,-0.31,-0.16,0.34,84,"StrokesGainedTeetoGreen",2014
129,129,"Chesson Hadley",84,-0.18,-0.31,0.24,-0.1,71,"StrokesGainedTeetoGreen",2014
130,130,"Sangmoon Bae",76,-0.202,0.17,-0.29,-0.08,65,"StrokesGainedTeetoGreen",2014
131,131,"Andres Romero",81,-0.207,0.05,-0.38,0.12,72,"StrokesGainedTeetoGreen",2014
132,132,"David Lingmerth",80,-0.22,0.09,-0.17,-0.14,67,"StrokesGainedTeetoGreen",2014
133,133,"Jim Renner",61,-0.221,-0.33,0.36,-0.24,52,"StrokesGainedTeetoGreen",2014
133,133,"Charlie Wi",72,-0.221,-0.35,-0.25,0.38,65,"StrokesGainedTeetoGreen",2014
135,135,"Spencer Levin",59,-0.23,-0.22,-0.11,0.1,50,"StrokesGainedTeetoGreen",2014
136,136,"William McGirt",96,-0.235,0,-0.2,-0.03,84,"StrokesGainedTeetoGreen",2014
137,137,"Matt Every",85,-0.236,-0.23,0.02,-0.03,65,"StrokesGainedTeetoGreen",2014
138,138,"Rory Sabbatini",82,-0.245,-0.06,0.02,-0.2,65,"StrokesGainedTeetoGreen",2014
139,139,"Jason Bohn",81,-0.253,-0.47,0.18,0.03,73,"StrokesGainedTeetoGreen",2014
140,140,"Brice Garnett",92,-0.255,-0.05,-0.19,0,78,"StrokesGainedTeetoGreen",2014
140,140,"Pat Perez",84,-0.255,-0.28,0.06,-0.03,75,"StrokesGainedTeetoGreen",2014
142,142,"Erik Compton",88,-0.259,-0.08,0.06,-0.23,75,"StrokesGainedTeetoGreen",2014
143,143,"Tyrone Van Aswegen",79,-0.263,-0.73,0.29,0.18,65,"StrokesGainedTeetoGreen",2014
144,144,"Mark Wilson",69,-0.265,-0.23,-0.11,0.07,57,"StrokesGainedTeetoGreen",2014
145,145,"Ben Crane",81,-0.29,-0.29,0,0.01,78,"StrokesGainedTeetoGreen",2014
146,146,"Freddie Jacobson",91,-0.293,-0.16,-0.19,0.06,81,"StrokesGainedTeetoGreen",2014
147,147,"Michael Thompson",74,-0.317,-0.21,-0.04,-0.06,60,"StrokesGainedTeetoGreen",2014
148,148,"Sean OHair",77,-0.327,0.12,-0.47,0.02,67,"StrokesGainedTeetoGreen",2014
149,149,"Scott Stallings",77,-0.369,0.13,-0.22,-0.28,63,"StrokesGainedTeetoGreen",2014
150,150,"John Rollins",84,-0.395,-0.2,0,-0.19,67,"StrokesGainedTeetoGreen",2014
151,151,"Briny Baird",50,-0.419,-0.24,-0.18,0.01,45,"StrokesGainedTeetoGreen",2014
152,152,"Bronson La Cassie",51,-0.431,-0.04,-0.53,0.14,36,"StrokesGainedTeetoGreen",2014
153,153,"Russell Henley",92,-0.438,0.2,-0.37,-0.27,75,"StrokesGainedTeetoGreen",2014
154,154,"YE Yang",79,-0.463,-0.09,-0.58,0.22,61,"StrokesGainedTeetoGreen",2014
155,155,"Morgan Hoffmann",103,-0.472,-0.17,-0.42,0.12,90,"StrokesGainedTeetoGreen",2014
156,156,"Bryce Molder",77,-0.482,-0.76,0,0.27,64,"StrokesGainedTeetoGreen",2014
157,157,"Andrew Loupe",65,-0.485,0.22,-0.5,-0.19,50,"StrokesGainedTeetoGreen",2014
158,158,"Jim Herman",62,-0.488,0.3,-0.23,-0.55,48,"StrokesGainedTeetoGreen",2014
159,159,"Jonas Blixt",64,-0.512,-0.43,-0.29,0.22,43,"StrokesGainedTeetoGreen",2014
160,160,"Tommy Gainey",73,-0.54,0.25,-0.05,-0.74,60,"StrokesGainedTeetoGreen",2014
161,161,"Wes Roach",67,-0.554,-0.14,-0.1,-0.29,50,"StrokesGainedTeetoGreen",2014
162,162,"Ben Curtis",77,-0.616,-0.25,-0.41,0.05,64,"StrokesGainedTeetoGreen",2014
162,162,"Johnson Wagner",69,-0.616,-0.2,-0.25,-0.15,58,"StrokesGainedTeetoGreen",2014
164,164,"Justin Leonard",75,-0.677,-0.75,-0.49,0.57,62,"StrokesGainedTeetoGreen",2014
164,164,"Kevin Tway",64,-0.677,0.04,-0.62,-0.1,47,"StrokesGainedTeetoGreen",2014
166,166,"Woody Austin",63,-0.696,-0.31,-0.16,-0.21,57,"StrokesGainedTeetoGreen",2014
167,167,"Brian Gay",81,-0.733,-0.5,-0.5,0.27,63,"StrokesGainedTeetoGreen",2014
168,168,"DA Points",75,-0.753,-0.42,-0.3,-0.02,55,"StrokesGainedTeetoGreen",2014
169,169,"Derek Ernst",80,-0.798,0.31,-0.69,-0.41,63,"StrokesGainedTeetoGreen",2014
170,170,"DH Lee",54,-0.82,-0.33,-0.59,0.1,45,"StrokesGainedTeetoGreen",2014
171,171,"Aaron Baddeley",74,-0.828,-0.58,-0.29,0.05,59,"StrokesGainedTeetoGreen",2014
172,172,"Richard Lee",80,-0.878,-0.15,-0.75,0.02,61,"StrokesGainedTeetoGreen",2014
173,173,"Mike Weir",69,-0.882,-1.58,0.25,0.44,53,"StrokesGainedTeetoGreen",2014
174,174,"Chad Collins",78,-0.884,-0.63,-0.52,0.27,61,"StrokesGainedTeetoGreen",2014
175,175,"Troy Matteson",62,-0.914,-0.26,-0.41,-0.23,49,"StrokesGainedTeetoGreen",2014
176,176,"James Driscoll",71,-0.958,-0.66,-0.14,-0.15,58,"StrokesGainedTeetoGreen",2014
177,177,"Greg Chalmers",85,-0.989,-0.5,-0.63,0.15,73,"StrokesGainedTeetoGreen",2014
