"DrivingDistance_RANKTHISWEEK_2009","DrivingDistance_RANKLASTWEEK_2009","DrivingDistance_PLAYERNAME_2009","DrivingDistance_ROUNDS_2009","DrivingDistance_AVG_2009","DrivingDistance_TOTALDISTANCE_2009","DrivingDistance_TOTALDRIVES_2009","stat_name","year"
53,53,"Charles Howell III",99,292.7,53268,182,"DrivingDistance",2009
55,55,"Ricky Barnes",67,292.6,34522,118,"DrivingDistance",2009
56,56,"Bo Van Pelt",100,292.5,53825,184,"DrivingDistance",2009
57,57,"Bill Lunde",83,292.4,47361,162,"DrivingDistance",2009
58,58,"Retief Goosen",74,292.3,42679,146,"DrivingDistance",2009
59,59,"Tim Herron",87,292.1,50819,174,"DrivingDistance",2009
59,59,"Greg Owen",97,292.1,51997,178,"DrivingDistance",2009
61,61,"George McNeill",82,292,46727,160,"DrivingDistance",2009
62,62,"Boo Weekley",79,291.7,44920,154,"DrivingDistance",2009
63,63,"James Nitties",86,291.5,47811,164,"DrivingDistance",2009
63,63,"Geoff Ogilvy",78,291.5,41981,144,"DrivingDistance",2009
65,65,"Kris Blanks",60,291.4,31469,108,"DrivingDistance",2009
65,65,"Joe Ogilvie",85,291.4,48366,166,"DrivingDistance",2009
67,67,"YE Yang",83,291.3,46029,158,"DrivingDistance",2009
68,68,"Ernie Els",70,291.2,38437,132,"DrivingDistance",2009
69,69,"Mathew Goggin",76,291.1,43081,148,"DrivingDistance",2009
70,70,"Chad Campbell",90,291,50050,172,"DrivingDistance",2009
70,70,"Jimmy Walker",74,291,39581,136,"DrivingDistance",2009
72,72,"Jason Gore",74,290.7,40123,138,"DrivingDistance",2009
72,72,"Chris Stroud",88,290.7,48833,168,"DrivingDistance",2009
74,74,"Steve Lowery",83,290.6,48237,166,"DrivingDistance",2009
75,75,"Brendon de Jonge",90,290.3,49925,172,"DrivingDistance",2009
75,75,"Kevin Stadler",65,290.3,33099,114,"DrivingDistance",2009
77,77,"Stuart Appleby",79,290.1,45255,156,"DrivingDistance",2009
78,78,"Will Ma Kenzie",69,289.4,39931,138,"DrivingDistance",2009
79,79,"DJ Trahan",96,289.2,55519,192,"DrivingDistance",2009
80,80,"Michael Allen",73,289.1,39896,138,"DrivingDistance",2009
80,80,"Kevin Sutherland",96,289.1,54922,190,"DrivingDistance",2009
82,82,"Brad Adamonis",70,289,39303,136,"DrivingDistance",2009
83,83,"Jeff Maggert",79,288.9,45654,158,"DrivingDistance",2009
84,84,"Brian Bateman",55,288.7,31760,110,"DrivingDistance",2009
84,84,"Matt Weibring",65,288.7,34062,118,"DrivingDistance",2009
86,86,"Carl Pettersson",86,288.6,49643,172,"DrivingDistance",2009
87,87,"Pat Perez",74,288.5,41542,144,"DrivingDistance",2009
88,88,"Johnson Wagner",81,288.4,46720,162,"DrivingDistance",2009
89,89,"Brian Vranesh",51,288.2,27089,94,"DrivingDistance",2009
90,90,"Rod Pampling",72,288.1,40909,142,"DrivingDistance",2009
90,90,"Justin Rose",71,288.1,40332,140,"DrivingDistance",2009
92,92,"Aaron Baddeley",66,287.8,37414,130,"DrivingDistance",2009
93,93,"Brett Quigley",92,287.5,48302,168,"DrivingDistance",2009
94,94,"Stephen Ames",77,287.4,43107,150,"DrivingDistance",2009
95,95,"Tommy Armour III",58,287.3,33332,116,"DrivingDistance",2009
95,95,"Jarrod Lyle",65,287.3,32756,114,"DrivingDistance",2009
97,97,"Cameron Beckman",87,287,47650,166,"DrivingDistance",2009
97,97,"Heath Slocum",95,287,52238,182,"DrivingDistance",2009
99,99,"Woody Austin",84,286.9,48194,168,"DrivingDistance",2009
100,100,"Derek Fathauer",63,286.4,32653,114,"DrivingDistance",2009
100,100,"Kirk Triplett",60,286.4,34371,120,"DrivingDistance",2009
102,102,"Jason Dufner",90,286.2,49229,172,"DrivingDistance",2009
102,102,"Webb Simpson",94,286.2,53814,188,"DrivingDistance",2009
104,104,"Mark Calcavecchia",72,286.1,41204,144,"DrivingDistance",2009
104,104,"Steve Stricker",81,286.1,45210,158,"DrivingDistance",2009
106,106,"Padraig Harrington",66,285.8,37156,130,"DrivingDistance",2009
107,107,"Steve Elkington",70,285.3,39942,140,"DrivingDistance",2009
108,108,"Jason Bohn",88,285.1,50171,176,"DrivingDistance",2009
109,109,"Ben Crane",93,285,53001,186,"DrivingDistance",2009
109,109,"Scott Sterling",51,285,24511,86,"DrivingDistance",2009
109,109,"Casey Wittenberg",71,285,35913,126,"DrivingDistance",2009
112,112,"Charlie Wi",92,284.9,52419,184,"DrivingDistance",2009
113,113,"Todd Hamilton",83,284.8,46141,162,"DrivingDistance",2009
114,114,"Rich Beem",77,284.7,39295,138,"DrivingDistance",2009
114,114,"Jerry Kelly",90,284.7,46698,164,"DrivingDistance",2009
114,114,"Scott McCarron",91,284.7,51824,182,"DrivingDistance",2009
117,117,"Steve Flesch",77,284.4,43800,154,"DrivingDistance",2009
118,118,"Mark Wilson",99,284.3,54008,190,"DrivingDistance",2009
119,119,"Greg Chalmers",85,284.2,43770,154,"DrivingDistance",2009
119,119,"Billy Mayfair",83,284.2,47172,166,"DrivingDistance",2009
119,119,"David Toms",98,284.2,53427,188,"DrivingDistance",2009
122,122,"Freddie Jacobson",83,284.1,46030,162,"DrivingDistance",2009
123,123,"Nathan Green",104,283.5,56696,200,"DrivingDistance",2009
123,123,"Bob Heintz",59,283.5,31182,110,"DrivingDistance",2009
123,123,"Justin Leonard",95,283.5,51600,182,"DrivingDistance",2009
123,123,"Jay Williamson",69,283.5,34585,122,"DrivingDistance",2009
127,127,"Brian Davis",103,283.3,56092,198,"DrivingDistance",2009
128,128,"Matt Kuchar",82,283.2,46447,164,"DrivingDistance",2009
129,129,"Ken Duke",87,283.1,49251,174,"DrivingDistance",2009
129,129,"Rocco Mediate",79,283.1,42469,150,"DrivingDistance",2009
129,129,"Bryce Molder",69,283.1,34537,122,"DrivingDistance",2009
129,129,"Vaughn Taylor",88,283.1,47560,168,"DrivingDistance",2009
133,133,"Eric Axley",71,282.8,37896,134,"DrivingDistance",2009
