"RyderCupWorldPoints_RANKTHISWEEK_2013","RyderCupWorldPoints_RANKLASTWEEK_2013","RyderCupWorldPoints_PLAYERNAME_2013","RyderCupWorldPoints__2013","RyderCupWorldPoints_POINTS_2013","stat_name","year"
59,59,"Sam Little",NA,41.91,"RyderCupWorldPoints",2013
60,60,"Matthew Baldwin",NA,41.43,"RyderCupWorldPoints",2013
61,61,"Tommy Fleetwood",NA,39.83,"RyderCupWorldPoints",2013
62,62,"Fredrik Andersson Hed",NA,39.39,"RyderCupWorldPoints",2013
63,63,"Magnus Carlsson",NA,36.73,"RyderCupWorldPoints",2013
64,64,"George Murray",NA,35.61,"RyderCupWorldPoints",2013
65,65,"Mark Foster",NA,34.95,"RyderCupWorldPoints",2013
66,66,"Edoardo Molinari",NA,34.42,"RyderCupWorldPoints",2013
67,67,"Eduardo De La Riva",NA,33.47,"RyderCupWorldPoints",2013
68,68,"Jose Manuel Lara",NA,32.6,"RyderCupWorldPoints",2013
69,69,"Paul McGinley",NA,31.72,"RyderCupWorldPoints",2013
70,70,"Lorenzo Gagli",NA,31.52,"RyderCupWorldPoints",2013
71,71,"Steve Webster",NA,30.97,"RyderCupWorldPoints",2013
72,72,"Kenneth Ferrie",NA,29.24,"RyderCupWorldPoints",2013
73,73,"Jean Baptiste Gonnet",NA,28.83,"RyderCupWorldPoints",2013
74,74,"Andrea Pavan",NA,28.7,"RyderCupWorldPoints",2013
75,75,"Christian Nilsson",NA,28.08,"RyderCupWorldPoints",2013
76,76,"Gregory Bourdy",NA,28.06,"RyderCupWorldPoints",2013
77,77,"Scott Jamieson",NA,27.22,"RyderCupWorldPoints",2013
78,78,"Richard Finch",NA,27.13,"RyderCupWorldPoints",2013
79,79,"Pelle Edberg",NA,26.72,"RyderCupWorldPoints",2013
80,80,"Andreas Harto",NA,26.39,"RyderCupWorldPoints",2013
81,81,"Jorge Campillo",NA,26.35,"RyderCupWorldPoints",2013
82,82,"Ricardo Santos",NA,26.09,"RyderCupWorldPoints",2013
83,83,"Rhys Davies",NA,25.58,"RyderCupWorldPoints",2013
84,84,"Thomas Levet",NA,25.11,"RyderCupWorldPoints",2013
85,85,"Gary Orr",NA,24.97,"RyderCupWorldPoints",2013
86,86,"Espen Kofstad",NA,24.9,"RyderCupWorldPoints",2013
87,87,"David Howell",NA,24.66,"RyderCupWorldPoints",2013
88,88,"Alessandro Tadini",NA,24.52,"RyderCupWorldPoints",2013
89,89,"Johan Edfors",NA,24.41,"RyderCupWorldPoints",2013
91,91,"Gary Lockerbie",NA,24.15,"RyderCupWorldPoints",2013
92,92,"Peter Whiteford",NA,24.07,"RyderCupWorldPoints",2013
93,93,"Phillip Price",NA,23.98,"RyderCupWorldPoints",2013
95,95,"Oliver Wilson",NA,23.93,"RyderCupWorldPoints",2013
97,97,"Sam Walker",NA,23.81,"RyderCupWorldPoints",2013
98,98,"Robert Jan Derksen",NA,23.66,"RyderCupWorldPoints",2013
99,99,"Damian McGrane",NA,23.62,"RyderCupWorldPoints",2013
101,101,"Rikard Karlberg",NA,23.07,"RyderCupWorldPoints",2013
102,102,"Chris Doak",NA,22.99,"RyderCupWorldPoints",2013
103,103,"Ignacio Garrido",NA,22.96,"RyderCupWorldPoints",2013
104,104,"David Horsey",NA,22.62,"RyderCupWorldPoints",2013
105,105,"Craig Lee",NA,21.73,"RyderCupWorldPoints",2013
106,106,"Andrew Marshall",NA,20.81,"RyderCupWorldPoints",2013
107,107,"Graeme Storm",NA,20.66,"RyderCupWorldPoints",2013
108,108,"Philip Archer",NA,19.65,"RyderCupWorldPoints",2013
109,109,"Joel Sjoholm",NA,19.4,"RyderCupWorldPoints",2013
110,110,"Seve Benson",NA,19.02,"RyderCupWorldPoints",2013
111,111,"Simon Thornton",NA,18.86,"RyderCupWorldPoints",2013
112,112,"Richard McEvoy",NA,18.71,"RyderCupWorldPoints",2013
114,114,"Raymond Russell",NA,18.48,"RyderCupWorldPoints",2013
115,115,"Darren Clarke",NA,18.38,"RyderCupWorldPoints",2013
116,116,"Gareth Maybin",NA,18.21,"RyderCupWorldPoints",2013
117,117,"Mikael Lundberg",NA,18.2,"RyderCupWorldPoints",2013
119,119,"Alex Cejka",NA,18.09,"RyderCupWorldPoints",2013
120,120,"Jose Maria Olazabal",NA,17.23,"RyderCupWorldPoints",2013
121,121,"Mikko Ilonen",NA,17.19,"RyderCupWorldPoints",2013
122,122,"Robert Coles",NA,17.02,"RyderCupWorldPoints",2013
124,124,"Rich Bland",NA,16.48,"RyderCupWorldPoints",2013
125,125,"Niclas Fasth",NA,16.44,"RyderCupWorldPoints",2013
126,126,"Soren Hansen",NA,16.25,"RyderCupWorldPoints",2013
128,128,"Alexandre Kaleka",NA,16.2,"RyderCupWorldPoints",2013
129,129,"Andrew Johnston",NA,15.93,"RyderCupWorldPoints",2013
130,130,"Carlos Del Moral",NA,15.71,"RyderCupWorldPoints",2013
132,132,"Mikko Korhonen",NA,15.48,"RyderCupWorldPoints",2013
133,133,"Alastair Forsyth",NA,15.21,"RyderCupWorldPoints",2013
135,135,"Michael Lorenzo Vera",NA,15.1,"RyderCupWorldPoints",2013
136,136,"Gary Boyd",NA,15.01,"RyderCupWorldPoints",2013
137,137,"Jamie Elson",NA,14.4,"RyderCupWorldPoints",2013
138,138,"Thomas Norret",NA,14.31,"RyderCupWorldPoints",2013
139,139,"Maarten Lafeber",NA,14.07,"RyderCupWorldPoints",2013
140,140,"Wil Besseling",NA,13.16,"RyderCupWorldPoints",2013
141,141,"Julien Guerrier",NA,13.06,"RyderCupWorldPoints",2013
142,142,"Simon Khan",NA,12.94,"RyderCupWorldPoints",2013
143,143,"Markus Brier",NA,12.34,"RyderCupWorldPoints",2013
144,144,"Alvaro Velasco",NA,12.23,"RyderCupWorldPoints",2013
145,145,"Maximilian Kieffer",NA,12,"RyderCupWorldPoints",2013
147,147,"Victor Riu",NA,11.89,"RyderCupWorldPoints",2013
148,148,"Nick Dougherty",NA,11.86,"RyderCupWorldPoints",2013
149,149,"Callum MaCaulay",NA,11.8,"RyderCupWorldPoints",2013
150,150,"Oscar Floren",NA,11.63,"RyderCupWorldPoints",2013
151,151,"Jose Filipe Lima",NA,11.43,"RyderCupWorldPoints",2013
152,152,"Tim Sluiter",NA,11.23,"RyderCupWorldPoints",2013
155,155,"Pierre Relecom",NA,10.96,"RyderCupWorldPoints",2013
156,156,"Federico Colombo",NA,10.53,"RyderCupWorldPoints",2013
158,158,"Matt Haines",NA,10.13,"RyderCupWorldPoints",2013
159,159,"Steven OHara",NA,9.93,"RyderCupWorldPoints",2013
160,160,"Knut Borsheim",NA,9.82,"RyderCupWorldPoints",2013
161,161,"Bradley Dredge",NA,9.29,"RyderCupWorldPoints",2013
162,162,"Richard Johnson",NA,8.52,"RyderCupWorldPoints",2013
164,164,"Klas Eriksson",NA,8.46,"RyderCupWorldPoints",2013
166,166,"Jeppe Huldahl",NA,8.42,"RyderCupWorldPoints",2013
167,167,"Lasse Jensen",NA,8.4,"RyderCupWorldPoints",2013
168,168,"Stephen Dodd",NA,8.33,"RyderCupWorldPoints",2013
169,169,"Paul Waring",NA,8.15,"RyderCupWorldPoints",2013
170,170,"Martin Wiegele",NA,8.06,"RyderCupWorldPoints",2013
172,172,"David Higgins",NA,7.68,"RyderCupWorldPoints",2013
173,173,"Matthew Southgate",NA,7.47,"RyderCupWorldPoints",2013
174,174,"Oliver Fisher",NA,7.39,"RyderCupWorldPoints",2013
176,176,"Lloyd Saltman",NA,7.17,"RyderCupWorldPoints",2013
178,178,"Martin Rominger",NA,6.95,"RyderCupWorldPoints",2013
180,180,"John Parry",NA,6.85,"RyderCupWorldPoints",2013
182,182,"Roope Kakko",NA,6.76,"RyderCupWorldPoints",2013
184,184,"Steven Tiley",NA,6.66,"RyderCupWorldPoints",2013
186,186,"Chris Gane",NA,6.31,"RyderCupWorldPoints",2013
187,187,"Robert Dinwiddie",NA,6.26,"RyderCupWorldPoints",2013
188,188,"Michael Jonzon",NA,6.26,"RyderCupWorldPoints",2013
190,190,"Pedro Oriol",NA,6.25,"RyderCupWorldPoints",2013
193,193,"Peter Baker",NA,6.03,"RyderCupWorldPoints",2013
194,194,"Reinier Saxton",NA,6.02,"RyderCupWorldPoints",2013
195,195,"Alan McLean",NA,6,"RyderCupWorldPoints",2013
196,196,"Florian Pragant",NA,5.78,"RyderCupWorldPoints",2013
198,198,"Mathias Gronberg",NA,5.74,"RyderCupWorldPoints",2013
199,199,"Floris De Vries",NA,5.71,"RyderCupWorldPoints",2013
200,200,"David Dixon",NA,5.67,"RyderCupWorldPoints",2013
