"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2014","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2014","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2014","FedExCupSeasonPointsforNonMembers_EVENTS_2014","FedExCupSeasonPointsforNonMembers_POINTS_2014","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2014","stat_name","year"
79,79,"Ryan Sullivan",1,15,NA,"FedExCupSeasonPointsforNonMembers",2014
80,80,"Joel Dahmen",1,14,NA,"FedExCupSeasonPointsforNonMembers",2014
80,80,"Adam Hadwin",1,14,NA,"FedExCupSeasonPointsforNonMembers",2014
80,80,"Nicholas Lindheim",1,14,NA,"FedExCupSeasonPointsforNonMembers",2014
80,80,"Fran Quinn",1,14,NA,"FedExCupSeasonPointsforNonMembers",2014
84,84,"Kevin Lucas",1,13,NA,"FedExCupSeasonPointsforNonMembers",2014
85,85,"Derek Fathauer",1,12,NA,"FedExCupSeasonPointsforNonMembers",2014
86,86,"Jamie McLeary",1,11,NA,"FedExCupSeasonPointsforNonMembers",2014
86,86,"Chris Rodgers",1,11,NA,"FedExCupSeasonPointsforNonMembers",2014
88,88,"Chris Williams",4,9,NA,"FedExCupSeasonPointsforNonMembers",2014
89,89,"Nicholas Fung",1,8,NA,"FedExCupSeasonPointsforNonMembers",2014
90,90,"Clayton Rask",1,7,NA,"FedExCupSeasonPointsforNonMembers",2014
91,91,"Bobby Wyatt",5,7,NA,"FedExCupSeasonPointsforNonMembers",2014
92,92,"Jeff Curl",2,6,NA,"FedExCupSeasonPointsforNonMembers",2014
92,92,"Dawie van der Walt",2,6,6,"FedExCupSeasonPointsforNonMembers",2014
94,94,"Brett Rumford",3,6,6,"FedExCupSeasonPointsforNonMembers",2014
95,95,"Chris Thompson",2,6,NA,"FedExCupSeasonPointsforNonMembers",2014
96,96,"Carlos Ortiz",1,5,NA,"FedExCupSeasonPointsforNonMembers",2014
96,96,"Daniel Popovic",1,5,5,"FedExCupSeasonPointsforNonMembers",2014
98,98,"Toru Taniguchi",1,4,NA,"FedExCupSeasonPointsforNonMembers",2014
99,99,"Kyle Reifers",2,4,NA,"FedExCupSeasonPointsforNonMembers",2014
100,100,"Daisuke Maruyama",1,3,3,"FedExCupSeasonPointsforNonMembers",2014
101,101,"Wu Ashun",2,3,3,"FedExCupSeasonPointsforNonMembers",2014
102,102,"Mark Hubbard",1,2,NA,"FedExCupSeasonPointsforNonMembers",2014
103,103,"Seukhyun Baek",2,2,1,"FedExCupSeasonPointsforNonMembers",2014
104,104,"Wade Ormsby",1,2,NA,"FedExCupSeasonPointsforNonMembers",2014
105,105,"Yoshitaka Takeya",1,2,2,"FedExCupSeasonPointsforNonMembers",2014
106,106,"Colin Montgomerie",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
107,107,"Derek Tolan",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
108,108,"Harold Varner III",2,1,NA,"FedExCupSeasonPointsforNonMembers",2014
109,109,"Thomas Aiken",3,1,NA,"FedExCupSeasonPointsforNonMembers",2014
109,109,"Rhein Gibson",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
109,109,"Tano Goya",1,1,1,"FedExCupSeasonPointsforNonMembers",2014
112,112,"Raphael Jacquelin",1,1,1,"FedExCupSeasonPointsforNonMembers",2014
113,113,"Bubba Dickerson",2,1,NA,"FedExCupSeasonPointsforNonMembers",2014
113,113,"Toshinori Muto",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
115,115,"Mu Hu",1,1,1,"FedExCupSeasonPointsforNonMembers",2014
116,116,"Rashid Ismail",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
117,117,"Huang Mingjie",1,1,1,"FedExCupSeasonPointsforNonMembers",2014
118,118,"Eric Dugas",1,1,NA,"FedExCupSeasonPointsforNonMembers",2014
119,119,"Michael Block",2,1,NA,"FedExCupSeasonPointsforNonMembers",2014
