"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2012","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2012","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2012","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2012","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2012","stat_name","year"
30,30,"Alejandro Canizares",3,48,"NonWGCFedExCupSeasonPointsforNonMembers",2012
31,31,"Raphael Jacquelin",2,48,"NonWGCFedExCupSeasonPointsforNonMembers",2012
32,32,"Anders Hansen",7,46,"NonWGCFedExCupSeasonPointsforNonMembers",2012
33,33,"Ross Fisher",2,45,"NonWGCFedExCupSeasonPointsforNonMembers",2012
34,34,"James Morrison",1,45,"NonWGCFedExCupSeasonPointsforNonMembers",2012
35,35,"Jeff Quinney",1,42,"NonWGCFedExCupSeasonPointsforNonMembers",2012
36,36,"KT Kim",11,39,"NonWGCFedExCupSeasonPointsforNonMembers",2012
36,36,"Anirban Lahiri",1,39,"NonWGCFedExCupSeasonPointsforNonMembers",2012
38,38,"Morgan Hoffmann",1,38,"NonWGCFedExCupSeasonPointsforNonMembers",2012
38,38,"Alistair Presnell",1,38,"NonWGCFedExCupSeasonPointsforNonMembers",2012
40,40,"Marcel Siem",3,33,"NonWGCFedExCupSeasonPointsforNonMembers",2012
40,40,"Shawn Stefani",1,33,"NonWGCFedExCupSeasonPointsforNonMembers",2012
42,42,"Gonzalo Fdez Castano",7,32,"NonWGCFedExCupSeasonPointsforNonMembers",2012
43,43,"Richard Sterne",1,30,"NonWGCFedExCupSeasonPointsforNonMembers",2012
44,44,"Alvaro Quiros",8,29,"NonWGCFedExCupSeasonPointsforNonMembers",2012
45,45,"Joseph Bramlett",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2012
46,46,"Dustin Morris",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2012
47,47,"Steve LeBrun",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2012
47,47,"Matteo Manassero",3,23,"NonWGCFedExCupSeasonPointsforNonMembers",2012
49,49,"Jonathan Randolph",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2012
50,50,"Rafael Echenique",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2012
50,50,"Justin Hicks",2,22,"NonWGCFedExCupSeasonPointsforNonMembers",2012
50,50,"Randall Hutchison",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2012
50,50,"Simon Khan",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2012
50,50,"Pablo Larrazabal",3,22,"NonWGCFedExCupSeasonPointsforNonMembers",2012
55,55,"Junggon Hwang",1,19,"NonWGCFedExCupSeasonPointsforNonMembers",2012
56,56,"Hiroyuki Fujita",3,18,"NonWGCFedExCupSeasonPointsforNonMembers",2012
56,56,"Jesse Mueller",1,18,"NonWGCFedExCupSeasonPointsforNonMembers",2012
56,56,"Nicholas Thompson",2,18,"NonWGCFedExCupSeasonPointsforNonMembers",2012
56,56,"Esteban Toledo",1,18,"NonWGCFedExCupSeasonPointsforNonMembers",2012
60,60,"Derek Tolan",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2012
61,61,"Darren Clarke",7,15,"NonWGCFedExCupSeasonPointsforNonMembers",2012
61,61,"Doug LaBelle II",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2012
63,63,"Yoshinori Fujimoto",2,15,"NonWGCFedExCupSeasonPointsforNonMembers",2012
64,64,"Jeff Curl",3,14,"NonWGCFedExCupSeasonPointsforNonMembers",2012
65,65,"Emiliano Grillo",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2012
66,66,"Edoardo Molinari",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2012
67,67,"Kelly Kraft",9,12,"NonWGCFedExCupSeasonPointsforNonMembers",2012
68,68,"Jaebum Park",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2012
68,68,"Darron Stiles",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2012
68,68,"Dale Whitnell",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2012
71,71,"Koumei Oda",2,9,"NonWGCFedExCupSeasonPointsforNonMembers",2012
72,72,"John Riegger",1,7,"NonWGCFedExCupSeasonPointsforNonMembers",2012
73,73,"Jose de Jesus Rodriguez",1,7,"NonWGCFedExCupSeasonPointsforNonMembers",2012
74,74,"Marc Warren",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2012
75,75,"Lee Slattery",3,5,"NonWGCFedExCupSeasonPointsforNonMembers",2012
76,76,"Brandon Brown",1,5,"NonWGCFedExCupSeasonPointsforNonMembers",2012
76,76,"Marcus Fraser",3,5,"NonWGCFedExCupSeasonPointsforNonMembers",2012
78,78,"Toru Taniguchi",4,3,"NonWGCFedExCupSeasonPointsforNonMembers",2012
79,79,"Jake Sarnoff",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2012
80,80,"Adilson da Silva",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
80,80,"Jeev Milkha Singh",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
82,82,"Sam Saunders",4,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
83,83,"Mathias Gronberg",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
84,84,"Ben Kohles",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
85,85,"Alex Aragon",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
86,86,"Brendan Jones",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
86,86,"Toshinori Muto",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
86,86,"Juvic Pagunsan",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
89,89,"Matt Hill",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
90,90,"Jonathan Fly",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
90,90,"Tadahiro Takayama",4,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
92,92,"Warren Bennett",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
92,92,"Thongchai Jaidee",3,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
94,94,"Diego Velasquez",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
95,95,"Rafa Cabrera Bello",6,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
96,96,"Scott Smith",2,1,"NonWGCFedExCupSeasonPointsforNonMembers",2012
