"TotalDrivingEfficiency_RANKTHISWEEK_2010","TotalDrivingEfficiency_RANKLASTWEEK_2010","TotalDrivingEfficiency_PLAYERNAME_2010","TotalDrivingEfficiency_ROUNDS_2010","TotalDrivingEfficiency_COMBINEDRANK_2010","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2010","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2010","stat_name","year"
123,123,"Chris Riley",73,233,172,61,"TotalDrivingEfficiency",2010
124,124,"Michael Letzig",84,234,114,120,"TotalDrivingEfficiency",2010
125,125,"Ian Poulter",55,236,93,143,"TotalDrivingEfficiency",2010
126,126,"Charles Warren",64,237,59,178,"TotalDrivingEfficiency",2010
127,127,"Cameron Tringale",55,238,119,119,"TotalDrivingEfficiency",2010
128,128,"Sean OHair",84,242,96,146,"TotalDrivingEfficiency",2010
129,129,"Scott Verplank",74,244,171,73,"TotalDrivingEfficiency",2010
130,130,"Nick Watney",91,245,140,105,"TotalDrivingEfficiency",2010
131,131,"Justin Leonard",89,247,155,92,"TotalDrivingEfficiency",2010
132,132,"Troy Merritt",86,250,107,143,"TotalDrivingEfficiency",2010
132,132,"Bubba Watson",77,250,133,117,"TotalDrivingEfficiency",2010
134,134,"Tom Pernice Jr",74,251,124,127,"TotalDrivingEfficiency",2010
135,135,"David Duval",71,253,112,141,"TotalDrivingEfficiency",2010
136,136,"Skip Kendall",58,255,131,124,"TotalDrivingEfficiency",2010
137,137,"Daniel Chopra",74,257,94,163,"TotalDrivingEfficiency",2010
138,138,"Ryuji Imada",90,258,124,134,"TotalDrivingEfficiency",2010
139,139,"Chad Campbell",95,260,136,124,"TotalDrivingEfficiency",2010
139,139,"Tim Petrovic",105,260,145,115,"TotalDrivingEfficiency",2010
141,141,"Steve Elkington",74,261,140,121,"TotalDrivingEfficiency",2010
142,142,"Andrew McLardy",52,265,74,191,"TotalDrivingEfficiency",2010
143,143,"DA Points",90,269,130,139,"TotalDrivingEfficiency",2010
144,144,"Stephen Ames",75,270,182,88,"TotalDrivingEfficiency",2010
145,145,"Aaron Baddeley",94,273,84,189,"TotalDrivingEfficiency",2010
146,146,"Shaun Micheel",70,276,183,93,"TotalDrivingEfficiency",2010
147,147,"Brad Faxon",58,277,187,90,"TotalDrivingEfficiency",2010
148,148,"Greg Owen",69,278,136,142,"TotalDrivingEfficiency",2010
149,149,"Matt Jones",89,282,103,179,"TotalDrivingEfficiency",2010
150,150,"Bob Estes",79,291,186,105,"TotalDrivingEfficiency",2010
151,151,"Stuart Appleby",101,293,134,159,"TotalDrivingEfficiency",2010
152,152,"Dean Wilson",54,294,164,130,"TotalDrivingEfficiency",2010
153,153,"Bryce Molder",84,295,159,136,"TotalDrivingEfficiency",2010
154,154,"Charley Hoffman",85,296,126,170,"TotalDrivingEfficiency",2010
155,155,"Sergio Garcia",58,299,119,180,"TotalDrivingEfficiency",2010
156,156,"Matt Every",60,302,136,166,"TotalDrivingEfficiency",2010
157,157,"Matt Bettencourt",91,304,165,139,"TotalDrivingEfficiency",2010
158,158,"Brent Delahoussaye",57,305,169,136,"TotalDrivingEfficiency",2010
159,159,"Scott McCarron",90,310,134,176,"TotalDrivingEfficiency",2010
160,160,"Luke Donald",71,312,147,165,"TotalDrivingEfficiency",2010
160,160,"Freddie Jacobson",83,312,180,132,"TotalDrivingEfficiency",2010
160,160,"Pat Perez",90,312,150,162,"TotalDrivingEfficiency",2010
163,163,"Michael Bradley",77,315,159,156,"TotalDrivingEfficiency",2010
163,163,"Kevin Streelman",90,315,158,157,"TotalDrivingEfficiency",2010
163,163,"Johnson Wagner",85,315,167,148,"TotalDrivingEfficiency",2010
166,166,"Briny Baird",87,318,165,153,"TotalDrivingEfficiency",2010
166,166,"Charlie Wi",95,318,159,159,"TotalDrivingEfficiency",2010
168,168,"Charles Howell III",103,322,179,143,"TotalDrivingEfficiency",2010
169,169,"Greg Chalmers",93,323,172,151,"TotalDrivingEfficiency",2010
169,169,"Steve Flesch",78,323,168,155,"TotalDrivingEfficiency",2010
171,171,"James Nitties",92,324,176,148,"TotalDrivingEfficiency",2010
172,172,"Michael Sim",64,325,150,175,"TotalDrivingEfficiency",2010
173,173,"Woody Austin",93,326,154,172,"TotalDrivingEfficiency",2010
173,173,"JJ Henry",92,326,156,170,"TotalDrivingEfficiency",2010
175,175,"Bill Haas",87,329,156,173,"TotalDrivingEfficiency",2010
176,176,"Jimmy Walker",82,330,142,188,"TotalDrivingEfficiency",2010
177,177,"Vance Veazey",58,331,177,154,"TotalDrivingEfficiency",2010
178,178,"Chad Collins",87,335,174,161,"TotalDrivingEfficiency",2010
178,178,"Adam Scott",70,335,145,190,"TotalDrivingEfficiency",2010
180,180,"Rod Pampling",77,338,170,168,"TotalDrivingEfficiency",2010
181,181,"Tom Gillis",97,340,188,152,"TotalDrivingEfficiency",2010
182,182,"Jeev Milkha Singh",59,342,174,168,"TotalDrivingEfficiency",2010
183,183,"Richard Johnson",90,344,163,181,"TotalDrivingEfficiency",2010
183,183,"John Senden",103,344,159,185,"TotalDrivingEfficiency",2010
185,185,"Nathan Green",86,357,184,173,"TotalDrivingEfficiency",2010
186,186,"James Driscoll",78,361,178,183,"TotalDrivingEfficiency",2010
187,187,"Joe Durant",67,366,184,182,"TotalDrivingEfficiency",2010
188,188,"Kevin Na",94,368,191,177,"TotalDrivingEfficiency",2010
189,189,"Chris Couch",66,373,181,192,"TotalDrivingEfficiency",2010
190,190,"Mike Weir",59,374,190,184,"TotalDrivingEfficiency",2010
191,191,"Ricky Barnes",103,375,188,187,"TotalDrivingEfficiency",2010
192,192,"Trevor Immelman",55,377,192,185,"TotalDrivingEfficiency",2010
