"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2012","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2012","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2012","AveragePuttingDistanceAll3Plusputts_ROUNDS_2012","AveragePuttingDistanceAll3Plusputts_AVG_2012","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2012","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2012","stat_name","year"
66,66,"Charlie Beljan",61,NA,18.333,1,"AveragePuttingDistanceAll3Plusputts",2012
67,67,"Ted Potter Jr",77,NA,34.833,2,"AveragePuttingDistanceAll3Plusputts",2012
68,68,"Greg Owen",90,NA,16,1,"AveragePuttingDistanceAll3Plusputts",2012
69,69,"Rory Sabbatini",84,NA,14.25,1,"AveragePuttingDistanceAll3Plusputts",2012
70,70,"Josh Teater",97,NA,12.25,1,"AveragePuttingDistanceAll3Plusputts",2012
71,71,"Arjun Atwal",79,NA,19.75,2,"AveragePuttingDistanceAll3Plusputts",2012
72,72,"Ryuji Imada",78,NA,9.333,1,"AveragePuttingDistanceAll3Plusputts",2012
73,73,"Keegan Bradley",90,NA,9.25,1,"AveragePuttingDistanceAll3Plusputts",2012
74,74,"Adam Scott",59,NA,9.083,1,"AveragePuttingDistanceAll3Plusputts",2012
75,75,"Tim Clark",60,NA,9,1,"AveragePuttingDistanceAll3Plusputts",2012
76,76,"Camilo Villegas",79,NA,8.583,1,"AveragePuttingDistanceAll3Plusputts",2012
77,77,"John Senden",81,NA,7.25,1,"AveragePuttingDistanceAll3Plusputts",2012
78,78,"Tim Herron",88,NA,9.25,2,"AveragePuttingDistanceAll3Plusputts",2012
79,79,"Robert Allenby",76,NA,4.583,1,"AveragePuttingDistanceAll3Plusputts",2012
80,80,"Charl Schwartzel",56,NA,3,1,"AveragePuttingDistanceAll3Plusputts",2012
