"RyderCupWorldPoints_RANKTHISWEEK_2011","RyderCupWorldPoints_RANKLASTWEEK_2011","RyderCupWorldPoints_PLAYERNAME_2011","RyderCupWorldPoints__2011","RyderCupWorldPoints_POINTS_2011","stat_name","year"
87,NA,"Victor Riu",NA,6.4,"RyderCupWorldPoints",2011
89,NA,"Martin Wiegele",NA,6.4,"RyderCupWorldPoints",2011
90,NA,"Anthony Wall",NA,6.34,"RyderCupWorldPoints",2011
91,NA,"Michael Jonzon",NA,6.26,"RyderCupWorldPoints",2011
92,NA,"Graeme Storm",NA,6.24,"RyderCupWorldPoints",2011
93,NA,"Darren Clarke",NA,6.17,"RyderCupWorldPoints",2011
94,NA,"Markus Brier",NA,6.01,"RyderCupWorldPoints",2011
95,NA,"Federico Colombo",NA,5.84,"RyderCupWorldPoints",2011
96,NA,"Soren Hansen",NA,5.44,"RyderCupWorldPoints",2011
97,NA,"Jose Filipe Lima",NA,5.4,"RyderCupWorldPoints",2011
98,NA,"Seve Benson",NA,5.28,"RyderCupWorldPoints",2011
99,NA,"Jean Baptiste Gonnet",NA,5.18,"RyderCupWorldPoints",2011
100,NA,"David Drysdale",NA,5,"RyderCupWorldPoints",2011
101,NA,"Alessandro Tadini",NA,4.96,"RyderCupWorldPoints",2011
102,NA,"Raphael Jacquelin",NA,4.84,"RyderCupWorldPoints",2011
103,NA,"Gary Boyd",NA,4.55,"RyderCupWorldPoints",2011
104,NA,"Colin Montgomerie",NA,4.39,"RyderCupWorldPoints",2011
105,NA,"Mikael Lundberg",NA,4.36,"RyderCupWorldPoints",2011
106,NA,"Robert Coles",NA,4.22,"RyderCupWorldPoints",2011
107,NA,"Tim Sluiter",NA,4.21,"RyderCupWorldPoints",2011
108,NA,"Bradley Dredge",NA,4.17,"RyderCupWorldPoints",2011
109,NA,"Francois DeLamontagne",NA,3.96,"RyderCupWorldPoints",2011
110,NA,"Matthew Southgate",NA,3.87,"RyderCupWorldPoints",2011
111,NA,"Adrien Bernadet",NA,3.74,"RyderCupWorldPoints",2011
112,NA,"Craig Lee",NA,3.68,"RyderCupWorldPoints",2011
113,NA,"Chris Gane",NA,3.27,"RyderCupWorldPoints",2011
114,NA,"Espen Kofstad",NA,3.27,"RyderCupWorldPoints",2011
115,NA,"Robert Dinwiddie",NA,3.24,"RyderCupWorldPoints",2011
116,NA,"Steven OHara",NA,3.22,"RyderCupWorldPoints",2011
117,NA,"Carlos Del Moral",NA,2.9,"RyderCupWorldPoints",2011
118,NA,"Ignacio Garrido",NA,2.82,"RyderCupWorldPoints",2011
119,NA,"Christophe Brazillier",NA,2.67,"RyderCupWorldPoints",2011
120,NA,"David Howell",NA,2.57,"RyderCupWorldPoints",2011
121,NA,"Simon Khan",NA,2.55,"RyderCupWorldPoints",2011
122,NA,"Alastair Forsyth",NA,2.16,"RyderCupWorldPoints",2011
123,NA,"Thomas Levet",NA,1.89,"RyderCupWorldPoints",2011
124,NA,"Philip Archer",NA,1.89,"RyderCupWorldPoints",2011
125,NA,"Barry Lane",NA,1.88,"RyderCupWorldPoints",2011
126,NA,"Maarten Lafeber",NA,1.81,"RyderCupWorldPoints",2011
127,NA,"Florian Pragant",NA,1.76,"RyderCupWorldPoints",2011
128,NA,"Martin Erlandsson",NA,1.74,"RyderCupWorldPoints",2011
129,NA,"Danny Denison",NA,1.64,"RyderCupWorldPoints",2011
130,NA,"Jordi Garcia del Mora",NA,1.64,"RyderCupWorldPoints",2011
131,NA,"Richard Johnson",NA,1.58,"RyderCupWorldPoints",2011
132,NA,"Alvaro Velasco",NA,1.55,"RyderCupWorldPoints",2011
133,NA,"David Dixon",NA,1.43,"RyderCupWorldPoints",2011
134,NA,"Floris De Vries",NA,1.35,"RyderCupWorldPoints",2011
135,NA,"Gareth Maybin",NA,1.33,"RyderCupWorldPoints",2011
136,NA,"Joel Sjoholm",NA,1.32,"RyderCupWorldPoints",2011
137,NA,"Christian Cevaer",NA,1.28,"RyderCupWorldPoints",2011
138,NA,"Nick Dougherty",NA,1.28,"RyderCupWorldPoints",2011
139,NA,"Jose Maria Olazabal",NA,1.22,"RyderCupWorldPoints",2011
140,NA,"Oliver Fisher",NA,1.22,"RyderCupWorldPoints",2011
141,NA,"Scott Jamieson",NA,1.21,"RyderCupWorldPoints",2011
142,NA,"Jamie Elson",NA,1.2,"RyderCupWorldPoints",2011
143,NA,"Ricardo Santos",NA,1.2,"RyderCupWorldPoints",2011
