"LeftRoughTendency_RANKTHISWEEK_2013","LeftRoughTendency_RANKLASTWEEK_2013","LeftRoughTendency_PLAYERNAME_2013","LeftRoughTendency_ROUNDS_2013","LeftRoughTendency_Pct_2013","LeftRoughTendency_TOTALLEFTROUGH_2013","LeftRoughTendency_POSSIBLEFWYS_2013","LeftRoughTendency_RELATIVETOPAR_2013","stat_name","year"
102,102,"Jason Day",86,13.91,117,841,0.01,"LeftRoughTendency",2013
103,103,"Luke Guthrie",82,13.98,126,901,0.11,"LeftRoughTendency",2013
103,103,"Lee Williams",62,13.98,99,708,0.15,"LeftRoughTendency",2013
105,105,"Rickie Fowler",75,14.02,115,820,0.05,"LeftRoughTendency",2013
106,106,"Brendan Steele",86,14.07,150,1066,0.13,"LeftRoughTendency",2013
107,107,"Brandt Snedeker",79,14.09,114,809,-0.05,"LeftRoughTendency",2013
108,108,"Ben Crane",62,14.15,108,763,-0.03,"LeftRoughTendency",2013
109,109,"Vijay Singh",61,14.18,94,663,0.13,"LeftRoughTendency",2013
110,110,"Rory Sabbatini",86,14.19,141,994,0.01,"LeftRoughTendency",2013
111,111,"Brian Harman",89,14.23,150,1054,0.08,"LeftRoughTendency",2013
111,111,"Charl Schwartzel",69,14.23,105,738,-0.02,"LeftRoughTendency",2013
113,113,"Jim Herman",59,14.26,87,610,-0.02,"LeftRoughTendency",2013
114,114,"Nicholas Thompson",99,14.27,170,1191,0.11,"LeftRoughTendency",2013
115,115,"Sangmoon Bae",83,14.33,143,998,0.03,"LeftRoughTendency",2013
116,116,"Angel Cabrera",73,14.34,112,781,0.01,"LeftRoughTendency",2013
117,117,"Alistair Presnell",59,14.35,90,627,0.17,"LeftRoughTendency",2013
118,118,"Andrew Svoboda",46,14.4,70,486,0.2,"LeftRoughTendency",2013
119,119,"Ben Curtis",59,14.42,92,638,0.2,"LeftRoughTendency",2013
120,120,"Will Claxton",67,14.45,112,775,0.14,"LeftRoughTendency",2013
121,121,"Martin Kaymer",61,14.46,83,574,0.01,"LeftRoughTendency",2013
122,122,"Geoff Ogilvy",57,14.49,83,573,0.14,"LeftRoughTendency",2013
123,123,"Gary Woodland",94,14.51,166,1144,0.01,"LeftRoughTendency",2013
124,124,"Mike Weir",60,14.57,94,645,0.13,"LeftRoughTendency",2013
125,125,"Erik Compton",74,14.61,130,890,0.08,"LeftRoughTendency",2013
126,126,"Steven Bowditch",67,14.68,116,790,0.08,"LeftRoughTendency",2013
127,127,"Bill Haas",85,14.69,141,960,0.01,"LeftRoughTendency",2013
128,128,"David Lynn",70,14.71,114,775,0.13,"LeftRoughTendency",2013
129,129,"Matt Kuchar",93,14.82,142,958,0,"LeftRoughTendency",2013
130,130,"Troy Matteson",68,14.84,119,802,0.14,"LeftRoughTendency",2013
130,130,"Carl Pettersson",82,14.84,131,883,0.18,"LeftRoughTendency",2013
132,132,"DA Points",87,14.86,140,942,0.08,"LeftRoughTendency",2013
132,132,"Camilo Villegas",79,14.86,132,888,0.08,"LeftRoughTendency",2013
134,134,"Cameron Percy",68,14.89,117,786,0.05,"LeftRoughTendency",2013
135,135,"Luke Donald",60,15.09,96,636,0,"LeftRoughTendency",2013
135,135,"Sean OHair",56,15.09,105,696,0.24,"LeftRoughTendency",2013
137,137,"Tim Herron",45,15.14,91,601,0.14,"LeftRoughTendency",2013
137,137,"Ryan Palmer",79,15.14,144,951,0.05,"LeftRoughTendency",2013
139,139,"Morgan Hoffmann",64,15.18,111,731,0.09,"LeftRoughTendency",2013
140,140,"Bubba Watson",76,15.19,125,823,-0.06,"LeftRoughTendency",2013
141,141,"Chad Campbell",78,15.22,152,999,0.11,"LeftRoughTendency",2013
142,142,"Matt Every",89,15.23,169,1110,0.06,"LeftRoughTendency",2013
143,143,"JJ Henry",83,15.27,157,1028,0.15,"LeftRoughTendency",2013
144,144,"Jeff Overton",78,15.29,156,1020,0.15,"LeftRoughTendency",2013
145,145,"Adam Scott",61,15.3,93,608,-0.01,"LeftRoughTendency",2013
146,146,"Andres Romero",63,15.31,109,712,0.05,"LeftRoughTendency",2013
147,147,"Jonas Blixt",76,15.33,142,926,0.09,"LeftRoughTendency",2013
148,148,"Henrik Norlander",70,15.38,125,813,0.09,"LeftRoughTendency",2013
149,149,"Brad Fritsch",81,15.47,145,937,0.17,"LeftRoughTendency",2013
150,150,"Jimmy Walker",84,15.61,160,1025,-0.05,"LeftRoughTendency",2013
151,151,"Bobby Gates",49,15.73,81,515,0.09,"LeftRoughTendency",2013
152,152,"Kevin Stadler",83,15.76,151,958,-0.01,"LeftRoughTendency",2013
153,153,"Russell Henley",80,15.85,145,915,0.07,"LeftRoughTendency",2013
154,154,"Padraig Harrington",52,15.94,77,483,0.09,"LeftRoughTendency",2013
155,155,"Patrick Reed",83,16.03,163,1017,-0.07,"LeftRoughTendency",2013
156,156,"Lucas Glover",65,16.04,115,717,0.16,"LeftRoughTendency",2013
157,157,"DJ Trahan",48,16.09,84,522,0,"LeftRoughTendency",2013
158,158,"Tag Ridings",69,16.14,128,793,0.05,"LeftRoughTendency",2013
159,159,"Greg Owen",73,16.43,150,913,0.17,"LeftRoughTendency",2013
