"Total1PuttsInside5_RANKTHISWEEK_2016","Total1PuttsInside5_RANKLASTWEEK_2016","Total1PuttsInside5_PLAYERNAME_2016","Total1PuttsInside5_ROUNDS_2016","Total1PuttsInside5_TOTAL_2016","Total1PuttsInside5_TOTALFORALLDISTANCES_2016","Total1PuttsInside5_PCTOFALL1PUTTS_2016","stat_name","year"
58,51,"Stuart Appleby",39,142,277,51.3,"Total1PuttsInside5",2016
58,72,"David Lingmerth",54,142,259,54.8,"Total1PuttsInside5",2016
58,83,"Francesco Molinari",36,142,234,60.7,"Total1PuttsInside5",2016
58,69,"John Senden",48,142,283,50.2,"Total1PuttsInside5",2016
62,43,"Smylie Kaufman",57,141,287,49.1,"Total1PuttsInside5",2016
62,69,"Boo Weekley",53,141,278,50.7,"Total1PuttsInside5",2016
64,60,"Brendon Todd",43,140,272,51.5,"Total1PuttsInside5",2016
64,81,"Cameron Tringale",47,140,294,47.6,"Total1PuttsInside5",2016
66,60,"David Hearn",55,139,287,48.4,"Total1PuttsInside5",2016
67,55,"Jim Herman",55,138,247,55.9,"Total1PuttsInside5",2016
68,89,"Harris English",51,137,246,55.7,"Total1PuttsInside5",2016
68,60,"Will Ma Kenzie",54,137,262,52.3,"Total1PuttsInside5",2016
68,67,"Ben Martin",48,137,281,48.8,"Total1PuttsInside5",2016
71,76,"Angel Cabrera",42,136,237,57.4,"Total1PuttsInside5",2016
71,100,"Retief Goosen",37,136,242,56.2,"Total1PuttsInside5",2016
73,91,"Tony Finau",49,135,261,51.7,"Total1PuttsInside5",2016
73,86,"James Hahn",45,135,248,54.4,"Total1PuttsInside5",2016
75,91,"Luke Donald",49,134,234,57.3,"Total1PuttsInside5",2016
75,72,"Jason Gore",51,134,261,51.3,"Total1PuttsInside5",2016
75,95,"Tom Hoge",47,134,273,49.1,"Total1PuttsInside5",2016
75,58,"Greg Owen",56,134,262,51.1,"Total1PuttsInside5",2016
79,66,"Chad Collins",45,132,267,49.4,"Total1PuttsInside5",2016
79,74,"Padraig Harrington",38,132,224,58.9,"Total1PuttsInside5",2016
81,100,"Erik Compton",45,131,230,57,"Total1PuttsInside5",2016
82,74,"Ben Crane",48,130,277,46.9,"Total1PuttsInside5",2016
82,83,"Chesson Hadley",51,130,265,49.1,"Total1PuttsInside5",2016
82,60,"Charley Hoffman",49,130,273,47.6,"Total1PuttsInside5",2016
85,76,"Hiroshi Iwata",51,129,256,50.4,"Total1PuttsInside5",2016
85,95,"Carlos Ortiz",47,129,235,54.9,"Total1PuttsInside5",2016
85,79,"Patrick Rodgers",49,129,253,51,"Total1PuttsInside5",2016
85,65,"Hudson Swafford",52,129,275,46.9,"Total1PuttsInside5",2016
89,91,"Brendon de Jonge",55,126,248,50.8,"Total1PuttsInside5",2016
89,67,"Billy Horschel",45,126,250,50.4,"Total1PuttsInside5",2016
91,86,"Blayne Barber",44,125,254,49.2,"Total1PuttsInside5",2016
91,110,"Scott Langley",41,125,222,56.3,"Total1PuttsInside5",2016
91,100,"Mark Wilson",42,125,230,54.3,"Total1PuttsInside5",2016
94,89,"Tyler Aldridge",53,124,282,44,"Total1PuttsInside5",2016
94,86,"Morgan Hoffmann",43,124,265,46.8,"Total1PuttsInside5",2016
96,76,"Russell Henley",42,122,264,46.2,"Total1PuttsInside5",2016
96,108,"Brendan Steele",48,122,255,47.8,"Total1PuttsInside5",2016
96,110,"Gary Woodland",45,122,229,53.3,"Total1PuttsInside5",2016
99,121,"Phil Mickelson",37,121,225,53.8,"Total1PuttsInside5",2016
99,79,"Carl Pettersson",31,121,214,56.5,"Total1PuttsInside5",2016
99,100,"Shawn Stefani",45,121,224,54,"Total1PuttsInside5",2016
99,97,"Justin Thomas",53,121,247,49,"Total1PuttsInside5",2016
103,116,"Rickie Fowler",42,120,231,51.9,"Total1PuttsInside5",2016
103,81,"Matt Kuchar",46,120,226,53.1,"Total1PuttsInside5",2016
103,110,"David Toms",38,120,233,51.5,"Total1PuttsInside5",2016
106,127,"Ernie Els",34,119,217,54.8,"Total1PuttsInside5",2016
106,104,"Kevin Kisner",49,119,237,50.2,"Total1PuttsInside5",2016
108,118,"Danny Lee",53,118,260,45.4,"Total1PuttsInside5",2016
108,83,"Jimmy Walker",43,118,242,48.8,"Total1PuttsInside5",2016
110,106,"Davis Love III",40,117,216,54.2,"Total1PuttsInside5",2016
111,129,"Daniel Berger",52,116,241,48.1,"Total1PuttsInside5",2016
111,121,"Hunter Mahan",43,116,239,48.5,"Total1PuttsInside5",2016
113,118,"Andres Gonzales",46,115,222,51.8,"Total1PuttsInside5",2016
113,91,"Kevin Na",52,115,238,48.3,"Total1PuttsInside5",2016
113,115,"Geoff Ogilvy",37,115,196,58.7,"Total1PuttsInside5",2016
116,136,"Robert Streb",51,114,214,53.3,"Total1PuttsInside5",2016
117,97,"Jerry Kelly",44,113,200,56.5,"Total1PuttsInside5",2016
117,116,"George McNeill",33,113,207,54.6,"Total1PuttsInside5",2016
117,97,"Troy Merritt",41,113,221,51.1,"Total1PuttsInside5",2016
120,121,"Emiliano Grillo",47,112,233,48.1,"Total1PuttsInside5",2016
121,120,"Kevin Streelman",46,111,203,54.7,"Total1PuttsInside5",2016
122,105,"Zach Johnson",42,110,237,46.4,"Total1PuttsInside5",2016
122,134,"Johnson Wagner",44,110,232,47.4,"Total1PuttsInside5",2016
124,106,"Jason Dufner",53,109,238,45.8,"Total1PuttsInside5",2016
124,108,"JJ Henry",44,109,237,46,"Total1PuttsInside5",2016
124,130,"Dawie van der Walt",48,109,223,48.9,"Total1PuttsInside5",2016
127,143,"JB Holmes",39,107,214,50,"Total1PuttsInside5",2016
127,130,"Webb Simpson",34,107,207,51.7,"Total1PuttsInside5",2016
127,121,"Michael Thompson",46,107,201,53.2,"Total1PuttsInside5",2016
127,143,"Jhonattan Vegas",49,107,245,43.7,"Total1PuttsInside5",2016
127,147,"Tim Wilkinson",40,107,210,51,"Total1PuttsInside5",2016
132,147,"Alex Cejka",47,106,215,49.3,"Total1PuttsInside5",2016
132,110,"Stewart Cink",45,106,201,52.7,"Total1PuttsInside5",2016
132,110,"Russell Knox",48,106,191,55.5,"Total1PuttsInside5",2016
132,127,"Ryan Moore",40,106,206,51.5,"Total1PuttsInside5",2016
132,143,"Rob Oppenheim",37,106,201,52.7,"Total1PuttsInside5",2016
132,147,"Scott Pinckney",53,106,244,43.4,"Total1PuttsInside5",2016
132,152,"Vaughn Taylor",30,106,180,58.9,"Total1PuttsInside5",2016
139,130,"Matt Jones",45,105,189,55.6,"Total1PuttsInside5",2016
139,141,"Anirban Lahiri",44,105,196,53.6,"Total1PuttsInside5",2016
141,143,"Jason Bohn",37,104,205,50.7,"Total1PuttsInside5",2016
142,121,"Keegan Bradley",40,101,174,58,"Total1PuttsInside5",2016
142,121,"Justin Leonard",28,101,170,59.4,"Total1PuttsInside5",2016
144,153,"Ian Poulter",37,100,176,56.8,"Total1PuttsInside5",2016
145,130,"Marc Leishman",41,98,189,51.9,"Total1PuttsInside5",2016
145,141,"Cameron Smith",45,98,189,51.9,"Total1PuttsInside5",2016
147,140,"Matt Every",34,97,192,50.5,"Total1PuttsInside5",2016
147,134,"Scott Piercy",45,97,191,50.8,"Total1PuttsInside5",2016
149,159,"Justin Rose",35,96,178,53.9,"Total1PuttsInside5",2016
150,169,"Martin Piller",37,95,188,50.5,"Total1PuttsInside5",2016
150,137,"Jordan Spieth",34,95,159,59.7,"Total1PuttsInside5",2016
152,138,"Rhein Gibson",36,94,174,54,"Total1PuttsInside5",2016
152,138,"Brooks Koepka",39,94,204,46.1,"Total1PuttsInside5",2016
154,173,"Hideki Matsuyama",40,93,187,49.7,"Total1PuttsInside5",2016
155,153,"Sam Saunders",40,92,188,48.9,"Total1PuttsInside5",2016
156,155,"Steven Bowditch",40,91,200,45.5,"Total1PuttsInside5",2016
156,171,"Derek Ernst",36,91,155,58.7,"Total1PuttsInside5",2016
156,164,"Bill Haas",42,91,181,50.3,"Total1PuttsInside5",2016
159,161,"Robert Allenby",35,90,165,54.5,"Total1PuttsInside5",2016
159,155,"Steve Marino",40,90,182,49.5,"Total1PuttsInside5",2016
161,164,"Jamie Donaldson",28,89,166,53.6,"Total1PuttsInside5",2016
161,147,"Brian Gay",22,89,161,55.3,"Total1PuttsInside5",2016
161,176,"Henrik Norlander",41,89,176,50.6,"Total1PuttsInside5",2016
161,147,"Dicky Pride",33,89,175,50.9,"Total1PuttsInside5",2016
165,164,"DH Lee",35,88,177,49.7,"Total1PuttsInside5",2016
165,178,"Rory McIlroy",37,88,165,53.3,"Total1PuttsInside5",2016
167,157,"Jason Day",36,84,176,47.7,"Total1PuttsInside5",2016
167,157,"Rory Sabbatini",40,84,172,48.8,"Total1PuttsInside5",2016
169,159,"Luke Guthrie",31,83,153,54.2,"Total1PuttsInside5",2016
170,185,"Paul Casey",39,82,160,51.3,"Total1PuttsInside5",2016
170,178,"Adam Scott",39,82,175,46.9,"Total1PuttsInside5",2016
172,162,"Graeme McDowell",33,80,150,53.3,"Total1PuttsInside5",2016
172,162,"Steve Stricker",25,80,174,46,"Total1PuttsInside5",2016
174,175,"Thomas Aiken",42,79,167,47.3,"Total1PuttsInside5",2016
175,164,"Ken Duke",26,78,135,57.8,"Total1PuttsInside5",2016
175,164,"Wes Roach",33,78,146,53.4,"Total1PuttsInside5",2016
177,169,"Charl Schwartzel",29,77,156,49.4,"Total1PuttsInside5",2016
178,185,"Robert Garrigus",34,76,143,53.1,"Total1PuttsInside5",2016
178,182,"Brian Stuard",24,76,146,52.1,"Total1PuttsInside5",2016
180,178,"Justin Hicks",26,75,153,49,"Total1PuttsInside5",2016
180,171,"Dustin Johnson",37,75,153,49,"Total1PuttsInside5",2016
180,181,"DA Points",32,75,137,54.7,"Total1PuttsInside5",2016
183,173,"Billy Hurley III",22,74,131,56.5,"Total1PuttsInside5",2016
184,183,"Shane Lowry",35,73,143,51,"Total1PuttsInside5",2016
185,176,"Branden Grace",31,71,130,54.6,"Total1PuttsInside5",2016
186,188,"Kelly Kraft",35,66,138,47.8,"Total1PuttsInside5",2016
186,183,"Andres Romero",22,66,102,64.7,"Total1PuttsInside5",2016
186,193,"Ollie Schniederjans",23,66,127,52,"Total1PuttsInside5",2016
189,185,"Shane Bertsch",30,65,129,50.4,"Total1PuttsInside5",2016
190,193,"Henrik Stenson",30,63,123,51.2,"Total1PuttsInside5",2016
191,188,"Lucas Lee",22,60,104,57.7,"Total1PuttsInside5",2016
192,190,"Charlie Beljan",26,59,110,53.6,"Total1PuttsInside5",2016
193,191,"Darron Stiles",28,58,103,56.3,"Total1PuttsInside5",2016
193,191,"Andy Sullivan",25,58,112,51.8,"Total1PuttsInside5",2016
195,195,"Bubba Watson",30,54,108,50,"Total1PuttsInside5",2016
196,197,"Brice Garnett",29,52,105,49.5,"Total1PuttsInside5",2016
197,198,"Abraham Ancer",26,48,106,45.3,"Total1PuttsInside5",2016
197,198,"Miguel Angel Carballo",24,48,93,51.6,"Total1PuttsInside5",2016
197,198,"Pat Perez",28,48,108,44.4,"Total1PuttsInside5",2016
197,198,"DJ Trahan",23,48,86,55.8,"Total1PuttsInside5",2016
201,204,"Byeong Hun An",23,46,94,48.9,"Total1PuttsInside5",2016
201,202,"Andrew Landry",24,46,93,49.5,"Total1PuttsInside5",2016
203,203,"Matthew Fitzpatrick",23,45,89,50.6,"Total1PuttsInside5",2016
204,205,"Bernd Wiesberger",23,37,71,52.1,"Total1PuttsInside5",2016
205,206,"Sergio Garcia",28,36,80,45,"Total1PuttsInside5",2016
206,207,"Cameron Percy",22,34,79,43,"Total1PuttsInside5",2016
207,208,"Louis Oosthuizen",25,29,59,49.2,"Total1PuttsInside5",2016
