"LateScoringAverage_RANKTHISWEEK_2006","LateScoringAverage_RANKLASTWEEK_2006","LateScoringAverage_PLAYERNAME_2006","LateScoringAverage_ROUNDS_2006","LateScoringAverage_AVG_2006","LateScoringAverage_TOTALSTROKES_2006","LateScoringAverage_TOTALLATEROUNDS_2006","stat_name","year"
41,41,"Joe Durant",101,70.71,3960,56,"LateScoringAverage",2006
42,42,"Charley Hoffman",100,70.73,3961,56,"LateScoringAverage",2006
42,42,"Camilo Villegas",95,70.73,3395,48,"LateScoringAverage",2006
44,44,"Ben Crane",85,70.74,2759,39,"LateScoringAverage",2006
44,44,"Jerry Smith",94,70.74,2688,38,"LateScoringAverage",2006
44,44,"Omar Uresti",61,70.74,1910,27,"LateScoringAverage",2006
47,47,"Nathan Green",108,70.76,3609,51,"LateScoringAverage",2006
48,48,"Alex Cejka",93,70.79,3044,43,"LateScoringAverage",2006
48,48,"JJ Henry",96,70.79,3327,47,"LateScoringAverage",2006
48,48,"Steve Lowery",99,70.79,3327,47,"LateScoringAverage",2006
48,48,"Ryan Moore",68,70.79,2407,34,"LateScoringAverage",2006
52,52,"Will Ma Kenzie",91,70.8,3257,46,"LateScoringAverage",2006
52,52,"Billy Mayfair",94,70.8,3115,44,"LateScoringAverage",2006
54,54,"Stephen Ames",63,70.82,2408,34,"LateScoringAverage",2006
55,55,"Ryuji Imada",105,70.83,3329,47,"LateScoringAverage",2006
56,56,"Brian Bateman",69,70.87,2197,31,"LateScoringAverage",2006
57,57,"Ryan Palmer",101,70.88,3615,51,"LateScoringAverage",2006
58,58,"Billy Andrade",78,70.89,2552,36,"LateScoringAverage",2006
59,59,"Richard Johnson",94,70.9,3474,49,"LateScoringAverage",2006
59,59,"Jeff Sluman",101,70.9,3474,49,"LateScoringAverage",2006
61,61,"Brett Wetterich",82,70.91,3191,45,"LateScoringAverage",2006
62,62,"Bill Haas",99,70.92,3404,48,"LateScoringAverage",2006
62,62,"Bernhard Langer",77,70.92,2553,36,"LateScoringAverage",2006
64,64,"Vaughn Taylor",88,70.93,3121,44,"LateScoringAverage",2006
65,65,"Shane Bertsch",104,70.98,3478,49,"LateScoringAverage",2006
65,65,"Shaun Micheel",96,70.98,3549,50,"LateScoringAverage",2006
65,65,"Kevin Sutherland",100,70.98,3336,47,"LateScoringAverage",2006
68,68,"Shigeki Maruyama",94,71,3053,43,"LateScoringAverage",2006
69,69,"Briny Baird",81,71.02,3196,45,"LateScoringAverage",2006
69,69,"Arron Oberholser",82,71.02,2983,42,"LateScoringAverage",2006
69,69,"Tom Pernice Jr",108,71.02,3835,54,"LateScoringAverage",2006
72,72,"Jeff Overton",95,71.03,2557,36,"LateScoringAverage",2006
73,73,"Michael Allen",84,71.05,2984,42,"LateScoringAverage",2006
74,74,"Justin Rose",98,71.06,3766,53,"LateScoringAverage",2006
75,75,"Harrison Frazar",95,71.07,3269,46,"LateScoringAverage",2006
76,76,"Chris DiMarco",83,71.08,2701,38,"LateScoringAverage",2006
76,76,"Retief Goosen",68,71.08,2559,36,"LateScoringAverage",2006
78,78,"Lucas Glover",105,71.09,3981,56,"LateScoringAverage",2006
79,79,"Tim Herron",82,71.1,2915,41,"LateScoringAverage",2006
79,79,"David Howell",52,71.1,1493,21,"LateScoringAverage",2006
79,79,"Jesper Parnevik",84,71.1,2844,40,"LateScoringAverage",2006
82,82,"Scott Gutschewski",53,71.11,1991,28,"LateScoringAverage",2006
82,82,"Padraig Harrington",54,71.11,1920,27,"LateScoringAverage",2006
82,82,"JB Holmes",81,71.11,2560,36,"LateScoringAverage",2006
82,82,"Mike Weir",88,71.11,3342,47,"LateScoringAverage",2006
86,86,"Corey Pavin",74,71.12,2347,33,"LateScoringAverage",2006
87,87,"Tim Clark",80,71.14,2988,42,"LateScoringAverage",2006
87,87,"Marco Dawson",87,71.14,2632,37,"LateScoringAverage",2006
87,87,"Steve Flesch",119,71.14,3557,50,"LateScoringAverage",2006
90,90,"Hunter Mahan",98,71.15,3415,48,"LateScoringAverage",2006
91,91,"Jason Bohn",104,71.16,3487,49,"LateScoringAverage",2006
91,91,"Tjaart van der Walt",60,71.16,1779,25,"LateScoringAverage",2006
93,93,"Eric Axley",91,71.19,2990,42,"LateScoringAverage",2006
93,93,"Bart Bryant",87,71.19,2990,42,"LateScoringAverage",2006
93,93,"Steve Elkington",52,71.19,1851,26,"LateScoringAverage",2006
96,96,"Paul Azinger",87,71.2,2848,40,"LateScoringAverage",2006
96,96,"David Branshaw",98,71.2,3275,46,"LateScoringAverage",2006
96,96,"Kent Jones",103,71.2,3204,45,"LateScoringAverage",2006
99,99,"Tommy Armour III",65,71.21,1994,28,"LateScoringAverage",2006
99,99,"Jeff Brehaut",100,71.21,3347,47,"LateScoringAverage",2006
99,99,"JP Hayes",55,71.21,1994,28,"LateScoringAverage",2006
99,99,"Joey Sindelar",90,71.21,3062,43,"LateScoringAverage",2006
103,103,"Daniel Chopra",110,71.22,4487,63,"LateScoringAverage",2006
104,104,"Lee Janzen",79,71.25,2565,36,"LateScoringAverage",2006
105,105,"Justin Leonard",83,71.26,3064,43,"LateScoringAverage",2006
106,106,"Brian Davis",92,71.27,2637,37,"LateScoringAverage",2006
107,107,"Dudley Hart",83,71.28,2851,40,"LateScoringAverage",2006
108,108,"Joe Ogilvie",95,71.29,3208,45,"LateScoringAverage",2006
109,109,"Greg Owen",79,71.3,2852,40,"LateScoringAverage",2006
110,110,"Kris Cox",83,71.33,2782,39,"LateScoringAverage",2006
110,110,"Sean OHair",100,71.33,3067,43,"LateScoringAverage",2006
110,110,"Bo Van Pelt",102,71.33,3923,55,"LateScoringAverage",2006
113,113,"Mathias Gronberg",92,71.35,3282,46,"LateScoringAverage",2006
113,113,"Chris Riley",86,71.35,3068,43,"LateScoringAverage",2006
113,113,"Kirk Triplett",58,71.35,1855,26,"LateScoringAverage",2006
116,116,"David McKenzie",82,71.36,2783,39,"LateScoringAverage",2006
116,116,"Mark Wilson",79,71.36,2355,33,"LateScoringAverage",2006
118,118,"Jonathan Kaye",95,71.37,3069,43,"LateScoringAverage",2006
118,118,"Duffy Waldorf",96,71.37,2926,41,"LateScoringAverage",2006
120,120,"Sergio Garcia",59,71.38,2070,29,"LateScoringAverage",2006
120,120,"Rod Pampling",89,71.38,2998,42,"LateScoringAverage",2006
122,122,"Charles Howell III",96,71.39,2713,38,"LateScoringAverage",2006
123,123,"Skip Kendall",72,71.4,2499,35,"LateScoringAverage",2006
124,124,"Craig Barlow",77,71.41,2428,34,"LateScoringAverage",2006
124,124,"Brandt Jobe",91,71.41,2785,39,"LateScoringAverage",2006
126,126,"David Duval",71,71.42,2214,31,"LateScoringAverage",2006
126,126,"Jason Gore",86,71.42,2571,36,"LateScoringAverage",2006
126,126,"John Rollins",93,71.42,3428,48,"LateScoringAverage",2006
129,129,"John Cook",67,71.43,2143,30,"LateScoringAverage",2006
129,129,"Freddie Jacobson",56,71.43,2143,30,"LateScoringAverage",2006
131,131,"Troy Matteson",101,71.45,3644,51,"LateScoringAverage",2006
131,131,"Geoff Ogilvy",76,71.45,2715,38,"LateScoringAverage",2006
133,133,"Jason Schultz",77,71.46,2644,37,"LateScoringAverage",2006
134,134,"Henrik Bjornstad",97,71.49,3217,45,"LateScoringAverage",2006
135,135,"Arjun Atwal",97,71.51,3647,51,"LateScoringAverage",2006
136,136,"John Huston",74,71.53,2146,30,"LateScoringAverage",2006
136,136,"Carl Pettersson",95,71.53,3219,45,"LateScoringAverage",2006
136,136,"Paul Stankowski",70,71.53,2146,30,"LateScoringAverage",2006
139,139,"Peter Lonard",77,71.54,2647,37,"LateScoringAverage",2006
140,140,"Todd Fischer",101,71.61,3509,49,"LateScoringAverage",2006
140,140,"Daisuke Maruyama",83,71.61,2721,38,"LateScoringAverage",2006
142,142,"Robert Damron",91,71.64,3009,42,"LateScoringAverage",2006
143,143,"Doug Barron",74,71.66,2508,35,"LateScoringAverage",2006
144,144,"Brent Geiberger",99,71.67,3225,45,"LateScoringAverage",2006
144,144,"Tim Petrovic",95,71.67,2580,36,"LateScoringAverage",2006
146,146,"Chris Smith",67,71.68,2652,37,"LateScoringAverage",2006
147,147,"Jimmy Walker",60,71.69,2079,29,"LateScoringAverage",2006
148,148,"Steve Jones",83,71.7,2653,37,"LateScoringAverage",2006
148,148,"Davis Love III",85,71.7,2653,37,"LateScoringAverage",2006
150,150,"Aaron Baddeley",78,71.73,2654,37,"LateScoringAverage",2006
151,151,"Larry Mize",53,71.74,1650,23,"LateScoringAverage",2006
152,152,"Patrick Sheehan",104,71.77,3373,47,"LateScoringAverage",2006
153,153,"Fred Couples",52,71.79,1723,24,"LateScoringAverage",2006
153,153,"DA Points",82,71.79,2728,38,"LateScoringAverage",2006
155,155,"Robert Garrigus",85,71.8,2872,40,"LateScoringAverage",2006
155,155,"Ted Purdy",103,71.8,3590,50,"LateScoringAverage",2006
157,157,"Rich Beem",85,71.88,2947,41,"LateScoringAverage",2006
157,157,"Danny Ellis",68,71.88,1725,24,"LateScoringAverage",2006
157,157,"Jeff Maggert",81,71.88,2947,41,"LateScoringAverage",2006
157,157,"Tag Ridings",103,71.88,3450,48,"LateScoringAverage",2006
161,161,"Ben Curtis",86,71.9,3020,42,"LateScoringAverage",2006
162,162,"Mathew Goggin",72,71.94,2374,33,"LateScoringAverage",2006
163,163,"Mark Calcavecchia",94,71.96,3238,45,"LateScoringAverage",2006
164,164,"Chris Couch",75,71.97,2447,34,"LateScoringAverage",2006
165,165,"Carlos Franco",86,71.98,2951,41,"LateScoringAverage",2006
166,166,"John Daly",51,72,1440,20,"LateScoringAverage",2006
166,166,"Vance Veazey",59,72,1800,25,"LateScoringAverage",2006
168,168,"Bubba Dickerson",98,72.05,3026,42,"LateScoringAverage",2006
168,168,"DJ Trahan",92,72.05,3098,43,"LateScoringAverage",2006
170,170,"Alex Aragon",63,72.11,1947,27,"LateScoringAverage",2006
171,171,"Bob Tway",81,72.14,2669,37,"LateScoringAverage",2006
172,172,"Olin Browne",108,72.16,3175,44,"LateScoringAverage",2006
173,173,"Matt Hansen",68,72.33,2170,30,"LateScoringAverage",2006
174,174,"Mike Sposa",68,72.36,1809,25,"LateScoringAverage",2006
175,175,"Tom Lehman",70,72.4,1810,25,"LateScoringAverage",2006
176,176,"Ron Whittaker",81,72.42,2752,38,"LateScoringAverage",2006
177,177,"Greg Chalmers",71,72.43,2028,28,"LateScoringAverage",2006
177,177,"Greg Kraft",79,72.43,2535,35,"LateScoringAverage",2006
177,177,"JL Lewis",57,72.43,2028,28,"LateScoringAverage",2006
180,180,"Ian Leggatt",80,72.45,2753,38,"LateScoringAverage",2006
180,180,"Jon Mills",68,72.45,2246,31,"LateScoringAverage",2006
180,180,"Wes Short Jr",96,72.45,3405,47,"LateScoringAverage",2006
183,183,"Mark Brooks",90,72.46,3333,46,"LateScoringAverage",2006
184,184,"James Driscoll",80,72.49,2682,37,"LateScoringAverage",2006
185,185,"Mark OMeara",52,72.5,1595,22,"LateScoringAverage",2006
186,186,"Roger Tambellini",64,72.55,2249,31,"LateScoringAverage",2006
187,187,"Ryan Hietala",61,72.58,1887,26,"LateScoringAverage",2006
188,188,"Pat Perez",50,72.59,1597,22,"LateScoringAverage",2006
189,189,"Brad Faxon",78,72.63,2324,32,"LateScoringAverage",2006
190,190,"Nicholas Thompson",96,72.79,3130,43,"LateScoringAverage",2006
191,191,"John Engler Jr",69,72.82,2476,34,"LateScoringAverage",2006
192,192,"Thomas Levet",53,73,1606,22,"LateScoringAverage",2006
192,192,"Len Mattiace",59,73,2117,29,"LateScoringAverage",2006
194,194,"Michael Connell",51,73.04,1680,23,"LateScoringAverage",2006
195,195,"Todd Hamilton",72,73.13,2267,31,"LateScoringAverage",2006
196,196,"Hidemichi Tanaka",74,73.67,2652,36,"LateScoringAverage",2006
