"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2008","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2008","TotalMoneyOfficialandUnofficial_PLAYERNAME_2008","TotalMoneyOfficialandUnofficial_EVENTS_2008","TotalMoneyOfficialandUnofficial_MONEY_2008","stat_name","year"
216,216,"Alastair Forsyth",3,222916,"TotalMoneyOfficialandUnofficial",2008
217,217,"Darren Clarke",2,220000,"TotalMoneyOfficialandUnofficial",2008
218,218,"Prayad Marksaeng",5,219060,"TotalMoneyOfficialandUnofficial",2008
219,219,"Todd Demsey",26,217417,"TotalMoneyOfficialandUnofficial",2008
220,220,"Soren Hansen",11,215132,"TotalMoneyOfficialandUnofficial",2008
221,221,"WC Liang",7,214853,"TotalMoneyOfficialandUnofficial",2008
222,222,"Gregory Havret",3,210518,"TotalMoneyOfficialandUnofficial",2008
223,223,"Larry Mize",16,190804,"TotalMoneyOfficialandUnofficial",2008
224,224,"Craig Parry",5,186311,"TotalMoneyOfficialandUnofficial",2008
225,225,"Nick Dougherty",8,183062,"TotalMoneyOfficialandUnofficial",2008
226,226,"Dicky Pride",14,182890,"TotalMoneyOfficialandUnofficial",2008
227,227,"Garrett Willis",12,181815,"TotalMoneyOfficialandUnofficial",2008
228,228,"Olin Browne",28,172029,"TotalMoneyOfficialandUnofficial",2008
229,229,"Andrew Buckle",16,170264,"TotalMoneyOfficialandUnofficial",2008
230,230,"Dan Forsman",11,169106,"TotalMoneyOfficialandUnofficial",2008
231,231,"Casey Wittenberg",4,167520,"TotalMoneyOfficialandUnofficial",2008
232,232,"Brent Geiberger",12,165600,"TotalMoneyOfficialandUnofficial",2008
233,233,"Alejandro Canizares",16,162115,"TotalMoneyOfficialandUnofficial",2008
234,234,"Shigeki Maruyama",18,160175,"TotalMoneyOfficialandUnofficial",2008
235,235,"Stephen Leaney",17,157963,"TotalMoneyOfficialandUnofficial",2008
236,236,"Shaun Micheel",16,157828,"TotalMoneyOfficialandUnofficial",2008
237,237,"Paul Stankowski",14,156077,"TotalMoneyOfficialandUnofficial",2008
238,238,"Kyle Thompson",26,154447,"TotalMoneyOfficialandUnofficial",2008
239,239,"Mark Brown",4,149250,"TotalMoneyOfficialandUnofficial",2008
240,240,"Bernhard Langer",2,147250,"TotalMoneyOfficialandUnofficial",2008
241,241,"Gregory Norman",1,145000,"TotalMoneyOfficialandUnofficial",2008
242,242,"Michael Bradley",15,143454,"TotalMoneyOfficialandUnofficial",2008
