"RoughProximity_RANKTHISWEEK_2014","RoughProximity_RANKLASTWEEK_2014","RoughProximity_PLAYERNAME_2014","RoughProximity_ROUNDS_2014","RoughProximity_AVG_2014","RoughProximity_TOTALDISTANCEINCHES_2014","RoughProximity_ATTEMPTS_2014","RoughProximity_TOTALDISTANCEFEET_2014","RoughProximity_RELATIVETOPAR_2014","stat_name","year"
73,73,"Steven Bowditch",93,NA,169227,324,14102.25,61,"RoughProximity",2014
73,73,"Jason Day",54,NA,71466,137,5955.5,16,"RoughProximity",2014
73,73,"Ted Potter Jr",68,NA,98126,188,8177.167,26,"RoughProximity",2014
73,73,"Charl Schwartzel",64,NA,113819,218,9484.917,10,"RoughProximity",2014
77,77,"Robert Allenby",83,NA,132887,254,11073.917,32,"RoughProximity",2014
77,77,"Danny Lee",84,NA,116738,223,9728.167,24,"RoughProximity",2014
79,79,"Jason Dufner",57,NA,76962,147,6413.5,23,"RoughProximity",2014
79,79,"Matt Jones",83,NA,120965,231,10080.417,37,"RoughProximity",2014
79,79,"Graeme McDowell",66,NA,67055,128,5587.917,19,"RoughProximity",2014
82,82,"Jonas Blixt",64,NA,93996,179,7833,29,"RoughProximity",2014
82,82,"Matt Kuchar",91,NA,122845,234,10237.083,20,"RoughProximity",2014
82,82,"Brian Stuard",91,NA,118163,225,9846.917,26,"RoughProximity",2014
85,85,"Russell Knox",92,NA,131019,249,10918.25,42,"RoughProximity",2014
85,85,"Jason Kokrak",65,NA,135186,257,11265.5,9,"RoughProximity",2014
85,85,"Ian Poulter",57,NA,85260,162,7105,26,"RoughProximity",2014
85,85,"Camilo Villegas",95,NA,152153,289,12679.417,51,"RoughProximity",2014
89,89,"Lucas Glover",68,NA,74901,142,6241.75,31,"RoughProximity",2014
89,89,"Scott Langley",95,NA,159799,303,13316.583,30,"RoughProximity",2014
89,89,"Bryce Molder",77,NA,122309,232,10192.417,37,"RoughProximity",2014
92,92,"Briny Baird",50,NA,84129,159,7010.75,33,"RoughProximity",2014
92,92,"Ryan Moore",86,NA,83570,158,6964.167,26,"RoughProximity",2014
92,92,"John Rollins",84,NA,134300,254,11191.667,29,"RoughProximity",2014
95,95,"Rickie Fowler",91,NA,118185,223,9848.75,41,"RoughProximity",2014
95,95,"Brendon Todd",108,NA,163648,309,13637.333,29,"RoughProximity",2014
97,97,"Scott Brown",100,NA,140191,264,11682.583,40,"RoughProximity",2014
97,97,"James Hahn",82,NA,145019,273,12084.917,34,"RoughProximity",2014
