"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2015","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2015","GoingfortheGreenHitGreenPct_PLAYERNAME_2015","GoingfortheGreenHitGreenPct_ROUNDS_2015","GoingfortheGreenHitGreenPct_Pct_2015","GoingfortheGreenHitGreenPct_SUCCESSES_2015","GoingfortheGreenHitGreenPct_ATTEMPTS_2015","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2015","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2015","stat_name","year"
161,161,"Geoff Ogilvy",50,16.09,14,87,-14,NA,"GoingfortheGreenHitGreenPct",2015
162,162,"Zach Johnson",90,15.6,17,109,-19,NA,"GoingfortheGreenHitGreenPct",2015
163,163,"John Huh",102,15.38,24,156,-27,NA,"GoingfortheGreenHitGreenPct",2015
164,164,"Fabian Gomez",83,15.15,15,99,-12,NA,"GoingfortheGreenHitGreenPct",2015
165,165,"Luke Guthrie",84,15.09,16,106,-18,NA,"GoingfortheGreenHitGreenPct",2015
166,166,"Jamie Donaldson",50,14.81,8,54,-7,NA,"GoingfortheGreenHitGreenPct",2015
167,167,"Steven Alker",62,14.71,10,68,-13,NA,"GoingfortheGreenHitGreenPct",2015
168,168,"Brian Davis",86,14.61,13,89,-15,NA,"GoingfortheGreenHitGreenPct",2015
168,168,"Nicholas Thompson",90,14.61,13,89,-16,NA,"GoingfortheGreenHitGreenPct",2015
170,170,"David Hearn",97,14.29,15,105,-16,NA,"GoingfortheGreenHitGreenPct",2015
171,171,"Morgan Hoffmann",85,14.02,23,164,-24,NA,"GoingfortheGreenHitGreenPct",2015
172,172,"Billy Hurley III",83,13.85,9,65,-10,NA,"GoingfortheGreenHitGreenPct",2015
173,173,"Sergio Garcia",59,13.83,13,94,-14,NA,"GoingfortheGreenHitGreenPct",2015
173,173,"Jerry Kelly",79,13.83,13,94,-13,NA,"GoingfortheGreenHitGreenPct",2015
175,175,"Greg Owen",58,13.64,9,66,-11,NA,"GoingfortheGreenHitGreenPct",2015
176,176,"Robert Allenby",63,13.51,10,74,-8,NA,"GoingfortheGreenHitGreenPct",2015
177,177,"William McGirt",103,13.22,16,121,-16,NA,"GoingfortheGreenHitGreenPct",2015
178,178,"Chad Collins",79,13.1,11,84,-13,NA,"GoingfortheGreenHitGreenPct",2015
179,179,"Mark Wilson",89,12.5,12,96,-14,NA,"GoingfortheGreenHitGreenPct",2015
180,180,"Brian Stuard",97,9.68,9,93,-9,NA,"GoingfortheGreenHitGreenPct",2015
181,181,"Oscar Fraustro",58,9.33,7,75,-7,NA,"GoingfortheGreenHitGreenPct",2015
182,182,"Tim Wilkinson",73,8.96,6,67,-6,NA,"GoingfortheGreenHitGreenPct",2015
183,183,"Ian Poulter",68,7.04,5,71,-5,NA,"GoingfortheGreenHitGreenPct",2015
184,184,"David Toms",62,6.38,3,47,-2,NA,"GoingfortheGreenHitGreenPct",2015
