"CarryDistance_RANKTHISWEEK_2011","CarryDistance_RANKLASTWEEK_2011","CarryDistance_PLAYERNAME_2011","CarryDistance_ROUNDS_2011","CarryDistance_AVG_2011","CarryDistance_TOTALDISTTOIMPACT_2011","CarryDistance_TOTALATTEMPTS_2011","CarryDistance_LONGESTCARRYDISTANCE_2011","CarryDistance_SHORTESTCARRYDISTANCE_2011","stat_name","year"
29,29,"Charl Schwartzel",58,283.6,9075.3,32,314.3,254.1,"CarryDistance",2011
30,30,"Rickie Fowler",84,283.3,15580.1,55,313.9,240.9,"CarryDistance",2011
31,31,"Derek Lamely",65,283.1,11039.2,39,306.1,252.6,"CarryDistance",2011
32,32,"Troy Matteson",91,282.8,16118.5,57,312.6,238.3,"CarryDistance",2011
33,33,"Adam Scott",60,282.7,12154.8,43,315.8,240.4,"CarryDistance",2011
34,34,"Michael Putnam",67,282.6,10456,37,313.9,258,"CarryDistance",2011
35,35,"Jimmy Walker",79,282.3,12137.9,43,310.4,242.5,"CarryDistance",2011
36,36,"Aaron Baddeley",77,281.7,13521.8,48,318.4,242.4,"CarryDistance",2011
37,37,"George McNeill",69,281.5,12665.9,45,313.3,246.8,"CarryDistance",2011
37,37,"Bo Van Pelt",92,281.5,17454.5,62,316.9,249.8,"CarryDistance",2011
39,39,"Joseph Bramlett",73,281.2,12652,45,309,249.2,"CarryDistance",2011
39,39,"Alex Prugh",82,281.2,14901,53,305.9,220.9,"CarryDistance",2011
41,41,"Nick Watney",80,280.8,15163.2,54,314.1,244.2,"CarryDistance",2011
42,42,"John Rollins",85,280,17362.5,62,322.4,247.2,"CarryDistance",2011
43,43,"Andres Romero",77,279.9,14834.1,53,312,235.3,"CarryDistance",2011
44,44,"Tommy Gainey",104,279.8,20429,73,303.9,233.5,"CarryDistance",2011
45,45,"Steve Marino",76,279.6,15098.4,54,311,248.7,"CarryDistance",2011
45,45,"DJ Trahan",91,279.6,16496.9,59,311.1,243,"CarryDistance",2011
47,47,"Stewart Cink",72,279.4,10336,37,317.5,245,"CarryDistance",2011
48,48,"Vijay Singh",79,279.1,18140.7,65,306.3,246.9,"CarryDistance",2011
49,49,"David Duval",67,279,12275.8,44,300.9,253.4,"CarryDistance",2011
50,50,"Anthony Kim",72,278.6,12536.1,45,311.8,228.5,"CarryDistance",2011
50,50,"Bio Kim",71,278.6,11142.7,40,305.2,239.2,"CarryDistance",2011
52,52,"Bobby Gates",82,278,12508.1,45,313.8,228.6,"CarryDistance",2011
53,53,"Kevin Stadler",88,277.8,15279.6,55,307,246.1,"CarryDistance",2011
54,54,"Hunter Mahan",92,277.6,17767.7,64,318.4,247.4,"CarryDistance",2011
55,55,"Sergio Garcia",61,277.3,8597.7,31,314.6,234.9,"CarryDistance",2011
55,55,"Retief Goosen",50,277.3,8041.9,29,308.5,255.9,"CarryDistance",2011
57,57,"Brandt Jobe",100,277,16617.5,60,310.8,239.1,"CarryDistance",2011
58,58,"Chris Kirk",87,276.7,17155.7,62,299.6,238.8,"CarryDistance",2011
59,59,"Brendan Steele",89,276.6,18533.4,67,305.1,241.7,"CarryDistance",2011
59,59,"Camilo Villegas",69,276.6,11063.1,40,308.3,229.3,"CarryDistance",2011
61,61,"Lucas Glover",74,276.5,12719.6,46,308.1,245.3,"CarryDistance",2011
62,62,"Jim Renner",65,276.4,12163.1,44,310.4,240.3,"CarryDistance",2011
62,62,"John Senden",94,276.4,19626.3,71,300.1,251.6,"CarryDistance",2011
64,64,"Jonathan Byrd",83,276.3,14090.5,51,300.3,236.7,"CarryDistance",2011
65,65,"Billy Horschel",75,276.1,14082,51,291.8,252.2,"CarryDistance",2011
65,65,"Bill Lunde",92,276.1,17944.8,65,298.9,247.8,"CarryDistance",2011
67,67,"Kevin Chappell",78,275.9,14622.4,53,310.7,241.4,"CarryDistance",2011
68,68,"Webb Simpson",98,275.8,19858.7,72,307,241.3,"CarryDistance",2011
69,69,"James Driscoll",71,275.5,12123.8,44,304.5,239.7,"CarryDistance",2011
70,70,"David Hearn",88,275.3,16791.2,61,300.3,233.6,"CarryDistance",2011
71,71,"Ernie Els",71,275.1,12379.6,45,304.1,245,"CarryDistance",2011
72,72,"Ben Martin",74,275,10998.7,40,297.4,242.5,"CarryDistance",2011
73,73,"Rory Sabbatini",85,274.9,11820.4,43,304.9,240.1,"CarryDistance",2011
74,74,"Jim Herman",69,274.8,11268.5,41,300.4,236.6,"CarryDistance",2011
74,74,"Michael Thompson",79,274.8,11541.3,42,294.4,255.1,"CarryDistance",2011
76,76,"Matt Jones",71,274.5,12352.3,45,303.6,249.5,"CarryDistance",2011
77,77,"Sean OHair",71,274.2,10419.3,38,311.8,247.4,"CarryDistance",2011
78,78,"Blake Adams",116,274,18904.5,69,299.4,243.7,"CarryDistance",2011
78,78,"Scott Gutschewski",67,274,11234.8,41,309.4,251.8,"CarryDistance",2011
78,78,"Geoff Ogilvy",69,274,12603,46,309.8,240.2,"CarryDistance",2011
81,81,"Joe Ogilvie",75,273.7,12315.5,45,296.7,238.4,"CarryDistance",2011
81,81,"Jeff Overton",92,273.7,16698.5,61,307.5,233.9,"CarryDistance",2011
83,83,"Sung Kang",63,273.6,9575.7,35,302.2,248.5,"CarryDistance",2011
83,83,"Justin Rose",79,273.6,15868.4,58,310.4,244.7,"CarryDistance",2011
85,85,"Robert Allenby",84,273.1,17204,63,295,241.9,"CarryDistance",2011
86,86,"Pat Perez",76,273,15289.7,56,297.4,239.9,"CarryDistance",2011
86,86,"Brandt Snedeker",85,273,16108.7,59,297.3,243,"CarryDistance",2011
88,88,"Chez Reavie",92,272.9,17190,63,290.4,243.3,"CarryDistance",2011
89,89,"Cameron Tringale",110,272.8,21825.8,80,295.9,245.3,"CarryDistance",2011
90,90,"Roland Thatcher",67,272.7,12270.7,45,295.5,235.8,"CarryDistance",2011
91,91,"Trevor Immelman",84,272.6,10905.9,40,295,229.9,"CarryDistance",2011
92,92,"Charles Howell III",108,272.3,18790.5,69,293.8,244.1,"CarryDistance",2011
