"NonmemberEarnings_RANKTHISWEEK_2009","NonmemberEarnings_RANKLASTWEEK_2009","NonmemberEarnings_PLAYERNAME_2009","NonmemberEarnings_EVENTS_2009","NonmemberEarnings_MONEY_2009","NonmemberEarnings_TOTAL_2009","stat_name","year"
35,35,"Derek Lamely",2,58188,58188,"NonmemberEarnings",2009
36,36,"Brendan Jones",2,53113,98113,"NonmemberEarnings",2009
37,37,"James Kingston",2,47794,127936,"NonmemberEarnings",2009
37,37,"Kenichi Kuboya",1,47794,47794,"NonmemberEarnings",2009
39,39,"Darren Clarke",7,34479,160907,"NonmemberEarnings",2009
40,40,"Nick Dougherty",3,31176,77676,"NonmemberEarnings",2009
41,41,"Erik Compton",5,27524,27524,"NonmemberEarnings",2009
42,42,"Ryo Ishikawa",6,26217,26217,"NonmemberEarnings",2009
43,43,"Branden Grace",1,25539,25539,"NonmemberEarnings",2009
43,43,"Paul McGinley",2,25539,25539,"NonmemberEarnings",2009
43,43,"Anthony Wall",2,25539,25539,"NonmemberEarnings",2009
46,46,"Martin Piller",1,22570,22570,"NonmemberEarnings",2009
47,47,"Jean Francois Lucquin",1,22501,22501,"NonmemberEarnings",2009
47,47,"Andrew McLardy",2,22501,22501,"NonmemberEarnings",2009
49,49,"Hideto Tanihara",1,21600,21600,"NonmemberEarnings",2009
50,50,"Paul Lawrie",1,21571,21571,"NonmemberEarnings",2009
51,51,"Jeff Brehaut",1,20630,20630,"NonmemberEarnings",2009
51,51,"Trevor Murphy",1,20630,20630,"NonmemberEarnings",2009
53,53,"Vance Veazey",1,19600,19600,"NonmemberEarnings",2009
54,54,"David Howell",1,18295,18295,"NonmemberEarnings",2009
54,54,"Graeme Storm",1,18295,18295,"NonmemberEarnings",2009
56,56,"Paul Broadhurst",1,17013,17013,"NonmemberEarnings",2009
56,56,"David Drysdale",1,17013,17013,"NonmemberEarnings",2009
58,58,"Fredrik Andersson Hed",1,16199,16199,"NonmemberEarnings",2009
59,59,"Hiroyuki Fujita",1,15525,15525,"NonmemberEarnings",2009
60,60,"Bobby Gates",1,15177,15177,"NonmemberEarnings",2009
61,61,"Daniel Gaunt",1,15140,15140,"NonmemberEarnings",2009
62,62,"Richard Green",2,15000,15000,"NonmemberEarnings",2009
63,63,"Steve Wheatcroft",1,14907,14907,"NonmemberEarnings",2009
64,64,"Alan Wagner",1,14700,14700,"NonmemberEarnings",2009
65,65,"Jose de Jesus Rodriguez",1,14400,14400,"NonmemberEarnings",2009
66,66,"David Smail",3,14050,14050,"NonmemberEarnings",2009
67,67,"Graham DeLaet",1,13872,13872,"NonmemberEarnings",2009
68,68,"Gregory Bisconti",1,13600,13600,"NonmemberEarnings",2009
69,69,"Grant Sturgeon",1,13300,13300,"NonmemberEarnings",2009
70,70,"Alastair Forsyth",1,13100,13100,"NonmemberEarnings",2009
71,71,"Louis Oosthuizen",6,12660,137802,"NonmemberEarnings",2009
72,72,"Luke List",1,12600,12600,"NonmemberEarnings",2009
73,73,"Matt Harmon",1,11893,11893,"NonmemberEarnings",2009
74,74,"Matthew Loving",1,11712,11712,"NonmemberEarnings",2009
75,75,"John Ellis",1,11651,11651,"NonmemberEarnings",2009
75,75,"Chris Kirk",2,11651,11651,"NonmemberEarnings",2009
77,77,"Fernando Mechereffe",1,11271,11271,"NonmemberEarnings",2009
78,78,"Mike Grob",1,11118,11118,"NonmemberEarnings",2009
79,79,"Andres Gonzales",1,10965,10965,"NonmemberEarnings",2009
80,80,"Rod Perry",1,10798,10798,"NonmemberEarnings",2009
81,81,"Rich Barcelo",1,10500,10500,"NonmemberEarnings",2009
82,82,"Lucas Lee",1,10251,10251,"NonmemberEarnings",2009
83,83,"Junpei Takayama",1,9936,9936,"NonmemberEarnings",2009
84,84,"Cortland Lowe",2,9434,9434,"NonmemberEarnings",2009
85,85,"Felipe Aguilar",1,9364,9364,"NonmemberEarnings",2009
85,85,"Tano Goya",1,9364,9364,"NonmemberEarnings",2009
85,85,"Manuel Villegas",1,9364,9364,"NonmemberEarnings",2009
88,88,"Andrew Ruthkoski",2,8428,8428,"NonmemberEarnings",2009
89,89,"Andy Matthews",1,7700,7700,"NonmemberEarnings",2009
90,90,"Ryan Helminen",1,7360,7360,"NonmemberEarnings",2009
91,91,"Esteban Toledo",2,7344,7344,"NonmemberEarnings",2009
91,91,"James Vargas",1,7344,7344,"NonmemberEarnings",2009
