"LeftTendency_RANKTHISWEEK_2011","LeftTendency_RANKLASTWEEK_2011","LeftTendency_PLAYERNAME_2011","LeftTendency_EVENTS_2011","LeftTendency_Pct_2011","LeftTendency_NUMBEROFTIMES_2011","LeftTendency_ATTEMPTS_2011","LeftTendency_AVGRTPSCORE_2011","stat_name","year"
26,26,"Steve Elkington",17,42.9,73,170,1.78,"LeftTendency",2011
26,26,"Matt McQuillan",21,42.9,93,217,2.58,"LeftTendency",2011
28,28,"Ben Martin",25,43.1,128,297,3.2,"LeftTendency",2011
29,29,"Troy Merritt",23,43.2,118,273,1.95,"LeftTendency",2011
30,30,"Charl Schwartzel",15,43.3,87,201,1.84,"LeftTendency",2011
31,31,"Robert Garrigus",26,43.4,171,394,0.88,"LeftTendency",2011
31,31,"Camilo Villegas",25,43.4,135,311,1.48,"LeftTendency",2011
33,33,"Brandt Jobe",28,43.7,160,366,1.81,"LeftTendency",2011
34,34,"Aaron Baddeley",22,43.9,152,346,-0.26,"LeftTendency",2011
34,34,"Kris Blanks",29,43.9,170,387,2.65,"LeftTendency",2011
36,36,"Troy Matteson",28,44,187,425,1.55,"LeftTendency",2011
37,37,"Rocco Mediate",23,44.2,88,199,3.18,"LeftTendency",2011
37,37,"Jim Renner",22,44.2,125,283,2.8,"LeftTendency",2011
37,37,"Michael Thompson",25,44.2,151,342,1.46,"LeftTendency",2011
40,40,"Jeff Overton",26,44.3,168,379,2.14,"LeftTendency",2011
41,41,"Chris Stroud",28,44.5,179,402,1.06,"LeftTendency",2011
42,42,"Chad Campbell",29,44.6,174,390,2.18,"LeftTendency",2011
42,42,"Rory Sabbatini",24,44.6,150,336,1.4,"LeftTendency",2011
44,44,"Chris DiMarco",31,44.8,160,357,2.31,"LeftTendency",2011
45,45,"Ben Crane",23,44.9,119,265,0.84,"LeftTendency",2011
46,46,"Brian Gay",26,45,122,271,1.48,"LeftTendency",2011
46,46,"Boo Weekley",23,45,113,251,2.92,"LeftTendency",2011
48,48,"Charlie Wi",25,45.1,171,379,2.16,"LeftTendency",2011
49,49,"Fabian Gomez",26,45.6,151,331,2.38,"LeftTendency",2011
49,49,"Justin Leonard",26,45.6,154,338,2.4,"LeftTendency",2011
51,51,"Charley Hoffman",27,45.7,168,368,2.32,"LeftTendency",2011
52,52,"Joseph Bramlett",25,45.8,140,306,1.21,"LeftTendency",2011
52,52,"Tim Petrovic",29,45.8,157,343,2.04,"LeftTendency",2011
54,54,"Andres Gonzales",21,45.9,100,218,2.3,"LeftTendency",2011
54,54,"Mark Wilson",26,45.9,136,296,2.06,"LeftTendency",2011
56,56,"Chris Kirk",28,46,201,437,1.64,"LeftTendency",2011
57,57,"Martin Laird",23,46.1,143,310,0.77,"LeftTendency",2011
58,58,"Retief Goosen",16,46.2,96,208,1.25,"LeftTendency",2011
59,59,"Jerry Kelly",26,46.3,112,242,1.88,"LeftTendency",2011
59,59,"DJ Trahan",30,46.3,189,408,1.32,"LeftTendency",2011
61,61,"Stewart Cink",22,46.4,129,278,0.39,"LeftTendency",2011
62,62,"Tag Ridings",28,46.5,190,409,2.32,"LeftTendency",2011
62,62,"Will Strickler",19,46.5,107,230,2.34,"LeftTendency",2011
64,64,"Jason Day",21,46.6,152,326,1.25,"LeftTendency",2011
64,64,"Dustin Johnson",21,46.6,135,290,2.3,"LeftTendency",2011
66,66,"Jimmy Walker",24,46.8,210,449,2.43,"LeftTendency",2011
67,67,"Freddie Jacobson",25,46.9,167,356,1.92,"LeftTendency",2011
67,67,"Brendan Steele",27,46.9,167,356,1.98,"LeftTendency",2011
67,67,"Bo Van Pelt",27,46.9,158,337,0.89,"LeftTendency",2011
70,70,"Nathan Green",26,47,173,368,1.68,"LeftTendency",2011
70,70,"Heath Slocum",29,47,117,249,1.45,"LeftTendency",2011
