"ClubHeadSpeed_RANKTHISWEEK_2010","ClubHeadSpeed_RANKLASTWEEK_2010","ClubHeadSpeed_PLAYERNAME_2010","ClubHeadSpeed_ROUNDS_2010","ClubHeadSpeed_AVG_2010","ClubHeadSpeed_TOTALCLUBHEADSPEED_2010","ClubHeadSpeed_TOTALATTEMPTS_2010","ClubHeadSpeed_FASTESTSPEED_2010","ClubHeadSpeed_SLOWESTSPEED_2010","stat_name","year"
49,49,"Padraig Harrington",57,115.43,5424.98,47,120.97,110.25,"ClubHeadSpeed",2010
50,50,"Retief Goosen",75,115.32,5996.48,52,120.97,109.43,"ClubHeadSpeed",2010
51,51,"Blake Adams",84,115.31,7956.35,69,119.14,108.9,"ClubHeadSpeed",2010
52,52,"Matt Every",60,115.25,5186.39,45,121.14,111.82,"ClubHeadSpeed",2010
53,53,"Garth Mulroy",53,115.23,4263.44,37,119.49,111.88,"ClubHeadSpeed",2010
54,54,"Stuart Appleby",101,115.21,9907.76,86,120.61,109.56,"ClubHeadSpeed",2010
55,55,"Rickie Fowler",98,115.17,9904.97,86,120.03,110.77,"ClubHeadSpeed",2010
56,56,"James Nitties",92,114.96,7012.81,61,119.33,111.54,"ClubHeadSpeed",2010
57,57,"Matt Bettencourt",91,114.88,5859.08,51,119.24,110.53,"ClubHeadSpeed",2010
58,58,"Ryan Palmer",84,114.84,8383.33,73,120.41,111.1,"ClubHeadSpeed",2010
59,59,"Mathew Goggin",85,114.82,6430.08,56,118.71,111.62,"ClubHeadSpeed",2010
60,60,"John Rollins",81,114.78,8493.51,74,119.29,109.25,"ClubHeadSpeed",2010
61,61,"Camilo Villegas",78,114.77,6312.12,55,118.92,111.21,"ClubHeadSpeed",2010
62,62,"Pat Perez",90,114.74,9179.37,80,118.93,106.44,"ClubHeadSpeed",2010
63,63,"Bo Van Pelt",104,114.68,9059.35,79,118.6,111.12,"ClubHeadSpeed",2010
64,64,"David Duval",71,114.6,4469.27,39,119.29,110.73,"ClubHeadSpeed",2010
65,65,"Andrew McLardy",52,114.54,4008.84,35,118.87,106.88,"ClubHeadSpeed",2010
66,66,"Tom Gillis",97,114.5,9732.83,85,117.86,105.75,"ClubHeadSpeed",2010
66,66,"Brenden Pappas",66,114.5,4808.85,42,118.62,110.99,"ClubHeadSpeed",2010
68,68,"Steve Marino",81,114.43,7781.24,68,116.95,111.25,"ClubHeadSpeed",2010
69,69,"Cameron Percy",73,114.34,6174.43,54,118.71,111.03,"ClubHeadSpeed",2010
70,70,"Ted Purdy",86,114.32,6859.03,60,119.1,110.96,"ClubHeadSpeed",2010
71,71,"Geoff Ogilvy",62,114.08,6274.35,55,118,110.97,"ClubHeadSpeed",2010
71,71,"Josh Teater",101,114.08,9012.23,79,118.38,110.61,"ClubHeadSpeed",2010
73,73,"Rory Sabbatini",79,114.06,6387.22,56,118.07,111.1,"ClubHeadSpeed",2010
74,74,"Kevin Stadler",86,114,6954.16,61,119.6,110.57,"ClubHeadSpeed",2010
75,75,"Freddie Jacobson",83,113.96,8432.94,74,118.35,110.35,"ClubHeadSpeed",2010
76,76,"Ernie Els",72,113.92,6607.27,58,118.58,110.34,"ClubHeadSpeed",2010
77,77,"Ryan Moore",80,113.9,7175.4,63,119.94,109.98,"ClubHeadSpeed",2010
78,78,"Troy Merritt",86,113.82,7740.09,68,117.16,109.44,"ClubHeadSpeed",2010
79,79,"Vijay Singh",75,113.77,6940.16,61,117.85,110.11,"ClubHeadSpeed",2010
80,80,"Scott McCarron",90,113.7,8300.02,73,117.78,108.38,"ClubHeadSpeed",2010
81,81,"Chris Wilson",65,113.65,5000.54,44,117.68,107.47,"ClubHeadSpeed",2010
82,82,"Sean OHair",84,113.61,7952.5,70,118.03,110.2,"ClubHeadSpeed",2010
83,83,"Justin Rose",78,113.57,7950.19,70,117.69,109.77,"ClubHeadSpeed",2010
84,84,"YE Yang",72,113.56,6018.79,53,118.61,109.93,"ClubHeadSpeed",2010
85,85,"Brendon de Jonge",114,113.4,10319.43,91,118.81,107.9,"ClubHeadSpeed",2010
86,86,"Jeev Milkha Singh",59,113.25,3850.54,34,117.89,108.89,"ClubHeadSpeed",2010
87,87,"Rich Barcelo",70,113.21,5547.22,49,116.78,108.6,"ClubHeadSpeed",2010
88,88,"Chris Tidland",77,113.2,7131.62,63,119.48,109.85,"ClubHeadSpeed",2010
89,89,"Michael Letzig",84,113.07,8141.19,72,119.6,105.86,"ClubHeadSpeed",2010
90,90,"Jarrod Lyle",54,113.06,4635.43,41,116.34,109.84,"ClubHeadSpeed",2010
91,91,"Michael Bradley",77,113.04,5877.99,52,116.83,109.31,"ClubHeadSpeed",2010
92,92,"Lee Janzen",77,112.94,6663.6,59,118.19,108.86,"ClubHeadSpeed",2010
93,93,"Robert Allenby",76,112.87,6998.02,62,116.88,108.29,"ClubHeadSpeed",2010
94,94,"Woody Austin",93,112.84,7673,68,117.32,109.38,"ClubHeadSpeed",2010
94,94,"Joe Durant",67,112.84,5303.37,47,116.18,108.97,"ClubHeadSpeed",2010
96,96,"Michael Sim",64,112.83,5641.75,50,117.6,109.16,"ClubHeadSpeed",2010
97,97,"Henrik Bjornstad",72,112.66,6083.51,54,116.03,108.87,"ClubHeadSpeed",2010
98,98,"Nicholas Thompson",88,112.62,7545.59,67,118,108.98,"ClubHeadSpeed",2010
99,99,"Brett Quigley",96,112.58,8781.34,78,119.32,108.79,"ClubHeadSpeed",2010
100,100,"Mark Calcavecchia",50,112.57,4502.88,40,115.63,108.73,"ClubHeadSpeed",2010
100,100,"Chad Campbell",95,112.57,8330.12,74,115.96,107.95,"ClubHeadSpeed",2010
102,102,"Steve Lowery",67,112.54,5514.28,49,116.86,109.09,"ClubHeadSpeed",2010
103,103,"Tim Herron",79,112.53,6526.76,58,115.79,106.12,"ClubHeadSpeed",2010
104,104,"Vance Veazey",58,112.51,4500.49,40,117.07,108.07,"ClubHeadSpeed",2010
105,105,"David Lutterus",69,112.46,5510.51,49,117.33,109.52,"ClubHeadSpeed",2010
105,105,"Rod Pampling",77,112.46,6860.3,61,116.63,107.32,"ClubHeadSpeed",2010
107,107,"Roger Tambellini",77,112.42,6520.15,58,117.03,108.79,"ClubHeadSpeed",2010
108,108,"Hunter Mahan",85,112.31,8310.74,74,117.03,107.96,"ClubHeadSpeed",2010
109,109,"Bob Estes",79,112.18,7179.84,64,115.32,108.11,"ClubHeadSpeed",2010
110,110,"Stephen Ames",75,112.15,6504.66,58,115.13,107.67,"ClubHeadSpeed",2010
111,111,"Chris Stroud",90,112.09,6837.29,61,116.76,109.04,"ClubHeadSpeed",2010
112,112,"Charlie Wi",95,112.08,8854.65,79,117.34,107.14,"ClubHeadSpeed",2010
113,113,"Mathias Gronberg",61,112.05,4482,40,115.81,108.39,"ClubHeadSpeed",2010
114,114,"John Merrick",109,112.04,9747.9,87,116.96,106.31,"ClubHeadSpeed",2010
115,115,"Kevin Sutherland",86,112.01,8289.08,74,116.17,107.89,"ClubHeadSpeed",2010
116,116,"Will Ma Kenzie",72,112,6719.75,60,116.77,108,"ClubHeadSpeed",2010
117,117,"Paul Stankowski",62,111.71,4244.82,38,115.56,109.11,"ClubHeadSpeed",2010
118,118,"Kris Blanks",91,111.58,7699.28,69,115.48,105.93,"ClubHeadSpeed",2010
119,119,"Nathan Green",86,111.35,7794.43,70,117.02,105.89,"ClubHeadSpeed",2010
119,119,"Kevin Na",94,111.35,8239.88,74,115.51,106.48,"ClubHeadSpeed",2010
121,121,"Roland Thatcher",72,111.26,7009.24,63,116.98,103.47,"ClubHeadSpeed",2010
122,122,"KJ Choi",82,111.24,6785.87,61,115.79,107.84,"ClubHeadSpeed",2010
123,123,"Steve Stricker",73,111.18,7115.35,64,116.48,107.72,"ClubHeadSpeed",2010
124,124,"Jason Dufner",87,111.15,7335.83,66,114.98,106.16,"ClubHeadSpeed",2010
124,124,"Bill Lunde",79,111.15,6557.66,59,115.11,108.65,"ClubHeadSpeed",2010
126,126,"Kenny Perry",69,111.14,6556.99,59,117.13,106.61,"ClubHeadSpeed",2010
127,127,"Joe Ogilvie",99,111.06,8995.84,81,114.3,104.64,"ClubHeadSpeed",2010
128,128,"Shaun Micheel",70,111.01,5217.34,47,116.39,105.42,"ClubHeadSpeed",2010
129,129,"Tim Petrovic",105,110.9,9204.3,83,114.26,105.97,"ClubHeadSpeed",2010
130,130,"Luke Donald",71,110.86,6429.69,58,115.89,106.71,"ClubHeadSpeed",2010
131,131,"Ian Poulter",55,110.84,4433.5,40,115.23,108.38,"ClubHeadSpeed",2010
132,132,"Johnson Wagner",85,110.81,7645.92,69,114.52,107.02,"ClubHeadSpeed",2010
133,133,"Matt Kuchar",97,110.76,8639.47,78,115.07,106.91,"ClubHeadSpeed",2010
134,134,"DA Points",90,110.73,8082.99,73,114.71,106.57,"ClubHeadSpeed",2010
135,135,"Webb Simpson",98,110.59,9842.23,89,116.37,106.72,"ClubHeadSpeed",2010
136,136,"Jeff Gove",57,110.58,3870.15,35,114.9,106.78,"ClubHeadSpeed",2010
137,137,"Chad Collins",87,110.51,8177.73,74,117.15,105.99,"ClubHeadSpeed",2010
138,138,"Greg Chalmers",93,110.19,9696.39,88,115.41,105,"ClubHeadSpeed",2010
139,139,"Brian Stuard",81,110.14,7599.98,69,113.93,107.25,"ClubHeadSpeed",2010
140,140,"Steve Elkington",74,110.06,5723.15,52,114.89,100.76,"ClubHeadSpeed",2010
141,141,"Spencer Levin",110,110.01,9240.86,84,113.59,106.47,"ClubHeadSpeed",2010
142,142,"Cameron Beckman",68,109.93,6046.21,55,114.84,105.19,"ClubHeadSpeed",2010
143,143,"Briny Baird",87,109.91,7583.53,69,114.1,106.48,"ClubHeadSpeed",2010
143,143,"Steve Wheatcroft",74,109.91,5165.67,47,113.61,106.5,"ClubHeadSpeed",2010
145,145,"Ryuji Imada",90,109.83,9006.31,82,114.83,106.99,"ClubHeadSpeed",2010
146,146,"Garrett Willis",82,109.74,7133.25,65,114.61,105.44,"ClubHeadSpeed",2010
147,147,"Vaughn Taylor",87,109.73,7791.01,71,113.91,105.03,"ClubHeadSpeed",2010
148,148,"Carl Pettersson",99,109.72,9875.18,90,115.19,104.17,"ClubHeadSpeed",2010
149,149,"Bryce Molder",84,109.63,8003.18,73,113.64,105.22,"ClubHeadSpeed",2010
150,150,"Michael Connell",89,109.51,7775.28,71,113.2,105.95,"ClubHeadSpeed",2010
151,151,"Jay Williamson",76,109.49,5803.22,53,115.13,102.93,"ClubHeadSpeed",2010
152,152,"Billy Mayfair",78,109.48,6021.33,55,113.16,106.1,"ClubHeadSpeed",2010
153,153,"Jason Bohn",84,109.4,8751.79,80,115.25,103.97,"ClubHeadSpeed",2010
154,154,"Chris Riley",73,109.13,6329.7,58,113.85,105.1,"ClubHeadSpeed",2010
155,155,"Ben Crane",85,108.96,7953.76,73,112.31,104.92,"ClubHeadSpeed",2010
156,156,"Dean Wilson",54,108.94,4139.57,38,113.22,103.53,"ClubHeadSpeed",2010
157,157,"Richard Johnson",90,108.92,6643.87,61,115.26,102.72,"ClubHeadSpeed",2010
158,158,"Jim Furyk",76,108.83,7509.01,69,113.33,104.66,"ClubHeadSpeed",2010
159,159,"Mike Weir",59,108.78,4460,41,112.95,105.84,"ClubHeadSpeed",2010
160,160,"Steve Flesch",78,108.7,5978.23,55,112.62,105.12,"ClubHeadSpeed",2010
161,161,"Kevin Johnson",62,108.58,4777.73,44,112.12,104.43,"ClubHeadSpeed",2010
162,162,"Jerry Kelly",99,108.44,8024.76,74,111.88,104.79,"ClubHeadSpeed",2010
163,163,"Ben Curtis",78,108.42,7372.73,68,112.26,105.77,"ClubHeadSpeed",2010
164,164,"Tom Pernice Jr",74,108.33,4766.38,44,112.23,103.34,"ClubHeadSpeed",2010
164,164,"Jerod Turner",54,108.33,4224.96,39,111.62,105.09,"ClubHeadSpeed",2010
166,166,"JP Hayes",79,108.21,7033.5,65,113.99,104.39,"ClubHeadSpeed",2010
167,167,"Brandt Snedeker",89,108.16,8869.44,82,112.7,104.44,"ClubHeadSpeed",2010
168,168,"Brian Davis",101,108.13,8542.23,79,112.5,101.69,"ClubHeadSpeed",2010
169,169,"Rocco Mediate",71,108.11,6270.54,58,112.64,104.84,"ClubHeadSpeed",2010
170,170,"Justin Leonard",89,108.05,7995.7,74,113.02,102.53,"ClubHeadSpeed",2010
171,171,"Chris DiMarco",88,107.97,6909.99,64,112.37,104.7,"ClubHeadSpeed",2010
172,172,"Zach Johnson",93,107.92,8525.77,79,114.78,104.61,"ClubHeadSpeed",2010
173,173,"Alex Cejka",81,107.76,6357.92,59,111.83,103.78,"ClubHeadSpeed",2010
174,174,"Aron Price",70,107.64,5274.55,49,110.94,104.51,"ClubHeadSpeed",2010
175,175,"Justin Bolli",55,107.48,4084.19,38,115.02,104.66,"ClubHeadSpeed",2010
176,176,"David Toms",86,107.18,7395.55,69,110.71,104.06,"ClubHeadSpeed",2010
177,177,"Cliff Kresge",50,107.01,3745.28,35,112.27,102.26,"ClubHeadSpeed",2010
178,178,"Scott Verplank",74,106.92,6308.25,59,109.71,103.2,"ClubHeadSpeed",2010
179,179,"Heath Slocum",97,106.9,8445,79,110.4,102.44,"ClubHeadSpeed",2010
180,180,"John Mallinger",78,106.88,5344,50,115.45,102.18,"ClubHeadSpeed",2010
181,181,"Brent Delahoussaye",57,106.85,3953.58,37,110.96,103.95,"ClubHeadSpeed",2010
182,182,"Mark Wilson",87,106.81,7583.57,71,110.61,104.06,"ClubHeadSpeed",2010
183,183,"Skip Kendall",58,106.53,4048.32,38,109.81,104.18,"ClubHeadSpeed",2010
184,184,"Jeff Maggert",76,106.4,6383.87,60,111.67,100.94,"ClubHeadSpeed",2010
185,185,"Brad Faxon",58,106.11,4881.25,46,110.42,101.91,"ClubHeadSpeed",2010
186,186,"Tim Clark",88,105.88,7199.52,68,110.82,102.11,"ClubHeadSpeed",2010
186,186,"Paul Goydos",78,105.88,7199.63,68,111.48,100.82,"ClubHeadSpeed",2010
188,188,"Omar Uresti",74,105.71,5814.14,55,109.21,103.5,"ClubHeadSpeed",2010
189,189,"Greg Kraft",52,105.64,3486.09,33,109.09,98.99,"ClubHeadSpeed",2010
190,190,"Jeff Quinney",91,105.2,7048.59,67,109.65,102.17,"ClubHeadSpeed",2010
191,191,"Brian Gay",101,103.04,9067.4,88,108.02,99.77,"ClubHeadSpeed",2010
192,192,"Craig Bowden",56,102.71,3800.33,37,105.53,99.58,"ClubHeadSpeed",2010
