"GIRPercentageLess125yards_RANKTHISWEEK_2007","GIRPercentageLess125yards_RANKLASTWEEK_2007","GIRPercentageLess125yards_PLAYERNAME_2007","GIRPercentageLess125yards_ROUNDS_2007","GIRPercentageLess125yards_Pct_2007","GIRPercentageLess125yards_GREENSHIT_2007","GIRPercentageLess125yards_TOTALHOLES_2007","GIRPercentageLess125yards_RELATIVETOPAR_2007","stat_name","year"
86,86,"Tommy Armour III",81,80.92,318,393,-0.36,"GIRPercentageLess125yards",2007
86,86,"Paul Gow",70,80.92,246,304,-0.4,"GIRPercentageLess125yards",2007
86,86,"Bryce Molder",56,80.92,229,283,-0.36,"GIRPercentageLess125yards",2007
89,89,"Jeff Brehaut",59,80.91,250,309,-0.36,"GIRPercentageLess125yards",2007
89,89,"Charles Howell III",89,80.91,284,351,-0.47,"GIRPercentageLess125yards",2007
91,91,"John Rollins",102,80.89,398,492,-0.43,"GIRPercentageLess125yards",2007
92,92,"Scott Verplank",82,80.87,224,277,-0.46,"GIRPercentageLess125yards",2007
93,93,"Steve Marino",106,80.85,439,543,-0.43,"GIRPercentageLess125yards",2007
94,94,"Mark Brooks",53,80.84,173,214,-0.28,"GIRPercentageLess125yards",2007
95,95,"Tom Johnson",74,80.79,265,328,-0.4,"GIRPercentageLess125yards",2007
96,96,"KJ Choi",87,80.78,290,359,-0.46,"GIRPercentageLess125yards",2007
97,97,"Lucas Glover",98,80.76,382,473,-0.43,"GIRPercentageLess125yards",2007
98,98,"Daisuke Maruyama",86,80.74,327,405,-0.42,"GIRPercentageLess125yards",2007
99,99,"John Daly",59,80.71,272,337,-0.43,"GIRPercentageLess125yards",2007
100,100,"Jay Williamson",50,80.67,242,300,-0.4,"GIRPercentageLess125yards",2007
101,101,"Joe Ogilvie",102,80.65,400,496,-0.44,"GIRPercentageLess125yards",2007
102,102,"Pat Perez",84,80.6,270,335,-0.46,"GIRPercentageLess125yards",2007
102,102,"Bo Van Pelt",104,80.6,428,531,-0.42,"GIRPercentageLess125yards",2007
104,104,"Chad Campbell",96,80.56,290,360,-0.37,"GIRPercentageLess125yards",2007
105,105,"DJ Trahan",99,80.53,422,524,-0.37,"GIRPercentageLess125yards",2007
106,106,"Brian Gay",107,80.48,371,461,-0.42,"GIRPercentageLess125yards",2007
106,106,"John Merrick",92,80.48,371,461,-0.4,"GIRPercentageLess125yards",2007
108,108,"Eric Axley",107,80.44,403,501,-0.41,"GIRPercentageLess125yards",2007
109,109,"Ken Duke",112,80.42,419,521,-0.42,"GIRPercentageLess125yards",2007
110,110,"Rory Sabbatini",81,80.29,277,345,-0.48,"GIRPercentageLess125yards",2007
111,111,"Bart Bryant",87,80.28,289,360,-0.44,"GIRPercentageLess125yards",2007
112,112,"Jesper Parnevik",88,80.25,325,405,-0.46,"GIRPercentageLess125yards",2007
113,113,"Chris Stroud",66,80.19,251,313,-0.41,"GIRPercentageLess125yards",2007
114,114,"Jason Dufner",100,80.13,371,463,-0.39,"GIRPercentageLess125yards",2007
114,114,"JB Holmes",71,80.13,383,478,-0.43,"GIRPercentageLess125yards",2007
114,114,"Chris Tidland",59,80.13,242,302,-0.42,"GIRPercentageLess125yards",2007
117,117,"Kenny Perry",83,80.1,330,412,-0.41,"GIRPercentageLess125yards",2007
118,118,"Steve Lowery",74,80,324,405,-0.42,"GIRPercentageLess125yards",2007
118,118,"Jarrod Lyle",77,80,324,405,-0.45,"GIRPercentageLess125yards",2007
118,118,"Duffy Waldorf",69,80,260,325,-0.37,"GIRPercentageLess125yards",2007
121,121,"Tripp Isenhour",86,79.95,295,369,-0.46,"GIRPercentageLess125yards",2007
122,122,"Johnson Wagner",97,79.92,382,478,-0.41,"GIRPercentageLess125yards",2007
123,123,"Nick Watney",87,79.9,334,418,-0.42,"GIRPercentageLess125yards",2007
124,124,"DJ Brigman",67,79.86,234,293,-0.35,"GIRPercentageLess125yards",2007
125,125,"Bill Haas",93,79.67,388,487,-0.45,"GIRPercentageLess125yards",2007
126,126,"Anders Hansen",55,79.62,125,157,-0.47,"GIRPercentageLess125yards",2007
127,127,"Zach Johnson",76,79.61,242,304,-0.4,"GIRPercentageLess125yards",2007
127,127,"Frank Lickliter II",95,79.61,363,456,-0.46,"GIRPercentageLess125yards",2007
