"StrokeDifferentialFieldAverage_RANKTHISWEEK_2013","StrokeDifferentialFieldAverage_RANKLASTWEEK_2013","StrokeDifferentialFieldAverage_PLAYERNAME_2013","StrokeDifferentialFieldAverage_ROUNDS_2013","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2013","StrokeDifferentialFieldAverage_PLAYERSSCORE_2013","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2013","stat_name","year"
81,81,"John Senden",79,0.21,71.46,71.67,"StrokeDifferentialFieldAverage",2013
83,83,"Tim Clark",64,0.2,70.98,71.18,"StrokeDifferentialFieldAverage",2013
84,84,"Nicholas Thompson",99,0.19,70.91,71.1,"StrokeDifferentialFieldAverage",2013
85,85,"Robert Garrigus",69,0.18,71.32,71.5,"StrokeDifferentialFieldAverage",2013
85,85,"Martin Laird",68,0.18,71.76,71.94,"StrokeDifferentialFieldAverage",2013
85,85,"George McNeill",68,0.18,70.93,71.11,"StrokeDifferentialFieldAverage",2013
85,85,"Mark Wilson",56,0.18,71.08,71.26,"StrokeDifferentialFieldAverage",2013
89,89,"Angel Cabrera",73,0.17,71.32,71.49,"StrokeDifferentialFieldAverage",2013
89,89,"Vaughn Taylor",50,0.17,70.87,71.04,"StrokeDifferentialFieldAverage",2013
91,91,"Matt Every",89,0.16,70.85,71.01,"StrokeDifferentialFieldAverage",2013
92,92,"JJ Henry",83,0.14,71.07,71.21,"StrokeDifferentialFieldAverage",2013
92,92,"David Lingmerth",68,0.14,71.29,71.43,"StrokeDifferentialFieldAverage",2013
94,94,"William McGirt",75,0.13,70.87,71,"StrokeDifferentialFieldAverage",2013
94,94,"Bo Van Pelt",72,0.13,71.56,71.69,"StrokeDifferentialFieldAverage",2013
96,96,"Ben Crane",62,0.09,70.93,71.02,"StrokeDifferentialFieldAverage",2013
97,97,"Brendan Steele",86,0.07,71.04,71.11,"StrokeDifferentialFieldAverage",2013
98,98,"Brad Fritsch",81,0.06,70.97,71.03,"StrokeDifferentialFieldAverage",2013
99,99,"James Hahn",78,0.05,71.09,71.14,"StrokeDifferentialFieldAverage",2013
100,100,"Scott Brown",65,0.04,71.46,71.5,"StrokeDifferentialFieldAverage",2013
101,101,"Luke Guthrie",82,0.03,71.4,71.43,"StrokeDifferentialFieldAverage",2013
102,102,"Erik Compton",74,0.02,70.96,70.98,"StrokeDifferentialFieldAverage",2013
102,102,"Vijay Singh",61,0.02,71.57,71.59,"StrokeDifferentialFieldAverage",2013
104,104,"Jason Bohn",70,0.01,70.96,70.97,"StrokeDifferentialFieldAverage",2013
105,105,"David Toms",49,0,71.18,71.18,"StrokeDifferentialFieldAverage",2013
106,106,"Ken Duke",87,-0.01,71.24,71.23,"StrokeDifferentialFieldAverage",2013
107,107,"Cameron Percy",68,-0.03,70.88,70.85,"StrokeDifferentialFieldAverage",2013
107,107,"Scott Stallings",79,-0.03,71.44,71.41,"StrokeDifferentialFieldAverage",2013
109,109,"Greg Chalmers",77,-0.04,71.04,71,"StrokeDifferentialFieldAverage",2013
109,109,"Nicolas Colsaerts",50,-0.04,72.06,72.02,"StrokeDifferentialFieldAverage",2013
109,109,"Justin Hicks",79,-0.04,71.33,71.29,"StrokeDifferentialFieldAverage",2013
109,109,"DA Points",87,-0.04,71.45,71.41,"StrokeDifferentialFieldAverage",2013
113,113,"Jim Herman",59,-0.07,71.13,71.06,"StrokeDifferentialFieldAverage",2013
113,113,"Brandt Jobe",62,-0.07,71.41,71.34,"StrokeDifferentialFieldAverage",2013
113,113,"Andres Romero",63,-0.07,71.19,71.12,"StrokeDifferentialFieldAverage",2013
116,116,"Padraig Harrington",52,-0.08,71.88,71.8,"StrokeDifferentialFieldAverage",2013
116,116,"Tag Ridings",69,-0.08,71.06,70.98,"StrokeDifferentialFieldAverage",2013
118,118,"DH Lee",65,-0.09,70.89,70.8,"StrokeDifferentialFieldAverage",2013
119,119,"Sangmoon Bae",83,-0.1,71.19,71.09,"StrokeDifferentialFieldAverage",2013
120,120,"Jonas Blixt",76,-0.11,71.38,71.27,"StrokeDifferentialFieldAverage",2013
120,120,"Robert Streb",75,-0.11,70.89,70.78,"StrokeDifferentialFieldAverage",2013
120,120,"Charlie Wi",75,-0.11,71.06,70.95,"StrokeDifferentialFieldAverage",2013
123,123,"Brian Harman",89,-0.12,71.19,71.07,"StrokeDifferentialFieldAverage",2013
124,124,"Chad Campbell",78,-0.13,70.88,70.75,"StrokeDifferentialFieldAverage",2013
125,125,"Fabian Gomez",65,-0.15,71.08,70.93,"StrokeDifferentialFieldAverage",2013
126,126,"Jeff Maggert",63,-0.17,70.87,70.7,"StrokeDifferentialFieldAverage",2013
127,127,"Scott Langley",79,-0.18,71.35,71.17,"StrokeDifferentialFieldAverage",2013
127,127,"Carl Pettersson",82,-0.18,71.58,71.4,"StrokeDifferentialFieldAverage",2013
129,129,"Brian Gay",79,-0.2,71.08,70.88,"StrokeDifferentialFieldAverage",2013
129,129,"Scott Piercy",78,-0.2,71.55,71.35,"StrokeDifferentialFieldAverage",2013
129,129,"Shawn Stefani",63,-0.2,71.16,70.96,"StrokeDifferentialFieldAverage",2013
132,132,"Aaron Baddeley",68,-0.23,71.58,71.35,"StrokeDifferentialFieldAverage",2013
132,132,"Henrik Norlander",70,-0.23,71.09,70.86,"StrokeDifferentialFieldAverage",2013
134,134,"Bud Cauley",67,-0.25,71.63,71.38,"StrokeDifferentialFieldAverage",2013
134,134,"Doug LaBelle II",72,-0.25,71.2,70.95,"StrokeDifferentialFieldAverage",2013
136,136,"Steven Bowditch",67,-0.26,70.97,70.71,"StrokeDifferentialFieldAverage",2013
137,137,"Ricky Barnes",74,-0.27,71.14,70.87,"StrokeDifferentialFieldAverage",2013
137,137,"Trevor Immelman",73,-0.27,71.72,71.45,"StrokeDifferentialFieldAverage",2013
137,137,"Michael Thompson",66,-0.27,71.88,71.61,"StrokeDifferentialFieldAverage",2013
140,140,"Ben Curtis",59,-0.28,72.28,72,"StrokeDifferentialFieldAverage",2013
141,141,"Steve LeBrun",66,-0.29,71.13,70.84,"StrokeDifferentialFieldAverage",2013
142,142,"Dicky Pride",71,-0.3,71.01,70.71,"StrokeDifferentialFieldAverage",2013
143,143,"Ryo Ishikawa",72,-0.34,71.64,71.3,"StrokeDifferentialFieldAverage",2013
144,144,"Lucas Glover",65,-0.36,71.94,71.58,"StrokeDifferentialFieldAverage",2013
144,144,"Ben Kohles",75,-0.36,71.41,71.05,"StrokeDifferentialFieldAverage",2013
146,146,"Robert Karlsson",56,-0.37,71.87,71.5,"StrokeDifferentialFieldAverage",2013
147,147,"DJ Trahan",48,-0.38,70.93,70.55,"StrokeDifferentialFieldAverage",2013
148,148,"Geoff Ogilvy",57,-0.39,72.28,71.89,"StrokeDifferentialFieldAverage",2013
149,149,"Seung Yul Noh",71,-0.44,71.69,71.25,"StrokeDifferentialFieldAverage",2013
150,150,"Tim Herron",45,-0.45,71.64,71.19,"StrokeDifferentialFieldAverage",2013
150,150,"YE Yang",56,-0.45,71.66,71.21,"StrokeDifferentialFieldAverage",2013
152,152,"Mike Weir",60,-0.47,71.83,71.36,"StrokeDifferentialFieldAverage",2013
153,153,"Greg Owen",73,-0.49,71.41,70.92,"StrokeDifferentialFieldAverage",2013
154,154,"Casey Wittenberg",72,-0.51,71.77,71.26,"StrokeDifferentialFieldAverage",2013
155,155,"Stephen Ames",49,-0.55,71.08,70.53,"StrokeDifferentialFieldAverage",2013
156,156,"Kyle Stanley",71,-0.59,72.1,71.51,"StrokeDifferentialFieldAverage",2013
157,157,"Charlie Beljan",62,-0.62,71.89,71.27,"StrokeDifferentialFieldAverage",2013
157,157,"Jin Park",52,-0.62,71.6,70.98,"StrokeDifferentialFieldAverage",2013
159,159,"Tom Gillis",69,-0.63,71.69,71.06,"StrokeDifferentialFieldAverage",2013
160,160,"Aaron Watkins",46,-0.64,71.3,70.66,"StrokeDifferentialFieldAverage",2013
160,160,"Lee Williams",62,-0.64,71.25,70.61,"StrokeDifferentialFieldAverage",2013
162,162,"Rod Pampling",46,-0.66,71.6,70.94,"StrokeDifferentialFieldAverage",2013
163,163,"Will Claxton",67,-0.68,71.73,71.05,"StrokeDifferentialFieldAverage",2013
164,164,"Troy Matteson",68,-0.7,71.52,70.82,"StrokeDifferentialFieldAverage",2013
164,164,"Andrew Svoboda",46,-0.7,71.36,70.66,"StrokeDifferentialFieldAverage",2013
166,166,"Johnson Wagner",64,-0.77,72.22,71.45,"StrokeDifferentialFieldAverage",2013
167,167,"Robert Allenby",58,-0.81,72.2,71.39,"StrokeDifferentialFieldAverage",2013
168,168,"Justin Bolli",59,-0.84,72.02,71.18,"StrokeDifferentialFieldAverage",2013
169,169,"Alistair Presnell",59,-0.86,71.84,70.98,"StrokeDifferentialFieldAverage",2013
170,170,"Tommy Gainey",84,-0.87,71.99,71.12,"StrokeDifferentialFieldAverage",2013
171,171,"Darron Stiles",51,-0.88,71.61,70.73,"StrokeDifferentialFieldAverage",2013
172,172,"Scott Gardiner",61,-0.9,71.85,70.95,"StrokeDifferentialFieldAverage",2013
173,173,"Sean OHair",56,-0.98,72.18,71.2,"StrokeDifferentialFieldAverage",2013
174,174,"Colt Knost",69,-1.12,71.86,70.74,"StrokeDifferentialFieldAverage",2013
175,175,"Eric Meierdierks",48,-1.15,72.02,70.87,"StrokeDifferentialFieldAverage",2013
176,176,"Derek Ernst",58,-1.16,72.22,71.06,"StrokeDifferentialFieldAverage",2013
176,176,"David Mathis",71,-1.16,71.82,70.66,"StrokeDifferentialFieldAverage",2013
178,178,"Michael Bradley",56,-1.19,72.02,70.83,"StrokeDifferentialFieldAverage",2013
178,178,"Luke List",65,-1.19,72.07,70.88,"StrokeDifferentialFieldAverage",2013
180,180,"Bobby Gates",49,-1.41,72.2,70.79,"StrokeDifferentialFieldAverage",2013
