"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2008","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2008","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2008","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2008","ofPotentialPtswonFedExCupPlayoffs_Pct_2008","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2008","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2008","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2008","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2008","stat_name","year"
25,25,"Scott Verplank",24,22.32,7367,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
26,26,"Lucas Glover",26,21.71,7165,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
27,27,"Brett Quigley",25,21.32,4690,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
28,28,"Robert Allenby",28,21.21,9651,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
29,29,"Jesper Parnevik",29,21.16,4654,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
30,30,"Richard Johnson",21,20.92,4602,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
31,31,"Carl Pettersson",29,20.87,9494,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
32,32,"Bubba Watson",29,20.69,9413,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
33,33,"Eric Axley",35,20.42,6740,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
34,34,"Mark Wilson",29,20.31,6701,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
35,35,"JJ Henry",34,20.27,4460,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
36,36,"Dean Wilson",32,20.25,6683,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
37,37,"Michael Allen",28,20.23,4452,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
38,38,"John Senden",28,20.2,6667,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
39,39,"Jason Day",28,19.99,4399,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
40,40,"Tim Petrovic",32,19.95,4390,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
41,41,"Brandt Snedeker",26,19.88,6562,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
42,42,"Charley Hoffman",29,19.87,6557,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
42,42,"John Merrick",28,19.87,6557,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
44,44,"Brian Davis",34,19.74,6515,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
45,45,"Jay Williamson",33,19.67,6491,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
46,46,"Jonathan Byrd",27,19.66,6489,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
47,47,"Briny Baird",30,19.58,8909,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
48,48,"Jeff Overton",32,19.53,4296,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
49,49,"Bo Van Pelt",32,19.32,4250,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
50,50,"Stewart Cink",23,19.3,8782,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
51,51,"DJ Trahan",27,19.29,8778,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
52,52,"Charlie Wi",27,19.27,6360,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
53,53,"John Mallinger",29,19.22,6343,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
54,54,"Ryan Palmer",22,19.19,4223,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
55,55,"Bill Haas",31,19.15,4212,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
56,56,"Justin Bolli",28,19.14,4210,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
57,57,"Frank Lickliter II",32,19.12,4206,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
58,58,"Mathew Goggin",27,19.02,6277,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
59,59,"Kenny Perry",26,18.88,8590,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
60,60,"Andres Romero",20,18.58,8453,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
61,61,"Stephen Ames",24,18,5940,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
62,62,"Chad Campbell",28,17.83,8112,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
63,63,"Ryuji Imada",25,17.48,7953,45500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
64,64,"Steve Marino",32,17.32,5714,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
65,65,"Nicholas Thompson",36,16.99,5606,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
66,66,"Ben Crane",25,16.73,5520,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
67,67,"Freddie Jacobson",24,16.22,5353,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
68,68,"Aaron Baddeley",22,16.2,5345,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
69,69,"Paul Casey",16,15.7,3455,22000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
70,70,"Brian Gay",31,15.31,5053,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
71,71,"Heath Slocum",29,14.93,4926,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
72,72,"Johnson Wagner",26,14.83,4893,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
73,73,"Jerry Kelly",31,14.29,4715,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
74,74,"Tommy Armour III",25,14.28,4711,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
75,75,"Boo Weekley",24,14.2,4688,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
76,76,"JB Holmes",26,14.14,4666,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
77,77,"Rory Sabbatini",23,13.78,4547,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
78,78,"Bart Bryant",23,13.5,4455,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
79,79,"Geoff Ogilvy",20,13.45,4438,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
80,80,"Chez Reavie",30,13.26,4376,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
81,81,"Woody Austin",30,13.05,4305,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
82,82,"Adam Scott",15,12.79,4220,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
83,83,"Steve Flesch",29,12.61,2775,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
84,84,"Pat Perez",27,11.36,2500,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
85,85,"Glen Day",19,10.89,2396,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
85,85,"Patrick Sheehan",35,10.89,2396,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
87,87,"George McNeill",29,10.38,2284,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
87,87,"Kevin Na",29,10.38,2284,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
89,89,"John Rollins",28,10,2200,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
90,90,"Scott McCarron",22,9.78,2151,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
90,90,"Nick OHern",26,9.78,2151,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
92,92,"Lee Janzen",28,9.66,2124,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
93,93,"Tom Pernice Jr",30,9.61,2115,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
94,94,"Rich Beem",29,9.6,2112,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
94,94,"Steve Elkington",25,9.6,2112,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
96,96,"Nick Watney",27,9.58,2108,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
97,97,"Rocco Mediate",27,9.55,2100,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
98,98,"Paul Goydos",25,9.54,2098,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
99,99,"Peter Lonard",30,9.52,2095,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
100,100,"Ryan Moore",24,9.51,2092,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
101,101,"Charles Howell III",31,9.48,2086,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
101,101,"Corey Pavin",20,9.48,2086,22000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
103,103,"Padraig Harrington",15,6.4,2113,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
