"TotalDriving_RANKTHISWEEK_2010","TotalDriving_RANKLASTWEEK_2010","TotalDriving_PLAYERNAME_2010","TotalDriving_EVENTS_2010","TotalDriving_TOTAL_2010","TotalDriving_DISTANCERANK_2010","TotalDriving_ACCURACYRANK_2010","stat_name","year"
96,96,"Rod Pampling",26,192,126,66,"TotalDriving",2010
96,96,"Cameron Percy",25,192,36,156,"TotalDriving",2010
96,96,"Scott Piercy",28,192,19,173,"TotalDriving",2010
101,101,"Stephen Ames",23,193,138,55,"TotalDriving",2010
101,101,"Jonathan Byrd",26,193,64,129,"TotalDriving",2010
103,103,"Brian Davis",32,194,163,31,"TotalDriving",2010
103,103,"Jeff Gove",22,194,86,108,"TotalDriving",2010
103,103,"Justin Leonard",27,194,172,22,"TotalDriving",2010
106,106,"John Daly",20,195,6,189,"TotalDriving",2010
106,106,"Brian Gay",30,195,192,3,"TotalDriving",2010
106,106,"Jeff Overton",26,195,18,177,"TotalDriving",2010
109,109,"Craig Bowden",20,196,191,5,"TotalDriving",2010
109,109,"Chris Riley",24,196,169,27,"TotalDriving",2010
111,111,"Paul Goydos",25,197,185,12,"TotalDriving",2010
112,112,"Justin Bolli",23,199,141,58,"TotalDriving",2010
112,112,"Jeff Maggert",28,199,159,40,"TotalDriving",2010
112,112,"Chris Tidland",24,199,93,106,"TotalDriving",2010
115,115,"Trevor Immelman",19,200,110,90,"TotalDriving",2010
116,116,"Woody Austin",29,201,147,54,"TotalDriving",2010
116,116,"Matt Bettencourt",32,201,36,165,"TotalDriving",2010
116,116,"Ben Curtis",24,201,182,19,"TotalDriving",2010
116,116,"Phil Mickelson",20,201,13,188,"TotalDriving",2010
116,116,"Jeff Quinney",29,201,186,15,"TotalDriving",2010
116,116,"Scott Verplank",22,201,167,34,"TotalDriving",2010
122,122,"Rocco Mediate",25,202,170,32,"TotalDriving",2010
122,122,"Tom Pernice Jr",22,202,154,48,"TotalDriving",2010
122,122,"Andres Romero",21,202,24,178,"TotalDriving",2010
125,125,"Martin Flores",26,203,11,192,"TotalDriving",2010
125,125,"Camilo Villegas",20,203,77,126,"TotalDriving",2010
127,127,"Briny Baird",28,204,138,66,"TotalDriving",2010
127,127,"Jason Bohn",25,204,155,49,"TotalDriving",2010
129,129,"Andrew McLardy",21,205,74,131,"TotalDriving",2010
129,129,"Ted Purdy",30,205,66,139,"TotalDriving",2010
131,131,"Tim Petrovic",32,206,165,41,"TotalDriving",2010
132,132,"James Driscoll",26,207,39,168,"TotalDriving",2010
132,132,"Chris Wilson",26,207,58,149,"TotalDriving",2010
134,134,"Chris Stroud",27,208,101,107,"TotalDriving",2010
135,135,"Matt Jones",27,209,42,167,"TotalDriving",2010
136,136,"Brian Stuard",28,210,105,105,"TotalDriving",2010
137,137,"Cameron Beckman",25,211,115,96,"TotalDriving",2010
138,138,"DA Points",29,214,133,81,"TotalDriving",2010
139,139,"Charles Howell III",28,215,34,181,"TotalDriving",2010
140,140,"Daniel Chopra",28,216,25,191,"TotalDriving",2010
140,140,"Derek Lamely",28,216,36,180,"TotalDriving",2010
142,142,"Padraig Harrington",18,221,52,169,"TotalDriving",2010
143,143,"Bill Lunde",28,222,85,137,"TotalDriving",2010
143,143,"Ian Poulter",15,222,109,113,"TotalDriving",2010
145,145,"JP Hayes",25,223,148,75,"TotalDriving",2010
145,145,"Spencer Levin",31,223,150,73,"TotalDriving",2010
145,145,"Kevin Na",26,223,167,56,"TotalDriving",2010
148,148,"Brent Delahoussaye",21,225,181,44,"TotalDriving",2010
148,148,"George McNeill",28,225,41,184,"TotalDriving",2010
148,148,"Rory Sabbatini",26,225,82,143,"TotalDriving",2010
151,151,"David Lutterus",25,226,55,171,"TotalDriving",2010
152,152,"Michael Sim",20,228,127,101,"TotalDriving",2010
153,153,"Steve Flesch",25,232,173,59,"TotalDriving",2010
153,153,"Charlie Wi",27,232,146,86,"TotalDriving",2010
155,155,"Jimmy Walker",27,235,45,190,"TotalDriving",2010
