"ScoringAverageActual_RANKTHISWEEK_2016","ScoringAverageActual_RANKLASTWEEK_2016","ScoringAverageActual_PLAYERNAME_2016","ScoringAverageActual_ROUNDS_2016","ScoringAverageActual_AVG_2016","ScoringAverageActual_TOTALSTROKES_2016","ScoringAverageActual_TOTALROUNDS_2016","stat_name","year"
79,92,"Shane Bertsch",30,70.9,2127,30,"ScoringAverageActual",2016
79,83,"Harold Varner III",58,70.9,4112,58,"ScoringAverageActual",2016
81,93,"Jerry Kelly",44,70.91,3120,44,"ScoringAverageActual",2016
82,86,"Mark Hubbard",73,70.92,5177,73,"ScoringAverageActual",2016
82,79,"Jason Kokrak",52,70.92,3688,52,"ScoringAverageActual",2016
82,81,"Kyle Reifers",63,70.92,4468,63,"ScoringAverageActual",2016
85,89,"Francesco Molinari",36,70.94,2554,36,"ScoringAverageActual",2016
86,93,"Harris English",51,70.96,3619,51,"ScoringAverageActual",2016
86,98,"Bryce Molder",50,70.96,3548,50,"ScoringAverageActual",2016
86,98,"Seung Yul Noh",54,70.96,3832,54,"ScoringAverageActual",2016
86,76,"Jeff Overton",51,70.96,3619,51,"ScoringAverageActual",2016
90,89,"Sung Kang",51,70.98,3620,51,"ScoringAverageActual",2016
90,86,"Cameron Tringale",47,70.98,3336,47,"ScoringAverageActual",2016
92,68,"Brian Stuard",24,71,1704,24,"ScoringAverageActual",2016
92,101,"Hudson Swafford",52,71,3692,52,"ScoringAverageActual",2016
94,91,"Jim Herman",55,71.02,3906,55,"ScoringAverageActual",2016
94,81,"Martin Laird",46,71.02,3267,46,"ScoringAverageActual",2016
94,116,"Andrew Loupe",50,71.02,3551,50,"ScoringAverageActual",2016
97,108,"Brice Garnett",29,71.03,2060,29,"ScoringAverageActual",2016
97,71,"David Toms",38,71.03,2699,38,"ScoringAverageActual",2016
99,109,"Charley Hoffman",49,71.04,3268,46,"ScoringAverageActual",2016
100,86,"JB Holmes",39,71.06,2558,36,"ScoringAverageActual",2016
101,101,"Kevin Streelman",46,71.09,3270,46,"ScoringAverageActual",2016
102,101,"Thomas Aiken",42,71.1,2986,42,"ScoringAverageActual",2016
103,119,"Jon Curran",55,71.11,3911,55,"ScoringAverageActual",2016
103,97,"Emiliano Grillo",47,71.11,3129,44,"ScoringAverageActual",2016
105,101,"Jason Gore",51,71.12,3627,51,"ScoringAverageActual",2016
105,122,"Billy Horschel",45,71.12,2987,42,"ScoringAverageActual",2016
105,93,"Webb Simpson",34,71.12,2418,34,"ScoringAverageActual",2016
105,96,"Brett Stegmaier",57,71.12,4054,57,"ScoringAverageActual",2016
109,106,"Bronson Burgoon",53,71.13,3770,53,"ScoringAverageActual",2016
109,111,"Brian Harman",60,71.13,4268,60,"ScoringAverageActual",2016
111,109,"Scott Brown",59,71.14,4197,59,"ScoringAverageActual",2016
111,126,"Danny Lee",53,71.14,3557,50,"ScoringAverageActual",2016
111,114,"Camilo Villegas",50,71.14,3557,50,"ScoringAverageActual",2016
114,106,"Tom Hoge",47,71.15,3344,47,"ScoringAverageActual",2016
114,114,"Dawie van der Walt",48,71.15,3415,48,"ScoringAverageActual",2016
116,126,"Chris Kirk",51,71.17,3274,46,"ScoringAverageActual",2016
117,111,"Stuart Appleby",39,71.18,2776,39,"ScoringAverageActual",2016
118,119,"Kyle Stanley",57,71.19,4058,57,"ScoringAverageActual",2016
119,131,"Matthew Fitzpatrick",23,71.2,1424,20,"ScoringAverageActual",2016
119,111,"Scott Stallings",46,71.2,3275,46,"ScoringAverageActual",2016
121,124,"Zac Blair",56,71.23,3989,56,"ScoringAverageActual",2016
121,116,"Ben Crane",48,71.23,3419,48,"ScoringAverageActual",2016
123,119,"Jonas Blixt",46,71.24,3277,46,"ScoringAverageActual",2016
123,135,"Retief Goosen",37,71.24,2636,37,"ScoringAverageActual",2016
123,100,"Michael Thompson",46,71.24,3277,46,"ScoringAverageActual",2016
126,126,"Chris Stroud",52,71.25,3705,52,"ScoringAverageActual",2016
127,101,"Henrik Norlander",41,71.27,2922,41,"ScoringAverageActual",2016
128,134,"Boo Weekley",53,71.3,3779,53,"ScoringAverageActual",2016
129,133,"Brendon de Jonge",55,71.31,3922,55,"ScoringAverageActual",2016
130,130,"Anirban Lahiri",44,71.32,2924,41,"ScoringAverageActual",2016
130,138,"Cameron Percy",22,71.32,1569,22,"ScoringAverageActual",2016
132,116,"Derek Fathauer",58,71.33,4137,58,"ScoringAverageActual",2016
133,124,"Tyler Aldridge",53,71.34,3781,53,"ScoringAverageActual",2016
133,131,"Scott Pinckney",53,71.34,3781,53,"ScoringAverageActual",2016
135,141,"Justin Leonard",28,71.36,1998,28,"ScoringAverageActual",2016
136,138,"Tyrone Van Aswegen",67,71.37,4782,67,"ScoringAverageActual",2016
137,155,"James Hahn",45,71.38,3212,45,"ScoringAverageActual",2016
138,142,"DJ Trahan",23,71.39,1642,23,"ScoringAverageActual",2016
139,146,"Keegan Bradley",40,71.4,2856,40,"ScoringAverageActual",2016
139,126,"Morgan Hoffmann",43,71.4,3070,43,"ScoringAverageActual",2016
141,122,"Byeong Hun An",23,71.42,1357,19,"ScoringAverageActual",2016
141,136,"Michael Kim",62,71.42,4428,62,"ScoringAverageActual",2016
143,137,"Blayne Barber",44,71.43,3143,44,"ScoringAverageActual",2016
143,140,"Mark Wilson",42,71.43,3000,42,"ScoringAverageActual",2016
145,147,"Scott Langley",41,71.44,2929,41,"ScoringAverageActual",2016
146,142,"Greg Owen",56,71.45,4001,56,"ScoringAverageActual",2016
146,148,"Andres Romero",22,71.45,1572,22,"ScoringAverageActual",2016
148,149,"Troy Merritt",41,71.46,2930,41,"ScoringAverageActual",2016
148,149,"Pat Perez",28,71.46,2001,28,"ScoringAverageActual",2016
150,157,"Luke Guthrie",31,71.55,2218,31,"ScoringAverageActual",2016
151,154,"Robert Streb",51,71.56,3435,48,"ScoringAverageActual",2016
152,142,"Kelly Kraft",35,71.57,2505,35,"ScoringAverageActual",2016
153,161,"Bernd Wiesberger",23,71.6,1432,20,"ScoringAverageActual",2016
154,152,"Matt Jones",45,71.62,3008,42,"ScoringAverageActual",2016
155,158,"Will Ma Kenzie",54,71.63,3868,54,"ScoringAverageActual",2016
155,155,"Vaughn Taylor",30,71.63,2149,30,"ScoringAverageActual",2016
157,142,"Rob Oppenheim",37,71.65,2651,37,"ScoringAverageActual",2016
158,160,"Steve Wheatcroft",53,71.66,3798,53,"ScoringAverageActual",2016
159,162,"Martin Piller",37,71.7,2653,37,"ScoringAverageActual",2016
160,169,"Chesson Hadley",51,71.71,3657,51,"ScoringAverageActual",2016
160,151,"Vijay Singh",42,71.71,3012,42,"ScoringAverageActual",2016
162,152,"Jamie Donaldson",28,71.72,1793,25,"ScoringAverageActual",2016
162,159,"Whee Kim",54,71.72,3873,54,"ScoringAverageActual",2016
164,167,"Wes Roach",33,71.73,2367,33,"ScoringAverageActual",2016
165,163,"Sam Saunders",40,71.75,2870,40,"ScoringAverageActual",2016
166,172,"Louis Oosthuizen",25,71.78,1292,18,"ScoringAverageActual",2016
166,164,"Cameron Smith",45,71.78,3230,45,"ScoringAverageActual",2016
168,169,"Robert Garrigus",34,71.79,2441,34,"ScoringAverageActual",2016
169,166,"Chad Collins",45,71.8,3231,45,"ScoringAverageActual",2016
170,175,"Andrew Landry",24,71.83,1724,24,"ScoringAverageActual",2016
171,168,"Ollie Schniederjans",23,71.87,1653,23,"ScoringAverageActual",2016
172,174,"Derek Ernst",36,71.89,2588,36,"ScoringAverageActual",2016
173,169,"Shawn Stefani",45,71.93,3237,45,"ScoringAverageActual",2016
174,175,"DA Points",32,71.94,2302,32,"ScoringAverageActual",2016
175,165,"Davis Love III",40,72,2880,40,"ScoringAverageActual",2016
175,177,"Carlos Ortiz",47,72,3384,47,"ScoringAverageActual",2016
177,178,"Erik Compton",45,72.04,3242,45,"ScoringAverageActual",2016
177,172,"Hiroshi Iwata",51,72.04,3674,51,"ScoringAverageActual",2016
179,179,"JJ Henry",44,72.05,3170,44,"ScoringAverageActual",2016
179,182,"Billy Hurley III",22,72.05,1585,22,"ScoringAverageActual",2016
179,182,"Rory Sabbatini",40,72.05,2882,40,"ScoringAverageActual",2016
179,182,"Andy Sullivan",25,72.05,1585,22,"ScoringAverageActual",2016
183,187,"Miguel Angel Carballo",24,72.08,1730,24,"ScoringAverageActual",2016
184,181,"Shane Lowry",35,72.13,2308,32,"ScoringAverageActual",2016
185,186,"Brendon Todd",43,72.14,3102,43,"ScoringAverageActual",2016
186,185,"George McNeill",33,72.15,2381,33,"ScoringAverageActual",2016
187,191,"Rhein Gibson",36,72.17,2598,36,"ScoringAverageActual",2016
188,180,"Steve Marino",40,72.18,2887,40,"ScoringAverageActual",2016
189,189,"Ian Poulter",37,72.22,2672,37,"ScoringAverageActual",2016
190,192,"Hunter Mahan",43,72.26,3107,43,"ScoringAverageActual",2016
191,188,"Geoff Ogilvy",37,72.27,2674,37,"ScoringAverageActual",2016
192,190,"Ernie Els",34,72.29,2458,34,"ScoringAverageActual",2016
193,193,"Andres Gonzales",46,72.3,3326,46,"ScoringAverageActual",2016
194,194,"Dicky Pride",33,72.33,2387,33,"ScoringAverageActual",2016
195,196,"Carl Pettersson",31,72.39,2244,31,"ScoringAverageActual",2016
196,197,"Angel Cabrera",42,72.48,3044,42,"ScoringAverageActual",2016
197,199,"Lucas Lee",22,72.59,1597,22,"ScoringAverageActual",2016
198,195,"Justin Hicks",26,72.62,1888,26,"ScoringAverageActual",2016
199,200,"Brian Gay",22,72.64,1598,22,"ScoringAverageActual",2016
200,201,"Abraham Ancer",26,72.73,1891,26,"ScoringAverageActual",2016
201,202,"Ken Duke",26,72.81,1893,26,"ScoringAverageActual",2016
202,202,"Matt Every",34,73.03,2483,34,"ScoringAverageActual",2016
203,204,"Darron Stiles",28,73.07,2046,28,"ScoringAverageActual",2016
204,205,"DH Lee",35,73.31,2566,35,"ScoringAverageActual",2016
205,206,"Robert Allenby",35,73.4,2569,35,"ScoringAverageActual",2016
206,207,"Steven Bowditch",40,73.95,2958,40,"ScoringAverageActual",2016
207,208,"Charlie Beljan",26,74.15,1928,26,"ScoringAverageActual",2016
