"ScoringAverageBeforeCut_RANKTHISWEEK_2011","ScoringAverageBeforeCut_RANKLASTWEEK_2011","ScoringAverageBeforeCut_PLAYERNAME_2011","ScoringAverageBeforeCut__2011","ScoringAverageBeforeCut_AVG_2011","ScoringAverageBeforeCut_TOTALSTROKES_2011","ScoringAverageBeforeCut_TOTALROUNDS_2011","stat_name","year"
29,29,"Kyle Stanley",NA,70.19,4141,59,"ScoringAverageBeforeCut",2011
30,30,"Brandt Jobe",NA,70.2,4142,59,"ScoringAverageBeforeCut",2011
31,31,"Martin Laird",NA,70.22,3230,46,"ScoringAverageBeforeCut",2011
32,32,"William McGirt",NA,70.24,4706,67,"ScoringAverageBeforeCut",2011
33,33,"Ben Crane",NA,70.27,3092,44,"ScoringAverageBeforeCut",2011
34,34,"KJ Choi",NA,70.3,3023,43,"ScoringAverageBeforeCut",2011
34,34,"Jerry Kelly",NA,70.3,3726,53,"ScoringAverageBeforeCut",2011
36,36,"Billy Mayfair",NA,70.35,4221,60,"ScoringAverageBeforeCut",2011
37,37,"Lucas Glover",NA,70.36,3096,44,"ScoringAverageBeforeCut",2011
38,38,"Brian Davis",NA,70.37,4433,63,"ScoringAverageBeforeCut",2011
39,39,"Brian Gay",NA,70.38,3871,55,"ScoringAverageBeforeCut",2011
39,39,"Bill Lunde",NA,70.38,3941,56,"ScoringAverageBeforeCut",2011
41,41,"Hunter Haas",NA,70.4,4435,63,"ScoringAverageBeforeCut",2011
42,42,"Carl Pettersson",NA,70.41,3802,54,"ScoringAverageBeforeCut",2011
43,43,"Keegan Bradley",NA,70.42,4155,59,"ScoringAverageBeforeCut",2011
43,43,"David Mathis",NA,70.42,3732,53,"ScoringAverageBeforeCut",2011
45,45,"Robert Garrigus",NA,70.43,3592,51,"ScoringAverageBeforeCut",2011
45,45,"Charl Schwartzel",NA,70.43,1972,28,"ScoringAverageBeforeCut",2011
47,47,"David Hearn",NA,70.45,3734,53,"ScoringAverageBeforeCut",2011
48,48,"Ricky Barnes",NA,70.46,3241,46,"ScoringAverageBeforeCut",2011
49,49,"Steve Marino",NA,70.47,3453,49,"ScoringAverageBeforeCut",2011
50,50,"Blake Adams",NA,70.48,5004,71,"ScoringAverageBeforeCut",2011
50,50,"George McNeill",NA,70.48,2960,42,"ScoringAverageBeforeCut",2011
50,50,"Rod Pampling",NA,70.48,3101,44,"ScoringAverageBeforeCut",2011
50,50,"Cameron Tringale",NA,70.48,4722,67,"ScoringAverageBeforeCut",2011
54,54,"Zach Johnson",NA,70.5,3102,44,"ScoringAverageBeforeCut",2011
54,54,"Geoff Ogilvy",NA,70.5,2820,40,"ScoringAverageBeforeCut",2011
56,56,"Jim Furyk",NA,70.51,3596,51,"ScoringAverageBeforeCut",2011
57,57,"JB Holmes",NA,70.53,2116,30,"ScoringAverageBeforeCut",2011
58,58,"Padraig Harrington",NA,70.54,2469,35,"ScoringAverageBeforeCut",2011
59,59,"John Rollins",NA,70.55,3951,56,"ScoringAverageBeforeCut",2011
60,60,"Vaughn Taylor",NA,70.56,4022,57,"ScoringAverageBeforeCut",2011
61,61,"Bo Van Pelt",NA,70.58,3882,55,"ScoringAverageBeforeCut",2011
62,62,"Greg Chalmers",NA,70.59,3953,56,"ScoringAverageBeforeCut",2011
63,63,"DA Points",NA,70.6,3883,55,"ScoringAverageBeforeCut",2011
64,64,"Stewart Cink",NA,70.61,3107,44,"ScoringAverageBeforeCut",2011
64,64,"Chez Reavie",NA,70.61,4025,57,"ScoringAverageBeforeCut",2011
66,66,"Trevor Immelman",NA,70.62,3531,50,"ScoringAverageBeforeCut",2011
66,66,"Robert Karlsson",NA,70.62,2401,34,"ScoringAverageBeforeCut",2011
66,66,"Josh Teater",NA,70.62,4590,65,"ScoringAverageBeforeCut",2011
69,69,"Chris Riley",NA,70.63,3602,51,"ScoringAverageBeforeCut",2011
69,69,"Charlie Wi",NA,70.63,3602,51,"ScoringAverageBeforeCut",2011
71,71,"Chris Kirk",NA,70.64,4097,58,"ScoringAverageBeforeCut",2011
71,71,"Scott Piercy",NA,70.64,3320,47,"ScoringAverageBeforeCut",2011
73,73,"Jimmy Walker",NA,70.65,3462,49,"ScoringAverageBeforeCut",2011
74,74,"Kris Blanks",NA,70.66,4310,61,"ScoringAverageBeforeCut",2011
74,74,"Chris Stroud",NA,70.66,4098,58,"ScoringAverageBeforeCut",2011
76,76,"Michael Thompson",NA,70.67,3604,51,"ScoringAverageBeforeCut",2011
77,77,"YE Yang",NA,70.68,2403,34,"ScoringAverageBeforeCut",2011
78,78,"Bryce Molder",NA,70.69,3888,55,"ScoringAverageBeforeCut",2011
79,79,"Jason Bohn",NA,70.7,3111,44,"ScoringAverageBeforeCut",2011
79,79,"Ian Poulter",NA,70.7,2121,30,"ScoringAverageBeforeCut",2011
81,81,"Jhonattan Vegas",NA,70.71,3677,52,"ScoringAverageBeforeCut",2011
82,82,"Shane Bertsch",NA,70.73,2900,41,"ScoringAverageBeforeCut",2011
82,82,"Davis Love III",NA,70.73,3183,45,"ScoringAverageBeforeCut",2011
82,82,"Jeff Overton",NA,70.73,3678,52,"ScoringAverageBeforeCut",2011
82,82,"Aron Price",NA,70.73,2617,37,"ScoringAverageBeforeCut",2011
86,86,"Rory Sabbatini",NA,70.75,3608,51,"ScoringAverageBeforeCut",2011
87,87,"Jim Herman",NA,70.76,3184,45,"ScoringAverageBeforeCut",2011
87,87,"Troy Matteson",NA,70.76,4175,59,"ScoringAverageBeforeCut",2011
87,87,"Johnson Wagner",NA,70.76,3609,51,"ScoringAverageBeforeCut",2011
87,87,"Boo Weekley",NA,70.76,3184,45,"ScoringAverageBeforeCut",2011
91,91,"Justin Rose",NA,70.77,3114,44,"ScoringAverageBeforeCut",2011
92,92,"Jonathan Byrd",NA,70.82,3612,51,"ScoringAverageBeforeCut",2011
92,92,"Andres Romero",NA,70.82,3187,45,"ScoringAverageBeforeCut",2011
94,94,"JJ Henry",NA,70.83,4179,59,"ScoringAverageBeforeCut",2011
95,95,"Heath Slocum",NA,70.85,4180,59,"ScoringAverageBeforeCut",2011
96,96,"DJ Trahan",NA,70.87,4394,62,"ScoringAverageBeforeCut",2011
97,97,"Vijay Singh",NA,70.88,3615,51,"ScoringAverageBeforeCut",2011
98,98,"Tim Herron",NA,70.89,4041,57,"ScoringAverageBeforeCut",2011
99,99,"Justin Leonard",NA,70.91,3900,55,"ScoringAverageBeforeCut",2011
100,100,"Lee Janzen",NA,70.93,2908,41,"ScoringAverageBeforeCut",2011
100,100,"Nick OHern",NA,70.93,4256,60,"ScoringAverageBeforeCut",2011
102,102,"Nathan Green",NA,70.94,3831,54,"ScoringAverageBeforeCut",2011
103,103,"Kevin Na",NA,70.95,3902,55,"ScoringAverageBeforeCut",2011
103,103,"Kevin Stadler",NA,70.95,4044,57,"ScoringAverageBeforeCut",2011
105,105,"Kevin Streelman",NA,70.96,3903,55,"ScoringAverageBeforeCut",2011
106,106,"Chris DiMarco",NA,70.97,4471,63,"ScoringAverageBeforeCut",2011
107,107,"Michael Connell",NA,70.98,3762,53,"ScoringAverageBeforeCut",2011
107,107,"Dustin Johnson",NA,70.98,2910,41,"ScoringAverageBeforeCut",2011
107,107,"Joe Ogilvie",NA,70.98,3620,51,"ScoringAverageBeforeCut",2011
110,110,"Tommy Gainey",NA,70.99,5040,71,"ScoringAverageBeforeCut",2011
111,111,"Ernie Els",NA,71,2840,40,"ScoringAverageBeforeCut",2011
111,111,"Fabian Gomez",NA,71,3905,55,"ScoringAverageBeforeCut",2011
111,111,"Paul Stankowski",NA,71,3621,51,"ScoringAverageBeforeCut",2011
114,114,"Michael Bradley",NA,71.02,3622,51,"ScoringAverageBeforeCut",2011
114,114,"Alex Cejka",NA,71.02,2912,41,"ScoringAverageBeforeCut",2011
114,114,"Brendan Steele",NA,71.02,4048,57,"ScoringAverageBeforeCut",2011
117,117,"Woody Austin",NA,71.05,2629,37,"ScoringAverageBeforeCut",2011
117,117,"Briny Baird",NA,71.05,2700,38,"ScoringAverageBeforeCut",2011
117,117,"Tim Petrovic",NA,71.05,4192,59,"ScoringAverageBeforeCut",2011
120,120,"Robert Allenby",NA,71.06,3411,48,"ScoringAverageBeforeCut",2011
120,120,"Paul Goydos",NA,71.06,3695,52,"ScoringAverageBeforeCut",2011
120,120,"Ryan Palmer",NA,71.06,3411,48,"ScoringAverageBeforeCut",2011
123,123,"Dean Wilson",NA,71.09,3128,44,"ScoringAverageBeforeCut",2011
124,124,"Steve Flesch",NA,71.11,3982,56,"ScoringAverageBeforeCut",2011
124,124,"Retief Goosen",NA,71.11,1991,28,"ScoringAverageBeforeCut",2011
126,126,"Alexandre Rocha",NA,71.13,3201,45,"ScoringAverageBeforeCut",2011
127,127,"Scott Stallings",NA,71.14,4197,59,"ScoringAverageBeforeCut",2011
128,128,"Kevin Chappell",NA,71.16,3914,55,"ScoringAverageBeforeCut",2011
128,128,"Kent Jones",NA,71.16,3558,50,"ScoringAverageBeforeCut",2011
128,128,"Tag Ridings",NA,71.16,4127,58,"ScoringAverageBeforeCut",2011
131,131,"Ryuji Imada",NA,71.19,4200,59,"ScoringAverageBeforeCut",2011
132,132,"Stephen Ames",NA,71.2,3275,46,"ScoringAverageBeforeCut",2011
132,132,"Charley Hoffman",NA,71.2,3916,55,"ScoringAverageBeforeCut",2011
132,132,"Anthony Kim",NA,71.2,3489,49,"ScoringAverageBeforeCut",2011
135,135,"Michael Putnam",NA,71.23,3134,44,"ScoringAverageBeforeCut",2011
136,136,"Steve Elkington",NA,71.24,2636,37,"ScoringAverageBeforeCut",2011
136,136,"Jim Renner",NA,71.24,3206,45,"ScoringAverageBeforeCut",2011
138,138,"Steven Bowditch",NA,71.25,4061,57,"ScoringAverageBeforeCut",2011
138,138,"Ben Martin",NA,71.25,3705,52,"ScoringAverageBeforeCut",2011
140,140,"Scott McCarron",NA,71.26,3349,47,"ScoringAverageBeforeCut",2011
141,141,"Pat Perez",NA,71.27,3492,49,"ScoringAverageBeforeCut",2011
142,142,"James Driscoll",NA,71.29,3493,49,"ScoringAverageBeforeCut",2011
143,143,"Matt Jones",NA,71.3,3779,53,"ScoringAverageBeforeCut",2011
144,144,"Sung Kang",NA,71.35,3068,43,"ScoringAverageBeforeCut",2011
145,145,"Scott Gutschewski",NA,71.36,3354,47,"ScoringAverageBeforeCut",2011
146,146,"Joseph Bramlett",NA,71.37,3640,51,"ScoringAverageBeforeCut",2011
147,147,"Marc Leishman",NA,71.38,3926,55,"ScoringAverageBeforeCut",2011
148,148,"Arjun Atwal",NA,71.39,4212,59,"ScoringAverageBeforeCut",2011
148,148,"Garrett Willis",NA,71.39,3498,49,"ScoringAverageBeforeCut",2011
150,150,"Angel Cabrera",NA,71.41,2428,34,"ScoringAverageBeforeCut",2011
151,151,"Shaun Micheel",NA,71.43,3857,54,"ScoringAverageBeforeCut",2011
152,152,"Ben Curtis",NA,71.46,3287,46,"ScoringAverageBeforeCut",2011
153,153,"Harrison Frazar",NA,71.5,2860,40,"ScoringAverageBeforeCut",2011
154,154,"Jarrod Lyle",NA,71.51,4362,61,"ScoringAverageBeforeCut",2011
155,155,"Matt Bettencourt",NA,71.53,4220,59,"ScoringAverageBeforeCut",2011
156,156,"Nate Smith",NA,71.55,3649,51,"ScoringAverageBeforeCut",2011
157,157,"Billy Horschel",NA,71.58,3794,53,"ScoringAverageBeforeCut",2011
158,158,"Cameron Beckman",NA,71.59,3508,49,"ScoringAverageBeforeCut",2011
158,158,"Joe Durant",NA,71.59,3651,51,"ScoringAverageBeforeCut",2011
160,160,"Graeme McDowell",NA,71.6,2148,30,"ScoringAverageBeforeCut",2011
160,160,"Sean OHair",NA,71.6,3365,47,"ScoringAverageBeforeCut",2011
162,162,"Tom Gillis",NA,71.61,2721,38,"ScoringAverageBeforeCut",2011
163,163,"Camilo Villegas",NA,71.64,3224,45,"ScoringAverageBeforeCut",2011
164,164,"Stuart Appleby",NA,71.65,3296,46,"ScoringAverageBeforeCut",2011
165,165,"Bobby Gates",NA,71.69,4373,61,"ScoringAverageBeforeCut",2011
166,166,"Andres Gonzales",NA,71.74,3085,43,"ScoringAverageBeforeCut",2011
166,166,"Bio Kim",NA,71.74,3802,53,"ScoringAverageBeforeCut",2011
168,168,"Colt Knost",NA,71.77,4091,57,"ScoringAverageBeforeCut",2011
169,169,"DJ Brigman",NA,71.81,3375,47,"ScoringAverageBeforeCut",2011
170,170,"Zack Miller",NA,71.83,4525,63,"ScoringAverageBeforeCut",2011
171,171,"Matt McQuillan",NA,71.87,3234,45,"ScoringAverageBeforeCut",2011
171,171,"Roland Thatcher",NA,71.87,3378,47,"ScoringAverageBeforeCut",2011
173,173,"Kevin Kisner",NA,71.88,3666,51,"ScoringAverageBeforeCut",2011
174,174,"David Duval",NA,71.9,3667,51,"ScoringAverageBeforeCut",2011
174,174,"JP Hayes",NA,71.9,2948,41,"ScoringAverageBeforeCut",2011
176,176,"Richard Johnson",NA,71.91,3236,45,"ScoringAverageBeforeCut",2011
177,177,"Marc Turnesa",NA,71.93,2949,41,"ScoringAverageBeforeCut",2011
178,178,"Troy Merritt",NA,71.98,3383,47,"ScoringAverageBeforeCut",2011
178,178,"Alex Prugh",NA,71.98,4391,61,"ScoringAverageBeforeCut",2011
180,180,"Martin Piller",NA,72.22,3539,49,"ScoringAverageBeforeCut",2011
181,181,"Daniel Summerhays",NA,72.3,4410,61,"ScoringAverageBeforeCut",2011
182,182,"Will Strickler",NA,72.31,2820,39,"ScoringAverageBeforeCut",2011
183,183,"Justin Hicks",NA,72.38,3402,47,"ScoringAverageBeforeCut",2011
184,184,"Derek Lamely",NA,72.58,3774,52,"ScoringAverageBeforeCut",2011
185,185,"Rocco Mediate",NA,72.68,2980,41,"ScoringAverageBeforeCut",2011
186,186,"Rich Beem",NA,72.79,3130,43,"ScoringAverageBeforeCut",2011
