"TotalDriving_RANKTHISWEEK_2008","TotalDriving_RANKLASTWEEK_2008","TotalDriving_PLAYERNAME_2008","TotalDriving_EVENTS_2008","TotalDriving_TOTAL_2008","TotalDriving_DISTANCERANK_2008","TotalDriving_ACCURACYRANK_2008","stat_name","year"
35,35,"Jay Williamson",33,147,123,24,"TotalDriving",2008
36,36,"Lucas Glover",26,148,23,125,"TotalDriving",2008
37,37,"Rod Pampling",28,151,82,69,"TotalDriving",2008
38,38,"Kenny Perry",26,153,33,120,"TotalDriving",2008
38,38,"Chris Stroud",29,153,95,58,"TotalDriving",2008
40,40,"Harrison Frazar",23,154,14,140,"TotalDriving",2008
41,41,"Kenneth Ferrie",25,155,119,36,"TotalDriving",2008
42,42,"Kent Jones",23,157,141,16,"TotalDriving",2008
42,42,"Michael Letzig",29,157,69,88,"TotalDriving",2008
44,44,"Jonathan Byrd",27,160,114,46,"TotalDriving",2008
44,44,"Robert Gamez",26,160,153,7,"TotalDriving",2008
44,44,"Jeff Maggert",28,160,110,50,"TotalDriving",2008
47,47,"Chez Reavie",30,161,152,9,"TotalDriving",2008
48,48,"Nick Flanagan",29,164,60,104,"TotalDriving",2008
49,49,"Troy Matteson",30,165,38,127,"TotalDriving",2008
50,50,"Steve Allan",21,166,5,161,"TotalDriving",2008
50,50,"Jason Day",28,166,27,139,"TotalDriving",2008
52,52,"Heath Slocum",29,167,164,3,"TotalDriving",2008
53,53,"Ben Curtis",22,168,121,47,"TotalDriving",2008
54,54,"Scott McCarron",22,169,139,30,"TotalDriving",2008
54,54,"Joe Ogilvie",29,169,88,81,"TotalDriving",2008
54,54,"Kevin Streelman",32,169,54,115,"TotalDriving",2008
57,57,"Bart Bryant",23,170,166,4,"TotalDriving",2008
57,57,"Steve Elkington",25,170,148,22,"TotalDriving",2008
57,57,"Anthony Kim",22,170,11,159,"TotalDriving",2008
60,60,"Bill Haas",31,171,29,142,"TotalDriving",2008
60,60,"Davis Love III",23,171,9,162,"TotalDriving",2008
62,62,"Tommy Gainey",24,172,24,148,"TotalDriving",2008
63,63,"Trevor Immelman",22,173,66,107,"TotalDriving",2008
64,64,"Woody Austin",30,174,114,60,"TotalDriving",2008
64,64,"Tag Ridings",29,174,6,168,"TotalDriving",2008
64,64,"Bo Van Pelt",32,174,58,116,"TotalDriving",2008
67,67,"Vijay Singh",23,175,25,150,"TotalDriving",2008
68,68,"Rory Sabbatini",23,176,58,118,"TotalDriving",2008
68,68,"Scott Verplank",24,176,170,6,"TotalDriving",2008
70,70,"Briny Baird",30,177,116,61,"TotalDriving",2008
71,71,"Todd Hamilton",28,180,129,51,"TotalDriving",2008
72,72,"Robert Garrigus",29,181,2,179,"TotalDriving",2008
72,72,"Patrick Sheehan",35,181,125,56,"TotalDriving",2008
74,74,"Tom Scherrer",20,182,88,94,"TotalDriving",2008
75,75,"Tommy Armour III",25,183,88,95,"TotalDriving",2008
75,75,"Brian Davis",34,183,173,10,"TotalDriving",2008
75,75,"Tim Herron",28,183,52,131,"TotalDriving",2008
75,75,"Tim Petrovic",32,183,129,54,"TotalDriving",2008
79,79,"Ted Purdy",25,184,54,130,"TotalDriving",2008
79,79,"Bubba Watson",29,184,1,183,"TotalDriving",2008
81,81,"Fred Couples",18,185,16,169,"TotalDriving",2008
81,81,"Kevin Stadler",30,185,68,117,"TotalDriving",2008
81,81,"Omar Uresti",24,185,183,2,"TotalDriving",2008
84,84,"Padraig Harrington",15,186,32,154,"TotalDriving",2008
84,84,"Zach Johnson",25,186,181,5,"TotalDriving",2008
86,86,"Scott Sterling",28,188,125,63,"TotalDriving",2008
87,87,"Jim Furyk",26,190,162,28,"TotalDriving",2008
87,87,"Doug LaBelle II",22,190,153,37,"TotalDriving",2008
89,89,"Justin Bolli",28,191,125,66,"TotalDriving",2008
89,89,"Ron Whittaker",22,191,177,14,"TotalDriving",2008
91,91,"Cameron Beckman",29,192,150,42,"TotalDriving",2008
91,91,"George McNeill",29,192,40,152,"TotalDriving",2008
91,91,"Kevin Sutherland",26,192,71,121,"TotalDriving",2008
91,91,"Vaughn Taylor",32,192,82,110,"TotalDriving",2008
95,95,"Adam Scott",15,193,8,185,"TotalDriving",2008
95,95,"YE Yang",29,193,100,93,"TotalDriving",2008
97,97,"Olin Browne",27,195,194,1,"TotalDriving",2008
97,97,"Dustin Johnson",30,195,4,191,"TotalDriving",2008
97,97,"John Mallinger",29,195,169,26,"TotalDriving",2008
97,97,"Nick OHern",26,195,183,12,"TotalDriving",2008
97,97,"Marc Turnesa",29,195,117,78,"TotalDriving",2008
102,102,"Sergio Garcia",19,196,43,153,"TotalDriving",2008
102,102,"Justin Leonard",25,196,156,40,"TotalDriving",2008
104,104,"Kevin Na",29,197,158,39,"TotalDriving",2008
105,105,"Paul Claxton",23,198,180,18,"TotalDriving",2008
105,105,"JB Holmes",26,198,3,195,"TotalDriving",2008
105,105,"Brandt Jobe",19,198,21,177,"TotalDriving",2008
108,108,"Bob Estes",28,201,145,56,"TotalDriving",2008
109,109,"Brad Elder",23,202,78,124,"TotalDriving",2008
110,110,"Jason Allred",23,206,22,184,"TotalDriving",2008
110,110,"Travis Perkins",23,206,16,190,"TotalDriving",2008
112,112,"Frank Lickliter II",32,207,125,82,"TotalDriving",2008
112,112,"Sean OHair",25,207,69,138,"TotalDriving",2008
114,114,"Shane Bertsch",29,208,187,21,"TotalDriving",2008
114,114,"Alejandro Canizares",16,208,97,111,"TotalDriving",2008
116,116,"Angel Cabrera",17,209,13,196,"TotalDriving",2008
116,116,"Stewart Cink",23,209,28,181,"TotalDriving",2008
116,116,"Paul Goydos",25,209,190,19,"TotalDriving",2008
116,116,"Jon Mills",32,209,51,158,"TotalDriving",2008
120,120,"Gavin Coles",16,210,195,15,"TotalDriving",2008
121,121,"Brenden Pappas",24,211,42,169,"TotalDriving",2008
121,121,"Andres Romero",20,211,19,192,"TotalDriving",2008
121,121,"Bob Tway",20,211,167,44,"TotalDriving",2008
124,124,"Mark Calcavecchia",25,213,139,74,"TotalDriving",2008
124,124,"Brian Gay",31,213,196,17,"TotalDriving",2008
124,124,"Will Ma Kenzie",21,213,108,105,"TotalDriving",2008
124,124,"Jeff Overton",32,213,26,187,"TotalDriving",2008
128,128,"Glen Day",19,215,183,32,"TotalDriving",2008
129,129,"David Lutterus",23,216,84,132,"TotalDriving",2008
129,129,"Phil Mickelson",21,216,35,181,"TotalDriving",2008
129,129,"Brett Quigley",25,216,94,122,"TotalDriving",2008
129,129,"Camilo Villegas",22,216,50,166,"TotalDriving",2008
133,133,"Richard Johnson",29,217,29,188,"TotalDriving",2008
133,133,"Peter Lonard",30,217,153,64,"TotalDriving",2008
135,135,"Alex Cejka",25,218,142,76,"TotalDriving",2008
135,135,"David Toms",20,218,146,72,"TotalDriving",2008
135,135,"Tim Wilkinson",29,218,165,53,"TotalDriving",2008
138,138,"Craig Kanada",23,219,192,27,"TotalDriving",2008
138,138,"Jin Park",30,219,186,33,"TotalDriving",2008
138,138,"Bob Sowards",22,219,84,135,"TotalDriving",2008
138,138,"Kyle Thompson",26,219,111,108,"TotalDriving",2008
142,142,"JP Hayes",26,222,124,98,"TotalDriving",2008
142,142,"Geoff Ogilvy",20,222,57,165,"TotalDriving",2008
144,144,"Aaron Baddeley",22,223,73,150,"TotalDriving",2008
144,144,"Charles Howell III",31,223,48,175,"TotalDriving",2008
144,144,"Greg Kraft",21,223,189,34,"TotalDriving",2008
144,144,"Chris Riley",17,223,168,55,"TotalDriving",2008
148,148,"Mike Weir",26,225,119,106,"TotalDriving",2008
149,149,"Corey Pavin",20,226,197,29,"TotalDriving",2008
150,150,"James Driscoll",28,229,40,189,"TotalDriving",2008
150,150,"Jesper Parnevik",29,229,93,136,"TotalDriving",2008
150,150,"Jimmy Walker",24,229,36,193,"TotalDriving",2008
153,153,"Ken Duke",33,230,118,112,"TotalDriving",2008
154,154,"KJ Choi",21,232,106,126,"TotalDriving",2008
155,155,"Lee Janzen",28,233,132,101,"TotalDriving",2008
155,155,"Matt Jones",31,233,47,186,"TotalDriving",2008
157,157,"Jerry Kelly",31,235,176,59,"TotalDriving",2008
157,157,"Tom Lehman",17,235,148,87,"TotalDriving",2008
160,160,"Stephen Ames",24,236,133,103,"TotalDriving",2008
160,160,"Stuart Appleby",23,236,72,164,"TotalDriving",2008
162,162,"Ernie Els",16,237,64,173,"TotalDriving",2008
163,163,"Daniel Chopra",27,238,44,194,"TotalDriving",2008
164,164,"Mark Hensby",26,239,79,160,"TotalDriving",2008
165,165,"Tim Clark",27,240,157,83,"TotalDriving",2008
165,165,"Stephen Leaney",17,240,191,49,"TotalDriving",2008
167,167,"Brad Adamonis",29,242,75,167,"TotalDriving",2008
168,168,"Steve Lowery",25,243,99,144,"TotalDriving",2008
169,169,"Marco Dawson",21,247,106,141,"TotalDriving",2008
170,170,"Tom Pernice Jr",30,251,161,90,"TotalDriving",2008
171,171,"Carl Pettersson",29,253,108,145,"TotalDriving",2008
172,172,"Matt Kuchar",27,255,182,73,"TotalDriving",2008
172,172,"Jim McGovern",26,255,163,92,"TotalDriving",2008
174,174,"Rocco Mediate",27,256,170,86,"TotalDriving",2008
175,175,"Cody Freeman",26,257,86,171,"TotalDriving",2008
176,176,"Parker McLachlin",27,262,105,157,"TotalDriving",2008
177,177,"Eric Axley",35,264,88,176,"TotalDriving",2008
178,178,"Retief Goosen",18,271,97,174,"TotalDriving",2008
178,178,"Cliff Kresge",28,271,158,113,"TotalDriving",2008
178,178,"Johnson Wagner",26,271,138,133,"TotalDriving",2008
181,181,"Chris DiMarco",29,274,175,99,"TotalDriving",2008
182,182,"Carlos Franco",25,275,112,163,"TotalDriving",2008
183,183,"Ian Poulter",15,281,135,146,"TotalDriving",2008
184,184,"Nathan Green",30,283,134,149,"TotalDriving",2008
185,185,"Steve Flesch",29,284,150,134,"TotalDriving",2008
185,185,"Freddie Jacobson",24,284,142,142,"TotalDriving",2008
187,187,"Billy Andrade",24,292,137,155,"TotalDriving",2008
188,188,"Brandt Snedeker",26,297,160,137,"TotalDriving",2008
189,189,"Dean Wilson",32,301,178,123,"TotalDriving",2008
190,190,"Dudley Hart",22,308,179,129,"TotalDriving",2008
191,191,"David Duval",20,310,113,197,"TotalDriving",2008
192,192,"Jeff Quinney",28,312,193,119,"TotalDriving",2008
193,193,"Steve Stricker",22,313,135,178,"TotalDriving",2008
194,194,"Ryuji Imada",25,317,170,147,"TotalDriving",2008
195,195,"Brett Rumford",26,322,142,180,"TotalDriving",2008
196,196,"Chad Collins",24,330,174,156,"TotalDriving",2008
197,197,"Shigeki Maruyama",18,360,188,172,"TotalDriving",2008
