"FedExCupPlayoffsPoints_RANKTHISWEEK_2011","FedExCupPlayoffsPoints_RANKLASTWEEK_2011","FedExCupPlayoffsPoints_PLAYERNAME_2011","FedExCupPlayoffsPoints_EVENTS_2011","FedExCupPlayoffsPoints_POINTS_2011","FedExCupPlayoffsPoints_OFWINS_2011","FedExCupPlayoffsPoints_OFTOP10S_2011","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2011","FedExCupPlayoffsPoints_RESETPOINTS_2011","stat_name","year"
22,22,"Mark Wilson",25,620,2,4,2140,400,"FedExCupPlayoffsPoints",2011
23,23,"Bo Van Pelt",26,610,NA,5,2150,210,"FedExCupPlayoffsPoints",2011
24,24,"Geoff Ogilvy",21,608,NA,4,2152,270,"FedExCupPlayoffsPoints",2011
25,25,"Jason Dufner",23,583,NA,6,2177,290,"FedExCupPlayoffsPoints",2011
26,26,"Bubba Watson",22,578,2,3,2182,340,"FedExCupPlayoffsPoints",2011
27,27,"Jonathan Byrd",24,565,1,5,2195,360,"FedExCupPlayoffsPoints",2011
28,28,"Vijay Singh",24,548,NA,5,2212,280,"FedExCupPlayoffsPoints",2011
29,29,"Freddie Jacobson",25,488,1,3,2272,220,"FedExCupPlayoffsPoints",2011
30,30,"YE Yang",18,440,NA,5,2320,230,"FedExCupPlayoffsPoints",2011
31,31,"Martin Laird",22,1589,1,6,3672,NA,"FedExCupPlayoffsPoints",2011
32,32,"Charl Schwartzel",15,1560,1,3,3701,NA,"FedExCupPlayoffsPoints",2011
33,33,"Camilo Villegas",25,1532,NA,4,3729,NA,"FedExCupPlayoffsPoints",2011
34,34,"Kyle Stanley",26,1523,NA,3,3738,NA,"FedExCupPlayoffsPoints",2011
35,35,"Rory Sabbatini",23,1493,1,3,3768,NA,"FedExCupPlayoffsPoints",2011
36,36,"Jim Furyk",25,1468,NA,4,3793,NA,"FedExCupPlayoffsPoints",2011
37,37,"Ryan Moore",21,1465,NA,4,3796,NA,"FedExCupPlayoffsPoints",2011
38,38,"Jerry Kelly",24,1450,NA,4,3811,NA,"FedExCupPlayoffsPoints",2011
39,39,"Brian Davis",28,1438,NA,2,3823,NA,"FedExCupPlayoffsPoints",2011
40,40,"Zach Johnson",22,1414,NA,4,3847,NA,"FedExCupPlayoffsPoints",2011
41,41,"Charley Hoffman",26,1369,NA,2,3892,NA,"FedExCupPlayoffsPoints",2011
42,42,"Chris Kirk",27,1332,1,4,3929,NA,"FedExCupPlayoffsPoints",2011
43,43,"Rickie Fowler",23,1323,NA,4,3938,NA,"FedExCupPlayoffsPoints",2011
44,44,"Sergio Garcia",16,1317,NA,3,3944,NA,"FedExCupPlayoffsPoints",2011
45,45,"Lucas Glover",22,1305,1,1,3956,NA,"FedExCupPlayoffsPoints",2011
46,46,"Robert Karlsson",18,1297,NA,3,3964,NA,"FedExCupPlayoffsPoints",2011
47,47,"Spencer Levin",27,1287,NA,4,3974,NA,"FedExCupPlayoffsPoints",2011
48,48,"Carl Pettersson",25,1284,NA,4,3977,NA,"FedExCupPlayoffsPoints",2011
49,49,"Steve Marino",23,1262,NA,3,3999,NA,"FedExCupPlayoffsPoints",2011
50,50,"Jimmy Walker",24,1252,NA,4,4009,NA,"FedExCupPlayoffsPoints",2011
51,51,"Brandt Jobe",26,1238,NA,4,4023,NA,"FedExCupPlayoffsPoints",2011
52,52,"Brendan Steele",25,1160,1,2,4101,NA,"FedExCupPlayoffsPoints",2011
53,53,"Ryan Palmer",23,1159,NA,3,4102,NA,"FedExCupPlayoffsPoints",2011
54,54,"Jhonattan Vegas",24,1149,1,2,4112,NA,"FedExCupPlayoffsPoints",2011
55,55,"Robert Allenby",24,1146,NA,3,4115,NA,"FedExCupPlayoffsPoints",2011
56,56,"DA Points",24,1140,1,3,4121,NA,"FedExCupPlayoffsPoints",2011
57,57,"Scott Stallings",26,1125,1,2,4136,NA,"FedExCupPlayoffsPoints",2011
58,58,"Sean OHair",23,1102,1,1,4159,NA,"FedExCupPlayoffsPoints",2011
59,59,"Chad Campbell",26,1076,NA,1,4185,NA,"FedExCupPlayoffsPoints",2011
60,60,"Brendon de Jonge",28,1024,NA,3,4237,NA,"FedExCupPlayoffsPoints",2011
61,61,"Chris Stroud",25,1013,NA,2,4248,NA,"FedExCupPlayoffsPoints",2011
62,62,"Tommy Gainey",30,1009,NA,6,4252,NA,"FedExCupPlayoffsPoints",2011
63,63,"Cameron Tringale",28,1002,NA,4,4259,NA,"FedExCupPlayoffsPoints",2011
64,64,"Blake Adams",30,985,NA,4,4276,NA,"FedExCupPlayoffsPoints",2011
65,65,"Marc Leishman",25,947,NA,2,4314,NA,"FedExCupPlayoffsPoints",2011
66,66,"Andres Romero",22,939,NA,4,4322,NA,"FedExCupPlayoffsPoints",2011
67,67,"Ernie Els",20,924,NA,NA,4337,NA,"FedExCupPlayoffsPoints",2011
68,68,"George McNeill",18,889,NA,4,4372,NA,"FedExCupPlayoffsPoints",2011
69,69,"Scott Piercy",19,885,1,2,4376,NA,"FedExCupPlayoffsPoints",2011
70,70,"Johnson Wagner",23,842,1,1,4419,NA,"FedExCupPlayoffsPoints",2011
71,71,"Kevin Na",24,778,NA,5,4483,NA,"FedExCupPlayoffsPoints",2011
72,72,"Kevin Streelman",23,770,NA,3,4491,NA,"FedExCupPlayoffsPoints",2011
73,73,"Graeme McDowell",15,765,NA,3,4496,NA,"FedExCupPlayoffsPoints",2011
74,74,"Robert Garrigus",23,759,NA,3,4502,NA,"FedExCupPlayoffsPoints",2011
75,75,"Pat Perez",23,751,NA,4,4510,NA,"FedExCupPlayoffsPoints",2011
76,76,"JJ Henry",26,739,NA,1,4522,NA,"FedExCupPlayoffsPoints",2011
77,77,"Harrison Frazar",18,713,1,1,4548,NA,"FedExCupPlayoffsPoints",2011
78,78,"Charlie Wi",22,711,NA,1,4550,NA,"FedExCupPlayoffsPoints",2011
79,79,"Anthony Kim",26,702,NA,2,4559,NA,"FedExCupPlayoffsPoints",2011
80,80,"Kris Blanks",26,694,NA,2,4567,NA,"FedExCupPlayoffsPoints",2011
81,81,"Greg Chalmers",25,692,NA,2,4569,NA,"FedExCupPlayoffsPoints",2011
82,82,"Brian Gay",23,685,NA,3,4576,NA,"FedExCupPlayoffsPoints",2011
83,83,"William McGirt",28,674,NA,NA,4587,NA,"FedExCupPlayoffsPoints",2011
84,84,"Kevin Chappell",23,673,NA,2,4588,NA,"FedExCupPlayoffsPoints",2011
85,85,"Bill Lunde",25,668,NA,NA,4593,NA,"FedExCupPlayoffsPoints",2011
86,86,"JB Holmes",16,640,NA,4,4621,NA,"FedExCupPlayoffsPoints",2011
87,87,"Ian Poulter",16,639,NA,1,4622,NA,"FedExCupPlayoffsPoints",2011
88,88,"Trevor Immelman",21,638,NA,NA,4623,NA,"FedExCupPlayoffsPoints",2011
89,89,"Padraig Harrington",18,625,NA,3,4636,NA,"FedExCupPlayoffsPoints",2011
90,90,"Jeff Overton",23,619,NA,3,4642,NA,"FedExCupPlayoffsPoints",2011
91,91,"Ryuji Imada",25,617,NA,2,4644,NA,"FedExCupPlayoffsPoints",2011
92,92,"John Rollins",24,616,NA,2,4645,NA,"FedExCupPlayoffsPoints",2011
93,93,"Scott Verplank",15,588,NA,3,4673,NA,"FedExCupPlayoffsPoints",2011
94,94,"Chris Couch",19,573,NA,3,4688,NA,"FedExCupPlayoffsPoints",2011
95,95,"Davis Love III",20,565,NA,2,4696,NA,"FedExCupPlayoffsPoints",2011
96,96,"Ben Crane",20,561,NA,2,4700,NA,"FedExCupPlayoffsPoints",2011
97,97,"Ricky Barnes",21,556,NA,2,4705,NA,"FedExCupPlayoffsPoints",2011
98,98,"Stewart Cink",21,556,NA,1,4705,NA,"FedExCupPlayoffsPoints",2011
99,99,"Troy Matteson",26,547,NA,2,4714,NA,"FedExCupPlayoffsPoints",2011
100,100,"John Merrick",18,535,NA,1,4726,NA,"FedExCupPlayoffsPoints",2011
101,101,"Bryce Molder",24,523,NA,4,4738,NA,"FedExCupPlayoffsPoints",2011
102,102,"Josh Teater",28,513,NA,1,4748,NA,"FedExCupPlayoffsPoints",2011
103,103,"Hunter Haas",26,499,NA,3,4762,NA,"FedExCupPlayoffsPoints",2011
104,104,"Chris DiMarco",27,499,NA,NA,4762,NA,"FedExCupPlayoffsPoints",2011
105,105,"Paul Goydos",21,474,NA,3,4787,NA,"FedExCupPlayoffsPoints",2011
106,106,"DJ Trahan",26,474,NA,1,4787,NA,"FedExCupPlayoffsPoints",2011
107,107,"Nick OHern",25,463,NA,2,4798,NA,"FedExCupPlayoffsPoints",2011
108,108,"Matt Bettencourt",26,461,NA,2,4800,NA,"FedExCupPlayoffsPoints",2011
109,109,"Arjun Atwal",25,459,NA,1,4802,NA,"FedExCupPlayoffsPoints",2011
110,110,"Tim Herron",24,456,NA,2,4805,NA,"FedExCupPlayoffsPoints",2011
111,111,"Michael Bradley",21,454,1,1,4807,NA,"FedExCupPlayoffsPoints",2011
112,112,"Retief Goosen",15,444,NA,1,4817,NA,"FedExCupPlayoffsPoints",2011
113,113,"Kevin Stadler",24,444,NA,1,4817,NA,"FedExCupPlayoffsPoints",2011
114,114,"Tom Gillis",17,431,NA,2,4830,NA,"FedExCupPlayoffsPoints",2011
115,115,"Michael Thompson",21,413,NA,1,4848,NA,"FedExCupPlayoffsPoints",2011
116,116,"Vaughn Taylor",23,397,NA,NA,4864,NA,"FedExCupPlayoffsPoints",2011
117,117,"Heath Slocum",25,388,NA,NA,4873,NA,"FedExCupPlayoffsPoints",2011
118,118,"Stuart Appleby",24,387,NA,1,4874,NA,"FedExCupPlayoffsPoints",2011
119,119,"Rod Pampling",17,385,NA,2,4876,NA,"FedExCupPlayoffsPoints",2011
120,120,"Joe Ogilvie",21,379,NA,1,4882,NA,"FedExCupPlayoffsPoints",2011
121,121,"David Hearn",22,377,NA,1,4884,NA,"FedExCupPlayoffsPoints",2011
122,122,"Billy Mayfair",25,353,NA,1,4908,NA,"FedExCupPlayoffsPoints",2011
123,123,"James Driscoll",20,353,NA,2,4908,NA,"FedExCupPlayoffsPoints",2011
124,124,"Steve Flesch",23,352,NA,1,4909,NA,"FedExCupPlayoffsPoints",2011
125,125,"Steven Bowditch",24,347,NA,1,4914,NA,"FedExCupPlayoffsPoints",2011
126,126,"Justin Leonard",23,328,NA,NA,4933,NA,"FedExCupPlayoffsPoints",2011
127,127,"Matt Jones",21,328,NA,1,4933,NA,"FedExCupPlayoffsPoints",2011
128,128,"Tim Petrovic",25,326,NA,NA,4935,NA,"FedExCupPlayoffsPoints",2011
129,129,"David Mathis",21,326,NA,1,4935,NA,"FedExCupPlayoffsPoints",2011
130,130,"Cameron Beckman",22,324,NA,NA,4937,NA,"FedExCupPlayoffsPoints",2011
131,131,"Dean Wilson",22,318,NA,NA,4943,NA,"FedExCupPlayoffsPoints",2011
132,132,"Tiger Woods",8,318,NA,2,4943,NA,"FedExCupPlayoffsPoints",2011
133,133,"Ben Curtis",19,304,NA,NA,4957,NA,"FedExCupPlayoffsPoints",2011
134,134,"Alex Cejka",20,303,NA,NA,4958,NA,"FedExCupPlayoffsPoints",2011
135,135,"Roland Thatcher",18,302,NA,2,4959,NA,"FedExCupPlayoffsPoints",2011
136,136,"Michael Putnam",21,300,NA,NA,4961,NA,"FedExCupPlayoffsPoints",2011
137,137,"Tim Clark",4,299,NA,1,4962,NA,"FedExCupPlayoffsPoints",2011
138,138,"Stephen Ames",18,298,NA,2,4963,NA,"FedExCupPlayoffsPoints",2011
139,139,"Kent Jones",21,297,NA,NA,4964,NA,"FedExCupPlayoffsPoints",2011
140,140,"Chris Riley",21,292,NA,1,4969,NA,"FedExCupPlayoffsPoints",2011
141,141,"Zack Miller",26,290,NA,1,4971,NA,"FedExCupPlayoffsPoints",2011
142,142,"Tag Ridings",24,286,NA,NA,4975,NA,"FedExCupPlayoffsPoints",2011
143,143,"Jason Bohn",19,284,NA,NA,4977,NA,"FedExCupPlayoffsPoints",2011
144,144,"Paul Casey",13,280,NA,NA,4981,NA,"FedExCupPlayoffsPoints",2011
145,145,"Matt McQuillan",17,280,NA,2,4981,NA,"FedExCupPlayoffsPoints",2011
146,146,"Aron Price",15,272,NA,NA,4989,NA,"FedExCupPlayoffsPoints",2011
147,147,"Garrett Willis",20,270,NA,1,4991,NA,"FedExCupPlayoffsPoints",2011
148,148,"Louis Oosthuizen",13,267,NA,1,4994,NA,"FedExCupPlayoffsPoints",2011
149,149,"Joe Durant",21,260,NA,NA,5001,NA,"FedExCupPlayoffsPoints",2011
150,150,"Bob Estes",9,258,NA,1,5003,NA,"FedExCupPlayoffsPoints",2011
