"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2007","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2007","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2007","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2007","ofPotentialPtswonFedExCupPlayoffs_Pct_2007","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2007","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2007","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2007","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2007","stat_name","year"
76,76,"Stephen Ames",23,1.74,313,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
77,77,"Doug LaBelle II",33,1.71,307,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
77,77,"Nick Watney",26,1.71,461,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
79,79,"Bart Bryant",25,1.58,284,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
80,80,"Brian Gay",32,1.53,275,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
81,81,"Will Ma Kenzie",30,1.52,273,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
82,82,"Luke Donald",20,1.48,399,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
83,83,"Stuart Appleby",24,1.44,390,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
83,83,"Kevin Sutherland",25,1.44,390,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
85,85,"Bill Haas",30,1.4,126,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
86,86,"Tim Herron",27,1.3,234,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
86,86,"Nick OHern",22,1.3,350,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
88,88,"Corey Pavin",25,1.26,114,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
89,89,"Joe Durant",28,1.2,108,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
90,90,"Brian Davis",28,1.17,211,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
91,91,"Andrew Buckle",26,1.15,104,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
91,91,"Johnson Wagner",33,1.15,104,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
93,93,"Jeff Maggert",26,1.11,201,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
94,94,"JB Holmes",24,0.97,175,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
94,94,"Davis Love III",21,0.97,175,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
96,96,"Brian Bateman",18,0.96,259,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
97,97,"Henrik Stenson",15,0.85,230,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
98,98,"Steve Marino",31,0.84,227,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
99,99,"Ken Duke",31,0.82,221,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
100,100,"Billy Mayfair",30,0.74,200,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
101,101,"Fred Funk",22,0.7,126,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
102,102,"Joe Ogilvie",31,0.66,118,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
102,102,"Tom Pernice Jr",31,0.66,118,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
104,104,"JP Hayes",28,0.63,114,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
104,104,"Craig Kanada",34,0.63,113,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
104,104,"Justin Leonard",29,0.63,113,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
107,107,"Tommy Armour III",24,0.6,108,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
107,107,"Chad Campbell",28,0.6,108,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
107,107,"Retief Goosen",14,0.6,108,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
107,107,"DJ Trahan",30,0.6,108,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
111,111,"Bob Estes",28,0.58,104,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
112,112,"Kevin Na",27,0.56,101,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
113,113,"Daniel Chopra",34,0.55,100,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
114,114,"Charles Warren",29,0.54,97,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
115,115,"Jose Coceres",17,0.41,111,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
116,116,"Jeff Quinney",29,0.4,107,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
