"Approachesfrom75100yards_RANKTHISWEEK_2011","Approachesfrom75100yards_RANKLASTWEEK_2011","Approachesfrom75100yards_PLAYERNAME_2011","Approachesfrom75100yards_ROUNDS_2011","Approachesfrom75100yards_AVG_2011","Approachesfrom75100yards_TOTALDISTANCEFEET_2011","Approachesfrom75100yards_OFATTEMPTS_2011","Approachesfrom75100yards_RELATIVETOPAR_2011","stat_name","year"
172,172,"Fabian Gomez",84,NA,1058.5,49,-7,"Approachesfrom75100yards",2011
173,173,"Rod Pampling",72,NA,694,32,-5,"Approachesfrom75100yards",2011
174,174,"Jim Renner",65,NA,1175.667,54,1,"Approachesfrom75100yards",2011
175,175,"Colt Knost",80,NA,1049.083,48,8,"Approachesfrom75100yards",2011
176,176,"Steve Elkington",50,NA,727.083,33,0,"Approachesfrom75100yards",2011
177,177,"Carl Pettersson",95,NA,1531.5,69,-5,"Approachesfrom75100yards",2011
178,178,"Bill Lunde",92,NA,1542.75,69,-5,"Approachesfrom75100yards",2011
179,179,"Shaun Micheel",77,NA,919.833,41,-7,"Approachesfrom75100yards",2011
180,180,"Retief Goosen",50,NA,797.083,35,7,"Approachesfrom75100yards",2011
181,181,"Sung Kang",63,NA,913.5,40,-3,"Approachesfrom75100yards",2011
182,182,"Sergio Garcia",61,NA,463.667,20,1,"Approachesfrom75100yards",2011
183,183,"Scott McCarron",65,NA,736.917,31,1,"Approachesfrom75100yards",2011
184,184,"Will Strickler",51,NA,839.667,35,0,"Approachesfrom75100yards",2011
185,185,"Chris Couch",73,NA,1198.5,49,-4,"Approachesfrom75100yards",2011
185,185,"Martin Piller",63,NA,1003.75,41,-4,"Approachesfrom75100yards",2011
