"GIRPercentage100125yards_RANKTHISWEEK_2014","GIRPercentage100125yards_RANKLASTWEEK_2014","GIRPercentage100125yards_PLAYERNAME_2014","GIRPercentage100125yards_ROUNDS_2014","GIRPercentage100125yards_Pct_2014","GIRPercentage100125yards_GREENSHIT_2014","GIRPercentage100125yards_TOTALHOLES_2014","GIRPercentage100125yards_RELATIVETOPAR_2014","stat_name","year"
107,107,"James Hahn",82,74.19,92,124,-0.17,"GIRPercentage100125yards",2014
108,108,"Richard Lee",80,74.14,86,116,-0.34,"GIRPercentage100125yards",2014
108,108,"Robert Streb",75,74.14,86,116,-0.34,"GIRPercentage100125yards",2014
110,110,"Sangmoon Bae",76,74.02,94,127,-0.32,"GIRPercentage100125yards",2014
111,111,"Rory Sabbatini",82,73.98,91,123,-0.27,"GIRPercentage100125yards",2014
112,112,"Brian Gay",81,73.96,71,96,-0.21,"GIRPercentage100125yards",2014
113,113,"Freddie Jacobson",91,73.91,119,161,-0.25,"GIRPercentage100125yards",2014
113,113,"Shawn Stefani",60,73.91,68,92,-0.25,"GIRPercentage100125yards",2014
115,115,"Graham DeLaet",80,73.87,82,111,-0.26,"GIRPercentage100125yards",2014
115,115,"Jim Herman",62,73.87,82,111,-0.37,"GIRPercentage100125yards",2014
117,117,"Martin Laird",66,73.74,73,99,-0.23,"GIRPercentage100125yards",2014
118,118,"Roberto Castro",76,73.73,87,118,-0.22,"GIRPercentage100125yards",2014
119,119,"Bill Haas",107,73.72,101,137,-0.24,"GIRPercentage100125yards",2014
120,120,"Justin Rose",70,73.56,64,87,-0.28,"GIRPercentage100125yards",2014
121,121,"Brendan Steele",89,73.42,116,158,-0.32,"GIRPercentage100125yards",2014
122,122,"Martin Flores",85,73.38,102,139,-0.32,"GIRPercentage100125yards",2014
123,123,"Bronson La Cassie",51,73.33,55,75,-0.25,"GIRPercentage100125yards",2014
124,124,"David Toms",64,73.08,76,104,-0.32,"GIRPercentage100125yards",2014
125,125,"Jamie Lovemark",64,73,73,100,-0.19,"GIRPercentage100125yards",2014
126,126,"John Peterson",62,72.97,81,111,-0.17,"GIRPercentage100125yards",2014
127,127,"Woody Austin",63,72.92,70,96,-0.2,"GIRPercentage100125yards",2014
128,128,"Mark Wilson",69,72.88,86,118,-0.26,"GIRPercentage100125yards",2014
129,129,"Marc Leishman",81,72.83,67,92,-0.37,"GIRPercentage100125yards",2014
130,130,"Stewart Cink",91,72.81,83,114,-0.3,"GIRPercentage100125yards",2014
131,131,"KJ Choi",80,72.65,85,117,-0.2,"GIRPercentage100125yards",2014
132,132,"Davis Love III",74,72.31,94,130,-0.22,"GIRPercentage100125yards",2014
133,133,"Bud Cauley",56,72.28,73,101,-0.19,"GIRPercentage100125yards",2014
134,134,"Tommy Gainey",73,72.26,112,155,-0.33,"GIRPercentage100125yards",2014
