"RyderCupPoints_RANKTHISWEEK_2008","RyderCupPoints_RANKLASTWEEK_2008","RyderCupPoints_PLAYERNAME_2008","RyderCupPoints_EVENTS_2008","RyderCupPoints_POINTS_2008","stat_name","year"
151,151,"Paul Claxton",15,72.678,"RyderCupPoints",2008
152,152,"Kyle Thompson",18,71.031,"RyderCupPoints",2008
153,153,"Garrett Willis",13,67.32,"RyderCupPoints",2008
154,154,"Bob Sowards",14,63.282,"RyderCupPoints",2008
155,155,"John Daly",20,60.026,"RyderCupPoints",2008
156,156,"Paul Azinger",17,57.09,"RyderCupPoints",2008
157,157,"Jason Allred",15,55.812,"RyderCupPoints",2008
158,158,"Mark Brooks",25,55.729,"RyderCupPoints",2008
159,159,"Tom Byrum",11,53.806,"RyderCupPoints",2008
160,160,"Tom Gillis",4,51.384,"RyderCupPoints",2008
161,161,"Tom Scherrer",13,50.256,"RyderCupPoints",2008
162,162,"Ron Whittaker",24,49.793,"RyderCupPoints",2008
163,163,"Bubba Dickerson",10,45.89,"RyderCupPoints",2008
164,164,"DJ Brigman",2,45.313,"RyderCupPoints",2008
165,165,"Brad Elder",15,44.431,"RyderCupPoints",2008
166,166,"Jonathan Kaye",18,41.375,"RyderCupPoints",2008
167,167,"Joey Sindelar",12,39.145,"RyderCupPoints",2008
168,168,"Chip Sullivan",6,38.142,"RyderCupPoints",2008
169,169,"Cody Freeman",18,34.568,"RyderCupPoints",2008
170,170,"Mark OMeara",11,32.514,"RyderCupPoints",2008
171,171,"Neal Lancaster",13,31.523,"RyderCupPoints",2008
172,172,"Travis Perkins",16,30.435,"RyderCupPoints",2008
173,173,"Justin Hicks",1,28.612,"RyderCupPoints",2008
174,174,"Ryan Blaum",1,27.125,"RyderCupPoints",2008
175,175,"John Cook",6,26.344,"RyderCupPoints",2008
176,176,"JL Lewis",14,25.318,"RyderCupPoints",2008
177,177,"Jay Delsing",10,24,"RyderCupPoints",2008
178,178,"Len Mattiace",15,20.165,"RyderCupPoints",2008
179,179,"Tommy Gainey",17,19.995,"RyderCupPoints",2008
180,180,"Michael Putnam",3,18.829,"RyderCupPoints",2008
181,181,"John Morse",6,18.6,"RyderCupPoints",2008
182,182,"Jeff Sluman",12,18.56,"RyderCupPoints",2008
182,182,"Craig Stadler",3,18.56,"RyderCupPoints",2008
184,184,"Ben Crenshaw",2,16.53,"RyderCupPoints",2008
185,185,"Notah Begay III",10,16.39,"RyderCupPoints",2008
186,186,"Fuzzy Zoeller",2,15.95,"RyderCupPoints",2008
187,187,"Spencer Levin",2,15.518,"RyderCupPoints",2008
188,188,"Kirk Triplett",5,13.491,"RyderCupPoints",2008
189,189,"Mike Small",5,13.05,"RyderCupPoints",2008
190,190,"Ryan Benzel",2,12.9,"RyderCupPoints",2008
191,191,"Guy Boros",7,12.485,"RyderCupPoints",2008
192,192,"Andrew Magee",8,12.238,"RyderCupPoints",2008
193,193,"Chris Smith",10,11.388,"RyderCupPoints",2008
194,194,"Scott Hoch",1,11.385,"RyderCupPoints",2008
195,195,"Alan Morin",2,10.505,"RyderCupPoints",2008
196,196,"Derek Lamely",1,10.494,"RyderCupPoints",2008
197,197,"Colt Knost",5,8.065,"RyderCupPoints",2008
198,198,"Ronnie Black",2,6.147,"RyderCupPoints",2008
199,199,"Jon Turcott",2,4.18,"RyderCupPoints",2008
200,200,"Skip Kendall",14,3.955,"RyderCupPoints",2008
201,201,"Scott Piercy",5,3.815,"RyderCupPoints",2008
202,202,"Jim Gallagher Jr",7,3.76,"RyderCupPoints",2008
203,203,"Duffy Waldorf",12,3.675,"RyderCupPoints",2008
204,204,"Bob Burns",10,3.325,"RyderCupPoints",2008
205,205,"Dennis Paulson",1,3.21,"RyderCupPoints",2008
205,205,"Ted Schulz",1,3.21,"RyderCupPoints",2008
207,207,"Spike McRoy",6,3.075,"RyderCupPoints",2008
208,208,"Rick Fehr",1,2.97,"RyderCupPoints",2008
