"CarryEfficiency_RANKTHISWEEK_2013","CarryEfficiency_RANKLASTWEEK_2013","CarryEfficiency_PLAYERNAME_2013","CarryEfficiency_ROUNDS_2013","CarryEfficiency_AVG_2013","CarryEfficiency_AVERAGECARRYDISTYARDS_2013","CarryEfficiency_AVERAGECLUBHEADSPEED_2013","CarryEfficiency_TOTALATTEMPTS_2013","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2013","stat_name","year"
149,149,"Ryo Ishikawa",72,2.379,272.5,114.523,48,2.647,"CarryEfficiency",2013
152,152,"Nick Watney",88,2.378,284.6,119.687,58,2.584,"CarryEfficiency",2013
153,153,"Sangmoon Bae",83,2.377,270.7,113.867,59,2.691,"CarryEfficiency",2013
153,153,"Stewart Cink",71,2.377,277.7,116.846,32,2.568,"CarryEfficiency",2013
155,155,"DH Lee",65,2.376,261.6,110.097,48,2.587,"CarryEfficiency",2013
156,156,"Chad Campbell",78,2.374,269,113.274,54,2.602,"CarryEfficiency",2013
157,157,"Michael Bradley",56,2.371,270.1,113.934,23,2.599,"CarryEfficiency",2013
158,158,"Justin Hicks",79,2.368,259.7,109.643,53,2.724,"CarryEfficiency",2013
158,158,"Ted Potter Jr",65,2.368,261.6,110.47,49,2.633,"CarryEfficiency",2013
160,160,"KJ Choi",85,2.362,258.4,109.426,57,2.549,"CarryEfficiency",2013
160,160,"Derek Ernst",58,2.362,283.5,120.011,42,2.557,"CarryEfficiency",2013
162,162,"Sergio Garcia",65,2.361,285,120.71,31,2.69,"CarryEfficiency",2013
163,163,"Greg Owen",73,2.36,276.6,117.194,56,2.617,"CarryEfficiency",2013
164,164,"Cameron Tringale",80,2.359,272.9,115.717,55,2.575,"CarryEfficiency",2013
165,165,"Charlie Beljan",62,2.358,294,124.66,32,2.519,"CarryEfficiency",2013
166,166,"Brendon de Jonge",110,2.356,273.1,115.904,79,2.54,"CarryEfficiency",2013
166,166,"Pat Perez",69,2.356,277.2,117.63,53,2.597,"CarryEfficiency",2013
168,168,"Robert Streb",75,2.353,278.5,118.327,45,2.595,"CarryEfficiency",2013
169,169,"Scott Langley",79,2.35,254.4,108.268,50,2.57,"CarryEfficiency",2013
170,170,"Bobby Gates",49,2.348,279.9,119.234,33,2.517,"CarryEfficiency",2013
171,171,"John Senden",79,2.346,271.6,115.77,50,2.563,"CarryEfficiency",2013
172,172,"Rod Pampling",46,2.345,261.2,111.405,31,2.521,"CarryEfficiency",2013
173,173,"Camilo Villegas",79,2.343,266.5,113.747,49,2.617,"CarryEfficiency",2013
174,174,"Stephen Ames",49,2.342,258,110.181,33,2.543,"CarryEfficiency",2013
175,175,"Mike Weir",60,2.332,254.1,108.971,36,2.508,"CarryEfficiency",2013
176,176,"Ken Duke",87,2.325,256.9,110.467,61,2.56,"CarryEfficiency",2013
177,177,"Tom Gillis",69,2.319,264.5,114.035,52,2.489,"CarryEfficiency",2013
178,178,"Freddie Jacobson",63,2.306,263.6,114.32,40,2.573,"CarryEfficiency",2013
179,179,"Ricky Barnes",74,2.302,268.1,116.496,48,2.467,"CarryEfficiency",2013
180,180,"Trevor Immelman",73,2.289,270.1,118.006,45,2.538,"CarryEfficiency",2013
