"FedExCupBonusMoney_RANKTHISWEEK_2014","FedExCupBonusMoney_RANKLASTWEEK_2014","FedExCupBonusMoney_PLAYERNAME_2014","FedExCupBonusMoney_EVENTS_2014","FedExCupBonusMoney_MONEY_2014","stat_name","year"
65,65,"Will Ma Kenzie",27,110000,"FedExCupBonusMoney",2014
66,66,"Freddie Jacobson",27,110000,"FedExCupBonusMoney",2014
67,67,"Matt Jones",25,110000,"FedExCupBonusMoney",2014
68,68,"Phil Mickelson",21,110000,"FedExCupBonusMoney",2014
69,69,"KJ Choi",23,110000,"FedExCupBonusMoney",2014
70,70,"Jason Bohn",25,110000,"FedExCupBonusMoney",2014
71,71,"Robert Streb",21,80000,"FedExCupBonusMoney",2014
72,72,"Ryo Ishikawa",24,80000,"FedExCupBonusMoney",2014
73,73,"Jason Kokrak",19,80000,"FedExCupBonusMoney",2014
74,74,"David Hearn",28,80000,"FedExCupBonusMoney",2014
75,75,"Justin Hicks",30,80000,"FedExCupBonusMoney",2014
76,76,"Ben Martin",26,80000,"FedExCupBonusMoney",2014
77,77,"Scott Langley",29,80000,"FedExCupBonusMoney",2014
78,78,"Ian Poulter",17,80000,"FedExCupBonusMoney",2014
79,79,"Brendan Steele",26,80000,"FedExCupBonusMoney",2014
80,80,"Stewart Cink",25,80000,"FedExCupBonusMoney",2014
81,81,"Bo Van Pelt",25,75000,"FedExCupBonusMoney",2014
82,82,"Gonzalo Fdez Castano",25,75000,"FedExCupBonusMoney",2014
83,83,"Shawn Stefani",17,75000,"FedExCupBonusMoney",2014
84,84,"Scott Stallings",28,75000,"FedExCupBonusMoney",2014
85,85,"Scott Brown",30,75000,"FedExCupBonusMoney",2014
86,86,"Brandt Snedeker",25,75000,"FedExCupBonusMoney",2014
87,87,"Vijay Singh",25,75000,"FedExCupBonusMoney",2014
88,88,"Danny Lee",28,75000,"FedExCupBonusMoney",2014
89,89,"Luke Donald",17,75000,"FedExCupBonusMoney",2014
90,90,"Jason Dufner",17,75000,"FedExCupBonusMoney",2014
91,91,"Brendon de Jonge",31,75000,"FedExCupBonusMoney",2014
92,92,"Jeff Overton",24,75000,"FedExCupBonusMoney",2014
93,93,"Michael Putnam",30,75000,"FedExCupBonusMoney",2014
94,94,"Andrew Svoboda",24,75000,"FedExCupBonusMoney",2014
95,95,"Paul Casey",16,75000,"FedExCupBonusMoney",2014
96,96,"John Huh",28,75000,"FedExCupBonusMoney",2014
97,97,"Billy Hurley III",26,75000,"FedExCupBonusMoney",2014
98,98,"Pat Perez",25,75000,"FedExCupBonusMoney",2014
99,99,"Robert Garrigus",25,75000,"FedExCupBonusMoney",2014
100,100,"Andres Romero",26,75000,"FedExCupBonusMoney",2014
101,101,"Troy Merritt",20,70000,"FedExCupBonusMoney",2014
102,102,"Jonas Blixt",21,70000,"FedExCupBonusMoney",2014
103,103,"Retief Goosen",26,70000,"FedExCupBonusMoney",2014
104,104,"Kevin Kisner",26,70000,"FedExCupBonusMoney",2014
105,105,"Nick Watney",25,70000,"FedExCupBonusMoney",2014
106,106,"Luke Guthrie",26,70000,"FedExCupBonusMoney",2014
107,107,"Lee Westwood",18,70000,"FedExCupBonusMoney",2014
108,108,"Rory Sabbatini",26,70000,"FedExCupBonusMoney",2014
109,109,"Bryce Molder",25,70000,"FedExCupBonusMoney",2014
110,110,"Brian Davis",28,70000,"FedExCupBonusMoney",2014
111,111,"Boo Weekley",24,70000,"FedExCupBonusMoney",2014
112,112,"Martin Flores",26,70000,"FedExCupBonusMoney",2014
113,113,"Ricky Barnes",27,70000,"FedExCupBonusMoney",2014
114,114,"Aaron Baddeley",24,70000,"FedExCupBonusMoney",2014
115,115,"Jhonattan Vegas",23,70000,"FedExCupBonusMoney",2014
116,116,"Steve Stricker",11,70000,"FedExCupBonusMoney",2014
117,117,"Michael Thompson",22,70000,"FedExCupBonusMoney",2014
118,118,"David Toms",20,70000,"FedExCupBonusMoney",2014
119,119,"Tim Wilkinson",25,70000,"FedExCupBonusMoney",2014
120,120,"Justin Leonard",22,70000,"FedExCupBonusMoney",2014
121,121,"Brice Garnett",28,70000,"FedExCupBonusMoney",2014
122,122,"Sangmoon Bae",24,70000,"FedExCupBonusMoney",2014
123,123,"James Hahn",27,70000,"FedExCupBonusMoney",2014
124,124,"Louis Oosthuizen",16,70000,"FedExCupBonusMoney",2014
125,125,"Robert Allenby",29,70000,"FedExCupBonusMoney",2014
126,126,"Nicholas Thompson",30,32000,"FedExCupBonusMoney",2014
127,127,"Martin Laird",20,32000,"FedExCupBonusMoney",2014
128,128,"JJ Henry",28,32000,"FedExCupBonusMoney",2014
129,129,"Heath Slocum",23,32000,"FedExCupBonusMoney",2014
130,130,"Charlie Beljan",26,32000,"FedExCupBonusMoney",2014
131,131,"Ben Curtis",24,32000,"FedExCupBonusMoney",2014
132,132,"Greg Chalmers",27,32000,"FedExCupBonusMoney",2014
133,133,"John Merrick",25,32000,"FedExCupBonusMoney",2014
134,134,"David Lingmerth",26,32000,"FedExCupBonusMoney",2014
135,135,"Roberto Castro",27,32000,"FedExCupBonusMoney",2014
136,136,"Jonathan Byrd",24,32000,"FedExCupBonusMoney",2014
137,137,"Andrew Loupe",22,32000,"FedExCupBonusMoney",2014
138,138,"Richard Lee",27,32000,"FedExCupBonusMoney",2014
139,139,"Mike Weir",25,32000,"FedExCupBonusMoney",2014
140,140,"Brian Gay",26,32000,"FedExCupBonusMoney",2014
141,141,"Briny Baird",17,32000,"FedExCupBonusMoney",2014
142,142,"Will Wilcox",16,32000,"FedExCupBonusMoney",2014
143,143,"Bud Cauley",19,32000,"FedExCupBonusMoney",2014
144,144,"Tyrone Van Aswegen",25,32000,"FedExCupBonusMoney",2014
145,145,"Trevor Immelman",28,32000,"FedExCupBonusMoney",2014
146,146,"Hudson Swafford",26,32000,"FedExCupBonusMoney",2014
147,147,"Jim Renner",25,32000,"FedExCupBonusMoney",2014
148,148,"Josh Teater",28,32000,"FedExCupBonusMoney",2014
149,149,"Charlie Wi",25,32000,"FedExCupBonusMoney",2014
150,150,"Johnson Wagner",24,32000,"FedExCupBonusMoney",2014
