"SmashFactor_RANKTHISWEEK_2012","SmashFactor_RANKLASTWEEK_2012","SmashFactor_PLAYERNAME_2012","SmashFactor_ROUNDS_2012","SmashFactor_AVG_2012","SmashFactor_TOTALSMASHFACTOR_2012","SmashFactor_TOTALATTEMPTS_2012","SmashFactor_HIGHESTVALUE_2012","SmashFactor_LOWESTVALUE_2012","stat_name","year"
78,78,"Marc Leishman",84,1.482,96.359,65,1.493,1.453,"SmashFactor",2012
78,78,"Hunter Mahan",88,1.482,88.927,60,1.485,1.441,"SmashFactor",2012
78,78,"George McNeill",85,1.482,88.897,60,1.485,1.415,"SmashFactor",2012
78,78,"Geoff Ogilvy",73,1.482,78.538,53,1.49,1.449,"SmashFactor",2012
78,78,"Jeff Overton",101,1.482,133.365,90,1.485,1.455,"SmashFactor",2012
78,78,"John Rollins",81,1.482,103.772,70,1.502,1.449,"SmashFactor",2012
78,78,"Adam Scott",59,1.482,59.277,40,1.485,1.448,"SmashFactor",2012
78,78,"Kevin Stadler",85,1.482,87.451,59,1.485,1.441,"SmashFactor",2012
78,78,"Steve Stricker",73,1.482,72.614,49,1.485,1.417,"SmashFactor",2012
78,78,"Roland Thatcher",55,1.482,56.316,38,1.5,1.434,"SmashFactor",2012
78,78,"Jimmy Walker",101,1.482,109.661,74,1.485,1.44,"SmashFactor",2012
100,100,"Chad Campbell",84,1.481,108.11,73,1.485,1.457,"SmashFactor",2012
100,100,"Bud Cauley",99,1.481,133.272,90,1.485,1.417,"SmashFactor",2012
100,100,"Luke Donald",63,1.481,74.043,50,1.485,1.438,"SmashFactor",2012
100,100,"Ryo Ishikawa",54,1.481,51.818,35,1.485,1.44,"SmashFactor",2012
100,100,"Matt Jones",53,1.481,59.234,40,1.485,1.44,"SmashFactor",2012
100,100,"Rory McIlroy",60,1.481,56.286,38,1.485,1.46,"SmashFactor",2012
100,100,"Bryce Molder",83,1.481,105.136,71,1.495,1.35,"SmashFactor",2012
100,100,"John Senden",81,1.481,94.783,64,1.485,1.443,"SmashFactor",2012
100,100,"Brandt Snedeker",81,1.481,91.828,62,1.485,1.45,"SmashFactor",2012
100,100,"Kyle Stanley",86,1.481,78.494,53,1.485,1.422,"SmashFactor",2012
100,100,"Brendan Steele",77,1.481,91.832,62,1.491,1.443,"SmashFactor",2012
100,100,"Nick Watney",97,1.481,109.605,74,1.497,1.451,"SmashFactor",2012
112,112,"Greg Chalmers",88,1.48,113.926,77,1.485,1.451,"SmashFactor",2012
112,112,"Zach Johnson",95,1.48,109.512,74,1.485,1.413,"SmashFactor",2012
112,112,"David Mathis",83,1.48,96.194,65,1.5,1.398,"SmashFactor",2012
112,112,"Troy Matteson",100,1.48,103.565,70,1.485,1.438,"SmashFactor",2012
