"RyderCupPoints_RANKTHISWEEK_2016","RyderCupPoints_RANKLASTWEEK_2016","RyderCupPoints_PLAYERNAME_2016","RyderCupPoints_EVENTS_2016","RyderCupPoints_POINTS_2016","stat_name","year"
34,29,"Jason Kokrak",13,969.689,"RyderCupPoints",2016
35,31,"Justin Thomas",14,962.047,"RyderCupPoints",2016
36,34,"Russell Henley",19,892.048,"RyderCupPoints",2016
37,35,"Ryan Palmer",18,824.732,"RyderCupPoints",2016
38,38,"Patton Kizzire",12,805.946,"RyderCupPoints",2016
39,36,"Webb Simpson",16,800.681,"RyderCupPoints",2016
40,37,"Smylie Kaufman",11,794.253,"RyderCupPoints",2016
41,58,"Andrew Loupe",11,757.729,"RyderCupPoints",2016
42,39,"Troy Merritt",14,739.465,"RyderCupPoints",2016
43,40,"Bryce Molder",12,733.168,"RyderCupPoints",2016
44,41,"Jim Furyk",9,729.678,"RyderCupPoints",2016
45,48,"Brendan Steele",12,690.658,"RyderCupPoints",2016
46,42,"Chez Reavie",12,685.259,"RyderCupPoints",2016
47,47,"William McGirt",12,666.854,"RyderCupPoints",2016
48,43,"Ben Martin",18,661.955,"RyderCupPoints",2016
49,44,"Scott Piercy",12,639.786,"RyderCupPoints",2016
50,45,"John Huh",12,632.266,"RyderCupPoints",2016
51,46,"Hunter Mahan",20,616.345,"RyderCupPoints",2016
52,52,"Harold Varner III",13,593.608,"RyderCupPoints",2016
53,68,"Lucas Glover",13,589.155,"RyderCupPoints",2016
54,51,"Tony Finau",13,585.641,"RyderCupPoints",2016
55,49,"Zac Blair",13,549.612,"RyderCupPoints",2016
56,50,"Chad Collins",12,547.676,"RyderCupPoints",2016
57,55,"Brian Harman",18,546.996,"RyderCupPoints",2016
58,64,"Daniel Summerhays",14,530.452,"RyderCupPoints",2016
59,53,"Luke List",13,522.969,"RyderCupPoints",2016
60,54,"Steve Stricker",11,515.215,"RyderCupPoints",2016
61,56,"Ricky Barnes",13,489.153,"RyderCupPoints",2016
62,57,"Scott Brown",12,483.525,"RyderCupPoints",2016
63,62,"Sean OHair",13,441.274,"RyderCupPoints",2016
64,59,"Blayne Barber",12,436.725,"RyderCupPoints",2016
65,60,"Keegan Bradley",19,435.48,"RyderCupPoints",2016
66,63,"Colt Knost",11,425.758,"RyderCupPoints",2016
67,86,"Chesson Hadley",13,425.002,"RyderCupPoints",2016
68,61,"Will Wilcox",12,418.28,"RyderCupPoints",2016
69,66,"Kyle Reifers",13,405.935,"RyderCupPoints",2016
70,65,"Jon Curran",12,394.487,"RyderCupPoints",2016
71,71,"Boo Weekley",13,372.983,"RyderCupPoints",2016
72,67,"Morgan Hoffmann",17,365.672,"RyderCupPoints",2016
73,70,"Cameron Tringale",17,363.911,"RyderCupPoints",2016
74,69,"Hudson Swafford",12,345.437,"RyderCupPoints",2016
75,76,"Scott Stallings",12,332.781,"RyderCupPoints",2016
76,72,"Peter Malnati",13,330.396,"RyderCupPoints",2016
77,73,"Derek Fathauer",13,328.818,"RyderCupPoints",2016
78,74,"Kyle Stanley",12,319.947,"RyderCupPoints",2016
79,79,"Jason Gore",11,318.168,"RyderCupPoints",2016
80,77,"Jerry Kelly",9,314.491,"RyderCupPoints",2016
81,78,"Spencer Levin",15,311.589,"RyderCupPoints",2016
82,84,"Mark Hubbard",14,301.216,"RyderCupPoints",2016
83,83,"David Toms",10,288.419,"RyderCupPoints",2016
84,80,"Stewart Cink",12,282.995,"RyderCupPoints",2016
85,81,"Brendon Todd",20,277.207,"RyderCupPoints",2016
86,82,"Bronson Burgoon",11,275.63,"RyderCupPoints",2016
87,85,"Chad Campbell",13,258.698,"RyderCupPoints",2016
88,88,"Tyler Aldridge",12,246.891,"RyderCupPoints",2016
89,89,"George McNeill",13,245.323,"RyderCupPoints",2016
90,92,"Michael Kim",12,233.978,"RyderCupPoints",2016
91,94,"Tom Hoge",10,233.334,"RyderCupPoints",2016
92,90,"Justin Leonard",8,220.724,"RyderCupPoints",2016
93,91,"Davis Love III",10,220.085,"RyderCupPoints",2016
94,96,"Brett Stegmaier",14,218.737,"RyderCupPoints",2016
95,93,"Ben Crane",14,217.754,"RyderCupPoints",2016
96,99,"Chris Stroud",13,212.676,"RyderCupPoints",2016
97,102,"Johnson Wagner",9,206.58,"RyderCupPoints",2016
98,95,"Matt Every",18,205.875,"RyderCupPoints",2016
99,97,"Patrick Rodgers",10,192.267,"RyderCupPoints",2016
100,98,"Sam Saunders",11,182.192,"RyderCupPoints",2016
101,100,"JJ Henry",13,177.383,"RyderCupPoints",2016
102,103,"Erik Compton",14,173.217,"RyderCupPoints",2016
103,104,"Rob Oppenheim",8,168.489,"RyderCupPoints",2016
104,101,"Tiger Woods",5,165,"RyderCupPoints",2016
105,107,"Jeff Overton",13,160.257,"RyderCupPoints",2016
106,105,"Bud Cauley",4,154.017,"RyderCupPoints",2016
107,117,"Scott Langley",9,152.023,"RyderCupPoints",2016
108,109,"Scott Pinckney",12,148.692,"RyderCupPoints",2016
109,106,"Will Ma Kenzie",12,145.258,"RyderCupPoints",2016
110,108,"Andres Gonzales",11,137.263,"RyderCupPoints",2016
111,113,"Steve Wheatcroft",11,132.459,"RyderCupPoints",2016
112,120,"Robert Garrigus",8,119.055,"RyderCupPoints",2016
113,110,"Mark Wilson",9,116.401,"RyderCupPoints",2016
114,111,"Mark OMeara",3,114.915,"RyderCupPoints",2016
115,112,"Charlie Beljan",9,113.686,"RyderCupPoints",2016
116,114,"Shawn Stefani",12,101.929,"RyderCupPoints",2016
117,115,"Pat Perez",9,98.289,"RyderCupPoints",2016
118,116,"Jason Bohn",9,96.569,"RyderCupPoints",2016
119,118,"Michael Thompson",9,79.03,"RyderCupPoints",2016
120,119,"DA Points",8,77.112,"RyderCupPoints",2016
121,121,"Shane Bertsch",4,66.802,"RyderCupPoints",2016
122,122,"Steve Marino",9,65.931,"RyderCupPoints",2016
123,134,"Derek Ernst",7,62.503,"RyderCupPoints",2016
124,123,"Kelly Kraft",6,58.168,"RyderCupPoints",2016
125,124,"Brian Gay",8,57.419,"RyderCupPoints",2016
126,125,"Nick Watney",4,56.057,"RyderCupPoints",2016
127,126,"Dicky Pride",7,55.134,"RyderCupPoints",2016
128,127,"Ken Duke",8,54.915,"RyderCupPoints",2016
129,128,"Larry Mize",2,49.8,"RyderCupPoints",2016
130,129,"Troy Kelly",1,47.854,"RyderCupPoints",2016
131,130,"Luke Guthrie",7,45.615,"RyderCupPoints",2016
132,131,"Bo Van Pelt",5,44.455,"RyderCupPoints",2016
133,132,"Wes Roach",6,42.07,"RyderCupPoints",2016
134,133,"Marc Turnesa",3,41.51,"RyderCupPoints",2016
135,135,"Justin Hicks",7,39.543,"RyderCupPoints",2016
136,136,"Billy Hurley III",7,30.744,"RyderCupPoints",2016
137,137,"David Duval",2,29.227,"RyderCupPoints",2016
138,150,"Matt Dobyns",4,29.101,"RyderCupPoints",2016
139,138,"Andrew Landry",5,28.087,"RyderCupPoints",2016
140,139,"Tom Gillis",5,26.072,"RyderCupPoints",2016
141,140,"Brad Elder",1,25.358,"RyderCupPoints",2016
142,141,"John Rollins",2,25.018,"RyderCupPoints",2016
143,142,"Andy Pope",1,22.652,"RyderCupPoints",2016
144,143,"Martin Flores",1,22,"RyderCupPoints",2016
145,144,"John Merrick",2,19.468,"RyderCupPoints",2016
146,145,"Fred Funk",1,18.662,"RyderCupPoints",2016
147,146,"Jonathan Byrd",2,16.38,"RyderCupPoints",2016
148,147,"Michael Bradley",3,15.33,"RyderCupPoints",2016
149,148,"Steve Flesch",1,12.772,"RyderCupPoints",2016
149,148,"Brice Garnett",6,12.772,"RyderCupPoints",2016
151,151,"Darron Stiles",6,11.468,"RyderCupPoints",2016
